GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPRI,G18GOVRRAU,G18GOVCMCC,G18GOVLJAC,G18ATGDRAO,G18ATGRHAR,G18ATGLHAR,G18SOSDWHI,G18SOSRHEL,G18SOSLDUT,G18COMDMEN,G18COMRSEN,G18COMLBAL,G18TREDFRE,G18TRERDOD,G18TRELLEH
17031800039,17,031,800039,224,246,15,12,235,243,14,323,150,20,277,201,17,247,228,15
17031800040,17,031,800040,269,199,10,9,277,202,3,350,131,8,306,170,7,285,187,9
17031800041,17,031,800041,220.6,172.68,21.96,11.98,231.58,189.65,7.99,297.46,126.77,7.99,260.52,160.71,4.99,231.58,174.68,13.97
17031800042,17,031,800042,394,419,21,10,409,416,24,579,246,25,482,342,15,443,370,21
17031800043,17,031,800043,172,301,11,8,203,275,10,293,184,10,234,236,13,203,257,21
17031800044,17,031,800044,175,196,3,10,190,180,12,274,97,14,222,146,17,213,153,15
17031800045,17,031,800045,158,39,10,5,159,55,3,173,40,4,166,44,7,163,49,4
17031800046,17,031,800046,254.53,264.35,31.17,10.2,263.53,281.36,12.27,361.84,184.21,15.15,304.11,244.77,12.24,280.82,263.07,12.29
17031800047,17,031,800047,324.4,191.32,16.04,14.02,336.42,191.35,20.01,419.54,121.23,10.01,365.48,164.29,19.01,338.42,184.32,20.03
17031800048,17,031,800048,352.08,269.99,24.72,16.81,382.73,265.05,23.74,485.59,173.07,17.8,415.37,234.39,18.79,377.79,262.08,24.72
17031800049,17,031,800049,296,196,10,6,296,193,19,369,125,14,325,157,24,312,163,30
17031800050,17,031,800050,269,261,9,13,262,279,14,373,172,12,311,230,13,283,251,19
17031800051,17,031,800051,264.47,177.28,6.78,7.75,264.47,188.91,6.78,311.94,133.69,12.59,293.53,158.88,8.72,273.19,172.44,14.53
17031800052,17,031,800052,292,197,16,9,305,204,8,393,125,5,340,168,6,311,188,9
17031800053,17,031,800053,268,156,14,7,269,166,16,336,104,15,291,139,20,276,153,18
17031800054,17,031,800054,292,301,10,7,305,293,9,409,182,17,353,240,14,334,248,20
17031800055,17,031,800055,215,227,11,5,219,232,6,300,150,8,234,211,8,234,207,7
17031800056,17,031,800056,340.22,262.4,17.96,19.95,345.21,272.38,22.95,438,186.57,17.96,374.15,240.45,21.95,350.2,258.41,23.95
17031800057,17,031,800057,209,98,5,10,213,107,3,250,70,2,228,85,5,224,91,3
17031800058,17,031,800058,229.47,303.65,15.83,17.8,229.47,304.64,24.73,348.16,199.79,13.85,281.89,251.23,21.76,255.18,277.93,26.71
17031800059,17,031,800059,257,248,19,10,260,262,8,349,170,15,301,218,11,283,218,21
17031800060,17,031,800060,417,515,18,16,409,534,20,614,329,26,482,459,24,445,484,22
17031800061,17,031,800061,179.92,145.01,10.28,7.19,190.27,144.95,11.26,244.41,92.93,7.2,203.63,123.61,9.21,188.21,138.92,8.28
17031800062,17,031,800062,149,114,6,3,153,111,6,187,72,9,176,90,4,160,99,7
17031800063,17,031,800063,214,144,11,13,216,152,10,285,87,11,248,120,14,231,138,12
17031800064,17,031,800064,168.06,226.03,17,14,179.06,239.03,9,256.07,161.02,13,213.07,201.02,12,193.06,212.02,14.01
17031800065,17,031,800065,148.98,210.44,10.24,6.52,149.91,218.82,7.45,226.27,144.33,9.31,178.78,178.78,16.76,154.57,196.47,16.76
17031800066,17,031,800066,116.65,147.5,6.03,9.04,109.66,156.52,9.04,151.84,125.36,6.03,114.72,150.46,8.04,104.67,157.5,14.05
17031800067,17,031,800067,322.02,482.56,31.76,10.48,331.09,500.18,13.55,508.73,315.67,19.69,411.22,421.22,17.24,371.43,443.53,27.24
17031800068,17,031,800068,211,159,11,10,223,154,17,274,108,14,242,134,18,226,147,15
17031800069,17,031,800069,254.22,212.88,17.16,15.16,264.31,226,15.1,336.8,165.51,7.12,293.07,201.25,12.16,275.68,214.47,12.3
17031800070,17,031,800070,354,155,12,13,361,159,19,411,104,20,379,136,18,361,150,24
17031800071,17,031,800071,163,102,8,6,152,118,7,203,75,4,177,97,4,169,99,5
17031800072,17,031,800072,201,222,10,11,208,228,7,279,149,13,229,191,19,215,210,14
17031800073,17,031,800073,88,83,5,4,90,84,5,110,64,3,100,80,2,93,82,7
17031800074,17,031,800074,236,199,10,8,255,202,4,325,128,9,286,164,7,275,166,14
17031800075,17,031,800075,214,201,16,6,209,224,15,312,126,10,255,175,21,232,195,17
17031800076,17,031,800076,168,133,9,4,166,142,7,204,99,11,180,126,8,170,131,13
17031800077,17,031,800077,434.72,348.78,37.98,11.99,447.72,376.76,17.99,601.62,228.86,14.99,535.66,291.82,16.99,484.69,323.79,26.98
17031800078,17,031,800078,311,123,4,5,299,127,9,335,90,7,319,117,6,304,123,14
17031800079,17,031,800079,313,102,11,7,308,119,10,345,79,15,323,105,7,310,108,14
17031800080,17,031,800080,248,244,18,16,259,249,16,367,140,18,302,197,24,285,214,21
17031800081,17,031,800081,167,123,5,9,168,125,9,193,102,8,182,114,12,172,123,11
17031800082,17,031,800082,286.65,200.14,11.18,9.15,282.73,208.23,16.16,362.73,135.28,9.13,316.23,174.69,15.16,290.82,187.98,18.2
17031800083,17,031,800083,170,223,14,6,179,218,10,255,150,8,199,199,10,182,207,10
17031800084,17,031,800084,145,133,8,2,138,147,4,179,101,8,156,122,9,152,130,7
17031800085,17,031,800085,141,156,6,6,141,164,6,205,99,7,175,133,6,161,140,9
17031800086,17,031,800086,280.94,117.97,13,20,293.94,119.97,13,341.93,77.98,12,323.93,98.98,10,296.94,103.98,25.99
17031800087,17,031,800087,181,183,6,9,183,174,16,261,105,12,218,138,18,194,151,23
17031800088,17,031,800088,125.89,223.03,12.89,7.93,135.8,234.93,5.95,216.09,149.68,10.9,156.62,209.15,9.91,147.7,214.11,7.93
17031800089,17,031,800089,208.83,141.21,7.96,6.96,212.81,137.23,6.96,249.6,105.41,5.97,228.72,128.28,7.96,212.81,141.21,7.96
17031800090,17,031,800090,147.53,167.72,3.22,8.25,149.53,164.09,9.22,206.06,107.31,6.41,173.47,139.12,9.28,159.81,144.56,10.47
17031800091,17,031,800091,408.98,325.6,25.81,21.84,418.91,338.5,24.82,568.8,196.55,19.85,493.36,259.09,23.82,432.81,301.77,30.77
17031800092,17,031,800092,214.92,136.74,7.21,11.14,220.95,135.85,12.19,257.39,96.45,15.14,238.06,108.71,16.23,221.03,127.75,16.17
17031810001,17,031,810001,553.29,446.43,9.99,6.99,650.17,347.55,7.99,783,214.72,11.98,701.1,285.63,11.98,671.14,304.61,11.98
17031810002,17,031,810002,668.71,374.57,3.01,8.01,755.83,295.45,10.01,853,184.28,21.02,769.9,255.37,23.02,727.86,291.39,20.02
17031810003,17,031,810003,450.76,220.94,9.86,8.88,476.41,203.19,8.88,549.4,122.31,20.71,505.01,157.82,19.73,489.23,176.56,15.78
17031810004,17,031,810004,516.99,319.51,2.98,5.9,553.86,278.79,8.86,680.31,158.11,8.88,606.38,221.37,7.94,576.15,243.82,9.89
17031810005,17,031,810005,359,197,2,4,392,165,7,447,108,10,408,140,8,384,158,15
17031810006,17,031,810006,273.98,207.99,1,7,309.98,172.99,5,370.98,109.99,7,337.98,136.99,8,332.98,137.99,9
17031810007,17,031,810007,370,308,7,6,415,268,8,506,177,6,442,240,8,422,248,11
17031810008,17,031,810008,245,325,5,7,285,284,13,361,204,14,318,247,10,298,260,11
17031810009,17,031,810009,307.48,471.03,9.19,5.12,362.99,417.5,6.29,514.03,269.26,8.5,408.66,354.27,14.65,385.71,368.06,12.57
17031810010,17,031,810010,257,419,9,5,315,363,12,460,218,9,385,281,18,353,307,17
17031810011,17,031,810011,301.8,481.94,3.71,4.64,340.8,435.51,6.5,503.3,275.79,7.43,388.16,369.58,18.57,354.73,402.08,13.93
17031810012,17,031,810012,312,453,9,10,365,399,11,506,258,17,410,349,19,385,376,14
17031810013,17,031,810013,514.32,385.15,12.11,8.14,548.11,365.38,11.2,677.9,231.57,12.24,572.1,323.23,16.22,563.56,334.75,13.22
17031810014,17,031,810014,305.17,445.51,4.71,2.83,373.93,380.52,11.3,494.49,254.31,11.3,408.78,334.37,16.95,379.58,356.97,13.19
17031810015,17,031,810015,451,456,12,13,506,423,11,667,259,17,568,336,24,543,364,21
17031810016,17,031,810016,386.52,530.97,7.81,4.88,407.01,509.5,11.71,571.97,336.74,20.5,475.34,418.73,26.35,436.29,450.94,23.43
