GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDDUC,G16USSRKIR,G16USSLMCM,G16USSGSUM,G16USSOWRI,G16COMDMEN,G16COMRMUN,G16COMLBAL,G16COMGCUR
17049001113,17,049,001113,87,285,15,1,3,109,263,11,9,0,95,266,14,10
17049001114,17,049,001114,108,411,17,5,7,119,375,23,12,1,114,381,23,13
17049001201,17,049,001201,77.18,382.03,13.51,0,0.96,107.08,346.33,6.75,7.72,0,107.08,330.9,12.54,9.65
17049001202,17,049,001202,65.05,427.15,17,2,4,89.07,391.13,8,10,2,97.06,376.12,11.01,4.01
17049001203,17,049,001203,93.77,424.83,18.49,1,7.04,120.85,397.54,14.24,3.28,0,109.85,393.98,14.45,6.34
17049001301,17,049,001301,19,234,5,1,1,39,211,0,5,0,45,199,2,5
17049001401,17,049,001401,103,688,23,2,9,144,629,18,9,3,145,610,22,15
17049001501,17,049,001501,82.01,559.07,23,4,1,139.01,494.06,10,12,0,136.01,484.06,6,12
1705100AV01,17,051,00AV01,181,663,20,7,3,317,495,25,13,2,230,554,30,14
1705100BG01,17,051,00BG01,55,233,13,1,1,119,169,6,3,0,84,192,6,6
1705100BW01,17,051,00BW01,49,180,9,0,2,63,153,12,5,0,69,156,4,0
1705100CA01,17,051,00CA01,7,78,1,0,0,14,60,9,1,0,14,64,4,2
1705100HU01,17,051,00HU01,27,87,2,4,1,47,64,1,4,0,41,69,0,5
1705100KS01,17,051,00KS01,57,215.02,10,1,0,105.01,157.01,12,5,0,86.01,172.01,9,5
1705100LA01,17,051,00LA01,55,324,6,3,0,97,261,11,5,0,81,262,10,15
1705100LG01,17,051,00LG01,37,301,5,0,4,83,254,6,0,0,59,272,7,3
1705100LO01,17,051,00LO01,67,390,10,2,0,115,311,17,12,0,102,335,8,9
1705100OT01,17,051,00OT01,80,556,18,3,1,204,403,31,7,1,150,448,19,14
1705100PO01,17,051,00PO01,42,73,2,2,0,61,51,4,2,0,48,62,5,3
1705100RA01,17,051,00RA01,197,549,25,8,6,317,429,28,8,2,288,445,21,14
1705100SF01,17,051,00SF01,51.21,254.85,8.3,0,2.1,98.04,188.78,11.3,6.06,1.04,76.47,213.34,10.19,5.19
1705100SH01,17,051,00SH01,28,108,3,0,0,61,67,5,1,0,53,71,4,1
1705100SM01,17,051,00SM01,54,228,11,1,2,105,164,9,5,0,75,200,5,6
1705100SR01,17,051,00SR01,113.79,353.15,15.7,0,4.9,156.96,298.22,15.7,2.94,1.96,127.53,326.66,9.81,9.81
1705100ST01,17,051,00ST01,57,217,8,0,3,114,162,4,0,0,87,175,6,2
1705100VA01,17,051,00VA01,20.61,167.74,4.15,1.01,0,43.27,137.08,6.11,0.01,0,31.02,141.28,2.04,6.03
1705100VA02,17,051,00VA02,65,198,11,3,6,96,165,10,5,1,80,182,6,7
1705100VA03,17,051,00VA03,43.56,194.05,10.61,0.97,0.01,89.83,147.71,7.75,0.99,0,72.44,161.22,2.98,1.93
1705100VA04,17,051,00VA04,59.6,188.73,8.94,0.99,1.99,93.37,143.04,11.92,4.97,0,75.49,155.95,15.89,1.99
1705100VA05,17,051,00VA05,57.23,184.48,5.3,5.03,1,91.53,149.17,5.22,0.03,0,83.04,148.55,7.08,2.05
1705100VA06,17,051,00VA06,105,384,21,7,8,212,276,17,11,0,159,321,18,9
1705100VA07,17,051,00VA07,80,337,14,2,2,118,295,11,8,0,91,321,8,2
1705100VA08,17,051,00VA08,92,346,11,1,1,135,291,12,4,1,116,312,7,5
1705100VA09,17,051,00VA09,81,165,14,3,3,123,135,7,1,0,96,147,10,7
1705100WH01,17,051,00WH01,33,204,7,1,1,64,172,9,3,0,54,186,2,6
1705100WI01,17,051,00WI01,23.98,192.85,8.99,0,0,57.96,152.88,7.99,1,0,49.96,158.88,7.99,3
1705300BN01,17,053,00BN01,97,257,17,1,3,104,246,14,7,0,91,250,16,6
1705300BT01,17,053,00BT01,21,111,5,0,3,17,115,4,2,0,15,119,2,1
1705300DM01,17,053,00DM01,92,237,18,1,3,84,253,10,3,0,64,268,11,3
1705300DM02,17,053,00DM02,71,190,17,10,3,73,190,17,5,1,69,205,5,6
1705300DM03,17,053,00DM03,76,246,16,8,5,73,262,11,3,0,58,278,5,9
1705300DM04,17,053,00DM04,116,362,16,2,7,116,344,27,9,1,100,367,12,16
1705300DM05,17,053,00DM05,97,266,23,5,8,85,287,16,9,0,69,305,14,6
1705300DX01,17,053,00DX01,70.99,232.97,15,3,5,55.99,239.96,16,8,0,49.99,250.96,14,3
1705300LY01,17,053,00LY01,46.88,167.56,8.98,5.98,1,50.87,170.55,6.98,1.99,0,39.89,176.53,5.98,4.99
1705300MA01,17,053,00MA01,29,101,13,5,2,42,94,11,3,0,31,105,9,4
1705300PA01,17,053,00PA01,13.97,94.79,4.99,2,0,12.97,95.79,3.99,2,0,13.97,93.79,2,2
1705300PO01,17,053,00PO01,39,184,5,7,3,42,178,8,7,0,33,179,10,11
1705300PT01,17,053,00PT01,71.67,187.2,17.93,6.96,5.97,80.62,182.24,16.92,4.98,0.99,75.64,195.17,7.97,3.99
1705300PT02,17,053,00PT02,61.33,193.8,22.07,2.04,5.03,64.38,201.76,13.08,6.02,0.01,59.36,203.83,11.03,6.01
1705300PT03,17,053,00PT03,18,87,5,1,1,17,93,2,1,0,19,90,3,0
1705300PT04,17,053,00PT04,54.7,232.59,14.9,2.98,2,59.65,227.62,11.93,8.94,0.99,55.67,228.62,8.95,8.94
1705300PT05,17,053,00PT05,96,246,23,3,7,87,260,20,7,1,82,257,19,9
1705300PT06,17,053,00PT06,89,251,25,4,10,87,258,16,10,0,83,252,16,8
1705300PT07,17,053,00PT07,129.87,428.58,21.98,5,11.99,123.88,422.58,22.98,8.99,0,113.89,433.57,20.98,9.99
1705300RG01,17,053,00RG01,59,128,15,9,3,79,110,13,9,0,58,131,14,9
1705300SV01,17,053,00SV01,47,181,14,2,3,54,175,15,3,0,39,196,5,2
1705300WL01,17,053,00WL01,17.08,93.24,5.02,1,0.01,12.13,99.2,3.02,2.02,0,15.1,99.2,0.03,1.02
1705500BA01,17,055,00BA01,73,251,11,5,0,150,165,11,6,0,110,183,11,14
1705500BE01,17,055,00BE01,153.97,451.06,22.7,4.93,6.91,276.36,316.83,20.73,16.78,0,205.29,366.17,23.69,20.73
1705500BE02,17,055,00BE02,173.99,448.49,28.43,8.12,4.15,304.93,317.75,21.34,11.64,2.03,246.1,358.82,19.52,15.83
1705500BE03,17,055,00BE03,70.54,238.74,10.91,4.75,1.34,150.08,160.66,3.54,7.87,0.01,113.55,176.66,9.09,11.89
1705500BE04,17,055,00BE04,158.36,431.36,13.88,4.06,4.8,285.12,279.99,10.61,20.38,0.95,226.22,314.03,16.63,26.29
1705500BE05,17,055,00BE05,309.11,747.41,28.78,7.07,12.7,514.87,539.6,23.51,15.11,0.01,399.13,609.49,26.77,27
1705500BE06,17,055,00BE06,81,180,5,4,0,122,128,8,9,0,119,123,11,11
1705500BE07,17,055,00BE07,140.03,318.94,16.3,2.07,2.09,237.64,207.17,8.27,12.22,0,190.71,239.83,13.31,14.27
1705500BR01,17,055,00BR01,107.74,253.74,10.22,1.21,3.12,174.41,167.6,12.24,10.43,0,127.88,194.53,17.26,19.55
1705500BR02,17,055,00BR02,142.26,441.26,11.78,9.79,5.88,275.59,283.4,12.76,21.57,0,198.12,330.47,14.74,28.45
1705500BR03,17,055,00BR03,66,192,7,3,4,129,118,4,4,0,100,129,3,12
1705500CA01,17,055,00CA01,149.99,715.97,18,4,12,307.99,524.98,30,18,2,227.99,591.97,22,18
1705500DE01,17,055,00DE01,99.97,299.84,5.15,4.06,1,203.66,181.87,5.18,11.15,2,144.64,221.58,10.4,13.22
1705500DE02,17,055,00DE02,128.62,297.3,13.24,5.27,3.27,209.8,209.12,11.55,8.76,1,161.15,232.46,18.62,20.17
1705500DE03,17,055,00DE03,62.86,186.04,4.98,1.97,0.03,116.84,123.33,5.88,4.93,0,84.67,145.66,12.67,6.91
1705500DE04,17,055,00DE04,202,550,20,6,12,348,381,19,21,1,278,424,25,29
1705500DE05,17,055,00DE05,102.56,232.83,16.63,3.7,3.7,185.71,149.68,7.39,10.16,0,163.53,154.3,8.32,15.71
1705500EA01,17,055,00EA01,61,255,9,3,2,134,162,8,11,0,97,190,9,13
1705500EW01,17,055,00EW01,50.98,186.94,8.94,4.47,3.58,100.18,127.91,8.94,4.47,0,82.29,136.85,9.84,10.73
1705500EW02,17,055,00EW02,112.02,317.06,18.06,2.53,2.42,195.82,226.09,9.06,5.53,1,158.71,249.15,10.16,12.27
1705500FR01,17,055,00FR01,223,757,26,8,13,392,583,27,17,0,289,642,24,26
1705500FR02,17,055,00FR02,144,393,23,12,7,245,279,18,23,0,205,296,19,32
1705500FR03,17,055,00FR03,171,425,17,11,5,294,293,16,15,3,229,326,24,22
1705500FR04,17,055,00FR04,202,660,25,3,4,368,463,26,21,0,300,503,21,28
1705500GD01,17,055,00GD01,203,500,27,5,5,374,312,18,19,0,301,355,19,29
1705500GD02,17,055,00GD02,185.99,430.99,26,4,2,332.99,270.99,14,16,1,261.99,310.99,24,24
1705500NR01,17,055,00NR01,52,166,5,1,0,96,111,6,3,1,67,134,8,6
1705500SX01,17,055,00SX01,217.39,469.97,13.53,8.24,7.15,384.14,294.64,11.44,16.73,1,331.64,317.8,17.68,24.63
1705500SX02,17,055,00SX02,125.61,294.04,10.47,4.76,2.85,218.87,189.37,8.56,14.27,0,189.37,212.21,13.32,12.37
1705500SX03,17,055,00SX03,157,415,11,8,2,271,287,8,17,1,210,328,9,19
1705500TY01,17,055,00TY01,109.67,317.11,13.53,3.1,2.1,204.15,210.02,7.24,9.1,0,171.74,233.46,4.34,10.24
1705500TY02,17,055,00TY02,192,471,21,11,2,357,301,10,20,0,275,351,21,29
1705500TY03,17,055,00TY03,75,180,12,6,0,135,118,8,11,0,107,139,9,9
1705500TY04,17,055,00TY04,153,416,24,7,5,292,266,18,18,1,208,320,25,22
1705500TY05,17,055,00TY05,75,236,7,2,2,158,154,4,2,1,127,172,4,10
1705700AS01,17,057,00AS01,86.56,174,9.62,1.75,3.5,104.05,148.64,10.49,6.12,0.87,97.06,155.64,8.74,6.12
1705700AS02,17,057,00AS02,91.86,165.87,14.44,1.27,1.5,108.61,150,4.55,7.91,0.13,114.52,139.01,7.32,6.95
1705700BA01,17,057,00BA01,61.98,91.49,6.89,0,1.97,78.71,70.83,4.92,3.94,0.98,61,80.67,10.82,2.95
1705700BE01,17,057,00BE01,53,71,2,1,0,58,59,4,1,0,52,63,5,2
1705700BK01,17,057,00BK01,107,114,11,3,1,112,105,14,8,0,105,107,12,11
1705700BK02,17,057,00BK02,141,130,12,5,1,162,94,19,5,1,148,103,20,7
1705700BK03,17,057,00BK03,73,77,9,4,0,79,72,5,5,0,77,68,11,5
1705700CA01,17,057,00CA01,175,144,25,8,8,169,159,20,11,1,165,168,16,9
1705700CA02,17,057,00CA02,183.39,140.78,16.39,4.14,3.04,180.71,140.25,10.42,6.11,1,174.5,136.39,15.49,10.11
1705700CA03,17,057,00CA03,131.72,105.37,15.61,5.85,0.98,146.35,88.79,11.71,7.81,0,145.38,99.52,5.85,3.9
1705700CA04,17,057,00CA04,179.26,194.89,26.06,6.34,2.1,179.6,186.78,23.11,10.82,0,168.5,196.97,17.25,15.67
1705700CA05,17,057,00CA05,202.74,215.11,20.94,6.66,1.9,209.4,193.22,21.89,16.18,0,207.5,197.03,24.75,13.33
1705700CA06,17,057,00CA06,127.28,132.48,17.32,3.46,1.73,144.6,107.37,21.65,7.79,0,131.61,127.28,20.78,4.33
1705700CA07,17,057,00CA07,123.7,146.29,25.38,6.29,3.48,140.56,123.39,24.55,13.34,0,128.51,140.89,22.76,9.84
1705700CA08,17,057,00CA08,154.02,218.24,23.3,7.25,2.79,175.84,192.25,23.81,11.87,0,159.88,203.83,21.46,13.84
1705700CA09,17,057,00CA09,54,79,11,6,2,74,64,5,4,0,60,76,5,6
1705700CA10,17,057,00CA10,168,141,18,6,5,176,122,25,7,0,162,141,18,10
1705700CA11,17,057,00CA11,65.61,76.22,10.61,3.86,0.96,74.29,61.75,11.58,2.89,0,68.5,65.61,13.51,2.89
1705700CA12,17,057,00CA12,132,102,17,5,1,134,98,14,9,0,134,102,11,7
1705700CA13,17,057,00CA13,241,265,15,9,5,233,274,22,6,0,223,289,16,7
1705700CA14,17,057,00CA14,241,248,27,13,2,239,248,25,11,0,209,279,17,12
1705700CA15,17,057,00CA15,200.28,192.63,18.39,3.15,5.02,196.65,182.21,20.29,8.19,0,198.62,192.48,13.15,7.1
1705700CA16,17,057,00CA16,282,300,22,4,5,277,307,21,5,0,256,340,11,4
1705700CS01,17,057,00CS01,102.14,156.16,14.73,5.89,2.95,114.91,137.5,14.73,9.82,0,110,144.37,12.77,8.84
1705700DE01,17,057,00DE01,40,102,8,5,1,49,94,7,1,0,44,99,5,5
1705700EL01,17,057,00EL01,28,48,5,0,0,31,42,4,3,0,31,44,1,5
1705700FA01,17,057,00FA01,140.3,227.62,14.72,5.89,6.87,152.08,204.08,22.57,12.75,0,134.42,225.66,20.6,8.83
1705700FA02,17,057,00FA02,54,88,9,1,3,61,82,9,1,0,51,91,6,5
