GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRHAW,G18USSDMCC,G18USSLCAM,G18USSGCRA,G18USSIODE,G18AUDRMCD,G18AUDDGAL,G18AUDLOTO,G18AUDGFIT,G18AUDCLUE
29189NRW011,29,189,NRW011,18.48,562.75,2.76,1.48,3.92,23.05,551.73,2.96,1.81,1.81
29189NRW012,29,189,NRW012,0.87,19.38,0.05,0.05,0.05,0.67,18.94,0.24,0.19,0.19
29189NRW013,29,189,NRW013,12.61,321.94,0.55,1.1,0.55,15.36,312.07,2.19,2.19,2.19
29189NRW014,29,189,NRW014,0.55,20.18,0.16,0.04,0.24,0.71,19.98,0.08,0,0
29189NRW015,29,189,NRW015,4,88.4,0.55,0.55,0.97,3.59,86.33,0.69,0.97,1.1
29189NRW016,29,189,NRW016,0.28,4.79,0.03,0.02,0.02,0.17,4.84,0.03,0.05,0.02
29189NRW017,29,189,NRW017,55.74,550.14,4.65,0.66,7.96,51.76,538.2,12.61,3.98,3.98
29189NRW018,29,189,NRW018,7.23,272.55,1.03,0.03,2.05,9.23,265.48,3.06,2.06,2.05
29189NRW019,29,189,NRW019,92.06,517.22,9.01,6.01,5.01,79.05,515.2,9.01,6.01,9.02
29189NRW020,29,189,NRW020,0.02,0.38,0,0,0,0.01,0.37,0,0,0
29189NRW021,29,189,NRW021,71.41,629.58,2.17,2.06,6.17,63.39,622.47,13.05,4.18,5.15
29189NRW022,29,189,NRW022,11.38,197.77,1.42,0.71,0.71,7.11,199.9,1.42,2.13,0.71
29189NRW023,29,189,NRW023,2.21,81.15,0.63,0.16,0.95,2.84,80.37,0.32,0,0
29189NRW024,29,189,NRW024,0.19,4.36,0.01,0.01,0.01,0.15,4.26,0.05,0.04,0.04
29189NRW025,29,189,NRW025,54.01,290.17,4,0,3,46.01,292.16,5,5,0
29189NRW026,29,189,NRW026,13.33,156.61,0.43,0.43,0.64,13.72,151.36,1.7,1.47,0.65
29189NRW027,29,189,NRW027,8.55,137.97,0.85,1.42,0.85,8.83,133.14,2.56,0.85,1.14
29189NRW028,29,189,NRW028,9.27,140.25,0.03,0.04,0.04,10.28,130.15,5.08,2.06,0.05
29189NRW029,29,189,NRW029,6.17,132.12,0.83,0.83,1.43,5.53,129.03,1.06,1.46,1.63
29189NRW030,29,189,NRW030,16.7,270.04,1.67,2.78,1.67,17.26,260.57,5.01,1.67,2.23
29189NRW031,29,189,NRW031,0,0,0,0,0,0,0,0,0,0
29189NRW032,29,189,NRW032,3.49,114.1,0.47,0.47,0.7,3.49,113.17,0.93,0.93,0.7
29189NRW033,29,189,NRW033,1.75,39.21,0.1,0.1,0.1,1.36,38.33,0.49,0.39,0.39
29189NRW034,29,189,NRW034,3.82,137.82,0.99,0.32,1.48,4.72,136.52,0.63,0.19,0.14
29189NRW035,29,189,NRW035,0.68,15.56,0.09,0.14,0.09,0.76,15.09,0.12,0.2,0.06
29189NRW036,29,189,NRW036,2.09,33.73,0.21,0.35,0.21,2.16,32.55,0.63,0.21,0.28
29189NRW037,29,189,NRW037,14.83,332.37,0.83,0.84,0.83,11.57,324.92,4.11,3.3,3.28
29189NRW038,29,189,NRW038,5,109,0,0,1,5,109,0,0,0
29189NRW039,29,189,NRW039,25.7,408.83,1.17,0.58,2.92,22.19,401.82,3.5,4.09,2.92
29189NRW040,29,189,NRW040,5.11,117.06,0.7,1.05,0.7,5.7,113.57,0.93,1.51,0.46
29189NRW041,29,189,NRW041,9.83,225.2,1.32,1.98,1.32,10.89,218.42,1.85,2.89,0.92
29189NRW042,29,189,NRW042,3.64,447.96,4.04,0.09,1.12,6.62,433.55,5.19,1.05,1.15
29189NRW043,29,189,NRW043,9.84,287.97,1.31,0,1.97,9.84,282.07,3.28,0.66,1.31
29189NRW044,29,189,NRW044,2.23,38.78,0.28,0.14,0.14,1.4,39.2,0.28,0.42,0.14
29189NRW045,29,189,NRW045,2.01,34.94,0.25,0.13,0.13,1.26,35.32,0.25,0.38,0.13
29189NRW046,29,189,NRW046,12.49,261.29,1.16,1.13,1.19,10.8,256.23,4.23,0.33,4.33
29189NRW047,29,189,NRW047,11.19,255.99,1.51,2.25,1.51,12.38,248.4,2.06,3.29,1.05
29189NRW048,29,189,NRW048,10.47,341.54,1.4,1.4,2.1,10.48,338.74,2.79,2.78,2.09
29189NRW049,29,189,NRW049,3.7,82.6,0.5,0.63,0.59,3.71,80.39,0.76,1.15,0.33
29189NRW050,29,189,NRW050,2.47,52.55,0.32,0.26,0.5,1.98,51.46,0.61,0.84,0.22
29189NRW051,29,189,NRW051,16.64,348.83,2.17,1.46,3.61,12.33,342.29,4.33,5.78,1.45
29189NRW200,29,189,NRW200,0,0,0,0,0,0,0,0,0,0
29189NRW201,29,189,NRW201,0.37,10.68,0.05,0,0.07,0.37,10.46,0.12,0.02,0.05
29189NRW202,29,189,NRW202,0,0,0,0,0,0,0,0,0,0
29189NRW203,29,189,NRW203,0,0,0,0,0,0,0,0,0,0
