GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDSMI,G18GOVRMCM,G18GOVOWRI,G18SOSDWHI,G18SOSRHAM,G18SOSOWRI,G18TREDGLE,G18TREWGLE,G18TRERLOF,G18TREAWOR,G18TREOWRI,G18ATGDANA,G18ATGWANA,G18ATGRWIL,G18ATGOWRI,G18COMRECK,G18COMOWRI,G18SPIRMIT,G18SPIOWRI,G18AGRUNEL,G18AGRGEDM,G18AGRRWEA,G18AGROWRI
45013000300,45,013,000300,431.7,947.7,1,394.9,979.5,0,387,6.3,972.8,13.4,0,400,7.3,971.3,0,1068.3,8.6,997.9,3.2,34,140.1,1003,0.1
45013000301,45,013,000301,473.4,425.1,0.9,425.3,469.8,2.8,410.8,24.4,430.4,27.1,0.9,421.2,26.9,451.4,0.9,569.9,22.6,468.6,13.9,63.6,157.2,464.4,5.5
45013000302,45,013,000302,219,337,1,187,363,0,181,15,336,15,0,189,18,345,0,420,1,353,4,24,91,352,0
45013000303,45,013,000303,274.8,466.5,0,254.7,480.2,0.1,230.9,13.2,472.9,12.4,0,242,10.6,479.7,0,547.5,5.1,494.6,9.3,35.8,103,490,0.1
45013000304,45,013,000304,410.9,358.1,1,390.4,375.5,1.1,382.7,21.2,354.4,8.4,0,392.2,22.4,355.5,0,460.5,13.2,389.3,6.7,67.2,123.8,381.1,3.3
45013000305,45,013,000305,238.4,236.8,0.8,224.2,251.8,0,224.2,5,238.5,6.7,0.8,225.9,5.8,246.8,0,316.8,10,258.5,4.2,17.5,104.9,260.1,2.5
45013000306,45,013,000306,351.9,281.1,0,338.4,294.6,0,319.2,23.2,264.3,19.3,0,327.2,18.3,285.5,0,367,18.1,297.6,10.3,49.7,112.3,309.6,1
45013000307,45,013,000307,125.5,179.4,0,117.5,186.5,0.2,112.4,3.9,183.5,4.7,0,114.8,3.7,185.3,0,217.2,3.7,189.8,3.1,12.5,38,192.7,1.2
45013000308,45,013,000308,494.4,791.5,0,457.5,829.3,0,454.5,4,819.4,11,0,449.6,11,825.3,0,941,1,852.3,6,33.9,148.5,857.2,1
45013000309,45,013,000309,111.6,285.2,0,98.9,297.2,0,92.2,9.6,287.6,3.7,0,93,5.9,293.5,0,316,3.7,305.4,3.7,13.4,39.6,291.4,0.7
