GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIDUN,G16USSRPOR,G16USSDSTR,G16USSGDEM,G16USSICON,G16USSIRUP
39007004ADB,39,007,004ADB,361,177,19,3,4,376,157,8,11,6
39007004ADC,39,007,004ADC,256,147.9,11.9,3,2,268,126,8.9,7.9,5
39007004ADD,39,007,004ADD,498,156,20,5,3,483,129,5,22,16
39007004ADF,39,007,004ADF,236,104,12,5,2,231,106,8,10,6
39007004ADG,39,007,004ADG,231.2,76,7.3,1.1,1,211.7,77.7,5.3,6.5,6.8
39007004ADH,39,007,004ADH,281.2,94.6,10.9,4.2,2,289.8,81.7,5.1,5.2,3.6
39007004ADI,39,007,004ADI,189.8,94.4,15.1,3.8,0,200.2,80.3,1.9,3.8,10.4
39007004ADJ,39,007,004ADJ,375,241,27,8,5,384,218,14,21,13
39007004ADL,39,007,004ADL,257,153,9,2,1,272,123,4,11,0
39007004ADM,39,007,004ADM,254.3,147.6,11.7,2,2.9,234.1,155.3,4.9,9.7,4.9
39007004ADN,39,007,004ADN,269.3,158.6,9.7,2.2,1.2,266.3,149.5,4.4,14.2,8.4
39007004ADO,39,007,004ADO,258,74,8,6,3,239,71,11,9,11
39007004ADP,39,007,004ADP,214,98,14,4,4,203,90,8,9,21
39007004ADQ,39,007,004ADQ,347.7,138.9,13,2,4,341.7,123.9,9,8,13
39007004ADR,39,007,004ADR,324,138,8,5,4,299,145,8,14,10
39007004ADS,39,007,004ADS,129,71,5,2,1,110,68,8,12,5
39007004ADT,39,007,004ADT,302,114,9,2,2,281,94,11,15,12
39007004ADU,39,007,004ADU,312,149,13,3,6,307,131,11,11,15
39007004ADV,39,007,004ADV,279,232,6,7,0,287,191,16,12,14
39007004ADW,39,007,004ADW,377.8,217.4,19.3,5.8,6.8,348.8,213.5,12.6,33.8,12.6
39007004ADX,39,007,004ADX,147.7,91.4,11.3,2,1.1,147.9,85.7,5.1,8.3,4.1
39007004ADZ,39,007,004ADZ,312.1,123.1,18.1,6.7,2.9,330.2,112.6,6.7,7.6,14.3
39007004AEA,39,007,004AEA,363.9,200.9,27.9,9.3,5.1,380.8,167.4,20.3,24.4,16.7
39007004AEB,39,007,004AEB,341,126,14,3,1,320,117,13,12,16
39007004AEC,39,007,004AEC,235.8,151.4,4.1,5.1,3,233.9,143.1,5.2,12.2,6.1
39007004AED,39,007,004AED,405.1,255.1,22,5,3,402.1,228.1,19,16,20
39007004AEF,39,007,004AEF,248.9,90.5,13.8,3.9,1,235.2,85.6,8.9,11.8,8.9
39007004AEG,39,007,004AEG,277.2,95.4,11.3,7.5,1.9,258.5,95.3,8.5,8.5,13.2
39007004AEH,39,007,004AEH,203,94,14,2,4,203,97,6,7,4
39007004AEI,39,007,004AEI,191,159,6,7,3,185,156,4,11,7
39007004AEJ,39,007,004AEJ,196,181,6,2,9,211,146,17,9,3
39007004AEK,39,007,004AEK,224,165,10,3,1,237,143,9,7,8
39007004AEL,39,007,004AEL,233,225,11,2,0,257,200,7,7,8
39007004AEM,39,007,004AEM,266,275,15,5,2,318,231,5,6,6
39007004AEO,39,007,004AEO,188,117,9,5,4,193,103,9,11,6
39007004AEP,39,007,004AEP,166,117,8,0,2,164,101,10,7,8
39007004AEQ,39,007,004AEQ,210.9,102,14,0,3,211.9,100,3,4,3
39007004AER,39,007,004AER,294.2,113.1,11,4,5,298.2,101.1,8,5,9
39007004AES,39,007,004AES,520,180,12,8,4,494,181,20,11,7
39007004AEU,39,007,004AEU,164,74,7,5,4,176,58,3,13,2
39007004AEV,39,007,004AEV,194.6,63.2,4,2,1,185.8,59.3,3,8.9,4
39007004AEW,39,007,004AEW,243.4,88.8,11.1,3,4,227.2,90.7,9,14.1,11.1
39007004AEX,39,007,004AEX,402,180,15,10,3,397,158,17,10,19
39007004AEZ,39,007,004AEZ,505.8,262.6,20.7,5.5,3.1,550.5,217.7,12.5,8.5,6.8
39007ZZZZZZ,39,007,ZZZZZZ,0,0,0,0,0,0,0,0,0,0
39009005AAA,39,009,005AAA,116.7,539.5,23.7,24.6,1.7,154.7,458.4,42.3,11.8,5.1
39009005AAB,39,009,005AAB,39.7,280.6,12.4,22.2,2.5,49.7,246.8,25.6,3.3,4.1
39009005AAD,39,009,005AAD,131.3,497.5,30.2,18.1,1.1,161.8,430.1,33.1,5.1,5.1
39009005AAE,39,009,005AAE,316.7,422.6,36.6,16.4,1,300.3,354.2,20.2,3.9,1.9
39009005AAF,39,009,005AAF,95.3,164.4,11.4,3.6,0,102.7,141.8,4.8,2.1,2.1
39009005AAG,39,009,005AAG,285,513,40.3,15.3,1,288.9,412.5,23.8,11.5,3.7
39009005AAH,39,009,005AAH,52.3,221.5,19.5,8.8,0,66.1,185.5,15.6,3.9,3.9
39009005AAI,39,009,005AAI,114.7,336.2,9.5,7.2,4,158.1,292.3,8.4,2.1,2.1
39009005AAJ,39,009,005AAJ,139.6,474.4,18.4,10.2,0.1,180.8,420.2,12.2,8,3.1
39009005AAK,39,009,005AAK,144,258,33,6,1,161,187,18,3,3
39009005AAL,39,009,005AAL,160,300,24,7,1,169,213,21,1,6
39009005AAM,39,009,005AAM,167,278,23,6,0,173,211,11,1,5
39009005AAN,39,009,005AAN,117,433,20,10,1,132,391,20,5,3
39009005AAP,39,009,005AAP,63.4,507.6,12.9,23.8,2,89,464.9,28.8,2.1,3
39009005AAQ,39,009,005AAQ,57,343.2,7,7,0,70,333.2,7,2,4
39009005AAS,39,009,005AAS,133.7,427.7,16.2,8.9,0,175.7,379.9,19,5.8,0.6
39009005AAU,39,009,005AAU,58.8,384.6,15.1,7,0,98.9,342.5,13,0,5
39009005AAV,39,009,005AAV,82,312,13,11,2,100,278,20,4,3
39009005AAW,39,009,005AAW,143.2,382.4,31.3,14.1,1.3,172.5,305.7,25.1,6,2.8
39009005AAX,39,009,005AAX,184.8,166.7,11.2,5,3,168.3,164.9,17.9,8.1,3.1
39009005AAZ,39,009,005AAZ,128.7,124.5,10.1,10,2,111.6,127.5,10.2,5.1,6
39009005ABB,39,009,005ABB,164.2,161.2,14.9,14.9,5,130.4,185.1,12.9,10.9,9
39009005ABD,39,009,005ABD,195.5,195.1,23.1,4,7,180.9,209.2,12,6.2,5.1
39009005ABF,39,009,005ABF,486.8,331.5,24.9,7,3,458.9,322.5,15.9,19.9,9
39009005ABG,39,009,005ABG,227.2,262.5,25.1,6,0,239.1,248.5,13.1,6.1,5
39009005ABH,39,009,005ABH,211.2,302.9,23.9,23.9,2,186.3,317.9,20.9,10,13.9
39009005ABI,39,009,005ABI,29.8,48.1,7.1,3.1,2,34.7,50.1,4.1,1,1
39009005ABJ,39,009,005ABJ,361.7,627.3,34.5,14.9,9.2,424.3,568.4,23.8,12.8,10.7
39009005ABK,39,009,005ABK,197.2,483.4,31,16.1,2.8,222.8,418.1,19.6,8.4,5.1
39009005ABL,39,009,005ABL,184.8,417.1,22,14,3,232.8,367.1,12,6,3
39009005ABM,39,009,005ABM,232.8,332.8,22,10,2,226.8,313.8,15,12,15
39009005ABN,39,009,005ABN,301,447.5,18.1,12,8,324.1,418.4,16,13,12
39009005ABO,39,009,005ABO,108,146,7,7,0,97,142,6,5,4
39009005ABP,39,009,005ABP,234.4,457.4,17.8,12.1,0,243.3,430.2,17,10.2,5.4
39009005ABR,39,009,005ABR,510,169,15,6,1,434,197,11,14,22
39009005ABS,39,009,005ABS,161.7,142.2,10,5,3,143.8,145.1,4,4,7
39009005ABT,39,009,005ABT,155.1,248.5,8.9,3,0,175.9,220.7,7,5,6
39009005ABU,39,009,005ABU,225.3,199.2,10,8,5,189.2,206.2,14,18,7
39009005ABV,39,009,005ABV,90,167,5,12,1,79,156,15,8,4
39009005ABW,39,009,005ABW,236,167,13,7,3,223,165,13,8,14
39009005ABX,39,009,005ABX,609,393,27,12,6,584,397,12,9,21
39009005ABY,39,009,005ABY,373,322,21,11,5,327,330,10,13,16
39009005ABZ,39,009,005ABZ,316,251,16,5,2,292,249,7,11,14
39009005ACB,39,009,005ACB,87.5,116,3,0,0,72.6,111.1,3,4,5
39009005ACC,39,009,005ACC,381.8,288.4,19.9,8.9,7.8,325.6,315.6,8,13.9,16.8
39009005ACD,39,009,005ACD,63.9,48.4,7.8,2.9,0,54.8,50.5,2.9,4.9,3
39009005ACE,39,009,005ACE,289.9,286.3,14.4,8.1,5.2,228.1,302.9,9.1,12.2,13.3
39009005ACI,39,009,005ACI,140.9,49.6,1.1,4,1,120.4,61.8,3.1,3.1,3.2
39009005ACJ,39,009,005ACJ,427.1,151.3,8.5,3.5,4,389.7,150.4,11,12.6,9.1
39009005ACK,39,009,005ACK,254,47.6,4.4,4.4,0,215.2,65.3,8.8,5.3,9.7
39009005ACL,39,009,005ACL,197,287,27,6,3,210,274,12,10,11
39009005ACM,39,009,005ACM,268,254,17,10,8,245,265,8,10,18
39009005ACO,39,009,005ACO,141,131.7,7.5,3.4,1.7,117.8,141.2,6.3,7.1,6
39009005ACP,39,009,005ACP,438,318.8,24.9,5.1,3,377.6,337.8,6.2,19.8,13.9
39009005ACR,39,009,005ACR,137,283.5,16.2,9.7,0.7,133.1,246.5,13,3.9,2
