GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIDUN,G16USSRPOR,G16USSDSTR,G16USSGDEM,G16USSICON,G16USSIRUP
39089045ACZ,39,089,045ACZ,398.4,618.49,35.83,8.19,3.11,540.82,496.15,20.78,9.51,7.94
39089045ADB,39,089,045ADB,496.1,397.54,41.63,9.92,2.97,663.57,266.75,14.88,6.95,6.95
39089045ADC,39,089,045ADC,195.73,1022.04,38.24,9.03,1.02,314.27,827.79,47.74,11.03,5.04
39089045ADD,39,089,045ADD,346.15,103.87,10.82,3.33,3.33,345.12,93.27,7.49,1.78,17.24
39089045ADE,39,089,045ADE,675.78,216.23,24.84,7.26,8.25,647.92,220.17,17.58,19.01,8.59
39089045ADH,39,089,045ADH,540.65,247.69,30.62,4.1,5.1,582.78,213.66,13.21,7.26,14.2
39089045ADI,39,089,045ADI,711.01,313.94,32.13,2.26,2.17,758.64,250.22,12.51,19.48,12.32
39089045ADJ,39,089,045ADJ,471.59,229.24,20.25,9.04,6.04,525.04,179.84,9.08,12.1,7.08
39089045ADK,39,089,045ADK,775.26,286.63,33.37,8.82,4.9,815.51,238.51,17.66,14.73,8.84
39089045ADL,39,089,045ADL,683.54,265.2,46.41,7.05,2.03,732.53,202.38,9.19,9.12,22.09
39089045ADM,39,089,045ADM,534.05,140.02,24,7,2,539.05,121.01,9,16,11
39089045ADO,39,089,045ADO,483.61,183.14,11.03,2,3,477.6,158.14,9.01,23.02,13.01
39089045ADP,39,089,045ADP,730.03,207.94,23.11,3.03,4,742.15,170.98,17.02,21.92,6.01
39089045ADQ,39,089,045ADQ,455.05,170.81,13.76,4.9,1.96,469.78,145.3,7.85,8.83,8.83
39089045ADR,39,089,045ADR,504,157,24,2,3,536,134,9,9,7
39089045ADS,39,089,045ADS,569.44,176.8,40.12,6.69,2.87,621.02,137.63,8.61,12.42,14.32
39089045ADT,39,089,045ADT,803.85,269.24,26.04,3.16,10.7,807.89,249.01,13.93,18.21,17.03
39089045ADV,39,089,045ADV,496.47,162.22,17.26,5.12,2.11,501.88,153.55,7.14,10.25,5.22
39089045ADW,39,089,045ADW,537.1,185.68,20.96,6.99,2.99,540.09,177.7,11.98,9.98,11.98
39089045ADX,39,089,045ADX,860.68,278.32,36.15,9.01,6.44,848.5,259.96,15.91,23.07,31.16
39089045ADZ,39,089,045ADZ,417.59,151.65,16.58,3.62,2.02,414.28,148.7,3.34,11.43,12.6
39089045AEA,39,089,045AEA,728.02,181.01,20,4,4,671.02,197.01,12,28,17
39089045AEC,39,089,045AEC,649.65,233.39,25.85,8.31,8.14,674.98,208.6,9.4,23.59,19.68
39089045AEE,39,089,045AEE,465.95,159.98,19,5,3,468.95,127.99,15,12,8
39089045AEF,39,089,045AEF,518.75,199.59,44.59,9.11,1.18,553.39,164.02,17.16,8.33,6.47
39089045AEG,39,089,045AEG,572.69,239.24,35.21,6.84,7.8,607.93,206.97,10.75,15.62,21.47
39089045AEI,39,089,045AEI,445.92,171.8,21.12,9.02,5.03,454.04,148.69,13.04,18.05,10.07
39089045AEK,39,089,045AEK,752.2,349.05,44.3,14.49,3.4,824.47,282.75,23.41,17.48,16.8
39089045AEO,39,089,045AEO,671.13,291.09,26.05,4.04,9.07,679.02,269.36,9.98,21.09,20.03
39089045AEQ,39,089,045AEQ,531.43,164.9,20.78,3.23,5.46,531.59,163.92,4.17,11.81,7.58
39089045AES,39,089,045AES,631,289,39,3,9,629,250,19,25,20
39089045AET,39,089,045AET,547.57,406.55,38.01,12.38,4.11,577.98,347.12,19.38,8.61,22.27
39089045AEU,39,089,045AEU,568.93,345.35,35.93,5.99,2,605.86,300.43,10.98,11.98,13.97
39089045AEV,39,089,045AEV,452,384,41,9,3,501,325,11,13,13
39089045AEW,39,089,045AEW,659.14,302.05,45,3,4,679.14,259.04,19,20,24
39089045AEX,39,089,045AEX,687.31,335.93,36.68,5.79,5.79,753.91,275.11,12.55,15.45,11.58
39089045AEY,39,089,045AEY,524,206,33,6,9,540,177,16,12,14
39089045AEZ,39,089,045AEZ,603.2,326.57,30.96,6.99,1,650.14,262.65,10.99,15.98,12.98
39089045AFA,39,089,045AFA,619.98,151.99,19,4,6,603.98,149.99,10,9,19
39089045AFC,39,089,045AFC,495.04,171.97,23.15,6.94,6.02,526.9,144.25,11.27,12.91,6.1
39089045AFD,39,089,045AFD,572.81,163.8,29.63,4.02,6.93,596.76,150.64,23.57,8.03,10.82
39089045AFE,39,089,045AFE,686.73,405.74,46.93,5.99,1,831.48,281,15,13.95,7.99
39089045AFF,39,089,045AFF,753.93,308.26,34.09,12.5,3.43,795.37,243.41,21.53,22.56,15.98
39089045AFH,39,089,045AFH,653,265.67,36,15.57,11.67,652.07,252.97,18.49,16.55,29.18
39089045AFJ,39,089,045AFJ,490.14,329.46,17.84,10.84,7.84,528.55,270.37,9.93,18.73,16.72
39089045AFL,39,089,045AFL,412.21,106.37,12.42,4.15,2.07,397.46,103.45,6.27,20.84,7.14
39089045AFM,39,089,045AFM,561.35,217.78,32.48,11.81,4.92,556.29,218.73,19.67,14.94,13.8
39089045AFR,39,089,045AFR,319.62,416.77,25.26,9.71,0.97,381.8,361.4,8.74,11.66,4.86
39089045AFS,39,089,045AFS,480,526,35,8,6,562,426,17,18,15
39089045AFT,39,089,045AFT,473.89,493.9,18.22,8.49,3.95,521.31,424.66,14.32,18.38,13.6
39089045AFU,39,089,045AFU,400.28,642.78,46.2,15.09,3.04,501.97,573.27,17.06,6.07,12.04
39089045AFV,39,089,045AFV,319.72,670.22,27.8,12.91,4.96,416.03,598.73,7.94,9.93,4.96
39089045AFZ,39,089,045AFZ,537,223,42,5,2,589,184,8,17,13
39091046AAA,39,091,046AAA,345.4,165.75,24.81,3.97,3.97,410.9,111.16,6.95,11.91,9.93
39091046AAB,39,091,046AAB,475.31,211.35,24.46,2.09,2.13,515.24,143.7,20.13,19.2,13.11
39091046AAE,39,091,046AAE,616.4,264.38,30.98,12.47,6.29,688.37,202.77,17.22,16.69,11.38
39091046AAG,39,091,046AAG,609.83,226.36,37.45,6.39,5.49,673.34,165.05,8.49,14.88,22.26
39091046AAJ,39,091,046AAJ,254.12,132.55,21.76,6.92,3.96,272.92,110.78,2.97,14.83,10.88
39091046AAL,39,091,046AAL,161.76,115.83,18.97,3,3,180.74,90.87,6.99,10.98,11.98
39091046AAM,39,091,046AAM,441.51,186.8,22.98,4,5.99,473.49,138.85,5,15.98,14.98
39091046AAN,39,091,046AAN,427.94,228.37,26.93,4.99,4.99,468.82,179.49,4.99,14.96,10.98
39091046AAQ,39,091,046AAQ,196,46,5,0,0,210,24,0,6,6
39091046AAR,39,091,046AAR,273.06,48.3,12.82,2.96,3.94,277.99,47.32,1.97,2.96,5.91
39091046AAS,39,091,046AAS,284,48,18,0,2,290,46,4,7,7
39091046AAT,39,091,046AAT,670,166,27,4,5,697,129,8,14,16
39091046AAV,39,091,046AAV,554.69,126.65,24.54,4.91,6.87,604.76,91.3,6.87,10.8,5.89
39091046AAX,39,091,046AAX,519,146,23,5,5,553,111,12,12,14
39091046AAY,39,091,046AAY,302.36,93.08,10.02,1.26,2.29,323.58,65.33,4.37,7.7,3.56
39091046AAZ,39,091,046AAZ,630.61,160.58,13.49,4.33,3.18,671.36,115.07,2.3,5.61,14.99
39091046ABA,39,091,046ABA,611.07,212.32,33.62,7.69,3.84,674.48,155.63,6.72,13.45,23.06
39091046ABD,39,091,046ABD,681,136,17,5,2,693,112,7,11,7
39091046ABE,39,091,046ABE,447.75,67.14,14.78,1.97,3.94,460.55,47.39,7.89,14.79,7.89
39091046ABG,39,091,046ABG,440.25,92.86,11.22,1.03,1.06,444.45,66.61,6.11,14.21,6.11
39091046ABH,39,091,046ABH,688,166,26,5,4,722,132,12,13,19
39091046ABI,39,091,046ABI,407,97,17,6,3,391,102,10,6,16
39091046ABJ,39,091,046ABJ,336,53,7,3,2,313,53,7,12,7
39091046ABK,39,091,046ABK,290.89,75.56,12.2,0.03,1.09,286.2,58.17,3.1,8.17,12.08
39091046ABL,39,091,046ABL,670.11,177.44,22.8,2.97,9.91,704.8,132.83,10.9,19.83,8.92
39091046ABM,39,091,046ABM,817,171,47,3,3,850,140,7,17,18
39091046ABP,39,091,046ABP,299.63,87.6,17.92,1.99,3.98,309.58,73.66,5.97,8.96,7.96
39091046ABR,39,091,046ABR,701.52,224.12,17.01,2,8.01,721.53,163.09,4,30.02,17.01
39091046ABS,39,091,046ABS,287,90,5,1,0,297,75,1,10,3
39091046ABT,39,091,046ABT,378.86,85.29,10.07,3.01,5.01,389.89,65.25,2.02,15.02,10.02
39091046ABU,39,091,046ABU,393,72,3,2,1,404,50,3,6,13
39091046ABV,39,091,046ABV,429,145,16,3,2,464,92,7,11,14
39091046ABW,39,091,046ABW,323,57,9,2,3,326,44,3,8,7
39091046ABX,39,091,046ABX,349,109,10,3,2,352,93,8,9,13
39091046ABZ,39,091,046ABZ,467,130,13,5,4,473,107,10,16,11
39091046ACA,39,091,046ACA,174,32,5,4,0,180,21,5,3,7
39093047AAA,39,093,047AAA,542.56,375.95,28.29,8.03,1.09,562.3,329.5,15.38,17.81,8.43
39093047AAB,39,093,047AAB,472,382,40,10,3,555,304,12,19,7
39093047AAE,39,093,047AAE,423.94,353.89,24.22,5.94,3.54,472.97,282.9,7.11,16.06,11.59
39093047AAF,39,093,047AAF,331.15,257.29,31.13,5.02,4.02,383.22,212.17,4.04,11.1,12.07
39093047AAG,39,093,047AAG,275.16,191.51,11.73,0.97,2.42,297.92,158.12,4.9,9.74,7.32
39093047AAH,39,093,047AAH,347,335,39,5,5,392,272,24,16,8
39093047AAI,39,093,047AAI,334.63,299.1,26.49,10.21,0.2,372.9,241.95,17.52,9.64,7.58
39093047AAK,39,093,047AAK,330.79,269.6,28.68,0.96,1.91,369.03,215.11,8.6,18.16,9.56
39093047AAL,39,093,047AAL,517,443,32,10,8,551,380,17,19,19
39093047AAO,39,093,047AAO,332.69,291.08,18.77,6.57,3.93,394.45,224.46,8.58,9.69,3.72
39093047AAP,39,093,047AAP,315,221,21,3,3,380,148,8,8,7
39093047AAQ,39,093,047AAQ,443,441,18,2,3,544,333,12,11,6
39093047AAR,39,093,047AAR,486.77,431.07,36.05,6.99,8.92,563.79,337.07,21.7,21.01,12.56
39093047AAS,39,093,047AAS,366.53,217.69,20.47,9.3,1.86,440.95,157.22,4.65,4.65,1.86
39093047AAT,39,093,047AAT,287,247,16,8,4,341,191,5,7,6
39093047AAU,39,093,047AAU,514,372,32,11,4,607,270,19,20,14
39093047AAV,39,093,047AAV,679,357,33,8,1,803,224,13,17,11
39093047AAW,39,093,047AAW,636.2,524.92,42.09,8.36,5.24,840.7,361.94,9.37,10.2,4.48
39093047AAX,39,093,047AAX,490.8,502.08,32.91,5.64,3.76,640.3,345.06,21.63,18.8,7.52
39093047AAY,39,093,047AAY,329,238,23,4,3,446,154,7,6,5
39093047AAZ,39,093,047AAZ,334,270,10,5,1,433,172,6,2,4
39093047ABB,39,093,047ABB,536,399,34,9,5,656,284,15,7,9
39093047ABC,39,093,047ABC,572.06,458.94,42.91,3.89,2.25,702.52,333.98,7.1,11.73,13.41
39093047ABD,39,093,047ABD,603.99,313.56,21.54,3.19,0.8,750.8,189.1,3.19,6.38,4.79
39093047ABE,39,093,047ABE,495,402,32,4,3,620,273,18,13,8
39093047ABG,39,093,047ABG,484.95,392.49,27.55,4.92,2.95,561.68,305.93,17.7,6.89,11.8
