GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW
39007004ADO,39,007,004ADO,295,96,5,0
39007004ADP,39,007,004ADP,273,100,5,0
39007004ADQ,39,007,004ADQ,381.69,139.89,6,6.99
39007004ADR,39,007,004ADR,366,118,4,2
39007004ADS,39,007,004ADS,183,93,7,0
39007004ADT,39,007,004ADT,347,124,6,2
39007004ADU,39,007,004ADU,366,145,6,2
39007004ADV,39,007,004ADV,330,243,7,2
39007004ADW,39,007,004ADW,426.1,263.78,7.73,4.83
39007004ADX,39,007,004ADX,158.13,103.58,2.19,1.13
39007004ADZ,39,007,004ADZ,409.39,125.01,3.82,2.86
39007004AEA,39,007,004AEA,405.61,208.99,7.18,2.14
39007004AEB,39,007,004AEB,385,133,7,0
39007004AEC,39,007,004AEC,259.9,148.32,8.08,4.01
39007004AED,39,007,004AED,480.11,247.06,12,2
39007004AEF,39,007,004AEF,301.1,97.42,8.86,3.94
39007004AEG,39,007,004AEG,310.35,107.66,1.9,2.83
39007004AEH,39,007,004AEH,225.95,107.98,4,1
39007004AEI,39,007,004AEI,212,167,7,1
39007004AEJ,39,007,004AEJ,216,213,5,2
39007004AEK,39,007,004AEK,255,195,2,3
39007004AEL,39,007,004AEL,281,250,4,2
39007004AEM,39,007,004AEM,282,318,8,4
39007004AEO,39,007,004AEO,229,113,3,1
39007004AEP,39,007,004AEP,179,132,2,2
39007004AEQ,39,007,004AEQ,215.89,112.94,4,0
39007004AER,39,007,004AER,345.19,127.07,5,4
39007004AES,39,007,004AES,584,216,5,3
39007004AEU,39,007,004AEU,207,68,3,3
39007004AEV,39,007,004AEV,216.37,72.12,2.96,1.98
39007004AEW,39,007,004AEW,291.63,98.88,5.04,0.02
39007004AEX,39,007,004AEX,439,181,3,1
39007004AEZ,39,007,004AEZ,652.65,285.34,8.1,4.17
39007ZZZZZZ,39,007,ZZZZZZ,0,0,0,0
39009005AAA,39,009,005AAA,93.06,487.56,10.12,3.38
39009005AAB,39,009,005AAB,25.69,287.09,3.31,1.65
39009005AAD,39,009,005AAD,86.43,372.7,7.09,1.03
39009005AAE,39,009,005AAE,12.51,34.65,0,0.96
39009005AAF,39,009,005AAF,17.49,60.35,1,1.04
39009005AAG,39,009,005AAG,13.64,47.79,1.35,0
39009005AAH,39,009,005AAH,36.71,169.47,3.93,1.95
39009005AAI,39,009,005AAI,129.26,394.21,7.11,2.05
39009005AAJ,39,009,005AAJ,131.33,513.08,9.06,1.04
39009005AAK,39,009,005AAK,32,130,3,0
39009005AAL,39,009,005AAL,70,213,3,0
39009005AAM,39,009,005AAM,50,160,1,0
39009005AAN,39,009,005AAN,76,401,6,6
39009005AAP,39,009,005AAP,44.6,524.75,4.96,1.02
39009005AAQ,39,009,005AAQ,52.99,373.14,2.01,2.99
39009005AAS,39,009,005AAS,140.78,466.04,5.37,2.3
39009005AAU,39,009,005AAU,58.74,392.84,3.05,2.01
39009005AAV,39,009,005AAV,39,295,2,1
39009005AAW,39,009,005AAW,68.24,271.98,6.31,3.15
39009005AAX,39,009,005AAX,202.43,157.96,11.92,0.02
39009005AAZ,39,009,005AAZ,135.91,124.44,10.11,0
39009005ABB,39,009,005ABB,191.05,198,4.98,4.97
39009005ABD,39,009,005ABD,180.62,208.16,5.99,7.95
39009005ABF,39,009,005ABF,586.3,402.15,13.94,3.98
39009005ABG,39,009,005ABG,274.7,292.85,4.06,5.02
