GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWES,G20PREOOTH,G20USSRCAS,G20USSRMUR,G20USSDPER,G20USSDEDW,G20USSDPIE,G20USSDKNI,G20USSDWEN,G20USSLSIG,G20USSIMEN,G20USSOPRI,G20USSOJOH,G20USSNBIL,G20USSNBOU,G20USSNMON,G20USSNDAR
22027000042,22,027,000042,256.7,6.99,0,0,0,235.72,5.99,7.99,0,0,0,0,0,0,0,0,3,3,0,0
22027000051,22,027,000051,148.05,81.04,0,0,2,134.05,4,58.02,4.01,0,8,0,0,0,2,0,1,3,2,0
22027000081,22,027,000081,99,44,0,0,0,102,0,42,4,0,0,0,0,0,0,0,0,0,0,0
22027000084,22,027,000084,60,105,2,0,0,66,2,53,26,3,5,0,0,0,2,0,0,0,0,0
22027000085,22,027,000085,20,81,0,0,4,16,0,53,17,0,2,0,0,5,0,0,6,0,0,0
22027000087,22,027,000087,38,201,2,1,6,45,0,105,47,0,5,3,0,0,2,0,1,1,0,0
22027000088,22,027,000088,124,66,2,0,0,118,6,41,4,6,2,7,4,0,1,0,3,1,0,3
22027000091,22,027,000091,82,12,0,0,0,75,6,0,7,0,2,0,0,0,0,0,0,0,0,0
22027000092,22,027,000092,186,29,3,1,2,195,2,8,4,6,2,0,0,0,0,0,0,0,0,0
22027000093,22,027,000093,40,186,3,1,2,54,0,102,32,6,5,6,0,2,1,0,1,3,0,0
22027000096,22,027,000096,9,29,0,0,0,7,2,14,11,0,0,0,0,0,0,0,1,0,0,3
220290001-1,22,029,0001-1,26.66,526.55,8.57,0.95,9.52,42.85,3.81,186.62,157.11,8.57,20.95,16.19,0,0,1.9,2.86,12.38,0.95,0.95,0.95
220290001-2,22,029,0001-2,30,236,0,0,3,38,3,81,65,5,17,2,0,0,0,0,1,3,1,3
220290001-3,22,029,0001-3,574.26,105.96,3.22,0,0.09,552.53,21.61,39.92,42.91,4.84,5.69,4.75,1,0.33,0.09,0.04,0.36,4.63,1.17,1.12
220290001-4,22,029,0001-4,115,211,0,0,1,107,2,91,65,9,7,4,0,0,0,0,4,4,3,6
220290002-1,22,029,0002-1,194.23,477.18,9.95,0.99,1.99,197.18,8.97,176.94,168.01,14.91,19.88,8.95,4.97,1.99,2.98,1.99,4.97,9.94,0,0.99
220290003-1,22,029,0003-1,280,28,3,0,0,276,7,12,7,2,0,0,3,0,0,0,0,0,0,1
220290003-2,22,029,0003-2,384,60,4,1,1,305,37,23,38,2,6,0,1,0,2,0,1,4,0,0
220290003-3,22,029,0003-3,580.35,34.9,3.99,0,0,515.53,43.88,16.95,16.95,1.99,1.99,1.99,0,0,0,0,1,2.99,1,0
220290003-4,22,029,0003-4,473.43,68.92,6.07,0.01,1.01,442.29,25.16,13.11,31.04,4.09,5.12,2.06,3.03,0.01,2.02,0.01,1.03,4.07,0,0.01
220290004-1,22,029,0004-1,147.64,70.3,0.88,0,0,141.48,2.64,22.85,32.52,3.52,4.39,3.52,0,1.76,0,0,0,2.64,0,0.88
220290004-2,22,029,0004-2,360.26,228.45,5.44,0.05,5.49,331.86,17.72,71.14,103.88,3.77,19.42,4.15,1.67,4.17,0.1,0.98,4.8,4.22,0.88,0.05
220290004-3,22,029,0004-3,32,268,0,0,0,25,3,137,68,15,13,2,0,2,1,0,1,3,4,2
220290004-4,22,029,0004-4,174.96,392.95,1.04,1,5.01,174.95,9.06,132.3,132.74,7.14,30.14,7,0.01,0,0.04,1,10.1,10.05,4,0.03
220290005-1,22,029,0005-1,225.04,224.05,2.96,0,0.99,224.05,4.94,98.7,56.26,10.86,10.86,0,0.99,0,2.96,0,7.9,3.95,0,1.97
220290005-2,22,029,0005-2,55,21,0,0,0,45,0,9,3,0,4,2,1,2,1,0,0,1,0,0
220290005-3,22,029,0005-3,432.4,52.65,1.05,0,0.99,402.22,17.11,18.03,26.79,0.68,3.67,2.58,0.38,0.83,0,0.17,1.8,0.84,0.17,0
220290005-4,22,029,0005-4,296.07,132.2,3.01,0,0,268.96,14.05,50.05,40.08,2.01,4,0,2,2,0.01,1,3.03,1.01,0,1
220290005-5,22,029,0005-5,499.18,16.02,5.95,0,0,460.22,19.01,3.05,10.01,1.98,3.96,0.03,4.95,0,0,0,1,0.99,0,0
220290005-6,22,029,0005-6,651.43,17.27,4.97,0,1.99,599.58,19.78,2.98,5.73,0,1.99,0,1.99,2.98,0,0.99,2.98,3.97,1.99,0.99
22029005-2B,22,029,005-2B,42,20,0,1,0,34,3,3,10,3,0,2,0,0,0,0,1,0,0,0
22031000001,22,031,000001,22.47,155.75,0,0,0.04,29.15,1.97,98.38,22.36,5.82,0.02,0.01,0.01,0,0,0,3.86,0.01,10.78,0
22031000004,22,031,000004,16,177,0,0,0,14,0,141,12,0,3,0,0,0,0,0,6,0,13,0
22031000005,22,031,000005,88,272,0,3,3,74,4,175,23,14,5,3,4,0,3,0,4,6,33,0
22031000006,22,031,000006,14,210,2,3,8,12,2,135,16,6,0,8,0,3,0,0,2,2,29,0
22031000009,22,031,000009,55.68,132.53,0.02,0,3.04,45.36,6.01,98.26,6.94,0.16,0.04,0.09,0,0.25,2.99,0.03,2.09,2.02,20.69,0
22031000010,22,031,000010,707.73,497.61,6.54,0.14,2.9,670.17,23.02,359.49,59.39,12.81,13.51,9.9,3.6,2.7,0,4.5,6.35,5.54,3.74,0.14
22031000011,22,031,000011,454,81,2,0,0,449,14,55,9,0,3,3,0,0,0,0,2,2,0,0
22031000016,22,031,000016,979.33,120.95,13.16,2,3.26,953.67,17.87,83.49,19.63,0.06,8.04,0,5.05,2.04,3.09,0,0,2.12,0.08,0
22031000021,22,031,000021,428.64,132.72,8.21,5.03,0.11,397.01,25.16,102.92,12.2,11.08,3.08,0,4.1,0.07,0.05,0.02,2.02,0.03,4.02,2.02
22031000022,22,031,000022,459.8,55.47,1.48,0,2.19,447.4,8.76,23.43,10.21,2.18,0.02,0,2.19,3.64,2.19,0,5.81,4.36,1.45,0
22031000023,22,031,000023,815.99,130.44,7.85,0,13.73,802.26,26.48,67.67,29.42,0,2.94,0,2.94,0,4.9,0,0,1.96,3.92,0
22031000026,22,031,000026,247.03,226.49,0.16,0.04,0.41,232.81,4.55,202.11,13.85,0.85,8.09,0.52,0.18,0,0,0,4.1,0.18,13.29,0
22031000028,22,031,000028,168.42,54.29,2.57,0,0.01,169.87,7.24,33.53,11.24,0,3.01,0,0.01,0,0,0,1.03,0.01,0,0
22031000030,22,031,000030,409.38,79.33,1.96,0,0,387.83,18.61,64.64,4.9,2.94,0,0,0,1.96,0,0,0,3.92,0,0
22031000031,22,031,000031,145.29,176.13,0.23,0.23,0,142.59,2.23,141.47,23.45,4.05,0,3,0,0,0.23,0,0.47,4.7,2.1,0.23
22031000032,22,031,000032,151.68,171.29,0,0,0,143.67,4,127.17,16.04,0.02,10,0,0,2,3,3,4.01,2.01,7.04,0
22031000033,22,031,000033,518.59,367.62,7.84,1.96,7.84,498.98,22.55,239.2,52.94,19.61,2.94,10.78,8.82,0,0,0,0,3.92,8.82,0
22031000034,22,031,000034,137,242,0,0,0,145,2,150,19,6,3,0,0,0,0,0,9,7,18,0
22031000035,22,031,000035,439,127,2,0,0,415,14,89,9,3,10,0,9,0,0,0,0,2,0,3
22031000037,22,031,000037,281.03,121.57,1.76,1.76,0,275.75,1.76,71.36,18.5,7.93,0,0,0,0,1.76,0,3.52,5.29,15.86,1.76
22031000038,22,031,000038,117.01,90.46,0,0,0,117.99,5.9,61.95,4.92,0,1.97,2.95,0,0,0,0,0,0,3.93,0
22031000042,22,031,000042,41.24,45.63,0,0,0,38.61,0,28.08,10.53,0,0,0,0,1.75,0,0,0,0,1.75,0
22031000044,22,031,000044,71.48,326.44,2.15,0,0,60.99,4,234.67,35.86,0.9,3.51,0,2,0,0,0,7,2.3,22.07,0
22031000046,22,031,000046,704.23,126.21,1.98,0,4.95,677.42,22.81,91.42,32.75,0,6.98,0,1.98,2,0,0,3.98,1.98,0,0
22031000048,22,031,000048,124,65,3,0,0,120,6,57,7,0,0,0,0,0,0,0,2,0,7,0
22031000049,22,031,000049,400.09,147.94,5.91,1.86,3.13,357.97,19.95,109.6,25.62,4.19,1.51,1.11,0.41,0.3,0,0.5,4.63,2.48,2.26,1.86
22031000051,22,031,000051,235.54,26.95,0,0,2.99,218.57,13.97,16.97,2,0,0,4.99,0,0,2,0,0,0,0,0
22031000053,22,031,000053,196,49,0,0,0,189,2,40,7,0,2,0,0,0,0,0,0,0,2,0
22031000055,22,031,000055,162,163,3,2,0,161,2,118,21,3,10,0,0,0,0,0,0,2,0,2
22031000056,22,031,000056,227.09,148.44,3,0.01,0.29,221.17,2.03,87.82,33.79,3.51,5,0.27,2,0,2.01,0,0.13,0.13,4.15,0
22031000059,22,031,000059,46.19,259.47,0.98,0,2.95,47.18,1.97,152.34,25.55,8.85,1.97,4.91,0,0,0,1.97,5.9,1.97,30.47,0
22031000060,22,031,000060,37.32,177.15,0.85,0,0,46.06,0.07,91.85,16.94,5.31,8.49,0,0,0,0,0,0.14,1.7,23.32,0
22031000063,22,031,000063,60.73,300.66,0,0,7.96,43.81,7.96,203.1,36.84,5.97,4.98,1.99,1.99,0,0,0,0,1.99,36.84,0
220330001-1,22,033,0001-1,247,386,18,7,0,253,10,259,60,38,11,5,8,2,3,2,0,11,2,3
220330001-2,22,033,0001-2,40,968,3,5,10,76,5,409,277,58,55,7,5,2,8,4,4,8,5,6
220330001-3,22,033,0001-3,41,376,6,0,3,35,0,249,90,13,9,5,2,2,2,2,2,6,2,0
220330001-4,22,033,0001-4,2,382,2,1,2,15,0,201,102,26,17,5,0,3,0,0,2,3,2,0
220330001-5,22,033,0001-5,55.95,888.08,9.11,5.01,9.05,65.17,3.11,449.55,229.71,77.57,33.2,22.16,5.05,4.08,8.03,0.03,10.09,4.12,5.04,4
220330001-6,22,033,0001-6,27,455,2,1,3,43,3,212,140,17,15,7,2,0,0,0,5,4,7,3
220330001-7,22,033,0001-7,234,374,21,1,5,276,0,293,35,32,6,10,6,2,2,0,2,1,0,2
220330001-8,22,033,0001-8,281.78,265.75,22.62,0,4.71,326.07,6.6,209.21,22.62,22.62,0,2.83,4.71,4.71,0,0,2.83,0,1.88,0
220330001-9,22,033,0001-9,312,406,13,1,5,350,2,208,97,51,9,5,5,5,3,2,5,3,2,0
220330002-1,22,033,0002-1,130,1377,7,9,13,152,5,700,358,149,27,12,0,1,9,3,16,14,0,7
220330002-2,22,033,0002-2,165,955,5,7,5,194,2,485,281,55,18,2,1,4,1,1,5,10,2,4
220330002-3,22,033,0002-3,292.23,448,3.43,0.12,5,299.64,4.43,214.89,129.7,24.55,35.83,2.59,1.07,3.36,1,0,8.36,3,0,1
220330002-4,22,033,0002-4,83,704,3,4,1,78,10,342,213,58,28,7,3,1,5,0,12,3,2,1
220330002-5,22,033,0002-5,289.69,439.3,12.46,2.87,0.99,314.54,18.14,223.56,123.68,14.57,10.54,6.76,0.97,0.98,0.95,0.01,1.02,6.7,2.89,2.86
220330002-6,22,033,0002-6,1285.54,621.7,14.43,1.59,10.11,1299.35,29.03,327.2,180.3,14.96,34.34,2.68,2.01,1.23,5.9,0.1,11.31,7.38,1.19,5.84
220330002-7,22,033,0002-7,792.98,277.84,0,0.75,0.75,788.47,23.28,126.91,85.61,7.51,9.76,1.5,0,2.25,2.25,0,0.75,9.01,0,0.75
220330002-8,22,033,0002-8,725.25,49.3,4.18,0.84,0.84,701.01,24.23,26.74,11.7,3.34,3.34,0,5.01,0.84,0,0,0,6.68,0,0.84
220330002-9,22,033,0002-9,56,396,2,1,0,63,2,229,85,28,11,4,0,1,1,1,2,3,1,1
220330003-1,22,033,0003-1,1492,190,13,4,1,1457,58,81,54,17,8,9,9,4,0,0,4,8,0,3
220330003-2,22,033,0003-2,990,243,7,1,4,975,29,108,78,6,24,10,6,6,1,1,1,1,0,1
220330003-3,22,033,0003-3,1230,401,25,4,8,1282,18,199,77,24,10,10,16,6,0,5,6,12,1,1
220330003-4,22,033,0003-4,701,480,24,3,4,738,16,226,116,40,9,14,9,4,1,0,9,8,3,0
220330003-5,22,033,0003-5,497.8,602.52,35.04,3.07,8.33,548.32,14.33,321.55,161.84,23.49,19.42,10.54,13.49,6.31,1.26,3.15,5.06,6.41,0,0.15
220330003-6,22,033,0003-6,990.2,97.63,15.94,0,1.99,975.25,24.9,45.82,22.91,3.98,14.94,1.99,10.96,0,0,3.98,3.98,3.98,0,0
220330003-7,22,033,0003-7,1263.75,702.82,23.99,8.35,15.99,1367.18,13.52,363.35,151.63,58.85,23.81,4.41,8.64,11.35,1.59,0,5.64,11.11,2.47,0.88
220330003-8,22,033,0003-8,243.46,1220.84,10.23,5.05,6.28,249.86,9.09,592.48,373.22,87.85,46.82,14.28,3.14,6,4.07,0.05,9.12,10.09,4.09,4
220330003-9,22,033,0003-9,1034.72,137.88,7.73,0.96,3.86,1045.32,15.45,60.76,39.53,14.45,7.71,3.86,2.89,2.89,3.85,0,2.89,5.78,0,0.96
22033001-10,22,033,001-10,22.39,841.85,5.04,4,7.06,48.68,2.02,405.84,214.94,61.03,22.41,9.1,0,4.09,3.14,2,10.14,18.08,6.03,4.03
22033001-11,22,033,001-11,20,820,3,4,2,46,0,370,203,83,42,10,0,2,3,2,7,12,0,4
22033001-12,22,033,001-12,643.65,364.72,19.28,3.05,5.09,703.34,4.15,227.74,34.25,34.57,8.22,15.13,5.18,2.03,0.03,0,2.06,4.05,2,0.01
22033001-13,22,033,001-13,43.1,360.61,5,3.01,3.02,50.11,2,182.83,85.46,30.1,22.08,5.02,2,0.01,0.01,2,3.01,4.02,0,0.01
22033001-14,22,033,001-14,47,1275,7,7,9,65,5,658,290,126,30,12,2,3,2,3,21,14,4,11
22033001-15,22,033,001-15,37.41,1133.85,3.84,0,5.76,65.23,1.92,558.29,281.06,98.8,39.33,9.59,0,8.63,13.43,0,13.43,7.67,2.88,2.88
22033001-16,22,033,001-16,37.1,623.69,0.12,3.99,9.16,42.98,0.06,320.05,175.54,41.06,31.18,7.29,0,2.27,3.42,0,5.42,6.23,0.09,2.09
22033001-17,22,033,001-17,45.26,275.34,5.04,0.04,0.03,43.38,2.03,106.31,75.75,28.37,17.16,5.03,3,0.03,2.06,2.01,2.08,6.05,2.02,0.01
22033001-18,22,033,001-18,14,349,2,1,5,15,3,155,109,21,17,5,0,2,0,3,4,3,4,3
22033001-19,22,033,001-19,18,380,2,1,3,30,0,141,128,28,9,3,0,5,3,2,3,4,0,4
22033001-20,22,033,001-20,186,1089,5,2,14,192,6,550,315,62,29,12,8,5,8,2,15,7,0,4
22033001-21,22,033,001-21,20,429,2,0,5,22,5,201,145,26,11,10,0,0,0,0,2,4,3,2
22033001-22,22,033,001-22,22,453,2,1,6,39,3,206,135,43,13,0,0,3,3,2,3,8,3,0
22033001-23,22,033,001-23,39.72,804.34,5.96,5.96,4.97,56.6,4.97,348.55,263.15,55.61,23.83,4.97,0,4.97,8.94,1.99,11.92,6.95,2.98,1.99
22033001-24,22,033,001-24,71.69,1027.88,5,3.61,11.35,91.14,3.83,471.23,275.18,100.69,45.84,3,3,6.05,10.83,1.83,14.4,5.61,1.31,6.31
22033001-25,22,033,001-25,29,912,6,3,6,68,3,405,225,116,35,12,0,3,0,0,8,10,9,4
22033001-26,22,033,001-26,16,535,0,0,5,39,2,224,154,30,28,12,0,2,5,3,8,4,0,2
22033001-27,22,033,001-27,32,871,0,3,9,56,3,344,255,94,26,7,2,0,11,2,5,15,3,4
22033001-28,22,033,001-28,36,802,5,3,0,72,5,366,196,64,28,0,5,2,5,2,8,6,3,2
22033001-29,22,033,001-29,25,781,2,0,3,31,3,375,196,105,24,3,6,3,5,0,4,8,3,3
22033001-30,22,033,001-30,32,728,3,5,6,41,7,298,210,66,30,3,3,3,3,2,13,7,3,0
22033001-31,22,033,001-31,54,1207,6,4,17,74,5,489,396,94,44,7,2,8,11,0,14,7,6,6
22033001-32,22,033,001-32,35.84,1031.39,8.96,2.99,4.98,49.78,7.96,492.8,295.68,91.59,43.8,1.99,0,1.99,4.98,1.99,8.96,6.97,3.98,1
22033001-33,22,033,001-33,290,313,9,5,5,316,7,176,55,34,9,5,6,0,3,0,3,4,0,2
22033001-34,22,033,001-34,1011.54,426.8,22.05,3.92,2.94,1102.46,5.88,314.38,46.52,25.72,4.41,6.12,9.56,5.39,2.94,0,3.43,0.73,0,0
22033001-35,22,033,001-35,325.96,332.86,28.1,5.02,3.02,380.39,5.03,207.42,52.16,13.11,4.02,10.03,25.05,2.03,0.02,2,0.02,7,3,0
22033001-36,22,033,001-36,119,702,9,3,8,135,7,368,188,41,18,3,6,2,6,3,4,3,2,2
22033001-37,22,033,001-37,222,750,12,1,5,250,5,416,172,52,13,15,2,2,5,2,8,14,2,3
22033001-38,22,033,001-38,81,805,16,1,2,114,2,420,204,62,18,2,7,2,11,2,7,8,2,1
22033001-39,22,033,001-39,369.47,329.39,8.8,5.86,2.93,426.16,2.93,194.51,58.65,18.57,8.8,6.84,1.95,2.93,0,0,2.93,0,1.95,1.95
22033001-40,22,033,001-40,229,378,25,6,6,283,2,217,69,28,15,7,12,11,2,2,2,3,0,0
22033001-41,22,033,001-41,657.22,455.25,26.38,4,11.29,737.93,3.4,296.79,72.38,20.38,9,7.17,9.29,6.29,4,0,8.17,4,0.12,0
22033001-42,22,033,001-42,955,505,39,1,3,1053,5,337,62,26,17,4,16,10,3,2,5,1,0,0
22033001-43,22,033,001-43,499.39,282.91,7.48,1.09,3.15,545.42,3.26,201.8,47.07,3.04,4.38,0.23,2.32,2.04,0.05,0,0.12,1.09,3.98,2.01
22033001-44,22,033,001-44,183.91,471.76,17.99,4,3,204.9,9,214.89,108.95,55.97,27.99,9.99,10.99,6,2,3,4,3,0,0
22033001-45,22,033,001-45,14,525,2,1,2,22,2,307,143,28,11,3,0,0,2,0,5,6,4,3
22033001-46,22,033,001-46,144.05,523.92,7.89,0.99,3.95,160.83,7.89,262.45,126.29,42.43,14.8,11.84,3.95,5.92,1.97,1.97,6.91,8.88,2.96,0
22033001-47,22,033,001-47,1035.2,433.96,16.58,6.25,4.39,1137.44,12.43,253.35,59.04,20.8,10.31,7.21,7.43,0.34,2,0.08,3.04,8.25,0.11,3.05
22033001-48,22,033,001-48,831,448,27,2,11,953,3,308,26,30,15,5,11,8,0,2,1,10,2,1
22033001-49,22,033,001-49,828,292,23,5,2,882,10,189,36,15,6,14,12,0,7,0,5,3,0,1
22033001-50,22,033,001-50,31,751,2,1,3,54,3,333,220,68,22,3,2,0,5,2,12,12,2,3
22033001-51,22,033,001-51,23,560,2,3,5,39,2,273,128,70,28,0,2,3,0,2,3,1,2,3
22033001-52,22,033,001-52,680,539,18,1,12,702,14,328,107,47,13,7,10,5,2,2,3,7,2,1
22033001-53,22,033,001-53,557,347,12,2,4,572,15,233,53,22,17,7,5,3,5,0,2,4,0,2
22033001-54,22,033,001-54,415,1386,10,6,11,387,23,680,412,96,45,14,5,8,6,6,18,20,5,7
22033001-55,22,033,001-55,600,520,12,6,3,620,8,279,134,26,13,12,8,3,0,7,5,6,4,0
22033001-56,22,033,001-56,1275,474,45,5,6,1448,12,294,26,15,15,7,17,8,2,0,1,4,0,0
22033001-57,22,033,001-57,158.5,209.34,7.85,3.07,0.04,183.15,0.09,124.21,50.33,13.16,1.57,3.85,2.4,1.58,0.04,0,1.55,2.27,0,0
22033001-58,22,033,001-58,61.33,808.44,0,7.39,6.65,90.88,5.17,373.91,223.93,61.33,22.17,0,0,2.96,5.17,5.17,9.61,7.39,3.69,3.69
22033001-59,22,033,001-59,14,523,6,0,6,31,0,275,148,28,38,5,0,0,0,2,3,3,0,3
22033001-60,22,033,001-60,591,646,16,4,11,597,19,340,171,53,24,2,5,10,3,0,7,7,3,0
22033001-61,22,033,001-61,43,971,3,3,9,56,9,472,236,62,42,7,2,0,17,7,17,12,0,2
22033001-62,22,033,001-62,29.47,721.63,0.03,3.01,2.02,44.54,0.03,329.78,240.08,45.25,24.11,5.01,2.02,2.01,3.02,0.01,5.03,4.03,2.01,2
22033001-63,22,033,001-63,33.16,833.61,8.04,7.01,11.02,45.22,4.04,381.2,253.32,68.41,41.2,10.01,2,0.01,4.02,2.01,8.04,7.03,2.02,4
22033001-64,22,033,001-64,245,247,16,1,8,264,3,162,29,32,9,7,9,5,2,0,2,6,2,0
22033001-65,22,033,001-65,278.53,375.61,13.2,1.14,6.07,314.84,3.07,200.49,89.35,32.43,17.2,5.16,3.05,2.07,2,0,2.07,7,0.05,0.05
22033001-66,22,033,001-66,379,508,12,7,2,407,8,254,126,30,18,7,10,4,11,0,7,9,0,1
22033001-67,22,033,001-67,27,441,2,1,6,30,0,201,123,41,17,12,2,2,0,0,4,3,2,3
22033001-68,22,033,001-68,11,472,3,1,3,26,2,266,112,26,22,3,2,3,2,0,4,3,0,0
22033001-69,22,033,001-69,575.29,505.91,20.96,3.81,6.67,627.68,11.43,281.04,94.33,42.88,16.2,9.53,13.34,1.91,1.91,0,4.76,3.81,0,0.95
22033001-70,22,033,001-70,121,1143,9,4,6,133,7,638,298,62,56,9,3,2,2,3,10,15,2,0
22033001-71,22,033,001-71,469,659,3,7,1,483,12,309,190,45,31,4,1,5,0,0,4,6,4,5
22033001-72,22,033,001-72,565,527,14,2,1,564,21,256,128,47,19,7,11,8,4,2,8,12,2,4
22033001-73,22,033,001-73,360,594,10,4,1,383,5,395,122,33,8,2,6,0,6,0,7,4,2,0
22033001-74,22,033,001-74,894,414,15,3,11,1002,5,243,53,22,22,4,6,2,2,2,5,3,2,0
22033001-75,22,033,001-75,634.59,356.6,12.46,5.75,8.63,703.61,9.59,236.77,41.22,18.21,6.71,4.79,9.59,7.67,0,1.92,0.96,5.75,1.92,0.96
22033001-76,22,033,001-76,262.13,451.46,18.41,1,4.86,259.9,4.92,197.4,116.77,47.35,25.04,6.8,27.87,5.76,4.8,1.91,0.06,6.74,0,2.88
22033001-77,22,033,001-77,46.66,1367.11,4.96,8.94,10.92,67.51,9.93,628.45,350.47,129.07,60.56,6.95,2.98,1.99,4.96,0.99,29.78,27.8,7.94,5.96
22033001-78,22,033,001-78,109,815,12,3,4,132,0,370,276,57,29,7,6,4,5,0,10,5,0,2
22033001-79,22,033,001-79,241.45,226.65,12.83,4.26,6.38,267.54,6.45,110.81,47.09,22.82,12.1,0.05,5.69,3.58,1.45,6.4,0.72,2.14,1.42,0
22033001-80,22,033,001-80,631.85,480.95,19.41,2.65,3.53,654.79,15,239.15,117.37,48.54,15,1.76,11.47,10.59,1.76,0,3.53,11.47,3.53,0
22033001-81,22,033,001-81,200,668,11,4,11,215,8,231,228,88,31,22,5,8,8,2,7,7,3,3
22033001-82,22,033,001-82,144.54,996.16,9.77,1.95,11.72,161.14,3.91,563.52,259.78,77.15,34.18,11.72,5.86,0,2.93,1.95,4.88,3.91,3.91,0
22033001-83,22,033,001-83,251,678,5,1,6,261,12,261,202,64,29,5,3,2,1,1,11,9,7,2
22033001-84,22,033,001-84,40.34,888.89,3.04,5.06,3.08,44.49,3.07,405.55,255.53,90.93,37.44,5.05,0.02,2.01,17.04,0.01,12.22,8.2,2.06,2.04
22033001-85,22,033,001-85,43.47,1583.34,8,6.58,14.47,73.52,11.58,673.64,478.38,152.66,48.91,20.17,2,0.23,6.82,1.12,26.82,25.47,11.23,8.12
22033001-86,22,033,001-86,38,913,8,5,6,50,3,552,214,49,33,9,3,2,0,1,9,14,5,2
22033001-87,22,033,001-87,458,840,11,4,4,474,17,460,227,53,35,4,3,4,4,3,7,7,3,2
22033001-88,22,033,001-88,54,626,5,6,5,63,3,240,232,56,31,3,2,0,5,0,8,3,3,3
22033001-89,22,033,001-89,432,165,6,1,0,449,7,72,36,4,9,5,8,0,3,2,1,1,0,0
22033001-90,22,033,001-90,625.73,463.03,18.34,1.65,0.52,629.07,19.56,198.64,155.76,41.6,14.91,0,18.17,2.26,3.13,1,6,7.52,0.52,0.52
22033001-91,22,033,001-91,35.99,789.49,2,3,8,58.97,5,352.78,272.82,61.96,29.98,4,0,0,1,1,7,2,3,1
22033001-92,22,033,001-92,29,601,2,2,0,32,0,301,173,45,18,5,0,2,0,0,8,2,0,1
22033001-93,22,033,001-93,31,257,0,1,5,41,3,127,71,6,7,3,0,2,2,0,3,7,0,0
22033001-94,22,033,001-94,13,515,3,6,2,22,2,245,145,38,24,3,2,0,2,0,8,3,0,4
22033001-95,22,033,001-95,35.95,1042.79,9.28,3.7,8.32,48.96,9.29,564.38,220.31,105.4,22.21,15.73,0,1.85,5.55,0.92,11.09,6.49,8.33,5.55
22033001-97,22,033,001-97,169,480,5,3,3,168,2,261,152,11,24,2,5,3,2,0,4,6,2,0
22033001-98,22,033,001-98,918.32,829.48,14.97,8.98,13.97,938.29,24.95,384.3,258.53,67.88,16.97,11.98,13.97,11.98,0,2,5.99,11.98,5.99,1
22033001-99,22,033,001-99,694.69,575.4,23.86,5.61,11.93,757.84,20.35,294.72,118.59,49.82,21.05,10.53,6.32,5.61,1.4,0,6.32,9.82,3.51,2.11
22033002-10,22,033,002-10,341,705,8,8,6,349,5,401,190,44,19,2,1,3,1,1,8,2,3,2
22033002-11,22,033,002-11,83.01,663.51,0,3,8,96.03,3,353.22,180.18,47.04,28.02,2,0,1,3,0,5,4,2,3
22033002-12,22,033,002-12,267.88,1161.39,5.97,3.92,10.84,270.92,16.81,636.4,286.43,81.4,38.42,14.85,4.91,5.89,1.03,0.01,15.75,18.6,6.87,4.04
22033002-13,22,033,002-13,215,605,7,2,14,229,8,368,136,30,18,5,2,0,0,4,8,4,0,1
22033002-14,22,033,002-14,373.06,617.01,9.2,0.08,3.08,379.27,15.51,297.4,181.65,30.81,20.39,5.12,8.08,6.02,3.1,1.05,9.13,4.2,4.1,4.05
22033002-15,22,033,002-15,390.53,334.25,5.78,0.17,5.13,363.98,21.61,169.95,84.74,26.44,6.63,0.02,0.99,5.12,0.99,2.97,6.94,8.26,0,4.13
22033002-16,22,033,002-16,38,1071,5,4,6,52,0,584,278,92,33,9,0,2,6,0,6,14,3,1
22033002-17,22,033,002-17,175.23,645.46,2.05,1,9.04,185,0.16,271.31,221.56,28.22,30.03,16.98,0,2.05,4.01,1.03,4.06,10.06,2,0.04
22033002-18,22,033,002-18,1134.79,412.92,28.99,6,8,1172.78,43.99,235.96,83.98,21,8,2,17,9,0,1,3,8,2,3
22033002-19,22,033,002-19,58,433,0,3,0,65,0,215,133,32,6,0,0,0,3,0,5,6,0,1
22033002-20,22,033,002-20,132,261,2,0,0,124,8,90,83,23,15,7,0,0,1,1,3,4,3,0
22033002-21,22,033,002-21,902.8,443.43,14.83,2.96,2.96,905.76,14.82,266.58,109.62,29.62,14.84,1.99,4.94,0.99,0,0,12.84,3.96,8.89,0.99
22033002-22,22,033,002-22,14,937,3,6,1,48,2,471,265,68,22,17,0,1,0,0,8,6,3,1
22033002-23,22,033,002-23,38,1019,9,6,8,61,0,455,269,115,28,2,1,3,4,6,15,16,5,4
22033002-24,22,033,002-24,7.88,697.47,2.76,0.3,6.68,25.94,0.76,414.26,166.05,31.65,10.82,8.29,0,1.15,1.46,0.08,11.91,3.53,1.68,3.46
22033002-25,22,033,002-25,240.12,1060.61,10.03,2.08,10.16,249.08,20.19,513.6,316.57,48.6,35.58,19.15,3.09,4.11,3.97,0.99,13.25,8.4,4.13,10.96
22033002-26,22,033,002-26,841.11,477.79,21.42,0.22,5.38,868.44,27.69,193.27,133.86,13.22,22.85,10.39,11.08,3.52,3.57,1,3.49,12.11,3.13,0.26
22033002-27,22,033,002-27,72,862,3,4,4,83,3,522,207,67,22,7,5,0,1,0,6,9,3,1
