GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWES,G20PREOOTH,G20USSRCAS,G20USSRMUR,G20USSDPER,G20USSDEDW,G20USSDPIE,G20USSDKNI,G20USSDWEN,G20USSLSIG,G20USSIMEN,G20USSOPRI,G20USSOJOH,G20USSNBIL,G20USSNBOU,G20USSNMON,G20USSNDAR
22051000196,22,051,000196,121,1022,4,2,7,129,9,477,338,46,19,18,1,4,5,3,18,11,6,4
22051000198,22,051,000198,753,244,6,4,1,730,26,102,64,20,6,4,4,3,3,1,9,11,1,1
22051000199,22,051,000199,572.6,415.6,12.1,1.1,4.1,558.1,13.1,203.6,129,17.2,23.2,9.1,1,1.1,5.1,0,9.2,5.2,1,1.1
220510002-G,22,051,0002-G,212,317,3,2,4,204,13,169,75,13,6,7,6,1,6,0,16,5,1,0
220510002-H,22,051,0002-H,577.9,127.1,9.8,2,5.9,591.6,3.9,47.9,35.2,3.9,2,2,7.8,1,4.9,1,2,2.9,0,0
220510002-K,22,051,0002-K,790.9,484.4,10.5,2.3,3.9,784.2,16,188.5,157.1,25.5,21.2,9.4,9,5.8,7.4,0.7,10.4,5.9,0,0.5
220510002-W,22,051,0002-W,40.9,260,0.3,1.1,0.2,37.8,3.7,85.7,75.9,13.2,15.1,0.1,1,1.1,1.1,0,14.5,3.3,0,1
22051000200,22,051,000200,19,690,5,1,1,17,6,400,173,11,8,9,3,0,3,1,13,9,0,4
22051000201,22,051,000201,31,912,3,4,6,25,6,534,204,24,27,24,1,1,0,4,10,7,0,4
22051000202,22,051,000202,401.1,164,1,1,3.9,366,15.6,69.3,45.9,10.7,9.8,3.9,2.9,1,1,0,17.5,3.9,0,1
22051000203,22,051,000203,511,317,6,1,0,457,21,139,100,11,11,4,3,1,9,0,25,13,1,1
22051000204,22,051,000204,404.4,177,4.7,0.8,2.4,395,18.1,88.1,29.9,10.2,10.2,5.5,2.4,2.4,0.8,0,4.7,3.1,2.4,0.8
22051000205,22,051,000205,73,892,4,11,6,71,7,546,213,42,27,2,1,4,1,0,16,8,3,0
22051000210,22,051,000210,152,174,4,1,3,127,13,96,53,7,11,0,1,1,0,0,6,1,4,1
22051000211,22,051,000211,281.8,188.8,3.8,0,2.9,282.7,5.8,67,66.6,10.8,10.6,4,0,2.9,0,0.9,3.9,4.8,0,2.9
22051000212,22,051,000212,23,722.4,4,0,10,23,2,413.1,174.6,24,15,2,4,0,3,4,11,7,3,1
22051000215,22,051,000215,486,591,8,2,7,446,28,267,213,28,23,4,3,6,3,1,14,8,6,0
22051000217,22,051,000217,495,778,5,4,7,493,19,380,245,44,36,2,4,13,1,4,8,12,3,3
22051000225,22,051,000225,164.9,734.7,3,3.9,11.6,150.3,11.7,284.5,274.9,34.3,35.1,6.8,3,4.2,5.9,1,4.9,12.6,3,6.9
22051000226,22,051,000226,504.9,574,9.1,4.1,7.4,488.3,22.4,182.5,210.1,40.3,20.3,2.2,7.1,10.1,9.2,1,15.2,11.5,8.1,4.2
22051000227,22,051,000227,339.3,495.1,4.4,0.9,0,333,5.3,194.1,157.6,23.1,15.1,1.8,6.2,12.5,5.3,0.9,3.6,2.7,2.7,4.4
22051000228,22,051,000228,367,515,8,2,3,324,22,194,162,17,45,7,6,9,3,3,15,13,4,4
22051000229,22,051,000229,511,281.1,8.4,2.1,1,516.4,7.5,145.9,64.3,17.2,7.5,11.2,1.6,2.2,0.5,5.1,4.3,7.3,0.3,0.4
22051000230,22,051,000230,728,512,23,6,0,708,21,241,135,28,11,13,4,6,9,0,11,18,3,3
22051000231,22,051,000231,403,493,5,1,0,381,15,196,151,24,34,2,1,4,1,1,19,13,1,3
22051000234,22,051,000234,594,658,14,2,7,584,22,288,178,31,29,16,4,6,6,0,20,23,3,1
22051000235,22,051,000235,147,258,8,2,0,138,7,98,102,9,10,9,3,1,1,0,8,5,0,0
22051000236,22,051,000236,297,778,13,1,9,284,16,278,283,46,40,7,1,9,12,0,19,10,3,3
22051000237,22,051,000237,467,692,4,5,4,444,12,359,195,44,29,9,7,4,3,3,9,3,4,3
