GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SOSRARD,G18SOSREDM,G18SOSRSTO,G18SOSRKEN,G18SOSRCRO,G18SOSRCLO,G18SOSDCOL,G18SOSDFRE,G18SOSNMOR,R18SOSRARD,R18SOSDCOL
22105000070,22,105,000070,188.96,55.46,123.53,107.16,71.62,29.7,100.68,86.17,9.54,112.07,49.5
22105000071,22,105,000071,103.88,43.51,88.23,87.81,46.69,20.05,116.61,119.85,11.55,113.39,56.16
22105000072,22,105,000072,87.04,25.54,44.47,37.84,28.38,12.3,152.32,90.83,9.46,53.93,61.5
22105000073,22,105,000073,97.39,44.52,78.84,76.06,61.22,12.06,43.59,64.93,6.49,51.01,26.9
22105000074,22,105,000074,134.31,47.22,91.35,70.43,53.36,34.94,104.9,57.38,9.02,95.03,53
22105000101,22,105,000101,79.46,14.62,42.57,40.37,22.31,8.49,69.71,79.26,1.31,79.14,105.07
22105000102,22,105,000102,141,45,78,90,60,28,74,76,14,120,38
22105000104,22,105,000104,111.53,23.04,61.75,79.27,56.22,23.04,26.73,26.73,3.69,113.37,18.43
22105000105,22,105,000105,17,6,3,15,5,2,8,5,1,21,17
22105000106,22,105,000106,67,26,35,32,42,13,62,46,9,64,25
22105000107,22,105,000107,36,11,7,21,10,11,117,70,1,25,79
22105000108,22,105,000108,101,27,43,45,37,19,88,47,7,102,41
22105000109,22,105,000109,47,25,40,41,16,12,165,94,9,61,143
22105000110,22,105,000110,153,33,58,80,107,35,47,52,4,117,21
22105000112,22,105,000112,153,56,85,69,75,24,38,49,10,81,13
22105000114,22,105,000114,119,63,91,62,121,29,15,21,4,132,12
22105000116,22,105,000116,94,29,65,52,113,23,69,50,3,109,26
22105000117,22,105,000117,130,62,69,76,44,31,50,50,7,88,36
22105000118,22,105,000118,285.46,96.05,167.2,153.18,175.13,57.06,77.38,114.2,14.01,238.39,63.17
22105000119,22,105,000119,107.54,19.95,51.8,46.82,41.87,16.94,70.62,45.8,3.99,90.61,35.83
22105000120,22,105,000120,165,69,94,109,124,48,25,44,5,166,17
22105000121,22,105,000121,75.06,18.77,35.56,40.49,16.79,7.9,10.86,10.86,4.94,24.69,8.89
22105000122,22,105,000122,145,75,117,109,89,46,40,51,10,129,20
22105000123,22,105,000123,137,72,87,71,51,30,106,90,8,102,29
22105000124,22,105,000124,34.76,12.41,26.63,19.86,16.25,6.77,9.48,11.51,1.35,27.09,5.42
22105000125,22,105,000125,103,45,66,53,31,37,145,100,9,117,57
22105000127,22,105,000127,26,8,31,32,19,8,23,19,2,45,16
22105000129,22,105,000129,13,4,12,8,13,8,117,41,1,10,57
22105000133,22,105,000133,94.88,49.94,72.91,69.91,23.97,16.98,97.88,59.92,4.99,85.89,84.89
22105000137,22,105,000137,183,63,121,117,65,36,29,36,14,130,16
22105000139,22,105,000139,51,26,34,28,5,19,35,34,1,28,21
22105000141,22,105,000141,72,38,52,37,41,21,63,61,9,106,57
22105000143,22,105,000143,75.92,22.97,65.93,46.95,30.97,20.98,117.87,79.91,5.99,50.94,35.96
22105000145,22,105,000145,207.71,77.35,152.51,152.52,94.35,43.13,76.16,71.22,12.07,153.68,24.11
22105000147,22,105,000147,100.29,49.65,72.49,73.48,49.65,18.87,22.84,30.78,9.93,95.32,15.89
22105000149,22,105,000149,216.81,100.75,192.63,117.67,79.79,39.49,28.21,54,8.87,223.25,20.96
22105000151,22,105,000151,179.06,66.01,172.88,124.94,64.34,38.46,24.02,47.13,9.46,128.53,12.88
2210500040A,22,105,00040A,77.63,36.97,79.48,59.15,37.89,15.71,80.4,73.01,18.48,94.26,35.12
2210500042A,22,105,00042A,34,11,34,27,20,7,34,44,9,79,40
2210500045A,22,105,00045A,35.9,10.97,37.89,23.93,14.96,9.97,141.59,71.79,6.98,32.91,61.82
2210500070A,22,105,00070A,40,28,39,20,13,22,62,48,3,41,28
2210500072A,22,105,00072A,136,29,121,68,48,23,107,86,16,76,44
2210500104A,22,105,00104A,41,6,17,16,26,7,39,25,3,34,28
2210500106A,22,105,00106A,67,19,32.07,32.07,49,17,23.07,34.07,3,57.2,21.07
2210500111A,22,105,00111A,24.31,12.12,17.21,17.16,9.12,13.07,78.37,50.31,1.07,28.3,50.57
2210500115B,22,105,00115B,11,5,5,5,2,6,116,94,5,6,90
2210500120A,22,105,00120A,267,77,145,102,121,41,42,60,15,185,18
2210500120B,22,105,00120B,74,29,34,37,31,7,48,35,1,49,24
2210500121A,22,105,00121A,166,57,95,89,43,34,102,65,11,126,45
2210500122A,22,105,00122A,39.99,20.98,31.17,20,18.82,6.47,11.76,11.76,2.74,23.92,2.94
2210500122B,22,105,00122B,164.01,86.02,127.83,82,77.18,26.53,48.24,48.24,11.26,98.08,12.06
2210500124A,22,105,00124A,119.24,42.59,91.37,68.14,55.75,23.23,32.52,39.49,4.65,92.91,18.58
2210500127A,22,105,00127A,52.37,44.03,42.52,35.85,29.11,13.29,63.6,57.99,6.52,78.74,31.88
2210500129A,22,105,00129A,65,15,35,36,20,10,159,134,9,37,104
2210500133A,22,105,00133A,61.68,33.82,46.75,60.68,13.93,22.88,68.64,45.76,1.99,57.7,45.76
2210500137A,22,105,00137A,282.27,88.74,191.97,138.81,105,34.95,48.74,49.79,13.84,192.49,23.13
2210500137B,22,105,00137B,82,27,43,59,34,6,88,76,5,40,32
2210500137C,22,105,00137C,178.73,70.26,122.03,75.19,53,32.05,17.26,38.21,6.16,132.51,17.87
2210500137D,22,105,00137D,159,56,125,81,75,17,21,33,7,178,15
2210500141A,22,105,00141A,83.91,28.97,72.92,58.94,40.96,17.98,59.93,43.95,6.99,71.92,29.97
2210500143A,22,105,00143A,103.08,42.03,83.07,49.05,28.03,15.02,67.13,55.09,4.01,61.06,20.04
2210500149A,22,105,00149A,60.85,25.05,47.75,34.02,26.75,7.22,9.8,16.6,5.63,44.92,5.93
22105ZZZZZZ,22,105,ZZZZZZ,28.17,11.41,25.31,14.99,11.65,5.22,5.19,8.6,1.4,19.73,3.28
22107000001,22,107,000001,49,8,4,12,0,4,3,8,0,37,8
22107000002,22,107,000002,26,3,4,16,2,4,7,11,0,4,16
22107000004,22,107,000004,3,6,0,4,0,4,44,17,0,0,27
22107000005,22,107,000005,9,3,0,6,0,1,55,47,1,7,37
22107000007,22,107,000007,17.97,11.39,12.6,16.68,2.26,9.14,10.12,3.16,0,22.61,4.34
22107000009,22,107,000009,19,2,7,6,0,6,18,19,0,30,14
22107000010,22,107,000010,58.09,16.74,17.72,22.64,5.91,12.8,26.58,20.67,0,45.29,18.71
22107000011,22,107,000011,77.03,30.61,47.4,54.32,20.74,10.86,9.88,12.84,0,128.39,26.66
22107000012,22,107,000012,11.71,2.93,10.73,6.83,1.95,3.9,112.18,66.33,3.9,8.78,90.72
22107000015,22,107,000015,9.29,9.07,3.27,20.17,0.05,3.1,122.82,69.67,1.1,25.22,218.28
22107000017,22,107,000017,61.55,21.16,4.81,34.62,3.85,3.85,19.23,19.23,2.89,28.85,15.39
2210700002B,22,107,00002B,12,5,2,6,2,1,7,3,0,7,0
2210700002C,22,107,00002C,10.61,0.49,0.07,3.34,0.04,0.14,7.06,2.1,0,3.38,8.01
2210700004A,22,107,00004A,2,5,4,10,0,3,12,11,1,16,2
2210700005A,22,107,00005A,2,0,2,1,0,3,25,27,0,2,21
2210700011A,22,107,00011A,16,2,3,6,2,3,15,22,1,12,16
22109000001,22,109,000001,115.13,13.19,52.45,49.47,30.19,24.11,62.19,72.13,9.08,73.58,23.13
22109000004,22,109,000004,226.99,62.9,91.97,88.06,61.79,54.38,55.75,54.09,14.42,142.88,33.78
22109000005,22,109,000005,197.37,50.07,88.3,98.16,34.91,62.42,146.4,111.81,9.59,110.9,49.3
22109000007,22,109,000007,87,19,42,70,19,34,215,198,17,53,105
22109000008,22,109,000008,191.26,81.58,105.12,105.55,51.92,59.56,67.42,50.34,8.96,108.99,29.08
22109000009,22,109,000009,34,12,35,48,17,27,19,16,5,26,6
22109000010,22,109,000010,157,43,88,143,56,57,66,75,19,133,27
22109000011,22,109,000011,202,49,93,114,42,47,48,44,18,130,6
22109000012,22,109,000012,212,39,81,78,33,48,47,37,10,123,18
22109000013,22,109,000013,57.09,10.43,32.43,27.69,14.14,26.58,12.76,16.33,4.07,38.43,1
22109000014,22,109,000014,454.28,121.66,214.14,201.28,92.19,73.05,55.81,46.33,16.1,419.52,57.57
22109000015,22,109,000015,177,48,96,89,27,64,36,24,14,152,16
22109000016,22,109,000016,153.2,68.74,90.35,92.31,31.42,43.21,43.21,27.5,6.87,136.5,34.37
22109000017,22,109,000017,127,24,89,59,40,40,21,22,4,104,12
22109000018,22,109,000018,197,44,77,98,56,48,76,60,15,147,29
22109000019,22,109,000019,153,18,72,59,49,37,58,37,8,70,15
22109000020,22,109,000020,85.23,20.29,38.96,42.21,12.18,21.92,76.3,47.89,8.12,36.53,21.11
22109000021,22,109,000021,87.72,32.49,49.07,64.67,37.05,29.6,34.88,33.62,12.24,77.09,19.26
22109000023,22,109,000023,40,16,36,25,13,14,165,54,13,32,87
22109000025,22,109,000025,173,28,89,93,38,48,56,33,8,107,26
22109000027,22,109,000027,73,5,25,43,19,22,11,11,6,40,3
22109000029,22,109,000029,79.36,18.52,49.96,63.37,27.97,23.41,36.14,24.4,9.77,41.94,12.75
22109000031,22,109,000031,63.63,15.47,32.19,44.55,12.28,17.17,192.23,88.56,3.02,44.9,53.17
22109000032,22,109,000032,50.42,17.11,24.31,39.62,15.31,22.51,21.61,18.01,2.7,51.32,12.61
22109000034,22,109,000034,36,15,12,25,5,18,375,149,17,13,100
22109000035,22,109,000035,137,22,36,49,19,21,54,34,5,51,17
22109000036,22,109,000036,68.54,16.44,17.93,31.02,15.15,19.59,46.32,28.26,4.43,39.68,18.18
22109000038,22,109,000038,82.23,21,42.87,66.49,29.74,20.12,54.24,29.74,8.75,56.86,14.87
22109000041,22,109,000041,128.3,26.53,53.88,73.31,28.65,38.68,111.46,48.15,14.3,72.43,54.86
22109000043,22,109,000043,153.68,34.25,59.71,63.23,26.34,53.57,38.64,27.22,7.03,109.77,18.44
22109000045,22,109,000045,123.57,29.19,66.17,49.69,29.18,20.49,16.04,21.6,7.79,86.73,11.84
22109000046,22,109,000046,121.55,28.01,62.29,67.63,27.41,39.62,144,72.44,12.8,116.24,59.61
