GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOMCM,G16PRECCAS,G16PREOOTH,G16USSRKEN,G16USSRBOU,G16USSRFLE,G16USSRMAN,G16USSRDUK,G16USSRCRA,G16USSRCAO,G16USSRMAR,G16USSRPAT,G16USSDCAM,G16USSDFAY,G16USSDEDW,G16USSDLAN,G16USSDPEL,G16USSDWIL,G16USSDMEN,G16USSLCLE,G16USSLGIL,G16USSOLAN,G16USSOTAY,G16USSNBIL,G16USSNHEB,G16USSNMAR,G16USSNWEL,R16USSRKEN,R16USSDCAM
22033003-63,22,033,003-63,260.56,458.04,27.12,9.43,4.13,1.18,4.72,112.01,106.11,37.14,18.27,9.43,4.72,7.66,1.77,0,186.28,162.11,28.89,33.6,7.66,1.18,2.36,8.84,0,0,1.77,4.72,1.77,2.95,0,122.03,274.71
22033003-64,22,033,003-64,729.94,339.4,41.5,14.08,22.23,1.48,2.96,383.13,252.7,123.76,54.1,8.89,8.15,7.41,0,0,134.87,131.91,6.67,7.41,0.74,2.96,5.19,8.89,0,0.74,0,2.96,1.48,3.71,2.22,589.88,231.21
22033003-65,22,033,003-65,50.48,179.15,8.36,2.29,1.48,0,0.16,25.9,20.65,8.85,2.13,0.82,2.29,2.46,0.33,0.49,79.98,57.37,11.47,7.87,1.15,1.15,2.79,3.11,0.98,0.16,0,1.64,0.16,0.66,0,30.49,99.98
22033003-66,22,033,003-66,376.34,90.89,12.8,3.01,4.77,0.5,2.01,175.24,91.89,58,32.14,8.03,10.29,4.52,1.26,1.76,41.93,40.67,4.77,3.26,0.5,0,0.5,3.51,1,0,0,1.26,2.01,0.75,0.25,211.14,51.97
22033003-67,22,033,003-67,928.62,240.69,32.93,5.99,6.59,1.2,2.99,429.88,282,155.67,55.68,17.96,8.98,13.77,2.39,2.39,82.62,95.8,10.78,14.97,0.6,0.6,0,9.58,2.39,0,0,1.8,7.18,1.2,0,602.31,142.5
22033003-68,22,033,003-68,304.37,211.43,20.15,4.54,7.18,1.34,2.36,152.4,107.93,56.64,19.9,6.44,6.4,5.74,0,0.31,86.4,87.18,6.01,8.24,0.35,0.79,1.23,1.43,0.94,0.04,0,1.1,1.34,0.2,0.12,235.23,138.09
22033003-69,22,033,003-69,254.48,154.16,24.11,4.67,7,1.36,1.17,112.95,103.42,43.35,15.36,4.86,4.86,3.89,0.78,0.39,66.49,54.63,7.58,8.17,0.78,0.19,1.17,3.5,1.94,0,0,1.94,2.14,1.17,0.97,160.77,102.06
22033003-70,22,033,003-70,528.7,194.12,35.12,3.41,7.32,1.95,3.9,235.08,209.23,95.11,28.29,7.32,6.34,7.32,0.49,0.49,74.13,77.06,3.41,10.24,1.95,0,0,6.34,0.49,0.98,0,3.9,2.44,0.98,1.95,419.44,137.05
22033003-71,22,033,003-71,893.28,182.69,30.56,12.5,16.67,0.69,1.39,464.7,190.33,204.91,61.13,13.89,9.72,4.17,3.47,2.08,59.74,86.83,5.56,9.72,0.69,0,0.69,1.39,2.08,0,0,2.08,0,0,0.69,649.47,108.36
22033003-72,22,033,003-72,481.74,476.86,27.41,6.09,4.87,1.22,6.7,256.4,99.88,82.22,32.89,14.62,9.74,7.92,1.83,0.61,199.15,167.48,32.28,35.32,4.26,4.26,4.26,6.7,1.83,0.61,0.61,3.65,2.44,0.61,0,299.03,266.14
2203301-100,22,033,01-100,6,681,5,13,1,0,1,9,10,4,1,1,4,5,0,0,288,167,85,73,10,1,8,3,0,0,0,8,1,1,0,2,113
2203301-101,22,033,01-101,10.05,487.2,2.02,10.07,0,0,0.02,11.14,5.08,1.07,0,0.02,1.03,0.02,0,0,255.31,136.98,26.31,20.53,0.02,0.05,1.05,1.02,1.05,1,4.02,6.08,0.02,1.02,0.02,9,335.05
2203301-102,22,033,01-102,122.43,220.53,27.11,11.18,3.91,0.84,2.52,36.9,49.75,22.64,7.83,9.22,6.71,3.35,0.56,0.84,93.36,70.16,14.81,17.33,3.63,1.68,3.91,12.02,3.91,0.28,0,4.47,1.12,1.4,0,25.44,75.19
2203301-103,22,033,01-103,559.15,288.3,28.07,12.14,6.07,0.76,3.03,304.23,128.22,97.11,37.93,14.41,17.45,3.79,0,0,117.6,95.59,12.9,12.9,0,0,2.28,9.86,3.79,0.76,1.52,6.07,6.07,4.55,0.76,406.65,147.18
2203301-104,22,033,01-104,134.51,845.94,10.96,6.97,2.99,3.99,6.97,74.73,31.88,36.87,7.97,3.99,1,1.99,1,3.99,374.64,265.04,48.82,90.67,3.99,2.99,0,2.99,1.99,0,1,5.98,0,2.99,1.99,88.68,446.39
2203301-105,22,033,01-105,662.24,298.12,38.44,6.53,13.78,2.18,0,267.65,287.96,84.14,36.27,18.86,12.33,5.8,0.73,1.45,108.8,126.21,7.98,12.33,2.9,0.73,1.45,11.61,5.8,1.45,0,5.8,2.9,0.73,0,455.52,183.51
2203301-107,22,033,01-107,168.66,199.68,28.64,8.75,11.14,0,4.77,74.78,54.1,33.41,17.5,7.96,8.75,1.59,0,0,97.85,78.76,6.36,18.3,0.8,0.8,0,5.57,1.59,0,0,3.98,3.18,0,0.8,87.51,141.61
22035000001,22,035,000001,332,112,3,0,0,0,0,97,148,48,13,9,4,4,0,0,50,37,7,5,0,1,1,1,0,0,1,4,0,1,0,186,53
22035000003,22,035,000003,25.14,25.03,0,0.03,0,0.07,0.02,8.16,12.1,2.09,4.03,0.03,0,3,0,0,10.69,4.48,1.16,0.12,0,0,0.02,1,0,1.02,0,0.05,0,1.03,0,7.1,11.9
22035000004,22,035,000004,38,8,0,0,0,0,0,11,6,5,2,3,1,0,0,0,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,20,5
22035000005,22,035,000005,11,0,1,0,0,0,0,3,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22035000006,22,035,000006,11,275.23,0,0,0,0,2,14.01,4.01,5,2,3,5,3,0,0,121.11,62.05,20.01,17.01,1,5.01,0,5,1,0,2,7,2,1,0,7,80.08
22035000007,22,035,000007,5,260.77,1,0,0,0,5,9.99,5.99,2,0,3,1,1,1,0,127.89,60.95,7.99,14.99,2,6.99,0,2,1,1,1,5,0,1,0,2,94.92
22035000009,22,035,000009,16.97,265.6,3,0,0,0,1,11.98,20.97,6.99,0,3,1,2,0,0,125.81,66.9,13.98,6.99,1,3,1,0,2,1,1,3.99,0,2,0,18.97,105.84
22035000010,22,035,000010,2.03,184.4,0,0,0,0,1,4.02,6.03,0.01,0,0,2,0,0,0,89.19,46.1,10.02,4.01,0,1,0,2,0,1,0,2.01,0,0,0,2.03,68.16
22035000013,22,035,000013,10,429,4,2,0,0,3,18,19,3,0,1,2,4,1,2,193,103,24,17,3,6,1,4,1,1,1,10,0,1,0,7,158
22035000014,22,035,000014,7.86,115.97,0,1.97,0,3.93,0.98,8.84,5.9,4.91,1.97,1.97,0,0,0,0,39.31,27.52,8.84,6.88,0,0,0.98,0,0,0.98,0,2.95,0,1.97,0,5.9,51.1
22035000015,22,035,000015,23.48,14.09,0,0,0,0,0,4.7,0,6.57,3.76,0,0,0.94,0,0,8.45,1.88,4.7,0,0,0,0,1.88,0,0,0,0.94,0,0,0,13.15,6.57
22035000016,22,035,000016,217,27,0,1,0,0,0,89,18,62,9,10,2,2,0,0,16,14,0,3,0,0,0,0,0,0,0,2,0,1,0,86,18
22035000017,22,035,000017,55.52,34.91,0,0,3,0,0,12.3,14,14.43,0.24,1,5,0.06,0,0,19.55,6.12,6.3,1,0,1,0,0.12,0,0,0,0.06,0,1,0,27.85,17.43
22035000018,22,035,000018,111.76,14.33,0,0.96,0,0,0,42.98,9.55,14.33,4.78,5.73,2.87,0.96,0,0,13.37,8.6,0.96,0,0,0,0,0,0,0,0,0,0,0,0,38.21,7.64
22035000019,22,035,000019,166.06,64.17,3,0,0,0,0,63.5,16.2,36.12,5.05,9.03,6.02,0,0,0,47.25,9,5,1.03,0,1,0,0,0,0,0,3,0,0,0,63.5,36.1
2203500005A,22,035,00005A,11,5,0,0,0,0,0,3,8,5,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1
2203500005B,22,035,00005B,11,2,1,0,0,0,0,0,2,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1
22037000001,22,037,000001,631.51,78.81,6.98,0,2,0,0,372.12,65.84,73.83,53.87,36.91,12.97,2.99,2,0,41.9,32.92,2.99,2,0,2,0,1,2,2.99,0,3.99,2.99,3.99,0,338.2,49.88
22037000002,22,037,000002,702.05,256.98,19.15,7.26,7,0.03,2.34,482.38,78.98,59.94,33.46,32.22,17.03,4.01,0.02,7.93,115.11,96.87,25.39,12.51,3,2.27,2.97,4.28,1.98,0.02,0.04,7.31,1.99,0.3,1.98,390.65,134.78
22037000003,22,037,000003,398,146,6,2,0,0,3,261,44,38,24,17,9,2,0,0,78,35,5,12,2,2,1,1,0,0,0,4,2,2,0,194,66
22037000004,22,037,000004,696.4,443.33,13.54,2.61,10.07,0,4,410.99,89.4,73.22,30,61.9,12.68,4,0,0,193.43,134.61,27.61,28.07,2,0,0,7.54,2,2,1,9.54,2,0,1,372.81,231.04
22037000005,22,037,000005,761.08,338.77,17.44,0.34,2.35,2.08,0.35,390.01,84.59,119.46,56.82,56.94,10.31,4.36,2.02,0,152.95,141.98,23.4,7.45,2.37,4.15,1,1.12,2,0.02,0.4,12.64,1,1.12,0,376.04,183.16
