GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREILAR,G20PREIPIE,G20PREOWRI,G20DELDNOR,G20DELLHYN,G20DELGSTR,G20DELSMUS,G20DELIFRA,G20DELIKRU,G20DELILOW,G20DELICHE,G20DELOWRI,G20COUDWHI,G20COURPIC,G20COULBIS,G20COUGWIL,G20COUIHEN,G20COUIORA,G20COUILAZ,G20COUIGOO,G20COUIBAT,G20COUIPAL,G20COUIGAR,G20COUILEW,G20COUIJAY,G20COUIBAR,G20COUIHOW,G20COUIMER,G20COUIHE2,G20COUIPAD,G20COUIGUR,G20COUISCR,G20COUISIL,G20COUICRI,G20COUIMUR,G20COUIROG,G20COUOWRI,G20USSDSTR,G20USSRWEI,G20USSGORY,G20USSOWRI,G20HALDOWO,G20HALGROB,G20HALISYE,G20HALOWRI
110010010012016,7.4,0.6,0.1,0,0,0,0.1,6.5,0.3,0.2,0.1,0.3,0.2,0.1,0.1,0.1,3.1,0.8,0.1,0.3,2.7,0.4,2.4,2.1,0.3,0.4,0.2,0.1,0.2,0.1,0,0.2,0.1,0.1,0,0,0,0,0,0,0,5.6,0.9,0.6,0.1,4.7,0.6,1.1,0.1
110010010011004,10.2,0.9,0.1,0,0,0,0.1,8.8,0.5,0.2,0.1,0.4,0.2,0.1,0.1,0.1,4.2,1.1,0.2,0.4,3.7,0.6,3.3,2.8,0.4,0.5,0.2,0.1,0.3,0.1,0,0.2,0.1,0.1,0,0,0.1,0.1,0,0.1,0.1,7.6,1.2,0.9,0.1,6.5,0.8,1.5,0.2
110010011002016,33.3,2.4,0.3,0.1,0.1,0,0.3,29,1.3,0.8,0.5,0.6,0.8,0.5,0.2,0.4,11.9,2.8,0.5,1.1,11.6,2.4,10.6,10.7,1.5,2.4,0.8,0.5,0.8,0.5,0.2,1,0.4,0.4,0.1,0.1,0.1,0.2,0.1,0.1,0.3,25.2,3.2,2.7,0.4,22.2,2.4,2.8,0.7
110010011002022,14.2,1,0.1,0.1,0,0,0.1,12.3,0.5,0.3,0.2,0.2,0.3,0.2,0.1,0.2,5.1,1.2,0.2,0.5,4.9,1,4.5,4.6,0.6,1,0.3,0.2,0.4,0.2,0.1,0.4,0.2,0.2,0,0,0.1,0.1,0,0,0.1,10.7,1.4,1.2,0.2,9.5,1,1.2,0.3
110010010012009,9.5,0.8,0.1,0,0,0,0.1,8.2,0.4,0.2,0.1,0.3,0.2,0.1,0.1,0.1,3.9,1,0.2,0.4,3.4,0.5,3.1,2.6,0.4,0.5,0.2,0.1,0.3,0.1,0,0.2,0.1,0.1,0,0,0.1,0.1,0,0.1,0.1,7.1,1.1,0.8,0.1,6,0.7,1.4,0.2
110010010013010,30.5,2.6,0.3,0.1,0.1,0,0.3,26.4,1.4,0.7,0.4,1.1,0.7,0.4,0.3,0.3,12.6,3.4,0.6,1.2,11,1.7,10,8.5,1.3,1.5,0.7,0.4,0.9,0.4,0.1,0.6,0.4,0.4,0.1,0.1,0.2,0.2,0.1,0.2,0.2,22.9,3.7,2.6,0.4,19.4,2.3,4.4,0.6
110010010016011,21.9,2,0.3,0,0.1,0,0.2,18.8,1.1,0.4,0.3,1.4,0.4,0.4,0.1,0.2,7.7,2.9,0.5,1,9.3,1.2,6.1,7.3,0.9,1.1,0.5,0.2,0.6,0.3,0,0.3,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,16.7,2.7,1.9,0.3,14,1.5,2.8,0.6
110010010014006,27.3,2.5,0.4,0,0.1,0,0.3,23.4,1.4,0.5,0.4,1.7,0.6,0.5,0.1,0.3,9.6,3.7,0.6,1.3,11.6,1.5,7.5,9.1,1.2,1.4,0.6,0.3,0.8,0.4,0,0.4,0.4,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.2,20.8,3.4,2.3,0.4,17.4,1.9,3.5,0.7
110010010014026,17.6,1.6,0.3,0,0.1,0,0.2,15.1,0.9,0.3,0.2,1.1,0.4,0.3,0.1,0.2,6.2,2.4,0.4,0.8,7.5,1,4.9,5.9,0.8,0.9,0.4,0.2,0.5,0.3,0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,13.4,2.2,1.5,0.3,11.3,1.2,2.3,0.5
110010009013021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010016004004,18.4,0.8,0,0.1,0,0,0.1,16.7,0.3,0.3,0.2,0.4,0.2,0.2,0.1,0.2,10,0.5,0.1,0.4,4.1,5,3.1,6,0.7,0.8,0.4,0.4,0.1,0.2,0.2,0.1,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0,0.2,15.2,0.8,1.4,0.2,14.3,1.6,0.8,0.2
110010016001003,58.4,2.4,0.1,0.3,0.1,0,0.3,53.1,1,0.9,0.7,1.4,0.5,0.8,0.4,0.6,31.8,1.6,0.5,1.2,13,15.8,9.7,18.9,2.3,2.5,1.1,1.1,0.4,0.6,0.5,0.4,0.8,0.3,0.9,0.4,0.2,0.2,0.2,0.1,0.6,48.3,2.6,4.3,0.6,45.2,5,2.6,0.7
110010016004034,36,1.5,0.1,0.2,0,0,0.2,32.7,0.6,0.6,0.5,0.9,0.3,0.5,0.3,0.4,19.6,1,0.3,0.8,8,9.8,6,11.6,1.4,1.5,0.7,0.7,0.2,0.4,0.3,0.2,0.5,0.2,0.5,0.3,0.2,0.2,0.1,0.1,0.4,29.8,1.6,2.6,0.4,27.9,3.1,1.6,0.4
110010016003003,40.8,1.7,0.1,0.2,0,0,0.2,37.1,0.7,0.6,0.5,1,0.4,0.5,0.3,0.4,22.3,1.1,0.3,0.9,9.1,11.1,6.8,13.2,1.6,1.7,0.8,0.8,0.3,0.4,0.4,0.3,0.6,0.2,0.6,0.3,0.2,0.2,0.1,0.1,0.4,33.8,1.8,3,0.5,31.6,3.5,1.8,0.5
110010016001006,18.4,0.8,0,0.1,0,0,0.1,16.7,0.3,0.3,0.2,0.4,0.2,0.2,0.1,0.2,10,0.5,0.1,0.4,4.1,5,3.1,6,0.7,0.8,0.4,0.4,0.1,0.2,0.2,0.1,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0,0.2,15.2,0.8,1.4,0.2,14.3,1.6,0.8,0.2
110010016003006,24,1,0.1,0.1,0,0,0.1,21.8,0.4,0.4,0.3,0.6,0.2,0.3,0.2,0.3,13.1,0.6,0.2,0.5,5.3,6.5,4,7.8,0.9,1,0.5,0.5,0.2,0.2,0.2,0.2,0.3,0.1,0.4,0.2,0.1,0.1,0.1,0.1,0.2,19.9,1.1,1.8,0.3,18.6,2.1,1.1,0.3
