GEOID,G18DELDNOR,G18DELRRIM,G18DELLMAJ,G18DELGSTR,G18DELICHE,G18DELOWRI,G18MAYDBOW,G18MAYLMOU,G18MAYGWIL,G18MAYICAN,G18MAYOWRI,G18ATGDRAC,G18ATGLHEN,G18ATGOWRI,G18CHADMEN,G18CHALBIS,G18CHAOWRI,G18COUDBON,G18COURCHI,G18COUGSCH,G18COUIREE,G18COUISIL,G18COUILEW,G18COUOWRI,G18HALDGAR,G18HALOWRI,G18USSDBRO,G18USSGORY,G18USSOWRI
110010014012013,46.8,4.1,1,2.8,1.9,0.6,44.2,2.2,4.8,2.5,1.8,50.8,4.3,0.4,49.8,4.5,1.1,31.7,4.6,7.2,12.3,30.7,1.9,0.7,45.4,1.8,39.8,9.8,1.3
110010014011012,17.1,1.5,0.4,1,0.7,0.2,16.2,0.8,1.8,0.9,0.6,18.6,1.6,0.1,18.3,1.6,0.4,11.6,1.7,2.6,4.5,11.3,0.7,0.3,16.6,0.7,14.6,3.6,0.5
110010014012020,25.5,2.2,0.5,1.5,1,0.3,24.1,1.2,2.6,1.4,1,27.7,2.3,0.2,27.1,2.4,0.6,17.3,2.5,3.9,6.7,16.7,1.1,0.4,24.7,1,21.7,5.4,0.7
110010014012018,11.6,1,0.2,0.7,0.5,0.1,11,0.5,1.2,0.6,0.4,12.6,1.1,0.1,12.3,1.1,0.3,7.8,1.1,1.8,3,7.6,0.5,0.2,11.2,0.4,9.8,2.4,0.3
110010015002003,25.9,2.5,0.7,1.4,1,0.7,25.3,1.1,2.9,1.3,0.9,28.8,2.3,0.2,27.9,2.7,0.6,16.9,3,3.2,6.2,20.1,0.9,0.5,25.1,1.1,22.6,5.1,0.9
110010014012017,23.2,2,0.5,1.4,0.9,0.3,21.9,1.1,2.4,1.2,0.9,25.2,2.1,0.2,24.7,2.2,0.5,15.7,2.3,3.6,6.1,15.2,1,0.4,22.5,0.9,19.7,4.9,0.6
110010014011004,14.7,1.4,0.4,0.8,0.6,0.4,14.4,0.6,1.6,0.8,0.5,16.4,1.3,0.1,15.9,1.5,0.4,9.6,1.7,1.8,3.5,11.4,0.5,0.3,14.3,0.6,12.8,2.9,0.5
110010015001010,23.8,2.3,0.6,1.3,0.9,0.6,23.3,1,2.7,1.2,0.8,26.5,2.2,0.2,25.7,2.5,0.6,15.6,2.8,2.9,5.7,18.5,0.8,0.5,23.1,1,20.8,4.7,0.8
110010015004012,47.2,4.6,1.3,2.6,1.8,1.2,46.2,2,5.2,2.5,1.6,52.5,4.3,0.4,50.9,4.9,1.2,30.9,5.5,5.8,11.3,36.6,1.7,0.9,45.8,2,41.2,9.3,1.6
110010015001014,27.9,2.7,0.7,1.6,1.1,0.7,27.3,1.2,3.1,1.5,1,31.1,2.5,0.2,30.1,2.9,0.7,18.3,3.2,3.4,6.7,21.6,1,0.5,27.1,1.2,24.4,5.5,1
110010013012002,13.4,1.1,0.4,0.8,0.4,0.2,12.3,0.7,1.6,0.7,0.5,14.5,1.2,0.1,13.9,1.4,0.4,8.9,1.3,1.9,3.2,9,0.5,0.2,13.1,0.6,11.7,2.5,0.4
110010013013006,1.6,0.1,0,0.1,0,0,1.4,0.1,0.2,0.1,0.1,1.7,0.1,0,1.6,0.2,0.1,1,0.2,0.2,0.4,1.1,0.1,0,1.5,0.1,1.4,0.3,0
110010013011016,21.3,1.7,0.6,1.3,0.6,0.3,19.5,1,2.5,1.2,0.7,23.1,1.9,0.2,22.1,2.3,0.7,14.1,2,3,5,14.3,0.8,0.2,20.8,1,18.6,4,0.6
110010013011015,7.5,0.6,0.2,0.4,0.2,0.1,6.9,0.4,0.9,0.4,0.3,8.1,0.7,0.1,7.8,0.8,0.2,4.9,0.7,1.1,1.8,5,0.3,0.1,7.3,0.4,6.5,1.4,0.2
110010013023002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010007012001,93.5,9.1,2.1,5,3.2,0.7,85.5,5.5,10.6,6.8,2.8,99.6,10.4,0.5,97.3,11.8,2.3,62.8,10.7,13.7,21.5,56.4,4.2,1.1,89.9,3.7,79.3,20.8,2
110010007014005,16.1,1.6,0.4,0.9,0.5,0.1,14.7,0.9,1.8,1.2,0.5,17.1,1.8,0.1,16.8,2,0.4,10.8,1.8,2.4,3.7,9.7,0.7,0.2,15.5,0.6,13.7,3.6,0.3
110010007014004,131.8,12.9,3,7.1,4.5,1,120.5,7.7,14.9,9.6,3.9,140.4,14.6,0.8,137.2,16.6,3.2,88.5,15,19.3,30.4,79.5,5.9,1.6,126.8,5.2,111.8,29.3,2.9
110010021011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010021012001,88.3,2.4,1.7,3.3,2,0.4,75.4,2.4,9.1,6.5,3.3,90,4.9,0.5,85.9,7.4,2.2,71.2,2.7,11,19.6,35,3.6,1.5,88.5,2.3,79.5,13.3,1.3
110010021014003,38.3,1,0.7,1.4,0.9,0.2,32.7,1,4,2.8,1.5,39.1,2.1,0.2,37.3,3.2,1,30.9,1.2,4.8,8.5,15.2,1.5,0.6,38.4,1,34.5,5.8,0.5
110010020023012,12.2,0.2,0.2,0.6,0.3,0.1,10.2,0.2,1.6,0.8,0.6,12.8,0.6,0,12.1,0.9,0.3,9.6,0.4,1.8,3.2,5.4,0.5,0.2,12.2,0.2,10.9,2,0.2
110010022013003,63.4,1.6,1.3,2.7,1.4,0.5,54.5,1.7,6.4,3.8,2.9,65.2,3.6,0.6,62,4.9,1.9,51.6,2.7,8.9,16.2,23.6,2.5,1,63.6,1.8,58.9,8.3,1.2
110010021013003,73.6,2,1.4,2.7,1.7,0.3,62.8,2,7.6,5.4,2.8,75,4.1,0.4,71.6,6.1,1.8,59.3,2.2,9.2,16.3,29.2,3,1.2,73.8,1.9,66.3,11.1,1
110010022013000,10.1,0.3,0.2,0.4,0.2,0,8.6,0.3,1,0.7,0.4,10.3,0.6,0.1,9.8,0.8,0.3,8.1,0.3,1.3,2.2,4,0.4,0.2,10.1,0.3,9.1,1.5,0.1
110010021025002,56.5,1.5,1.1,2.1,1.3,0.3,48.3,1.5,5.8,4.2,2.1,57.6,3.1,0.3,55,4.7,1.4,45.6,1.7,7,12.6,22.4,2.3,0.9,56.7,1.5,50.9,8.5,0.8
110010022023000,40.1,0.9,0.5,1.4,1.4,0.2,33.1,1.2,4.3,3.6,2,41.6,1.8,0.1,39.2,3.4,1,32.7,0.9,5.5,10.3,14.6,1.9,0.5,40.4,0.8,36.8,6.5,0.2
110010022012004,59.1,1.5,1.2,2.6,1.3,0.4,50.8,1.6,6,3.5,2.7,60.8,3.4,0.6,57.8,4.5,1.8,48,2.5,8.3,15.1,22,2.3,0.9,59.2,1.7,54.8,7.7,1.1
110010024002008,7.8,0.1,0.1,0.4,0.2,0.1,6.5,0.2,0.9,0.5,0.4,8.1,0.4,0,7.5,0.6,0.2,6.2,0.2,1.1,1.7,3.7,0.2,0.1,7.8,0.2,7,1.3,0.1
110010024002009,46.3,0.6,0.6,2.5,1.2,0.4,38.6,1.4,5.2,3,2.3,48.1,2.2,0.2,44.8,3.7,1.5,36.7,1.4,6.2,9.9,21.9,1.3,0.7,46.5,1,41.3,7.4,0.7
110010024002012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010002023011,12.9,1.8,0.4,0.6,0.4,0.2,12.8,0.9,1.1,0.9,0.4,13.8,1.8,0.2,13.9,1.8,0.3,9.3,2.2,1.8,2.4,6.4,0.4,0.1,13,0.7,11.6,2.6,0.5
110010001003006,31.3,4.7,1.4,1.5,1.1,0.4,31.6,2.3,3,2.2,0.9,33.4,4.9,0.3,33.6,4.8,0.6,22.5,5.5,4.4,6.6,17.3,1.4,0.5,30.6,1.6,27.4,6.3,1.3
110010001004047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
