GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREILAR,G20PREIPIE,G20PREOWRI,G20DELDNOR,G20DELLHYN,G20DELGSTR,G20DELSMUS,G20DELIFRA,G20DELIKRU,G20DELILOW,G20DELICHE,G20DELOWRI,G20COUDWHI,G20COURPIC,G20COULBIS,G20COUGWIL,G20COUIHEN,G20COUIORA,G20COUILAZ,G20COUIGOO,G20COUIBAT,G20COUIPAL,G20COUIGAR,G20COUILEW,G20COUIJAY,G20COUIBAR,G20COUIHOW,G20COUIMER,G20COUIHE2,G20COUIPAD,G20COUIGUR,G20COUISCR,G20COUISIL,G20COUICRI,G20COUIMUR,G20COUIROG,G20COUOWRI,G20USSDSTR,G20USSRWEI,G20USSGORY,G20USSOWRI,G20HALDOWO,G20HALGROB,G20HALISYE,G20HALOWRI
1100102-080,11,001,02-080,1301.19,89.74,3.99,20.94,2.99,3.99,19.94,1164.59,34.9,30.91,33.9,26.92,16.95,26.92,13.96,14.96,646.11,61.82,14.96,60.82,279.18,339.01,198.42,174.49,71.79,40.88,20.94,35.89,27.92,10.97,40.88,15.95,39.88,7.98,26.92,16.95,9.97,4.99,3.99,5.98,18.94,1005.06,102.7,147.57,14.96,986.11,142.58,82.76,34.9
1100102-081,11,001,02-081,3955,186,27,13,10,12,58,3480,122,63,96,94,81,74,32,39,1728,216,77,122,1225,803,811,568,278,141,67,103,220,73,82,59,85,37,32,41,29,18,32,33,27,3153,304,434,60,3051,332,295,79
1100102-082,11,001,02-082,2344,116,26,11,6,4,36,2046,105,44,49,55,39,38,24,33,1003,151,49,87,705,397,587,389,154,103,45,47,136,51,31,37,45,29,22,17,16,14,14,15,26,1873,189,257,34,1825,164,183,59
1100102-083,11,001,02-083,6442,393,60,25,13,3,91,5520,299,132,144,176,130,116,60,57,2864,481,164,229,1997,684,1651,1079,459,319,111,171,223,145,87,144,81,74,41,67,35,52,36,32,47,5221,614,633,77,5095,418,584,118
1100102-084,11,001,02-084,1939.69,173.46,24.5,6.18,1.05,3.08,27.99,1661.11,124.68,41.91,35.63,53.06,58.35,31.75,17.34,30.76,747.79,202.24,61.19,62.21,734.45,142.7,628.09,461.77,115,84.83,32.8,37.64,152.66,29.56,9.19,41.89,18.46,21.5,12.19,12.22,11.11,7.2,3.26,12.25,16.49,1457.68,267.33,199.83,33.8,1408.44,135.79,199.83,53.42
1100102-085,11,001,02-085,2583.31,250.54,36.5,12.82,3.95,5.92,72.01,2179.89,194.32,66.09,45.37,76.94,97.65,54.25,24.66,55.24,926.21,306.76,85.81,87.79,973.55,195.3,802.91,562.23,145,132.17,58.2,46.36,337.34,40.44,13.81,64.11,33.54,36.5,13.81,15.78,7.89,14.8,18.74,17.75,35.51,1931.32,385.67,277.17,58.2,1841.56,202.21,277.17,102.58
1100102-086,11,001,02-086,1976,109,15,4,0,1,38,1747,79,37,28,55,34,24,13,29,771,130,47,57,737,225,549,346,141,80,29,30,220,29,21,38,25,25,14,17,9,8,12,10,22,1543,170,188,38,1443,127,175,56
1100102-087,11,001,02-087,2227.81,166.26,28.01,10.06,6.01,3.01,38.06,1987.41,102.1,34.09,39.1,62.08,54.05,41.08,17.04,36.04,904.89,155.18,51.04,54.18,648.82,340.99,565.58,355.51,162.21,70.12,53.06,37.11,371.08,37.03,20.12,39.05,23.12,18.02,62.08,18.05,11.03,17.01,6.01,20.02,10.06,1755.94,244.3,235.43,26.04,1693.89,184.42,215.24,49.1
1100102-088,11,001,02-088,1962,154,15,8,6,2,50,1685,108,49,43,53,57,34,15,36,656,173,46,53,731,134,639,472,113,87,35,38,448,31,8,27,19,12,6,12,10,12,9,8,13,1463,250,196,34,1346,171,186,62
1100102-089,11,001,02-089,2548,306,30,10,4,5,63,2161,207,64,54,70,94,50,26,56,873,337,83,91,988,132,825,546,170,129,57,35,387,39,13,61,43,38,8,13,5,15,16,22,30,1866,447,242,62,1682,217,294,116
