GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIWES,G20PREIPIE,G20PREIBLA,G20PREIFUE,G20USSRRIS,G20USSDJOR,G20USSIFLE,G20USSCWRI
16031312710,16,031,312710,659.8,78.5,8.84,0.01,0.99,1.96,2.94,632.35,88.3,18.63,11.77
16031312711,16,031,312711,87.85,6.69,0.02,0.81,0.81,0,0,85.85,7.53,1,1.74
16031312712,16,031,312712,538.26,92.63,11.7,1.95,0.98,1.95,0,524.61,88.73,26.33,11.7
16031312713,16,031,312713,92.77,4.86,0.02,0,0,0,0.01,95.56,4.88,0.03,0.02
16031312714,16,031,312714,217.4,20.75,2.96,0.99,0.99,0,0,212.46,22.73,3.95,2.96
16031312715,16,031,312715,285.76,9.9,0,2.96,0.99,0.99,0,269.94,11.88,8.89,7.93
16031312716,16,031,312716,262.02,42,4,1,0,0,0,249.02,41,8,8
16031312717,16,031,312717,359.24,34.35,1.01,3.97,0,0.99,0,349.05,38.31,9.08,3.03
16031312718,16,031,312718,59.2,8.75,0.06,0.05,0.01,0.02,0.04,54.08,8.89,2.13,1.09
16031312719,16,031,312719,276,38,2,3,2,1,1,268,35,10,8
16031312720,16,031,312720,572.92,80.54,8.32,2.09,1.06,2.07,1.03,542.9,80.91,24.62,18.37
16031312721,16,031,312721,593.75,82.27,4.96,1.98,0.99,0.99,3.96,566.99,93.18,14.87,11.89
16031312722,16,031,312722,36.79,2.2,2,0.04,0.01,0.01,0,36.59,3.22,1.11,0.14
16031312723,16,031,312723,485.65,75.24,9.77,3.91,1.95,1.95,0,453.4,86.97,18.57,10.75
16031312724,16,031,312724,214,8,4,0,0,0,0,199,12,9,3
16031312725,16,031,312725,73.01,37.54,1.38,0.46,0.69,1.15,1.15,69.33,37.54,4.15,2.53
16033333501,16,033,333501,103.06,11.98,2.09,0.06,0.01,0.01,0,97.01,12.03,5.18,1.05
16033333502,16,033,333502,64.6,16.15,1.9,0.95,0,0,0,62.7,17.1,3.8,0.95
16033333503,16,033,333503,95.99,13,0,0,1,0,0,93.99,13,3,1
16035357001,16,035,357001,411.03,116.55,12.95,1.96,2.94,0,0,408,116.43,15.39,1.1
16035357002,16,035,357002,402,78,2,0,3,0,0,396,86,6,4
16035357003,16,035,357003,401.97,88.45,9.05,0.04,0.06,0,0,394,87.57,12.61,0.9
16035357004,16,035,357004,311,90,7,2,7,1,0,311,89,9,2
16035357005,16,035,357005,371,143,7,0,0,0,0,361,129,11,4
16035357006,16,035,357006,99.47,12.73,0.07,0,0.33,0.41,0,88.93,17.04,7.18,0.55
16035357007,16,035,357007,47.11,22.22,0,0,2.67,2.67,0,46.22,28.44,0,1.78
16035357008,16,035,357008,164.68,21.06,0.03,0.01,0,0.04,3.03,164.7,16.88,0.18,3.01
16035357009,16,035,357009,485,64,3,2,0,1,0,458,70,15,3
16035357010,16,035,357010,28.7,3.61,0.03,0.02,0,0.02,0,27.6,3.71,0.03,1.08
16035357011,16,035,357011,189.68,70.65,0,2.9,0,0,0,178.06,69.68,8.71,0
16035357012,16,035,357012,300.63,46.93,3.77,1.48,0,0.98,0,292.75,50.86,3.94,7.06
16035357013,16,035,357013,126.68,79.98,1.97,0.99,0,2.96,1.97,128.64,66.17,13.82,1
