state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_isa,uss_16_dem_bar,uss_20_rep_per,uss_20_dem_oss,gov_18_rep_kem,gov_18_dem_abr,atg_18_rep_car,atg_18_dem_bai,sos_18_rep_raf,sos_18_dem_bar,sos_r18_rep_raf,sos_r18_dem_bar,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
13,067,OK01,3660,2370,870,155,8,191,0,5,61,2959,2032,609,120,7,154,0,4,33,1063.9,1355.7,1095.6,1832.3,1251.7,1133.6,1164.7,1717.8,932.4,1411.4,1002,1357.4,929.7,1338.7,340.7,546.3,1244.2,1369,1774.6,1158.1,954.3,1129.6,1336.9,972.8
13,067,OR01,1906,1480,282,42,6,59,1,5,31,1367,1097,183,32,3,36,1,2,13,762,389,766.9,567,805.9,314.2,769,538.1,706,438,718.1,431.09999999999997,692,427,336.09999999999997,171.1,351.6,432,552.5,783.9,705.4,768.1,409.5,694.5
13,067,OR02,3648,1008,1647,797,9,97,0,21,69,2579,852,1131,476,6,75,0,10,29,407.9,1094.1000000000001,468.4,1332,473.5,951.8,454.59999999999997,1301.2,364,1126.9,380.9,1104.1000000000001,356.6,1092.6,162.2,382.8,1022.9,1107.9,1316.6,440.7,367.1,461.4,1047.8,383.4
13,067,OR03,4744,1692,1983,914,9,69,2,7,68,4000,1559,1701,630,9,57,2,5,37,349.2,695.4,379,957.4,373.6,615.6,366.8,924.2,277.8,781.4,289.6,760.8,272.8,754.7,108.39999999999999,212.9,655.6,765.3,940.6,361.40000000000003,279.8,372.6,712.7,302.2
13,067,OR04,4176,1025,2050,906,4,59,0,18,114,2981,895,1432,541,4,39,0,12,58,559.7,1370.1,690.5,1793.7,620.3,1213.4,689,1734.3,528.4,1473.4,550.7,1435,514,1422.6,252.9,549.4,1291.5,1443.7,1764,590,530.8,689.7,1374,550.7
13,067,OR05,4362,2530,1468,209,4,98,0,9,44,3091,1911,956,126,3,74,0,4,17,1133.1,1281.2,1217,1835.2,1259.7,1101.3,1233,1769.9,1021.8,1411.2,1044.8,1375.9,1000.9,1369.1,469,533.3,1191.3,1385.3,1802.6000000000001,1196.1,1022.4,1225.1,1334.6,1047.2
13,067,OR06,3872,1409,1673,572,5,119,4,16,74,2864,1192,1178,347,4,98,3,5,37,453,1214.7,520.5,1479.7,525.3,1057,504.7,1445,403.7,1251.2,422.9,1225.9,396.3,1213.2,180,425.2,1135.9,1230,1462.4,489.1,407.7,512.5,1163.7,425.7
13,067,PE01,5482,1305,2982,1030,12,40,1,19,93,3915,1133,2078,604,10,30,1,13,46,367.2,1678.5,460.8,1958.1,426.6,1509.5,428.7,1921,314.4,1691.9,325,1654.1,310,1638.5,139.5,569.1,1594.1,1661.3,1939.3,397.1,315.8,444.6,1577.7,346.7
13,067,PE02,4749,1454,1835,1322,8,47,1,16,66,3407,1244,1306,776,6,34,1,9,31,432.4,1173,482.2,1551,456.1,1047.2,465.7,1515.1,366.6,1250.9,369.2,1229.5,355.4,1214.9,155.6,403,1110.6,1232.1,1532.8,444.4,363.9,473.7,1173.1,385.09999999999997
13,067,PF01,2774,1809,415,356,5,87,2,48,52,2175,1534,256,230,5,79,2,32,37,599.7,525.1,658.4,702,661.3,424,669,671.1,538.7,542,545.8,536.3,524.3,516.7,243.7,208,473.8,531.9,686.3,630.6,536,664,515.8,554.9
13,067,PM01,3504,2878,289,159,5,130,0,10,33,2365,1970,185,96,3,85,0,8,18,1608.1000000000001,685.0999999999999,1779.1000000000001,1041.1,1749,510.90000000000003,1826.8,974.1,1522.1,731,1562,685.0999999999999,1497.1,697.9,659,265,597.6999999999999,704.8000000000001,1007.5,1678.4,1527.2,1803,698.7,1525.7
13,067,PM02,3655,2862,469,165,3,93,0,8,55,2646,2137,308,103,3,66,0,1,28,1600.1,504.59999999999997,1723.8999999999999,848,1739.2,359.4,1800.5,740.8,1557.1,586.7,1586.2,563.7,1538,561.2,789.2,234.1,431.8,570.7,794.5,1669.8,1560.6,1762.2,549.9,1541.3
13,067,PO01,4059,3425,170,208,8,139,4,8,97,3057,2637,124,131,4,105,4,1,51,1630.5,850.2,1679.9,1288.7,1808.4,655.9,1748,1179.3,1487,915.3,1508.9,897,1462.3,889,748.5,400.1,753.3,900.4,1233.9,1719.6,1486.2,1713.7,884.7,1509
13,067,PP01,2230,1785,130,108,5,146,0,11,45,1689,1386,90,73,4,109,0,5,22,788.7,500.7,827.9,724.9,879.4,385.4,864.8,675.4,705.3,525.2,737,503,709.1,498.7,339.3,231,443.2,508.8,699.9,834.1,717.3,846.3,505.3,731.4
13,067,PR01,3463,2458,511,262,6,148,2,9,67,2673,1979,367,165,6,119,2,5,30,996.9,626.8000000000001,1057.5,928.9,1071.1,529.6,1053.5,897.6,870.2,685.2,885.4,674.1,856.9,662.2,383.8,270.9,578.1,674,913.3,1034,870.8,1055.5,659.6,896.8
13,067,PS1A,5853,2725,2487,401,5,81,2,24,128,4148,2132,1659,228,3,66,2,11,47,1079.1,1991.4,1163.3,3068.5,1160.1,1771.5,1166.8,2958.2,950.4,2285.9,968.2,2257.6,936.6,2216.7,401.3,808.7,1881.9,2253.6,3013.2,1119.7,951.8,1164.9,2169.8,978
13,067,PS2A,3957,929,2339,549,5,34,0,12,89,2781,820,1560,329,4,29,0,2,37,346.09999999999997,1214.5,386.40000000000003,1506.6,403,1083.5,378.8,1457,287.9,1255.3,302.1,1225.3,273.8,1222.8,114.3,413.8,1148.6,1234.5,1481.7,374.5,287.9,382.5,1172.6,311.3
13,067,PS3A,4130,1650,2024,317,4,30,0,13,92,3036,1428,1323,191,3,25,0,6,60,538,1331.5,626.6,1781.9,567.4,1194.2,604,1751.9,488.5,1416.1,490.8,1406,473.9,1387,233.4,478.9,1263.1,1402.9,1767.7,552.3,485,615.5,1343.8,502.3
13,067,PT01,2559,1922,308,195,0,82,0,2,50,1866,1454,210,123,0,60,0,1,18,770.5,458.6,786.1,683.8,796.1,381.9,791.9,657.5,645.4,507.3,655.4,496,629.3000000000001,484.6,254.8,197.2,420.2,496,670.7,783.5,643.5,788.9,483.4,666.1
13,067,RM01,1848,1501,91,96,2,115,0,11,32,1252,1038,67,60,2,75,0,5,5,683.1999999999999,358.4,684.9,558.7,743.8000000000001,275.3,719.1999999999999,517.4,605,397,628.6,378.7,599,380,290,160.79999999999998,316.9,385.2,538.1,713.6,610.9,702.3,378.2,619.3
13,067,RM02,2736,2158,185,151,2,177,1,12,50,1952,1568,128,105,1,124,1,9,16,920.4,568.2,958.8,821.1,1007.5,440,1000.0999999999999,755.3,813.9,609.4,839.3,582.6,805.5,592.3,399.5,265.4,504.1,594.7,788.1,964,819.4,979.4,579.3,843.3000000000001
13,067,RR01,2927,2584,190,85,2,33,0,6,27,2097,1877,125,50,2,25,0,2,16,1317.9,459.1,1425.7,731.3,1349.3,380.5,1453.7,687.4,1241,505,1241.8,505.1,1224.8,490.2,546.8000000000001,211.4,420.1,500.1,709.1,1333.5,1236.1,1439.8,496.3,1225
