state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_kai,uss_18_rep_ste,uss_20_dem_war,uss_20_rep_gad,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
51,007,101,2601,1845,633,73,12,5,0,0,33,1995,1416,500,48,12,3,0,0,16,398.2,864,422.2,1134.9,333.2,683.5,483.2,1098.9,398.2,333.2,450.9,864,683.5,1116.5
51,007,201,2666,2040,521,56,6,6,0,0,37,2023,1551,403,43,5,4,0,0,17,475.4,969.9,493.9,1108.3,466.3,797.3,531.4,1088.6,475.4,466.3,512.5,969.9,797.3,1098.3
51,007,301,2338,1752,474,69,3,3,0,5,32,1835,1403,370,42,3,2,0,3,12,327.2,930.6,409.1,1014.6,294.5,761.4,429.59999999999997,987.9,327.2,294.5,418,930.6,761.4,1000.4
51,007,401,2743,2052,575,62,9,7,0,5,33,2142,1626,448,40,6,4,0,3,15,396.1,1026.3,386.59999999999997,990.9,361.8,840,423.1,968.4,396.1,361.8,404.40000000000003,1026.3,840,980.4
51,007,501,2342,1544,722,30,9,6,0,0,31,1873,1234,588,20,9,4,0,0,18,533,919.7,695.7,1143.5,481.90000000000003,741.5,691.2,1123.8,533,481.90000000000003,694,919.7,741.5,1132.6
51,009,101,2273,1183,939,40,29,16,0,5,61,1754,932,737,23,21,9,0,2,30,611.8,465.9,808.7,609.8,509.3,342.5,793,580,611.8,509.3,800.9,465.9,342.5,595
51,009,102,2938,2261,534,63,25,6,1,1,47,2230,1724,422,34,19,5,0,1,25,474.3,857,400.4,977.4,402.2,710.8,479.9,919.8,474.3,402.2,441.2,857,710.8,949.7
51,009,103,1192,991,136,18,5,5,0,3,34,920,780,102,11,5,4,0,3,15,134.5,528,237.2,637.1,140.2,415.7,295.1,620,134.5,140.2,266.2,528,415.7,628.5
51,009,201,4730,3584,909,99,26,31,0,8,73,3913,3014,726,84,19,30,0,4,36,802.2,1191.8,693.2,1088.8,751.1,1007.4,742.3,1043.2,802.2,751.1,718.2,1191.8,1007.4,1066.9
51,009,202,1735,1419,202,66,10,4,0,0,34,1368,1127,173,42,5,3,0,0,18,223,609.8000000000001,279.3,868.9,196.7,484.2,336.8,821.7,223,196.7,306.7,609.8000000000001,484.2,844.7
51,009,301,1973,1367,461,51,42,4,0,1,47,1604,1078,412,44,35,4,0,1,30,242.9,637.6,289.5,717.4,223.4,514.5,320.3,700.8,242.9,223.4,305.3,637.6,514.5,709.3
51,009,302,3598,3138,295,60,41,11,0,5,48,2830,2489,247,31,32,7,0,1,23,528.3,1553.7,678.6,1809.8,497,1309.7,766.7,1755.8,528.3,497,721.9,1553.7,1309.7,1782.6
51,009,303,1020,840,158,14,0,0,0,0,8,796,650,131,8,0,0,0,0,7,123.1,344.8,221,513.3,127,290.7,276.6,476.3,123.1,127,247.5,344.8,290.7,494.3
51,009,401,4795,3689,889,63,38,29,1,10,76,3712,2929,653,38,31,23,1,4,33,791.6999999999999,1594.3,818.9,1674.8999999999999,675.3000000000001,1237.2,932.5,1606.6,791.6999999999999,675.3000000000001,875.1,1594.3,1237.2,1640.8
51,009,402,1865,1359,362,51,21,10,0,5,57,1377,1009,289,36,16,7,0,1,19,216,413.7,221,495.2,156,314.2,231.9,487.5,216,156,226.5,413.7,314.2,491.5
51,009,501,6234,4660,1219,100,59,37,5,6,148,4909,3783,905,72,52,28,4,3,62,908.5,1520.7,1025.4,1650.9,866.1999999999999,1153.6,1097.6,1613,908.5,866.1999999999999,1061.9,1520.7,1153.6,1632.5
51,011,101,925,808,83,10,5,2,0,0,17,755,671,60,8,5,2,0,0,9,103.60000000000001,443.6,126,563.4,98.1,349.8,140.1,540.6,103.60000000000001,98.1,132.4,443.6,349.8,551.8
