state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_lee,uss_16_dem_sno,uss_18_rep_rom,uss_18_dem_wil,gov_16_rep_her,gov_16_dem_wei,gov_20_rep_cox,gov_20_dem_pet,atg_16_rep_rey,atg_16_dem_har,atg_20_rep_rey,atg_20_dem_sko,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
49,003,PRO01,64,46,0,13,0,0,0,5,0,53,42,0,9,0,0,0,2,0,10.200000000000001,0.8,20.200000000000003,0,15.899999999999999,3.1,11,0.8,12.9,0.8,12.1,0.8,16.8,0.8,16.8,0.8,1.2,0.8,0.6,13.6,11,16.2
49,003,PVA01,202,193,0,9,0,0,0,0,0,121,117,0,4,0,0,0,0,0,68,1.8,98.9,0.7000000000000001,79.2,0.7000000000000001,70.1,0.7000000000000001,76,0.7000000000000001,83,8.1,73.9,1.8,92,4,1,0.7000000000000001,4.2,74.1,70.1,91.4
49,003,RIV01,552,513,0,21,0,7,7,0,4,374,352,0,13,0,6,1,0,2,173.1,15.9,321,31,224.3,16.9,197.1,22.8,222.3,25,267.8,27.7,203.9,22,307.1,27.1,19.9,22.8,28.6,206,197.1,299
49,003,SNO01M,167,123,1,41,0,0,0,0,2,106,82,1,23,0,0,0,0,0,38,1.7,56,2.3,44.9,2.3,35.8,3,46.1,1.7,47.3,0.6000000000000001,40.8,4.2,53,3.4000000000000004,2.4,3,2.2,42.4,35.8,52
49,003,SNO01U,114,102,0,11,0,1,0,0,0,78,71,0,6,0,1,0,0,0,28,1.2000000000000002,41.2,1.6,32.800000000000004,1.6,26.2,2.2,33.8,1.2000000000000002,34.7,0.30000000000000004,30.2,3,39,2.4,1.6,2.2,1.4000000000000001,31.200000000000003,26.2,38.4
49,003,SWL01,1597,1423,5,117,12,13,2,2,23,1001,908,0,63,8,10,0,2,10,403.9,68,715,155.2,529.8,61,463.3,81,498.2,81.9,695.1,113.8,480.9,72,700.8,137,70.7,81,135.4,478.4,463.3,703.4
49,003,TRE01M,1327,1248,3,50,1,4,4,0,17,903,855,0,30,1,4,4,0,9,428.09999999999997,47.6,725.1,109.60000000000001,558.3,39.4,510.1,46.7,568.5,40.4,718.3,60,530.5,41.4,701.2,104.3,42.2,46.7,91.5,521.2,510.1,714.8
49,003,TRE02M,1629,1324,6,234,7,18,8,1,31,1044,867,3,142,5,11,3,1,12,416,89.1,829.5,152.9,498.8,98.1,460.7,83.5,501.5,90.7,777.9,112.2,463.1,94,812.9,130.6,92.7,83.5,131.8,469.5,460.7,807
49,003,TRE02U,452,408,2,34,0,3,0,0,5,303,281,0,15,0,3,0,0,4,74.8,12,148.2,18.4,93.1,14.200000000000001,98.8,11.6,95.4,13.2,131.4,15.6,85.5,12,142.8,20.1,12.8,11.6,18.2,87.1,98.8,140.70000000000002
49,003,TRE03F,148,138,0,2,0,7,0,0,1,108,103,0,2,0,3,0,0,0,27.1,4.3,53.300000000000004,6.6,33.6,5.1,35.4,4.2,34.7,4.8,47.4,5.8,30.8,4.3,51.5,7.2,4.5,4.2,6.5,31.3,35.4,50.8
