state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_ros,uss_18_dem_tes,uss_20_rep_dai,uss_20_dem_bul,gov_16_rep_gia,gov_16_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_16_rep_fox,atg_16_dem_jen,atg_20_rep_knu,atg_20_dem_gra,sos_16_rep_sta,sos_16_dem_lin,sos_20_rep_jac,sos_20_dem_ben,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
30,029,11,2077,1991,6,16,17,12,1,0,34,1578,1519,5,11,12,8,1,0,22,899.6999999999999,232.1,1162,366.2,859.9,370.8,1164.3,402,807.1,383.4,1159.1,364.9,1000.2,207.3,1191.7,345.3,922.8,264.4,1187.2,349,271.6,370.8,365.4,907.8,859.9,1172.9
30,029,13,2470,2357,9,44,7,16,0,0,37,1956,1877,6,23,7,14,0,0,29,867.1,315.1,1082.7,526.2,761.8,456.1,1100.4,546.6,818.9,428.6,1079.5,511.8,980.3000000000001,271.7,1121.4,495.9,916.5,323.9,1132.7,487.6,334.3,456.1,512.9,895.8,761.8,1103.5
30,029,14,2124,1990,0,22,53,9,1,3,46,1698,1601,0,15,41,9,1,3,28,583.6,250.8,729.3,374.3,480.6,400.8,714.9,415,460.4,415.2,677.9,393.8,635,267.4,743.3,359,571.7,292.7,750.6,355.4,305.5,400.8,379.6,563.1,480.6,722.6
30,029,16,1847,1688,1,43,43,9,0,1,62,1404,1295,1,23,32,9,0,1,43,476.3,288.1,619.4,488.7,370.2,450.5,593.8,552.3,374,446.6,579.8,502.5,544.6,271.2,623.6,506.5,467.1,342.8,634.5,495.3,336.3,450.5,508.1,465.4,370.2,611.1
30,029,17,267,263,0,0,3,0,0,0,1,231,227,0,0,3,0,0,0,1,95.4,83.2,98.8,127.8,83.2,115.6,101.7,130.8,81.6,105.9,96.9,126.10000000000001,104.89999999999999,83.2,102.2,129.3,96.5,90.2,100.4,129.3,90.7,115.6,129,94,83.2,100.2
30,029,170,130,129,0,0,0,0,0,0,1,113,112,0,0,0,0,0,0,1,46.7,40.8,48.5,62.7,40.8,56.5,49.7,64,40.1,51.7,47.2,61.6,51.4,40.8,50.2,63.3,47,44.1,49,63.3,44.5,56.5,63.2,46.1,40.8,49
30,029,19,2278,2146,1,42,26,9,3,0,51,1664,1583,1,24,20,6,3,0,27,876.6,207.3,1213.3,335.5,854.8000000000001,353.5,1188.4,394.4,738.8,374.6,1173.8,342.09999999999997,921.5,213,1237.5,322.1,843.4,265.3,1225.1000000000001,325.09999999999997,265.7,353.5,343.5,845.5,854.8000000000001,1207.6
30,029,2,2220,1990,3,77,54,28,0,0,68,1787,1629,3,50,41,23,0,0,41,451.7,317.9,575,410.4,386.5,406.8,563.9,454.9,366.6,432.1,530.6,423.3,511.7,305.4,582,420.5,444,343.6,583.5,415.1,350.2,406.8,423.8,444.5,386.5,567.5
30,029,20,1465,1374,3,36,6,21,1,0,24,1241,1176,3,27,6,18,0,0,11,336.1,466.1,361.6,739.4,267,684.9,364,773,292.5,576,342,743,441.2,414.7,386.5,718.1,366.1,470.8,398.3,695,481.5,684.9,733.8,358.7,267,371
30,029,21,1033,987,1,12,10,1,0,0,22,794,761,0,9,7,1,0,0,16,332.7,142.7,435.3,232.2,288.6,222,425.7,260.7,265.4,231.8,418,236.9,364.5,139.4,444.7,228,328.3,163.9,443.4,228.7,169.3,222,237.1,322.8,288.6,433.2
30,029,210,2230,2107,0,41,24,11,4,1,42,1779,1698,0,24,20,10,1,0,26,739.7,332.5,971,534.8,648.9,505.5,948.8,600.8,585.9,530.7,931.7,547,813.3,320.40000000000003,993.5,524.3,726.9,373.5,987.4,528.2,388.59999999999997,505.5,546.6,715.7,648.9,966
30,029,24,2767,2614,5,64,27,10,3,1,43,2057,1965,4,35,16,7,2,1,27,1098.2,227.4,1409.5,350.4,1025.1,363.5,1398.3,418,953,386.2,1384.4,364.7,1148.1,223.9,1432.2,354.2,1084.6,256,1434.5,351.6,272.5,363.5,367.2,1071.2,1025.1,1411.1
30,029,25,3812,3527,8,115,42,22,1,1,96,2793,2623,4,58,32,21,1,1,53,980.7,258.1,1271.8,400.3,770.2,464.3,1212.6,490.5,792.1,475,1188.9,406.6,1049.8,278.7,1268.4,412.3,940.8000000000001,325.4,1275.4,397.9,333.9,464.3,421.5,941.1,770.2,1243.3
30,029,26,1283,1229,0,10,9,1,1,0,33,978,947,0,3,9,0,1,0,18,471.8,124.6,654,152.5,436.4,165,650.4,176.4,424.1,187.3,621,151.9,492.8,114.2,665.4,151.1,470.5,132,662.6,158.2,139.2,165,158,465.8,436.4,650.3
30,029,29,2480,2335,5,85,12,11,2,1,29,1860,1762,1,55,11,11,2,0,18,996.7,283.8,1313.8,440,936.1,450.1,1310.6,473.7,885.9,453,1283.6,439.1,1094.8,251,1345.2,411.2,1018.9,305.9,1350.4,403,323.7,450.1,433.1,999,936.1,1320.4
30,029,3,1773,1656,4,34,17,15,0,0,47,1401,1314,1,27,16,13,0,0,30,472.90000000000003,303,544,427.1,389,420.5,526.8,469.1,412.3,396.6,526.3,414.3,544.7,273.4,554.4,420.1,479.9,328.2,557.3,417.2,325.5,420.5,429.2,477.6,389,542
30,029,30,4153,3887,7,95,32,43,3,6,80,2994,2846,5,47,23,32,3,2,36,1571.4,645.8,1979.1,1053.3,1398.2,1022.9,1947.4,1171.9,1429.3,906.3,1913.2,1062.6,1798,549.6,2063.7,1013,1645.1,669.4,2079.2,987.1,693.1,1022.9,1057.4,1611.3,1398.2,1996.7
30,029,32,2254,2058,6,82,22,16,2,0,68,1685,1562,6,43,16,13,2,0,43,471.8,258.3,593.5,378.1,368.7,365,573.6,436.6,371.6,375.4,544.4,388.6,530.7,256,598,399.7,448.5,297.4,607.8,389.4,296.3,365,398.9,456,368.7,583.4
30,029,33,2105,1962,4,62,18,13,1,0,45,1527,1442,3,38,12,9,1,0,22,722.1,216,930.5,346.7,620,348.8,916.6,393.7,608.9,366.2,896,355.2,785.9,201,957.1,333.9,726.1,242.2,956,331.6,256,348.8,352.1,711,620,931.2
30,029,34,4505,4222,13,118,53,24,0,4,71,3260,3079,9,69,41,20,0,3,39,1578.5,516.5,1936.3,799.3,1320.4,814.5,1897.3,917,1356.8,832,1868.4,823.6,1727.9,477.1,1986.2,778.3,1593.8,575.2,1997.4,773.3,599.5,814.5,818.1,1563.6,1320.4,1936.3
30,029,340,2214,2054,4,58,23,10,0,5,60,1629,1524,1,43,21,8,0,4,28,665,228.9,821.6,349.4,574.6,351,802.5,393.1,574.7,355.3,799.1,355.2,745.2,203.5,844.1,334.8,658.1,250.5,849.6,330,259.8,351,352.6,660.4,574.6,823.6999999999999
30,029,35,2812,2613,5,86,36,9,0,0,63,2048,1931,4,42,30,7,0,0,34,789.3,366.9,963,561.5,612.1,557.5,923.6,644.4,646.7,577.5,912.2,576,885.8,349.4,991.1,545.7,772.5,442.59999999999997,982.6,561.2,434.2,557.5,576.8,773.5,612.1,954.2
30,029,36,3224,3134,1,39,18,5,2,2,23,2430,2365,1,28,13,4,2,0,17,1281.6,412.2,1584,577.1,1159.2,594.3,1583.5,637.3,1119.9,633.8,1546.3,586.3,1385,369.9,1618.1,551.9,1273.4,447.90000000000003,1619.8,542.5,465.9,594.3,578.9,1264.6,1159.2,1590.3
30,029,38,3512,3317,11,86,18,11,4,2,63,2901,2766,7,54,17,6,3,2,46,1529.6,573.8,1986.4,867.4,1479.2,830.2,1953,933.7,1374.9,821.7,1928.5,877.4,1663.8,513.3,2003.6,858.2,1539.9,617.2,2007.8,835.7,631.1,830.2,874.2,1526.6,1479.2,1976.7
30,029,39,817,741,1,35,15,8,0,2,15,666,618,1,21,9,5,0,2,10,245.1,181.70000000000002,303.2,255.8,202.8,242.1,296.7,271.2,211.4,237.4,283.8,257.9,280.5,168.2,305.9,252.2,256.7,180.3,313.3,241.7,193.2,242.1,255.5,248.6,202.8,301.1
30,029,4,2368,2204,6,47,30,31,5,2,43,1804,1696,6,31,22,22,2,2,23,544.7,358.2,660.6,490.8,461.5,476.8,659.9,533.6,465.4,503.9,632.2,496.1,648.4,344.1,683,484.6,535,406.3,680.5,485.3,403,476.8,497.6,549.1,461.5,662.6
30,029,41,3857,3623,8,79,35,38,3,1,70,2973,2826,3,48,23,28,3,1,41,1285.4,632.2,1535.4,929.4,1115.5,896.7,1534.9,987.3,1193.3,853.5,1553.3,895.3,1525.7,512.7,1620.5,865.1,1356,667.5,1633.9,847.6,667.2,896.7,905.1999999999999,1340.3,1115.5,1575.2
30,029,42,1536,1463,8,35,13,7,0,0,10,1244,1197,1,25,11,3,0,0,7,654.1,199,813.6,291.9,602.2,291.9,804.8,319.3,593.8,296.2,794.1,293.7,690.6,181.6,821.3,290,658.5,214.9,821.3,281.1,222.4,291.9,295.1,648.7,602.2,811.5
