state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_dem_bid,pre_20_rep_tru,uss_18_rep_new,uss_18_dem_klo,uss_20_dem_smi,uss_20_rep_lew,gov_18_rep_joh,gov_18_dem_wal,atg_18_rep_war,atg_18_dem_ell,sos_18_rep_how,sos_18_dem_sim,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
27,003,1070,4867,4479,94,84,21,118,1,1,69,3177,2966,54,41,13,74,1,0,28,1636.3,954.9,1331.3,1874.3,1173.2,1188.1,1209.8,1771.1,1387.3,955.5,1452.7,825.9,1392.2,898.5,954.9,967.2,1270.7,1636.3,1351.4,1822.7
27,003,1080,3950,3721,59,76,10,41,0,0,43,2513,2383,37,46,6,27,0,0,14,1379.1,843.9,1153.9,1528.1,1016.5,1063.7,1027.8,1494.2,1175.4,889.8,1240.3,765.2,1186.7,829.2,843.9,887,1090.5,1379.1,1154.6,1511.2
27,003,1090,2706,2510,32,45,9,77,0,2,31,1999,1889,14,25,8,42,0,1,20,1185.9,546.1,809,1396.8,912.6,754.6,719.1,1357.7,1038.5,605.3,1107.9,500.9,1041.4,579.1,546.1,609.7,763.5,1185.9,1025.1,1377.3
27,003,1100,3315,2945,99,94,2,106,0,2,67,2314,2092,62,56,2,72,0,0,30,1023.4,665.8,934.3,1107.7,713.6,840.5,834.8,1039.2,818.7,728.7,847.9,645,820.7,678.8000000000001,665.8,723.4,884.7,1023.4,800.1,1073.9
27,003,1210,1841,1583,106,64,21,18,2,0,47,1449,1281,68,43,16,18,2,0,21,347.8,402,505,411.2,238,402.9,412.1,380,290.6,339.7,292.9,312.7,285.9,339.7,402,348.6,458.1,347.8,277.1,395.5
27,003,1220,2408,2009,131,125,11,37,0,0,95,1893,1666,83,69,7,30,0,0,38,505.7,516.1999999999999,642.1,547,359.9,539.2,561.1,500.2,418.9,466.9,446,417.2,430.8,456.2,516.1999999999999,469.6,601.4,505.7,414.2,523.5
27,003,1230,2465,2114,135,67,10,80,0,1,58,1753,1559,75,38,10,46,0,0,25,665.9,469.8,627.1,642,400.2,537.2,540.1,582.1,457.9,463.2,480.1,400.2,462,449.8,469.8,462.5,583.1,665.9,450.3,612
27,003,1240,1949,1756,45,89,16,6,0,0,37,1596,1471,28,57,15,5,0,0,20,491.2,481.7,635.5,529.1,324.7,578.9,552.2,493.7,400.5,499,415.1,443.2,397.5,488.1,481.7,502,594.1,491.2,384.5,511.3
27,003,1250,1965,1751,40,83,36,16,0,1,38,1563,1426,25,52,24,11,0,1,24,482.3,416.6,511.3,518.9,344.8,468.59999999999997,442.2,477.5,387.8,425.7,409.4,377.8,391.5,408.3,416.6,420.3,477,482.3,383,498.3
27,003,1260,2275,1903,129,114,43,35,0,0,51,1916,1636,112,88,32,27,0,0,21,474.7,534.9,709.2,693.8,389.9,586.2,629,624.2,436.2,525.7,451.5,481.9,446.8,511.2,534.9,526.1,668.9,474.7,430.7,658.7
