state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_hei,uss_18_rep_ric,uss_20_dem_luj,uss_20_rep_ron,gov_18_dem_luj,gov_18_rep_pea,atg_18_dem_bal,atg_18_rep_hen,sos_16_dem_oli,sos_16_rep_esp,sos_18_dem_tou,sos_18_rep_cla,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
35,001,81,2109,955,47,994,45,27,2,4,35,1551,767,27,682,33,23,1,1,17,872.6,752.1,1537.6,1294.7,992.3,531.3,1369.4,1461.1,1045.9,822.6,1169.3,615.6,1029.3,791.1,1081.7,686.9,951.2,1072.1,1453.4,771.8,664.1,1378
35,001,82,1722,971,26,608,26,38,7,1,45,1284,754,24,432,16,28,4,1,25,406,394.90000000000003,553.1,490.2,416,281.9,496.2,550.9,450.1,406.7,498.1,310.9,492.09999999999997,428,445.9,365,449.1,452.6,524.5,411.4,341.1,520.5
35,001,83,3702,1498,107,1464,472,67,8,13,73,2970,1256,87,1071,423,63,5,10,55,728.8000000000001,561.9,1010,666.4,752.1,376.9,916.5,751.3,774.9,547.1,867,397.8,833.8,588.4,804.5,460.9,781.5,799.8,963.1,575.2,446,708.7
35,001,84,2437,1106,89,981,158,48,2,0,53,1888,942,68,690,109,41,2,0,36,454.1,432,636,508.8,426.9,276.1,567.9,561.9,450.1,402,506.1,290.8,536.8000000000001,438.8,475.2,329.9,495.4,464.8,601.9,435.4,324.1,535.4
35,001,85,3281,1728,76,1221,51,123,5,5,72,2432,1377,60,820,40,93,5,3,34,714.6,767.8,1030,899.1,697.9,476,936.7,988.9,777,719.2,895.9,516.1,860.1,776,810.9,616.9,787.5,795.5,983.1,771.8,582.3,944
35,001,86,1622,417,12,1085,89,4,1,0,14,1191,358,8,749,61,4,1,0,10,276,209.1,338,273.4,248.8,137.9,309.6,290,277.9,189.8,324.1,126.1,326,207.7,288.9,157.8,301.1,285,323.9,208.29999999999998,152.9,281.4
35,001,87,4161,1546,143,2125,149,79,1,14,104,2884,1199,97,1348,118,59,1,7,55,856.3,735.8,1438,1023.9,873.9,466.7,1292.7,1115.9,936.5,671.4,1015.6,492.8,998.8,780.4,952.6,564.6,927.4,944.6999999999999,1365.2,758.4,548.8,1069.6
35,001,88,5136,1140,282,3293,383,6,2,7,23,4356,1111,282,2549,379,6,2,4,23,257,148.2,294.6,208.1,219.9,81.60000000000001,269.9,221.6,219.9,130,245.79999999999998,90.5,289,159,237,96.6,272.8,230.8,281.8,153.9,99.9,214.6
35,001,89,4047,1840,170,1621,201,95,3,6,111,3229,1604,140,1168,155,73,3,4,82,697,566.1,1152.8,725,682,394,1072,780.1,738.8,538.9,776.8,435,805,610.7,752.1,466.1,750.9,737.1999999999999,1112.4,588.4,458.6,752.5
35,001,90,2480,325,19,2108,13,4,0,4,7,1730,267,15,1429,8,4,0,2,5,405.3,200.2,516.9,284.2,348.1,122.8,457.7,318.8,352.9,196.7,388.1,130.2,449.1,193.7,376.2,142,427,366,487.1,196.8,147.8,301.5
35,001,91,2069,490,9,1521,23,14,0,1,11,1520,417,8,1059,18,8,0,1,9,370.9,321.1,442.7,391,369.9,179.9,428.3,412.2,399.90000000000003,270.1,462.09999999999997,176,455.5,276.9,422.1,222,413.5,413.59999999999997,435.3,298.8,212.3,401.3
35,001,92,1693,540,22,1074,27,3,0,0,27,1299,477,20,766,22,3,0,0,11,306.9,229.2,399.9,318.8,309.9,153.1,374.3,336.9,318.8,224.8,371,150.8,342,251,338.8,177.9,324.4,334.9,387.3,240.4,176.5,328
35,001,93,2489,40,0,314,2099,1,0,0,35,1798,35,0,198,1547,1,0,0,17,464,179.8,765.3,268,491.1,114.8,704.7,315,531.4,194.8,562.3,129.1,524.2,189.6,529.4,147.1,495.6,528.9,733.8,184.4,146.9,294.5
35,001,94,838,105,2,714,9,7,0,0,1,582,80,2,485,8,6,0,0,1,133.2,42.699999999999996,149.9,70.2,100.9,24,155,65.1,108.1,39.9,108.1,29.9,147.9,49,110,28.9,140.7,106.9,152.5,45.9,30.7,67.6
35,001,95,1252,59,29,1140,15,3,0,0,6,874,52,14,793,8,3,0,0,4,222,31,207.8,64.9,162.9,20.1,200.1,67,177,37.1,178.8,28,224.1,51.9,169.79999999999998,30.1,223,172,204,41.4,28.7,65.9
35,001,96,1441,469,14,925,16,4,0,4,9,1093,396,11,664,13,1,0,2,6,289.1,195.3,387,255.1,289.9,131.8,356.4,283.2,299,187.7,336.6,120.9,334,202.20000000000002,312.2,148.1,311.9,309.7,371.8,199.3,147,269.3
35,001,97,1845,529,3,1267,22,9,0,0,15,1417,454,3,926,19,6,0,0,9,400,329.1,523.1,433.7,385,213.3,487.2,457,405.8,296.9,488,197.9,521,283.3,425.1,248.4,460.3,425.7,505.4,306.1,239.4,445.3
35,001,98,2979,444,45,2375,80,3,1,6,25,2150,392,35,1634,65,3,1,3,17,377,154,427.2,236,353,92,411.7,234,362.2,124.7,368,97.8,407.2,176,363.2,99.8,391.9,361.9,419.3,165,103.6,235.1
35,001,99,1947,412,14,1453,41,7,0,4,16,1513,357,14,1083,38,7,0,4,10,370.2,274,447.6,325.6,338.8,170.9,423.3,337,338.8,246.3,384.09999999999997,181.8,414.6,263.5,350.9,204.7,392.3,352.9,435.5,268.2,201,331.7
