state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_war,uss_18_rep_die,uss_20_dem_mar,uss_20_rep_oco,gov_18_rep_bak,gov_18_dem_gon,atg_18_dem_hea,atg_18_rep_mcm,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
25,001,2202,2930,2671,52,48,41,37,0,19,62,2361,2173,47,30,34,25,0,16,36,909.8,841.1,1275.8,921.3,783.6,822.7,1238.8,983.4,1277.4,350.1,955.5,694.6,909.8,696.3,1257.4,841.1,931.8,951.8
25,001,2203,2561,2165,46,87,107,26,0,33,97,1890,1646,41,48,72,14,0,29,40,710.1,628.8,938.5,669,585.7,575.8000000000001,938.8,666.1,875.8,293.6,689.5,515,710.1,523,938.6,628.8,655.4,667.4
25,001,2204,2990,2443,100,82,174,66,6,34,85,2420,2027,86,55,127,52,4,24,45,925.3,710.4,1202.8,738.9,766.4,623.6,1208.2,747.3,1040.8,351,880.5,545.4,925.3,665.9,1204.8,710.4,736,743.1
25,001,2205,2284,2175,24,31,12,16,0,8,18,1999,1913,20,27,9,11,0,8,11,758.6,808.2,1094.4,877.8,654.3,806.4,1046.5,935,1203.9,272.2,806.5,694.1,758.6,577.2,1071.6,808.2,900.2,906.2
25,001,2206,2922,2754,38,50,4,26,0,13,37,2605,2485,31,36,3,16,0,10,24,1335.9,752,1634.4,725,1196.4,771.3,1563.5,811.6,1416.9,576.1,1329,686.1,1335.9,1034.5,1599.3,752,958,768
25,001,2207,2968,2876,12,31,2,18,1,5,23,2635,2579,9,21,1,10,1,3,11,1351.3,760.4,1653.2,733.4,1209.8,780.1,1581.8,820.9,1433.2,582.5,1344.9,693.6,1351.3,1046.8,1617.4,760.4,969,777
25,001,2208,2942,2603,114,142,11,18,0,9,45,2741,2481,88,105,6,18,0,7,36,2081.7,208.1,2402.2,182.7,1918.1,170.1,2381.8,207.3,831.8,1277.7,1947.3,166.2,2081.7,1714,2391.2,208.1,389.3,195.1
25,001,2209,2890,2804,10,21,1,27,4,5,18,2400,2342,8,16,1,19,2,3,9,1033.4,818,1267.9,838.2,869.5,771,1255.3,878.3,1217.6,438.2,1021.1,677.7,1033.4,776.2,1260.8,818,889.1,857.4
25,001,2210,2915,2835,7,23,2,24,0,9,15,2437,2384,4,16,2,14,0,8,9,1022.4,860.6,1267.7,858.2,878.5,825.1,1219,916.6,1316.4,397,1036.8,728.9,1022.4,770.6,1243.8,860.6,958.3,887.3
25,001,2211,3186,3075,10,44,2,37,0,4,14,2312,2251,9,23,1,17,0,4,7,931.6,860.1,1174.9,874.2,799.4,810.2,1138.2,914.8,1257.3,364.2,944.4,714.7,931.6,702.8,1156.7,860.1,927.7,894.5
