state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_sco,uss_16_dem_dix,uss_20_rep_gra,uss_20_dem_har,gov_18_dem_smi,gov_18_rep_mcm,atg_18_dem_ana,atg_18_rep_wil,sos_18_dem_whi,sos_18_rep_ham,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
45,057,019,3026,1819,1079,73,9,4,0,17,25,2663,1499,1053,67,8,4,0,15,17,457.70000000000005,62.4,468.2,68.5,402.8,81.1,449.90000000000003,78.2,68.5,311.5,48.7,323.5,45.7,334,70.60000000000001,53.6,73.2,429.8,322.7,459
45,057,020,1995,1339,592,34,1,5,0,0,24,1481,1022,430,20,1,3,0,0,5,571.8,285.5,695.9,336,521.7,324.1,676.9,345.4,251.9,421.8,213.79999999999998,444.5,219.6,456.8,304.7,228.2,341,546.8,441.7,687.1
45,057,021,4833,3859,361,407,18,113,4,8,63,3618,2972,258,265,15,81,3,3,21,2615.1,1761,2881.7,2424.9,2769.8,1560.2,2856.9,2464.5,1567.2,1979.8,1497,2009.1,1528.1,2020.2,1660.5,1530.2,2444.2,2692.3,2003,2869.5
45,057,022,1403,1328,48,5,2,5,0,0,15,1059,1005,38,2,2,4,0,0,8,511.09999999999997,93.5,552.6,104.4,474,111.5,539.3,106.4,92.7,336.7,65.7,356.7,67.7,362.7,102.7,74.9,105.2,492.40000000000003,352.5,546.2
45,057,023,2343,1327,839,113,8,16,0,7,33,1749,1047,597,70,4,12,0,2,17,489.3,426.6,608.9,488.2,497.6,412.6,584.5,505.40000000000003,381.6,361.3,345.6,386.9,342.4,405.7,419.7,356.6,497,493.3,384.9,596.8
45,057,024,3251,2758,375,60,12,2,0,6,38,2453,2122,263,33,10,2,0,4,19,1094,244.9,1247.4,266,951.3,289.9,1200.9,293.9,240.6,790.7,176.3,821.9,184,845.8,266.9,200.2,279.6,1022.3,820,1223.6
45,057,025,1704,1427,209,37,10,2,6,0,13,1339,1131,172,21,7,1,2,0,5,543.7,179,626.5,191.5,471,189.1,608.7,209.6,170.2,416.90000000000003,144.9,434.3,145.3,443.8,184.4,153.1,200.5,507.3,431.6,617.7
45,057,026,1422,920,431,33,1,4,0,0,33,1127,744,341,24,1,4,0,0,13,688.6,390.7,1086.5,705.7,689.9,386.3,1052.2,729.1,444.3,642.5,410.3,659.2,421.3,667.9,388.2,425,717.3,688.9,656.7,1069.4
45,057,027,2491,1958,256,216,10,30,0,1,20,1975,1618,182,132,9,23,0,1,10,603.1,344.6,948.6,448.9,656.1,297.6,935.1,468.2,379.7,588,296.7,656.1,274.9,686,320.7,316.8,458.8,629.1,643.3,942.1999999999999
45,057,029,5077,4229,424,264,15,67,2,8,68,3589,3041,294,163,10,46,2,5,28,2253.4,1338.1,3141.4,2220.8,2261.9,1299.9,3056.5,2280.1,1442.8,1914.7,1363.9,1916,1390.6,1973,1319,1399.2,2250.5,2257,1934.1000000000001,3099
45,057,030,4630,3756,349,374,21,63,1,9,57,3416,2855,248,229,15,49,0,2,18,1993.1000000000001,1166.6,2592.5,1818.6,2098,1035.3,2555.4,1874.8,1173.5,1655.6,1115.8,1665.1000000000001,1137.3,1698.7,1100.9,1142.2,1846.3,2045.7,1673.1,2574.2
