state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_you,uss_16_dem_bay,uss_18_rep_bra,uss_18_dem_don,gov_16_rep_hol,gov_16_dem_gre,gov_20_rep_hol,gov_20_dem_mye,atg_16_rep_hil,atg_16_dem_arr,atg_20_rep_rok,atg_20_dem_wei,sos_18_rep_law,sos_18_dem_har,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
18,095,00040,877,768,58,29,1,11,0,0,10,713,630,52,17,1,9,0,0,4,247.1,187.9,248.7,213.20000000000002,206.9,226,161.9,160.1,208.9,211,228,133.1,247.1,170.9,221.1,179.2,185.1,136.9,199.1,148.6,175.1,227.2,173.6,232.5,179.8,217.2
18,095,00050,2040,1824,129,48,4,11,0,2,22,1781,1626,105,29,4,9,0,1,7,341.90000000000003,274.8,285,296.90000000000003,322,287,231.79999999999998,267.9,326.3,302.09999999999997,308.1,207,381.2,237.20000000000002,299.2,283.9,267.9,238.2,275.2,253.3,262.6,342.8,249.9,297.5,266.1,307.1
18,095,00060,1740,1524,108,59,5,6,0,3,35,1497,1349,88,35,3,6,0,1,15,250.8,186,198,166.2,228.4,194.5,148.8,144.6,219,219.8,191.3,133.9,277,165.4,209.6,166.2,156.4,135,191.3,140.5,155.6,243.9,152.7,198.8,167.5,208.8
18,095,00070,773,654,69,20,0,11,0,2,17,611,533,54,10,0,9,0,0,5,178,120.1,163.7,149,157.9,140.9,112.9,125.2,157.20000000000002,142,161,105.1,191.3,107.2,169,147.8,128.9,105.1,127.39999999999999,115.2,134.1,171.1,121.4,164.2,127,157.9
18,095,00080,1409,1218,99,48,1,11,1,2,29,1116,990,75,30,1,11,1,1,7,424.8,284.3,379.1,341.1,373.8,338,306.1,289.8,382.9,342.8,411.1,238.9,463.2,264.9,384.8,346.1,346.1,245.20000000000002,307.8,267.6,308.9,411.1,326.1,391.7,299.1,385.6
18,095,00090,1592,1397,97,52,5,8,2,1,30,1266,1137,70,35,5,7,2,1,9,293.7,195.1,285.4,204.2,261.1,229.2,184.9,198.2,245,253.4,266.5,155.1,310.1,202.9,291,201.9,201.2,178,220.2,187.8,186.79999999999998,277.2,192.8,280.9,202.4,259.5
18,095,00100,1176,955,162,18,1,8,1,2,29,945,819,101,9,1,6,1,0,8,338.1,223.9,343.1,287,303.2,249,267.9,207.7,308.9,262.9,396,203,364,207,368.09999999999997,267,301.1,172.9,235.8,190.2,252.29999999999998,328.6,284.7,368.8,231.2,332.4
18,095,00110,872,713,19,131,1,1,0,1,6,681,592,14,71,1,1,0,1,1,149.9,83,123.3,61.300000000000004,123.8,101.2,81.2,83,116.9,111.7,101.2,50.1,145.8,93,103.4,81.8,97.7,68.1,97.4,75.7,64.6,134.3,89.5,109.2,81.4,116
18,095,00120,560,461,62,9,2,0,1,3,22,408,364,29,3,2,0,1,1,8,89.8,49.6,73.8,36.5,74.3,60.5,48.6,49.6,69.9,67,60.5,29.7,87.10000000000001,56,61.9,49,58.2,40.8,58.2,45.1,38.6,80.4,53.1,65.3,48.8,69.2
18,095,00130,892,723,17,123,7,2,0,0,20,636,541,13,67,5,2,0,0,8,108.3,71.1,92.2,67.3,74.9,101.6,54.4,74.2,78.2,101.6,91.7,56,96.6,91.7,84.5,80.4,61.9,67.3,91.5,70.7,67.5,89.2,58.2,89.7,79,82.7
18,095,00140,999,827,56,79,2,2,1,2,30,732,640,34,44,2,1,1,0,10,105.10000000000001,105.8,113,92.2,73.5,127.6,69.3,73.5,90.8,117.3,104.10000000000001,81.3,107.3,111.2,107.7,96.9,69.3,75,115.7,73.9,90.5,94.2,69.3,107.9,97.7,93.4
18,095,00150,1065,769,136,141,0,2,0,2,15,770,606,67,91,0,1,0,2,3,103.8,84.9,114.5,97.1,81.8,102,56.9,81.1,86.10000000000001,100,107.9,79.9,107.9,84.9,109.1,109.1,62.8,76.8,93.4,79,95.5,95,59.4,110.5,90.9,92.2
18,095,00160,903,684,82,100,3,4,0,1,29,648,529,54,50,3,4,0,0,8,106.3,88.1,99.6,90.1,87.3,102.7,57.800000000000004,84.7,83.6,105.89999999999999,97.60000000000001,72.60000000000001,103.4,97.60000000000001,90.1,102.7,66.7,83.6,98.5,84.5,88.2,95.3,62.1,95.8,91.89999999999999,87.9
18,095,00170,578,466,23,83,1,0,0,0,5,431,364,17,47,1,0,0,0,2,70.6,58.8,66.4,60,58.3,68.3,38.3,56.3,55.7,70.3,65,48.4,68.8,65,60,68.3,44.3,55.7,65.3,56,59,63.300000000000004,41.1,63.800000000000004,61.4,58.6
18,095,00180,669,543,34,79,2,0,0,1,10,487,412,27,44,2,0,0,0,2,83,54.1,70.8,51.5,57.3,77.8,41.7,56.6,60,77.8,70.1,42.8,74.2,70.1,64.7,61.6,47.2,51.5,69.9,54.1,52,68.7,44.5,68.4,60.4,63
18,095,00190,933,835,42,28,7,2,0,1,18,734,680,28,15,6,0,0,0,5,196.1,136.9,163.9,147.9,154.8,168,109.6,146.8,162.1,172.79999999999998,159.1,104.2,203.1,138.2,170.3,154.8,130.3,136.1,154.2,141.8,135.5,179,119.8,164.2,144.6,161.2
18,095,00200,1332,1033,198,57,7,11,0,2,24,982,807,124,33,4,9,0,0,5,195.1,162.4,161.5,140.3,166.4,183.6,116.1,127,155.4,204.6,142.5,111.1,193.3,177.7,151.7,148.7,124.60000000000001,118.9,182,123.4,133.1,177.2,120.7,151.7,152.5,156.2
18,095,00210,1079,851,154,31,0,5,2,4,32,784,662,88,16,0,5,1,1,11,203.5,147.7,180.5,135.29999999999998,169.6,171.6,131.8,128.8,177.7,169.6,177.7,112.8,210.3,150.70000000000002,184.5,138.9,149.5,115.6,159.9,121.8,129.1,190.4,140.6,180.79999999999998,141.3,176.5
18,095,00220,1026,921,57,22,3,7,0,0,16,844,779,43,10,3,7,0,0,2,302.3,211.1,246,199.8,260,237.2,205,209.8,250.9,257,278.1,129,323.2,190.3,260,190.9,233.7,190.9,223.7,200.2,173.29999999999998,284.2,219.6,261.5,201.6,262
18,095,00230,1413,1145,173,65,5,2,0,0,23,1178,1001,117,44,5,2,0,0,9,342.9,280,337.9,291,282,323.1,222.1,247.9,274,349.1,361,207,356.1,277,324.2,313,247.9,226,307.2,236.8,270.3,313.9,235.1,341,279.4,305.3
18,095,00240,1216,1097,63,46,1,3,0,0,6,1000,917,52,28,1,2,0,0,0,305.1,212.9,303.1,226.4,259.8,250.20000000000002,241.1,237.1,270.8,255.8,321,173.7,317.2,217.9,293,235,273.1,204.7,234.2,220.8,211.7,288,257.3,305.7,223.4,287.5
18,095,00250,1388,1211,22,119,4,5,0,0,27,1146,1038,19,68,3,4,0,0,14,300,201.1,327.9,191.1,247.1,239.1,180.20000000000002,165.1,241.7,256.8,324.3,139.1,327.9,179,291.1,230.7,214,141.7,218.8,153.6,187,278.9,197.1,314.6,193.8,272.2
18,095,00260,896,820,41,13,2,1,0,0,19,734,677,34,9,2,1,0,0,11,269.1,126,315,144,227.4,155.1,194.29999999999998,143.1,223,171.9,299,102,280.2,121.4,304.9,164,220.1,117,143.70000000000002,130.1,136.70000000000002,250,207.2,306,138.1,259
18,095,00270,1533,1112,291,51,0,17,0,14,48,1122,849,204,31,0,12,0,3,23,309,249,285.7,283.1,263.1,282.1,229.9,246,260.1,303,270,215.9,333.1,238,291,281.1,256.1,224.2,267.9,234.9,260.2,291.2,243.1,282.3,257.9,277.4
18,095,00280,1227,1089,80,24,5,2,0,4,23,1032,940,60,16,2,1,0,0,13,364.1,235.9,306.1,240.9,288.1,290.9,254,256.9,289,307,315.2,180.1,391.2,217.9,298.9,248.79999999999998,290.9,230.9,262.9,243.9,223.4,332.9,272.5,306.6,245.5,310.6
18,095,00290,1313,1106,122,23,2,18,6,1,35,1095,953,83,11,2,14,5,0,27,368,274.3,366.8,309,322,306.9,264.2,255.9,329.59999999999997,319.1,405.1,220.6,408.1,254.1,390,297.2,293.90000000000003,236,288.59999999999997,245.7,275.7,356.8,278.9,387.4,274.9,349.7
18,095,00300,1064,890,81,33,2,40,0,2,16,866,742,63,24,2,27,0,0,8,296,189,315.90000000000003,205,257,209.1,220.9,184,256,227.1,298.9,162.1,297,182,296,230,244.9,167.1,201.9,175.4,199,276.6,233,303.6,195.1,275.8
18,095,00310,872,401,396,43,1,2,0,5,24,600,298,271,19,1,2,0,0,9,38.5,225.8,57,199.4,36.9,223.7,31.5,176.29999999999998,36.3,227.8,57,178.5,53.3,213.8,52.2,204.8,38.5,168.9,223.1,172.7,194.3,40.9,35,55.4,202.3,44.8
