state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_bro,uss_20_dem_str,uss_20_rep_wei,atg_18_dem_rac,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
11,001,02-045,3055,501,1889,541,6,48,0,11,59,2489,461,1527,403,5,40,0,7,46,1791,35,1936.8,55.3,1189,1537.8,77,1464.8,1791,1326.8999999999999,1737,35,NA,66,1583.8,55.5
11,001,02-046,4008,449,2800,638,9,54,1,6,51,3230,404,2283,445,9,47,1,3,38,2129,51.9,2380.5,75,1405,1974.5,87.4,1634.1,2129,1519.7,2177,51.9,NA,81.5,1904.5,71.5
11,001,02-047,5748,990,2175,2323,9,99,5,30,117,4675,893,1854,1725,7,88,4,21,83,2610.8,66.9,2797.7,109,1624,2230,123.2,2038.1,2610.8,1831.1000000000001,2513.7999999999997,66.9,NA,116.2,2260.2,99.6
11,001,02-048,4112,962,2241,707,11,67,1,22,101,3369,822,1892,509,11,55,1,13,66,2203.9,65.2,2416.5,110.9,1407.8,1925.3,112.7,1717.1,2203.9,1562.1,2170.5,65.2,NA,111.6,1934.2,96
11,001,02-049,1439,264,729,390,6,20,0,3,27,1166,250,590,281,2,20,0,3,20,719,12,784.9,30,427,613.9,30.9,528.2,719,477.7,699.5,12,NA,30.5,614.6,24.4
11,001,02-050,3840,2736,363,334,4,296,0,14,93,3164,2216,344,267,4,268,0,9,56,1935.2,182,2231.1,191.5,1246.1,1659,266.2,1591.9,1935.2,1418.8,1945.3,182,NA,228.7,1732.6,213.4
11,001,02-051,5789,4648,536,285,6,143,1,20,150,4270,3448,433,194,6,112,1,14,62,3058,309.1,3504.1,298,1891.6,2586.2,426.8,2411.1,3058,2151.2,3045.3,309.1,NA,362.6,2690.1,344.5
11,001,02-052,2174,1682,249,119,1,58,1,5,59,1659,1287,202,87,1,49,1,5,27,1190,81,1370.1,87.9,710,1019,114,901.9,1190,806.1,1194.5,81,NA,100.8,1038.3,94.1
11,001,02-053,2340,441,1138,629,6,58,4,10,54,1897,384,951,470,3,46,4,1,38,983.8,49.1,1086.7,71,618.2,880.1,74.2,720.1,983.8,669.4,983.4,49.1,NA,72.8,857.8,64.8
11,001,02-054,3557,553,2077,739,9,53,2,35,89,2789,467,1682,508,9,47,2,14,60,1772.9,68.8,1920.1,82.3,1169.9,1502.3,78.2,1369.9,1772.9,1270.3,1711,68.8,NA,80.1,1547.1,76.6
11,001,02-055,3603,224,2521,725,6,47,0,7,73,2900,193,2089,512,5,40,0,5,56,1791.2,43,1977,72.9,1160.2,1607.9,90.2,1286.1,1791.2,1223.3,1792.4,43,NA,81.6,1564.5,68.3
11,001,02-056,5569,329,3309,1757,8,80,0,12,74,4359,301,2722,1204,6,67,0,2,57,2284.8,57.7,2693.1,102.9,1519.8,2230.9,95.9,1720.1,2284.8,1619.6000000000001,2462,57.7,NA,99.4,2089.7,85.3
11,001,02-057,4101,229,3019,715,17,29,0,7,85,3202,211,2417,479,11,25,0,3,56,1832.2,56.7,2059,83.1,1214.1,1687.9,82.1,1374.2,1832.2,1294.5,1873.5,56.7,NA,82.7,1633.5,74.1
11,001,02-058,3414,119,2602,575,9,45,3,3,58,2699,110,2099,400,5,36,3,3,43,1639.8,32.9,1814.8,72.9,1074.9,1483.5,72.9,1221.8,1639.8,1148.1,1649.1,32.9,NA,72.9,1446.6,59.6
11,001,02-059,3419,335,2426,517,8,35,1,4,93,2735,284,1994,354,7,33,1,3,59,1878,57.9,2113.7,72,1222.8,1725,59.2,1418.9,1878,1320.8,1919.2,57.9,NA,65,1671.9,63
11,001,02-060,5089,207,3186,1506,9,84,1,29,67,3944,173,2605,1026,8,68,1,12,51,1564.9,57.2,1822,108.10000000000001,918.9,1496.9,101,986,1564.9,952.2,1659.5,57.2,NA,104.4,1358,88.9
11,001,02-061,2905,168,2087,543,3,39,7,7,51,2343,142,1729,390,3,33,4,4,38,1241.9,49,1384,75,801.9,1164.9,67.8,893.9,1241.9,848,1274.4,49,NA,71.1,1097.2,63.9
11,001,02-062,4312,1146,2689,245,8,64,1,16,143,3594,972,2287,181,7,57,1,7,82,2603.3,103.6,2875.2,118.4,1796.9,2380,129.1,2167.1,2603.3,1981.9,2628.2,103.6,NA,123,2364.7,117.4
11,001,02-063,4991,1256,2756,642,18,134,3,21,161,4175,1112,2351,459,17,120,3,12,101,2827.8,83,3234,131.7,1861.1,2560.3,123.9,2301.9,2827.8,2081.7999999999997,2897.2,83,NA,127.5,2557.2,113.2
11,001,02-064,2860,192,2278,280,0,27,0,4,79,2377,176,1926,192,0,26,0,2,55,1793.2,36.9,2011.9,69,1228.8,1663.9,65.1,1391.9,1793.2,1310.7,1837.8,36.9,NA,67.3,1617.8,57
11,001,02-065,3288,81,2842,303,4,13,2,5,38,2699,66,2379,208,3,11,2,3,27,2045.8,39.8,2304.9,87.9,1467.1,1942.2,89.9,1572.8,2045.8,1519.8,2123.7,39.8,NA,88.8,1866.6,72.4
11,001,02-066,5817,291,5054,322,8,54,0,16,72,4841,272,4216,235,7,50,0,8,53,3319.1,64.1,4009.2,124.1,2451.1,3393.9,146.4,2738.6,3319.1,2595,3701.6,64.1,NA,135.3,3182.2,111.5
11,001,02-067,3747,369,3108,122,3,46,0,8,91,3150,335,2614,85,3,40,0,6,67,2150,71,2404.8,99.9,1525.2,2045.7,99.2,1696.1,2150,1610.3,2225.3,71,NA,99.4,1964.1,90.2
11,001,02-068,4798,2410,1805,284,13,128,1,8,149,4393,2339,1540,256,12,124,1,8,113,1484.1,81.89999999999999,1707.7,111,955,1358.8,122.9,1194.3,1484.1,1074.8,1532.8999999999999,81.89999999999999,NA,116.7,1340.1000000000001,105.3
11,001,02-069,2703,175,2276,143,14,30,0,5,60,2231,154,1892,99,12,29,0,5,40,1558.5,41.9,1872.8,67,1104.1,1571.2,69.1,1243,1558.5,1173.6,1722.3,41.9,NA,68.1,1469.9,59.3
11,001,02-070,2015,243,1522,154,7,31,0,2,56,1634,214,1234,109,7,24,0,2,44,1130.8,20,1282,45.1,787.9,1052.1,54.8,899.8,1130.8,843.6,1167,20,NA,49.800000000000004,1030.5,40.4
11,001,02-071,3083,181,2559,252,16,11,1,7,56,2456,162,2054,171,13,9,1,3,43,1671.5,47.6,2024.9,64.9,1197.1,1721.7,80.3,1316,1671.5,1256.8,1873.4,47.6,NA,72.2,1586,64.8
11,001,02-072,6249,188,5626,299,14,18,0,17,87,4810,181,4314,208,13,17,0,12,65,2744.9,59.7,3179.1,117.1,1724,2688.8,147,1921.7,2744.9,1822.7,2933.9,59.7,NA,131.5,2451.8,107.9
11,001,02-073,2548,659,1546,222,8,44,0,1,68,2094,586,1244,173,6,37,0,1,47,1462,50.9,1655.2,85.6,1016,1307.1,89.8,1205.1,1462,1110.6,1481,50.9,NA,87.8,1328.8,75.2
11,001,02-074,6761,1036,4801,655,15,88,3,24,139,5582,1006,3876,474,14,80,3,13,116,3212.8,118.4,3954.3,179.8,2086.9,3229.9,241.2,2363,3212.8,2225.2,3592.5,118.4,NA,210.20000000000002,2969.6,179.7
11,001,02-075,4055,545,3147,218,9,65,3,4,64,3340,506,2554,169,9,51,3,2,46,2871,83.9,3352.9,131.9,1976.2,2743.1,198,2235.6,2871,2106.3,3048.5,83.9,NA,165.4,2635.9,137.7
11,001,02-076,2554,638,1550,226,10,52,5,3,70,2097,619,1173,182,9,47,5,3,59,971.9,43.1,1359.9,63.9,614.1,1142.2,80.1,673.8000000000001,971.9,644.1,1251,43.1,NA,72.1,952.5,62.4
11,001,02-077,4165,268,3601,172,16,35,4,1,68,3335,240,2874,129,10,32,1,1,48,2034.9,43.9,2390,87.9,1401.2,1941.2,121.9,1562.1,2034.9,1482,2165.9,43.9,NA,104.7,1865.5,84.8
11,001,02-078,4515,91,4199,138,8,10,0,7,62,3474,83,3224,100,8,10,0,5,44,1892,35.6,2129.9,66.2,1191.1,1786.1,81.8,1282.8,1892,1236.9,1958.3,35.6,NA,74.3,1656.4,61.3
11,001,02-079,3309,27,3154,61,8,10,0,0,49,2569,26,2448,46,8,8,0,0,33,1339.7,32,1488.9,70,776.9,1253.1000000000001,75.7,835.2,1339.7,806.1,1370.9,32,NA,72.7,1138.8,59.1
11,001,02-080,1774,120,1518,95,6,9,0,4,22,1407,112,1192,70,5,9,0,2,17,299.6,8.6,384.7,26.3,207.5,297,30.2,233.29999999999998,299.6,220.3,340.6,8.6,NA,28.1,284.6,21.8
11,001,02-081,6606,1613,4475,253,18,86,1,16,144,5168,1446,3329,187,16,79,1,11,99,3584.9,139.1,3954.8,186.2,2218.2,3152.7,304.4,2633.7,3584.9,2426.4,3553.8,139.1,NA,245.4,3108.7,209.9
11,001,02-082,3407,1414,1655,168,8,68,5,5,84,2955,1285,1394,125,7,68,5,5,66,2114,83.4,2344,116.2,1328.8,1873.1,189,1552.2,2114,1440.3999999999999,2108.6,83.4,NA,152.3,1842.5,129.8
11,001,02-083,4812,2013,2287,213,6,149,2,16,126,4167,1857,1871,178,6,140,2,14,99,4427.2,197.8,6442.3,392.9,3362.2000000000003,5220.7,614,3931.2,4427.2,3647.1,5831.9,197.8,NA,503.3,4676.5,401.5
11,001,02-084,3318,2508,501,130,11,82,3,11,72,2963,2271,445,104,9,76,3,5,50,1873,126.1,1904,169.7,1108.9,1431,262.2,1381.2,1873,1244.8,1667.5,126.1,NA,215.9,1539.6000000000001,185.7
