state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_wic,uss_18_dem_bar,uss_r18_rep_hyd,uss_r18_dem_esp,uss_20_rep_hyd,uss_20_dem_esp,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
28,011,204,3692,2979,527,81,2,65,9,2,27,3038,2438,465,56,2,45,9,2,21,1150.1,213.4,1050.8,240,924.9,172.3,824.6,176.1,989.4,295.4,213.4,172.3,267.3,1150.1,924.9,1020,219.2,988.9
28,011,301,787,191,563,28,0,1,0,0,4,589,167,396,21,0,1,0,0,4,55.300000000000004,174.3,61.6,148.6,54.6,112.6,45.6,129.6,58.6,157.8,174.3,112.6,152.9,55.300000000000004,54.6,60,145.4,55.1
28,011,302,2360,144,2184,24,0,0,0,0,8,1597,125,1450,18,0,0,0,0,4,67.4,897.6,73,835.6,76.4,615.6,43.9,722,55.6,859.5,897.6,615.6,848.5,67.4,76.4,62.4,785.8000000000001,63.7
28,011,303,2683,150,2510,19,1,1,0,0,2,1965,116,1827,18,1,1,0,0,2,79.9,1157.2,96.8,1041.5,78.9,819.1,45.3,971.1999999999999,74.8,1077.8,1157.2,819.1,1060.8,79.9,78.9,83,1013.2,75.2
28,011,401,659,264,291,83,0,11,0,1,9,488,220,211,47,0,5,0,1,4,143.9,171.2,141.3,166.29999999999998,123,129.9,104.5,150.6,126.7,179.6,171.2,129.9,172.2,143.9,123,133.7,159.2,128.2
28,011,402,2917,384,2471,45,2,5,0,0,10,2241,367,1836,29,0,5,0,0,4,40.9,1134.9,61.8,1106.5,38.8,871,18.2,992.4,37.1,1139.3,1134.9,871,1122.3,40.9,38.8,48.8,1048.9,38.9
28,011,403,1656,295,1282,61,0,2,0,0,16,1151,231,873,39,0,1,0,0,7,83,373.2,90.1,417.2,66.6,270.9,50.8,314.8,78.2,424.8,373.2,270.9,421.2,83,66.6,84.1,360.2,73.8
28,011,404,396,29,362,1,0,3,0,0,1,285,18,263,1,0,3,0,0,0,12.4,207.6,14.7,233,11.6,161.7,7.3,184.8,9.1,240,207.6,161.7,236.3,12.4,11.6,11.9,205.3,11.1
28,011,405,1249,12,1212,13,2,2,0,0,8,886,12,853,12,2,2,0,0,5,27.6,395,41.9,400.3,30.7,292,19.4,337.7,35.4,410.9,395,292,405.6,27.6,30.7,38.4,367.3,30.9
28,011,406,627,544,62,8,1,5,0,2,5,518,464,36,8,1,4,0,1,4,160.9,59.8,176.2,108.1,147.9,52.7,124.8,59.8,163.1,124.8,59.8,52.7,116.3,160.9,147.9,169.2,80.89999999999999,155
