state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_wie,uss_16_rep_mor,uss_20_dem_bol,uss_20_rep_mar,gov_18_dem_kel,gov_18_rep_kob,atg_18_rep_sch,atg_18_dem_swa,sos_18_rep_sch,sos_18_dem_mcc,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
20,007,000030,25,25,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,22,0,23,0,20.9,0,22,0,16.1,16.1,1,16.1,1,0,0.8,0,21.7,16.1,22.7
20,007,000040,135,128,2,4,0,0,0,0,1,122,118,1,2,0,0,0,0,1,10.4,59.6,16.2,69.6,11.5,60.300000000000004,14.4,63.2,17.2,47.5,54,14.4,50.6,17.2,10.700000000000001,16.7,14.5,60,50.5,66
20,007,000050,241,227,0,3,1,1,0,0,9,188,182,0,1,1,1,0,0,3,18.1,72.4,16.8,75.9,16.8,72.4,21.900000000000002,64.6,18.1,45.3,54.4,15.700000000000001,45.8,20,16.8,18.3,19.1,72.4,47.3,71
20,007,000060,153,141,1,9,1,0,0,0,1,128,119,1,6,1,0,0,0,1,14.9,58.8,8.6,56.4,14.9,59.5,12.8,52.3,18,40.6,46.6,13.200000000000001,45.8,14.9,14.9,15.200000000000001,10.700000000000001,59.3,45.3,55
20,007,000070,675,633,1,26,6,0,0,0,9,523,493,1,18,6,0,0,0,5,41.4,266,41,289.9,32.3,272.40000000000003,47,271.40000000000003,75.7,149.4,216.3,42.4,194.4,53.7,35.7,56.9,43.8,270,186.3,280.3
20,007,000080,461,433,0,16,5,2,0,0,5,362,342,0,13,4,0,0,0,3,29.6,164.7,36.2,164.7,28.8,161.1,42.8,152.2,35.6,94,113.1,31.7,108.6,36.2,29.5,35.6,38.5,163.3,106.8,160.3
20,007,000090,62,59,0,3,0,0,0,0,0,50,48,0,2,0,0,0,0,0,5,30,7.1,45,2.9,32.1,7.9,40.7,9.3,22.9,32.1,5,27.9,7.1,4.4,7.1,7.5,30.6,27.7,42.9
20,007,000100,27,26,0,1,0,0,0,0,0,20,19,0,1,0,0,0,0,0,0,16,0.8,13.1,0,16,0.8,12,0.8,8,10,0,10,0,0,0.1,0.8,16,9.2,12.299999999999999
20,007,000110,824,786,2,17,2,8,0,0,9,624,600,2,11,1,6,0,0,4,53.7,266,53.1,297.3,49.7,277.7,56.2,277.7,66.9,172.3,216.8,45,189.8,62.5,51.4,58.5,53.7,272.7,192.7,288.1
20,007,00012A,630,590,5,19,1,0,0,13,2,449,436,4,3,1,0,0,3,2,38.9,213.9,44.9,238.1,39.8,206,44.9,219.5,43.2,127.9,165.8,27.1,146.9,39.8,39.1,36.8,44.9,209.8,146.9,228.5
20,007,00012B,43,42,0,1,0,0,0,0,0,35,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,007,000130,512,486,6,12,2,1,0,0,5,387,375,2,5,2,1,0,0,2,28,161,23.5,193.5,23.5,156.6,20.8,184.4,35.4,94.7,130.8,14.9,112.1,30.4,25.400000000000002,27.7,22,158.7,112.3,189.1
20,007,000140,271,266,0,0,1,0,0,0,4,220,215,0,0,1,0,0,0,4,10.200000000000001,128.1,10.200000000000001,136.2,9.9,119.2,12.1,125.1,15.1,84.1,95.4,12.1,91.9,15.1,10,14.4,11.1,122.4,89.4,129.5
20,007,000150,54,47,1,0,0,6,0,0,0,47,43,1,0,0,3,0,0,0,0.8,28.9,2,31,2,28.9,3,28.9,4.1000000000000005,13.299999999999999,20.2,2,20.2,2,1.3,2.6,2.3,28.9,18,29.7
20,007,000160,78,78,0,0,0,0,0,0,0,56,56,0,0,0,0,0,0,0,3.5,41.9,3.5,49.6,3.5,41.9,6.4,45.6,11.4,28,33.7,5.7,31.200000000000003,7.9,3.5,8,5.6000000000000005,41.9,31.200000000000003,47.5
20,007,000170,17,17,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,4.8999999999999995,16,4.8999999999999995,20.900000000000002,6.1000000000000005,14.899999999999999,6.9,17.1,9.1,6.9,11.1,6.9,11.1,6.1000000000000005,5.3,7.4,5.800000000000001,15.4,9.6,19.1
20,007,000180,35,35,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,18,0,19.8,0,18,0,19.2,1.8,12.9,16.8,1.1,12.9,1.8,0,1.6,0,18,14.1,19.4
20,007,000190,17,17,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0.6000000000000001,7.1,0.6000000000000001,6.6,1.1,6.6,0.6000000000000001,6.5,0.6000000000000001,4.9,5.6,0.5,5,1,1,0.6000000000000001,0.6000000000000001,6.699999999999999,5,6.6
20,007,000200,339,318,2,1,5,2,0,0,11,263,250,2,1,3,2,0,0,5,15.5,166.8,14.3,158.2,26,157.8,17.4,152.5,18.5,113.7,135.9,11.9,123.39999999999999,21,21.7,17,14.700000000000001,162.2,123.7,155
20,007,000210,68,68,0,0,0,0,0,0,0,59,59,0,0,0,0,0,0,0,0,27,0,31.1,2.1,24,0,29.1,1.1,13.9,15.1,1.1,13.9,0,0.6000000000000001,0.8,0,25.6,14.200000000000001,30
20,007,000220,26,26,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,4,8.8,4.9,8,3.1,10,4.9,8,4.9,8,8.8,4,8,4.9,3.4,4.6,4.9,9.2,8.2,8
20,007,000230,147,139,0,7,0,0,0,0,1,122,117,0,4,0,0,0,0,1,5.1000000000000005,66.10000000000001,4.3,75.5,4.3,65.3,5.4,73.2,7.9,46.5,49.4,4.3,48.5,5.4,4.8,5.4,4.9,65.9,48.5,74.8
20,009,000010,63,58,0,5,0,0,0,0,0,51,49,0,2,0,0,0,0,0,0.7000000000000001,23.5,2.8000000000000003,23.2,0,25.5,4.4,23.2,2.3000000000000003,15.299999999999999,18.4,2.8000000000000003,13.3,7.1,0,4.4,4.1000000000000005,23.8,15.6,23.2
20,009,000020,99,97,0,0,2,0,0,0,0,77,75,0,0,2,0,0,0,0,7.3,38.5,6.5,41.300000000000004,4.2,35.699999999999996,7.3,38.5,4.9,31.5,33.9,6.5,28,10.5,6.1000000000000005,7.7,6.5,36.4,31.1,39.4
20,009,000030,417,397,1,11,2,1,0,2,3,346,329,1,9,2,1,0,2,2,28.099999999999998,197.1,27.1,207.5,19.2,197.1,31.5,200.1,34.5,128.8,152.8,22.3,142.7,27.1,23.7,27.7,28.7,197.1,142,203.8
20,009,000040,207,205,0,0,0,0,0,0,2,172,170,0,0,0,0,0,0,2,13.3,90.9,17.6,91.9,10.3,89.3,16.4,87.5,20.8,63.9,86,10.3,68.4,26.8,11.8,19.5,17,89.7,72.4,89.6
20,009,000050,117,108,0,7,0,0,0,0,2,89,83,0,4,0,0,0,0,2,8.200000000000001,42.8,9.6,62.3,7.2,47.2,8.9,61.3,14.1,26.7,35.6,8.9,33.9,9.6,7.3,10.700000000000001,9.4,44.6,32,62.1
20,009,000060,42,38,0,2,1,0,0,0,1,30,26,0,2,1,0,0,0,1,1,17,2,24,0,17,2,23,4,15,21,3,20,3,0.1,3.1,2,17,18.5,23.6
20,009,000070,462,433,0,24,0,1,0,0,4,328,313,0,13,0,0,0,0,2,22.9,181.4,26.1,209.7,15.5,184.3,28.6,203.4,38.8,128.9,152.6,27.2,138.8,44.3,18.9,36,27.3,182.5,140.3,206.1
20,009,000080,82,82,0,0,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0,45.5,0.6000000000000001,52,0.6000000000000001,42.9,5.5,45.5,5.5,32.5,41.1,0.6000000000000001,32.5,7.5,0,4.4,2.7,44.5,35.2,48.9
