state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_dem_bid,pre_20_rep_tru,uss_16_rep_ayo,uss_16_dem_has,uss_20_dem_sha,uss_20_rep_mes,gov_16_rep_sun,gov_16_dem_van,gov_18_rep_sun,gov_18_dem_kel,gov_20_dem_fel,gov_20_rep_sun,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
33,017,ROCH03,4989,4704,27,91,18,67,8,3,71,3987,3806,19,57,10,50,4,3,38,1400.9,1044.1,1447.9,1577.9,1334.3,1138.5,1586.7,1368.6,1344,1086,1176.1,768,853.8000000000001,2134,1089.4,768,1295.9,1359.3,1176.1,1693.5,1132.2,1476.6
33,017,ROCH04,4932,4626,57,102,16,43,0,8,80,3685,3514,43,53,9,30,0,4,32,1198.3,1051.6,1380.2,1261.5,1112.7,1169.2,1523.8,1065.9,1124.1,1104,1023.4,782.9,810.8,1811.8,1108.3,782.9,1238.5,1144.8,1023.4,1379.8,1117.5,1227.9
33,017,ROCH05,4965,4763,33,68,11,32,1,4,53,3993,3879,20,38,10,23,1,3,19,1409.9,1052.6,1343.2,1521.9,1244.9,1221.8,1567.5,1246.5,1320.3,1087.7,1231.1,732.2,747.6,2113.9,1120.2,732.2,1219.7,1324.5,1231.1,1627.5,1107.7,1440.5
33,017,ROCH06,4743,4381,66,121,19,65,3,5,83,3635,3418,42,66,17,50,3,1,38,956,895.7,1144.8,1051.5,841.3000000000001,996.3000000000001,1277.7,880.5,880.3,915,834,644.2,678.9,1493.1,935.5,644.2,1034,893,834,1141.9,936,991
33,017,ROLL01,2527,2407,16,24,5,21,1,0,53,1948,1880,13,16,4,12,1,0,22,711.1,769.5,951.2,734.9,740,799.9,1028.1,641.9,753.1,764.2,643.7,604.9,606.9,1086,778.3,604.9,861.9,734.9,643.7,821.1999999999999,788.5,758.1
33,017,SOME01,2496,2269,32,53,3,84,0,3,52,1954,1792,23,31,0,70,0,2,36,624,682.5,825.2,613,634.4,693.9,895.1,532.6,619.6,681.9,550.3,481.1,565.2,881,686.2,481.1,761.5,625.9,550.3,675.9,689,636.2
33,017,SOME02,2315,2079,23,56,10,103,0,5,39,1822,1661,17,37,8,71,0,2,26,487.8,523.1999999999999,631.1,543.2,458.1,566.8,705.2,461.1,471,530.2,449,380.8,400.9,765,540,380.8,578.8,472,449,589.9,534.2,519.1
33,017,SOME03,2527,2200,44,55,4,150,2,1,71,1873,1671,25,30,3,110,2,1,31,513,499.9,584.7,487.2,473.4,538,635.5,410.4,487,516.9,418.1,345.2,365.4,695.6,517.9,345.2,528.3,491.2,418.1,531.2,498.2,497.8
33,017,SOME04,2353,1982,22,65,1,230,0,4,49,1880,1611,17,51,1,171,0,3,26,437,533.1,787,487.8,406.9,565.5,855,420.1,422.7,526.6,397.1,420.1,503,760.8,541.7,420.1,714.7,422.3,397.1,556.3,598.7,476.09999999999997
33,017,SOME05,2075,1853,24,67,11,50,0,2,68,1504,1388,9,38,7,38,0,2,22,327.09999999999997,404,594.4,418.4,285,452.9,644,334.6,307.1,410.1,254.8,301.6,387.7,605.8,422.09999999999997,301.6,542,306.8,254.8,452.9,456.3,361.7
33,017,STFD01,3991,3888,10,43,4,13,0,2,31,3035,2967,7,29,4,6,0,0,22,1298.5,1118.3,1331.8,1409.7,1348.2,1132,1475.7,1242.2,1308.3,1128.6,1209.4,843.6,811.6,1901.1,1127,843.6,1207.2,1318.3,1209.4,1517.6,1119.1,1388.2
33,019,ACWO01,891,853,1,7,5,13,0,1,11,750,726,1,1,3,10,0,0,9,239.4,274.1,293.6,269.3,233.7,298.8,310.5,226.2,241.5,283.5,212,235.5,227.9,324.8,285.5,235.5,277.5,239.1,212,272.2,275.1,249.7
33,019,CHAR01,5114,4966,20,41,11,21,0,4,51,4054,3953,16,24,8,15,0,3,35,1158.9,1041.1,1185.6,1238.3,1099.5,1143.9,1336.3,1043.4,1070,1136.5,924.9,733.1,713.9,1691.8,1107.2,733.1,1079.6,1108,924.9,1323.3,1041.5,1175.8
33,019,CLAR01,4598,4353,36,83,24,16,0,3,83,3529,3368,23,49,22,11,0,3,53,714.8,716,818.4,781.3,678.8,750.8,914.7,662.5,696.2,702,540.2,496,544.6,1048,722.6,496,758.5,696.4,540.2,830.4,705.8,731.2
33,019,CLAR02,4490,4286,17,44,12,64,1,3,63,3455,3335,8,31,9,40,1,2,29,1038.1,974.4,1171.6,1032.3,981.1,1068.8,1294.2,893.4,1045.2,981.1,835.8,713,715.9,1472.4,1008.9,713,1061.2,1021.8,835.8,1131.9,988.4,1041.6
