state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_car,uss_18_rep_arl,uss_20_dem_coo,uss_20_rep_wit,gov_16_dem_car,gov_16_rep_bon,gov_20_dem_car,gov_20_rep_mur,atg_18_dem_jen,atg_18_rep_pep,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
10,003,4-19,2293,1367,221,635,4,20,0,1,45,1695,1126,156,374,2,17,0,1,19,525.1,390.3,639.5,379.3,438.7,262.6,620.3,354.4,547,343.5,611.1,371.9,440.40000000000003,251.8,536.1,439.59999999999997,623.5,366.8,257.3,368.5,545.9,336.1
10,003,4-2,32,28,1,2,0,1,0,0,0,30,27,1,1,0,1,0,0,0,13.9,5.2,20.7,5.7,16.4,4.6,21,6,12.5,4.9,20.7,6.3,16.6,5.5,13.2,16.5,20.8,5.1,5,6,17.4,5.5
10,003,4-20,1578,1286,58,27,3,179,0,2,23,1344,1127,47,21,3,132,0,2,12,521,370.5,642.1,375.5,513.5,269.5,656.6999999999999,344.9,558.1,341.7,651.6999999999999,358.4,518.1,266.3,539.4,515.7,650.2,356.3,268.1,359.4,580.2,332.4
10,003,4-21,1456,991,196,92,1,124,0,2,50,1165,818,149,69,1,95,0,2,31,421,186.7,526.3,202.3,381.3,141.4,515.7,181.5,402.2,202.79999999999998,506.7,196.5,377.8,157.5,411.6,379.5,516.2,194.7,149.5,193.4,447.4,181.4
10,003,4-22,1815,1592,27,35,0,138,0,2,21,1312,1148,21,21,0,110,0,1,11,548.4,506.5,706.9,498.5,577.2,388,730.8,457.7,593.1,494.5,723.9,477.5,585.4,392,571,581.3,720.5,500.6,390.2,477.90000000000003,637.8000000000001,459.2
10,003,4-23,1479,1309,57,48,5,33,0,3,24,1201,1077,46,28,4,30,0,1,15,628,292.1,742.7,272.3,618.9,222.9,726.6,260.1,635.1,301,732.5,270.5,634,238.1,631.6,626.4,733.7,296.8,230.5,267.8,674,265.1
10,003,4-24,2160,1611,268,165,12,41,0,0,63,1652,1308,187,97,8,32,0,0,20,527.1,410,646.2,425.7,445.7,261.7,629.7,390,581.2,334.8,620.6999999999999,415.6,454.8,268.3,553.9,450.2,632.4,372.3,265.1,410.4,557.7,358.2
10,003,4-25,2153,1473,271,293,3,49,0,4,60,1718,1256,214,180,3,36,0,1,28,521.4,290.1,637.8,307.8,432.1,223.7,612,289.1,528,278.7,618.5,292.8,440.6,226.6,524.6,436.59999999999997,622.7,284.5,225.1,296.6,541.4,272.7
10,003,4-26,2425,1149,589,93,3,526,0,1,64,1760,873,426,67,3,364,0,1,26,802.1,351.3,884.1,354.90000000000003,675.9,228,892.1,302,836,293.2,892.1,302,648.2,266,818.9,662.1,889.5,322.09999999999997,246.9,319.7,804.5,299.5
10,003,4-27,1470,994,204,76,5,161,0,3,27,1029,717,149,43,3,107,0,3,7,478.7,315.3,640.1,323.40000000000003,476.8,203,634.9,304.9,493.8,292.3,637.6,308.3,470.9,206.2,486.20000000000005,473.7,637.6,303.7,204.70000000000002,312.09999999999997,547.6,279.09999999999997
