state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_gra,uss_16_dem_jud,uss_20_rep_ern,uss_20_dem_gre,gov_18_rep_rey,gov_18_dem_hub,atg_18_dem_mil,sos_18_rep_pat,sos_18_dem_dej,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
19,007,007017,189,176,0,1,2,1,0,0,9,145,141,0,1,0,1,0,0,2,64.4,19.7,74.4,19.8,66.7,16.9,67.6,23.2,53.1,15,38.6,51.6,15.3,17.7,23.2,21.8,65.5,52.1,70.60000000000001
19,007,007018,605,594,0,5,1,0,0,0,5,447,439,0,4,1,0,0,0,3,198.4,59.7,229.8,61.4,206.3,52.5,208.79999999999998,71.8,164.20000000000002,46.8,119.4,158.7,49,56.1,72.10000000000001,66.5,203.3,160.8,220.1
19,007,007019,425,412,0,7,0,2,0,0,4,330,322,0,3,0,2,0,0,3,158.3,62.4,187.6,70.7,159.1,60.1,180,69.6,124.5,59.3,109.4,127.3,48,61.8,72.3,70.5,158.4,125.89999999999999,183.20000000000002
19,007,007020,793,777,0,4,3,2,0,0,7,595,584,0,3,2,1,0,0,5,232.9,92.3,253.8,94.8,232,86,236.3,101.8,169.3,92.3,161.6,169.9,86.2,89.2,113.8,98.4,232.4,169.7,244.6
19,007,007021,269,265,0,1,0,0,0,0,3,162,158,0,1,0,0,0,0,3,63.5,25.1,69.10000000000001,25.8,63.1,23.3,64.4,27.7,46.1,25.1,44,46.3,23.5,24.4,31.1,26.7,63.4,46.199999999999996,66.5
19,009,009001,222,220,1,1,0,0,0,0,0,174,172,1,1,0,0,0,0,0,80.89999999999999,36.5,86.7,34.9,88.7,27.7,83.89999999999999,35.2,63.6,32.5,59.3,62.5,25,31.8,39.5,34.9,84.8,62.6,85.9
19,009,009002,63,62,0,0,0,0,0,0,1,50,49,0,0,0,0,0,0,1,23.2,10.5,24.9,10,25.5,8,24.099999999999998,10.2,18.3,9.5,17,18,7,9.3,11.4,10,24.2,18.1,24.5
19,009,009003,135,135,0,0,0,0,0,0,0,107,107,0,0,0,0,0,0,0,49.699999999999996,22.3,53.4,21.4,54.4,17.1,51.9,21.6,39,20.1,36.5,38.4,15.6,18.9,24.400000000000002,21.5,51.9,38.4,53.1
19,009,009004,166,158,0,0,0,7,0,0,1,115,110,0,0,0,4,0,0,1,53.199999999999996,24,57.5,23,58.5,18.3,55.8,23,41.7,21.6,39.199999999999996,41.3,16.8,20.4,26.3,23,55.6,41.3,57.2
19,009,009005,117,116,0,0,0,0,0,0,1,85,84,0,0,0,0,0,0,1,39.4,17.5,42.4,17,43,13.4,41.199999999999996,17.1,30.9,16.1,29.2,30.3,12.3,15,19.7,17.1,40.8,30.3,42
19,009,009006,128,125,0,1,0,0,0,0,2,102,101,0,1,0,0,0,0,0,43.6,24.7,47.3,24.9,46.7,20.3,44.1,26.2,32.9,23.7,36.2,33.5,20.6,22.1,26.8,25.6,45.2,33.1,45.6
19,009,009007,2496,2455,5,17,6,6,1,0,6,1951,1930,2,11,3,2,1,0,2,906.3,411.3,964.9000000000001,396.9,995.1,314,934.4,403.5,712.5,364.6,662.2,702.2,279.2,361.7,436.3,399.6,950.4,705.6,950.6
19,009,009008,210,208,0,0,0,0,0,0,2,167,165,0,0,0,0,0,0,2,77.5,34.800000000000004,83.2,33.4,84.9,26.5,80.5,33.9,61,31.2,57.1,59.8,24.1,30.2,37.9,33.5,81.1,60,82.4
19,009,009009,584,572,0,0,1,6,0,1,4,441,438,0,0,1,2,0,0,0,188.9,107.9,204.3,108.7,200.8,87.8,191,112.5,141.9,102.8,155.9,145.2,88.8,96.5,114.9,110.4,195.1,142.4,197.3
19,009,009010,252,251,0,1,0,0,0,0,0,197,196,0,1,0,0,0,0,0,84.8,47.9,91.3,48.2,90,39.3,85.60000000000001,50.6,62.9,46.199999999999996,70,65.2,39.5,42.6,51.6,49.2,87.7,63.4,88.3
19,009,009011,170,169,0,0,0,1,0,0,0,116,115,0,0,0,1,0,0,0,50.1,28.4,53.8,28.4,52.8,23.2,50.5,29.6,37.1,27.3,41.2,38.5,23.2,24.900000000000002,29.8,29.2,52.300000000000004,37.3,52.300000000000004
19,009,009012,212,207,1,0,0,0,0,0,4,165,163,1,0,0,0,0,0,1,71.1,40.3,76.5,40.3,75.2,33,71.6,42.2,52.9,38.6,58.7,54.6,33,35.5,42.7,41.5,73.9,53.2,74.10000000000001
19,009,009013,1105,1076,2,17,0,3,0,0,7,909,889,1,13,0,2,0,0,4,387.9,222.1,420.8,225.1,414.2,180.2,393.4,232.29999999999998,293.3,211.6,320.2,298.5,184.4,199.5,237.6,227.9,401.1,294.2,406.6
19,009,009014,259,253,0,0,0,2,0,0,4,201,195,0,0,0,2,0,0,4,86.5,49.3,93.2,49.4,91.4,40.2,87.2,51.2,64.3,47,71.2,66.5,40.4,43.7,52.2,50.3,89.60000000000001,64.8,90.10000000000001
