state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_lan,uss_16_dem_wor,uss_20_rep_inh,uss_20_dem_bro,gov_18_rep_sti,gov_18_dem_edm,atg_18_rep_hun,atg_18_dem_myl,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
40,143,46,1963,1507,209,55,81,32,1,0,78,1811,1415,184,44,70,32,1,0,65,249.6,526.7,275.6,618.8,305.4,435.8,272.9,609.3,187.3,568.9,239.1,521.6,481.8,545.2,613.9,277.7,212.9,274.4
40,143,47,1320,1097,70,35,62,7,0,0,49,1182,984,66,27,52,7,0,0,46,162.6,344.3,179.6,404,199.4,284.3,178.3,397.8,122.5,371,156.4,340.3,314.3,355.7,400.7,181,139.1,178.9
40,143,48,1921,1614,24,55,75,41,1,2,109,1564,1341,18,43,54,28,1,2,77,325,605.8,357.5,681.9,419.5,493,358.7,677.1,249,708,341.7,619.7,548.8,663.7,679.4,371.6,295.5,357.9
40,143,49,1533,979,181,135,141,25,1,1,70,1281,861,141,97,104,18,1,1,58,126.8,345.9,130.1,437.2,142.8,293.3,131.4,415.1,81.2,348.6,112.3,328.9,319.5,338.6,426.3,134.6,96.6,131.2
40,143,50,1801,1418,83,99,97,36,1,1,66,1498,1209,64,70,78,29,1,1,46,319.9,622.9,301.3,688.5,369.8,513.6,295.4,678.5,208.2,678.4,286.1,609.9,568.2,643.6,683.7,344.9,246.9,298.1
40,143,51,1605,1237,54,74,118,26,0,0,96,1385,1104,44,47,100,22,0,0,68,331.4,483.6,295.5,613.6,363.1,411.6,275.9,616.5,210.3,530.4,254.3,494.8,447.4,512.6,614.8,347.2,232.9,286
40,143,52,2234,1893,25,69,128,23,1,6,89,1891,1630,23,47,105,17,1,5,63,495.4,693.1,501.4,756.4,606.2,561.2,496.4,756.4,396.4,819.6,506.3,699.3,626.6,758.4,756.4,550.8,451,498.8
40,143,53,1334,1050,31,73,90,17,2,0,71,1105,896,24,49,71,14,2,0,49,305.7,396.2,269.2,362.3,336.5,324.1,253.4,371.8,188.9,407.6,245.5,361.9,360.3,385,366.9,321,216.7,261.1
40,143,54,1341,1098,14,59,58,17,0,2,93,1115,946,12,39,43,9,0,2,64,308.4,399.8,271.4,365.5,339.3,327.1,255.5,375.1,190.9,411.4,247.79999999999998,365.3,363.40000000000003,388.9,370.1,324.2,218.8,263.9
40,143,55,1867,1419,78,116,147,13,0,0,94,1467,1181,53,63,100,10,0,0,60,375,365.2,395.8,458.9,409,318.6,379.3,449.8,261.1,368.8,312.7,340,342,354.1,454.3,392.1,286,387.5
40,143,56,3439,1797,536,708,175,33,4,3,183,2652,1553,381,441,138,26,4,3,106,431.8,443.3,405,520.9,458.2,381.2,393.8,500.8,290.1,418.4,332.1,388.9,412.59999999999997,403.40000000000003,510.8,444.9,310.8,399.4
40,143,57,790,442,102,123,67,18,0,1,37,580,353,71,72,49,11,0,1,23,140.9,77.8,145.4,104.2,148.6,59.6,141.6,98.2,94.5,67.8,104.2,65.6,68.7,66.5,101.4,144.6,99.5,143.70000000000002
40,143,58,3600,1619,263,1358,180,46,1,8,125,2669,1413,169,857,120,33,1,7,69,562.2,377.8,538.8,438,588.2,314,520,426.8,397.5,360.3,451.6,328.3,346.4,344.6,432.40000000000003,575.1,424.2,529.4
40,143,59,1819,959,275,368,99,25,0,0,93,1408,850,188,223,70,23,0,0,54,228.9,210.2,232.1,232.5,248,175.3,223.6,232,150.2,179.5,173.8,165,192.4,172.4,232.3,238.2,162.2,228
