state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_pau,uss_16_dem_gra,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
21,181,NA,7135,6922,41,98,7,16,0,4,47,5411,5289,30,53,5,6,0,3,25,1972.7,792.3,1375.8,1443.5,1118.4,NA,NA,1673.1,NA,NA
21,183,NA,23842,22531,187,844,39,47,5,4,185,17908,17109,140,487,32,32,3,0,105,7989.2,2087.6,6777.3,3521.1,2806.2,NA,NA,7381.9,NA,NA
21,185,NA,60316,53796,2571,2133,142,785,19,58,812,43520,39127,2138,1285,123,468,15,19,345,20468.5,10267.6,21249,11717,10990.6,NA,NA,20859.1,NA,NA
21,187,NA,10841,10367,90,246,15,17,1,10,95,8178,7884,77,128,15,11,1,6,56,3738.4,1057.8,3379.6,1523.4,1288.8,NA,NA,3558.8,NA,NA
21,189,NA,4755,4659,13,39,12,2,0,3,27,3697,3637,5,23,10,2,0,1,19,1475,255.9,1159.7,481.7,370.2,NA,NA,1316.4,NA,NA
21,191,NA,14877,14521,47,143,25,20,1,2,118,11197,10977,32,83,24,11,0,0,70,4604.1,1163.5,4375.8,1494.4,1326.9,NA,NA,4489.2,NA,NA
21,193,NA,28712,27622,432,185,36,148,4,10,275,22468,21741,332,107,30,115,3,1,139,8138.8,2132,6294,3871.9,3002.9,NA,NA,7215.6,NA,NA
21,195,NA,65024,63431,348,446,59,291,8,22,419,50762,49702,269,274,49,219,7,5,237,19738.1,4275.8,14418.7,9294.9,6784.1,NA,NA,17077,NA,NA
21,197,NA,12613,12264,78,132,14,17,4,1,103,9508,9258,64,95,13,14,2,0,62,3556.5,1286.6,2701.3,2247,1766.5,NA,NA,3127.7,NA,NA
21,199,NA,63063,59943,705,1318,128,289,13,49,618,48705,46727,516,792,107,204,7,27,325,22900.6,4208.1,19972.6,7650.7,5929.9,NA,NA,21434.2,NA,NA
21,201,NA,2282,2232,3,22,2,2,0,0,21,1792,1756,3,12,2,2,0,0,17,760.6,222.1,652.3,345.4,284.5,NA,NA,706.3,NA,NA
21,203,NA,17056,16741,19,103,41,13,1,7,131,13099,12874,14,63,32,9,1,3,103,5609.5,915,4889.5,1613.6,1263.7,NA,NA,5249.4,NA,NA
21,205,NA,23333,22266,341,294,33,178,4,12,205,18771,17998,281,214,28,124,3,2,121,5173.8,3294.6,4121.3,4625,3959.2,NA,NA,4644.3,NA,NA
