state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_blu,uss_16_rep_car,uss_18_dem_mur,uss_18_rep_cor,gov_18_dem_lam,gov_18_rep_ste,atg_18_dem_ton,atg_18_rep_hat,sos_18_dem_mer,sos_18_rep_cha,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
09,009,09-091,3556,424,1463,1500,8,107,4,1,49,2575,397,1026,1004,6,104,3,1,34,791.2,88.9,674.6,157.3,749.4,66.6,494.90000000000003,54.2,481.8,75.7,468.9,69.1,482.7,59.2,770.1,482,674.6,77.8,64.7,157.3
09,009,09-094,5171,231,2048,2812,7,22,2,2,47,3493,195,1420,1833,6,15,2,1,21,1199.9,96.5,1138.5,225.8,1144.6,59.4,778.9,57.6,780.1,84.8,757.7,74.6,791,60.7,1172.7,776.9,1138.5,77.8,69.2,225.8
09,009,09-095,5736,615,1927,3020,17,57,3,9,88,3968,557,1279,2012,13,46,3,9,49,1390,161.5,1085,281.9,1357.9,122.2,894.2,96.4,878.4,140.2,835.5,117.5,878.3,109.1,1373.7,871.6,1085,141.8,115.6,281.9
09,009,09-097,714,11,186,513,1,0,0,1,2,408,9,119,276,1,0,0,1,2,105.7,12.4,75.9,11.1,101.2,5.8,61.3,8.9,60.8,10.7,59.5,9.8,61.7,9.8,103.4,60.8,75.9,9.1,9.8,11.1
09,009,09-099,696,231,165,278,3,0,0,4,15,511,231,126,141,3,0,0,3,7,132.3,15.6,95.1,13.9,126.8,7.2,76.7,11.1,76.2,13.3,74.5,12.2,77.3,12.2,129.6,76.2,95.1,11.4,12.2,13.9
09,009,09-100,1678,826,318,208,6,269,0,1,50,1624,813,313,193,6,252,0,1,46,436.4,20.2,361.9,31.099999999999998,416,23.900000000000002,332.8,17.4,327,22.8,305.6,20.4,307.5,16.1,426.1,318.09999999999997,361.9,22,19.2,31.099999999999998
09,009,09-101,2977,1545,531,338,5,471,1,12,74,2764,1493,441,292,5,455,1,12,65,1225.1,104.1,1113.6,106.1,310.8,133.1,1001.4,84.8,964.6,120.3,947.3000000000001,103.3,961.3000000000001,100.6,767.9,968.9,1113.6,118.3,102.2,106.1
09,009,09-102,1507,694,190,547,9,45,1,3,18,1240,654,151,366,7,43,1,3,15,454,51,414.2,57.2,439.6,39.4,343.1,33.800000000000004,326.8,52.1,320.9,38.5,323.7,41.4,446.9,328.4,414.2,45.3,41.4,57.2
09,009,09-103,3193,1477,640,825,8,179,0,10,54,2582,1387,439,543,6,162,0,7,38,998.2,102.1,973,111.4,817.4,88.9,835.8,74.3,802.2,110.9,789.4,88.2,798.1,89.2,907.6999999999999,806.5,973,95.4,90.7,111.4
09,009,09-104,3992,2748,214,309,3,593,0,8,117,3604,2543,174,259,3,534,0,8,83,1476.3,120.2,1586.8999999999999,135.8,973.8,127.8,1430.6,106.9,1381.8,148.1,1364.8,134,1382.2,120,1224.8,1389.6,1586.8999999999999,124,127.1,135.8
