state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_fis,uss_18_dem_ray,uss_20_rep_sas,uss_20_dem_jan,gov_18_rep_ric,gov_18_dem_kri,atg_18_rep_pet,sos_18_rep_evn,sos_18_dem_dan,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
31,055,189P,1223,969,161,52,1,16,0,9,15,904,776,78,31,1,10,0,3,5,290.2,259.5,284.3,354.5,222.5,265.2,310.1,218,231.8,278.2,349.8,219,271.5,259.5,271.5,286.3,290.2,255.9,297.5,274.7,272.5
31,055,18P,1414,1263,35,43,8,24,5,0,36,1042,947,27,27,6,21,2,0,12,400.6,277.3,400,382.4,348.3,253.7,470.3,194.70000000000002,353.2,262.2,451.4,347.8,248.5,277.3,254.70000000000002,288.59999999999997,400.6,375.1,435.1,269.9,396
31,055,192P,1002,838,85,39,3,18,0,0,19,795,688,60,23,1,15,0,0,8,137.1,169,135.6,225.8,96.7,152.7,151.9,152.2,98.8,160.1,166.9,94.10000000000001,157.4,169,156.7,189.1,137.1,114,143.9,169.9,125.89999999999999
31,055,193P,895,731,98,29,0,14,2,1,20,657,561,58,13,0,13,2,0,10,132.3,167.1,127,221,104.9,157.1,143.8,137.2,104.7,167.1,173.29999999999998,106.6,159,167.1,161.1,179,132.3,122.3,135.5,168.1,127.6
31,055,199P,1167,1006,54,69,1,13,0,0,24,904,818,27,38,1,12,0,0,8,374.2,285.7,375.59999999999997,376.9,354.7,290.8,434.40000000000003,177.6,356.6,302.9,472.2,351,276.2,285.7,290.2,277.2,374.2,383.7,405,284.9,388.4
31,055,19P,1285,1107,39,45,2,63,2,1,26,910,808,23,25,2,43,2,0,7,342.8,243.6,355.4,330.4,255.7,234.1,411.8,171.5,262.5,243.4,370.6,263.3,231.60000000000002,243.6,236.5,251.1,342.8,287.8,383.7,242.5,323.09999999999997
31,055,1P,920,781,18,94,5,5,1,1,15,714,642,12,51,2,3,1,0,3,188,184.1,208,251.1,162.8,174.2,227,166,166,191,248.1,156.1,195.9,184.1,187,208.8,188,183.6,217.4,193.7,193.6
31,055,201P,1203,983,50,93,2,52,0,0,23,983,822,40,61,2,45,0,0,13,255,253.9,265.1,319,245,228,324.7,152.7,240.8,241.8,328.1,240.1,226.9,253.9,232.2,235.8,255,263.7,294.9,237.1,271.2
31,055,202P,1113,1036,7,36,1,12,1,6,14,845,803,3,20,1,10,1,4,3,342.8,281.7,341.5,369.7,325.9,279.1,403.5,173.5,325.5,292.40000000000003,433,323.3,267.6,281.7,279.6,271.9,342.8,351.9,372.4,277.6,356.3
31,055,203P,1131,1044,5,55,2,12,0,3,10,890,837,0,36,2,7,0,3,5,364.6,264.9,367,320.3,321.7,257.3,406.8,180.5,314.5,272.1,416.5,305.7,255.4,264.9,261.8,250.4,364.6,339.8,387.2,258.5,356.6
31,055,204P,1245,1090,50,55,1,39,0,2,8,721,640,28,25,1,26,0,0,1,326.1,246.6,341.1,359.3,310.2,225.5,418.1,182.4,306.9,238.4,403.5,311.1,212.2,246.6,225.6,271,326.1,333,379.5,244.1,345.2
31,055,205P,1846,1236,413,111,11,28,0,6,41,1392,999,282,66,6,19,0,1,19,332.3,354.8,328.4,477.6,265.6,308.2,372.59999999999997,315.3,277.6,325.5,410.1,265.8,319.5,354.8,317.7,396.3,332.3,304.8,350.4,350.2,321.7
31,055,208P,1112,926,105,32,14,13,1,2,19,894,759,78,20,12,13,1,2,9,275,288,264.9,316,216,261,291.09999999999997,189.2,224.1,268.1,334.2,215,264.9,288,264.8,252.9,275,247.5,278.2,264.7,260
31,055,209P,934,865,28,20,2,3,0,0,16,767,725,22,11,1,3,0,0,5,258.6,227.5,253,286.9,238.2,195.5,302.5,142.1,231.6,213.5,322.9,226.6,209.1,227.5,205.9,214.5,258.6,254.7,278.1,212.3,262
31,055,20P,403,330,12,12,0,41,0,0,8,298,256,8,7,0,24,0,0,3,162.6,94,169.3,125.6,166,82.2,198,52.4,164.3,87.89999999999999,197.2,165.1,80.7,94,83.7,89.10000000000001,162.6,173.4,183.6,87.3,174.6
31,055,211P,2496,1381,156,864,26,9,0,1,59,1728,1139,71,472,13,8,0,1,24,272.8,391.3,265.4,501.6,212.9,347.6,298.7,363.6,221.2,360.5,382.7,210.3,360,391.3,355.8,432.9,272.8,256.8,282.1,387.4,266.3
31,055,214P,1275,880,56,253,4,59,0,3,20,973,757,32,140,4,32,0,2,6,242.1,251.5,237.6,324,199.8,237.6,266,214.5,202.79999999999998,251.6,309.4,196.6,241.9,251.5,243.4,269.1,242.1,227.1,251.5,253.4,236.6
31,055,215P,1546,806,105,528,7,59,0,6,35,1049,625,65,301,3,40,0,1,14,212.1,273.1,207,360.5,164.2,259.1,227.9,231.6,169.3,273.3,283,165.6,264.6,273.1,265.6,296.1,212.1,195.6,217.6,277.2,204.4
31,055,217P,2354,658,29,1582,12,13,0,3,57,1553,534,21,939,12,10,0,2,35,107,291.2,124.7,298.9,85.8,209,125.4,225.9,93.8,218.7,185.1,82.4,222.5,291.2,217.1,262.4,107,111.7,125.2,244.6,114.9
