state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_bar,uss_18_dem_tra,uss_20_rep_lum,uss_20_dem_dav,gov_18_rep_gor,gov_18_dem_thr,sos_18_rep_buc,sos_18_dem_byr,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
56,005,0501,1976,1771,13,130,14,13,2,1,32,1401,1273,10,76,14,13,2,1,12,637.1,33.4,839.8,69.6,552.5,52.7,830.8,85.1,525,59.300000000000004,534.9,46.7,33.4,52.8,77.2,637.1,537.7,835.3,57.4,653.4
56,005,0601,643,599,2,23,8,0,0,0,11,473,449,0,13,5,0,0,0,6,220.6,13.7,257.4,17.3,181.9,14.1,254.5,18.8,169.2,22.9,175.7,11.2,13.7,15.9,18.4,220.6,175.5,255.6,16,210.2
56,005,0701,289,280,0,1,2,0,0,0,6,234,229,0,1,2,0,0,0,2,144.2,11.1,147,12.4,112.8,12.4,143.6,12.4,107.8,15.5,106,13.1,11.1,13.6,12.4,144.2,108.1,145.1,12.6,127
56,005,0801,202,198,0,3,1,0,0,0,0,156,153,0,2,1,0,0,0,0,127.2,5.800000000000001,125.4,9.3,99.3,5.9,127.10000000000001,8.8,98.7,6.2,97.6,6,5.800000000000001,6.1000000000000005,9.1,127.2,98.8,125.9,6.4,112.6
56,005,0901,1607,1505,2,64,12,1,0,1,22,1119,1055,2,38,8,1,0,0,15,785.4,43.5,856.7,63.8,613,57.4,866.6,58.5,559.4,79.4,584.1,49.7,43.5,61.3,60.800000000000004,785.4,585.6,862.1,58.6,710.6
56,005,1201,339,313,0,8,1,1,0,0,16,239,227,0,5,1,0,0,0,6,136.3,3.1,142.7,5.5,95.4,3.8000000000000003,138.8,8,87.5,4.4,91.3,3.2,3.1,4,6.5,136.3,91.7,140.6,4.5,115.5
56,005,1301,430,414,0,9,0,0,0,4,3,345,335,0,6,0,0,0,2,2,193,4.6,222.5,6.1000000000000005,160.1,6.1000000000000005,222.5,9.4,137.7,11.9,156.6,2.4,4.6,6.3,6.8,193,152.6,222.5,6.2,180.7
56,005,1401,1758,1605,0,106,22,4,0,0,21,1219,1135,0,55,16,4,0,0,9,608.4,28.9,564.9,48,371.8,44.1,567.1,48,365.8,48,376.1,38.199999999999996,28.9,43.6,48,608.4,371.40000000000003,566,42.7,475.8
56,005,1402,563,514,1,40,5,0,0,0,3,386,357,0,24,4,0,0,0,1,246.70000000000002,3.1,254.3,6.4,179.1,2.3,246.70000000000002,10.8,161.4,3.8000000000000003,168.3,3.1,3.1,3.1,8.200000000000001,246.70000000000002,170.1,250.5,3.8000000000000003,209.20000000000002
56,005,1801,2359,2104,2,180,24,7,0,0,42,1734,1592,2,94,18,5,0,0,23,751.8,42.6,861.5,57.5,497.4,54.6,848.1,65.1,465.2,61.4,492.5,44,42.6,52.9,61.3,751.8,484.9,854.6,54.300000000000004,653.7
56,005,1901,1732,1552,3,123,25,5,0,0,24,1225,1121,3,68,17,4,0,0,12,608,34.5,624.6999999999999,57.7,371.7,48.2,613.3,60.6,351,53.7,369.4,38.3,34.5,46.8,58.7,608,364.3,618.8,49,490.1
56,005,2201,1233,1147,0,34,12,13,0,6,21,847,795,0,22,5,8,0,3,14,434,32.2,340,43.6,236.1,40.7,341.8,42.3,221.4,39.6,238,29.8,32.2,36.7,42.9,434,231.8,340.8,38.2,301.9
56,007,0101,2644,1509,55,981,47,15,5,5,27,2079,1233,50,718,45,13,2,2,16,346.8,214.3,414.8,201.5,268.4,212.5,412.5,208,245.1,215.2,246.3,208.7,214.3,213.1,204.9,346.8,252.5,413,211.1,321.3
56,007,0102,1049,726,10,283,10,2,1,0,17,789,569,10,187,6,2,1,0,14,161.6,54.5,178.5,63.4,125,51.2,180.5,67.1,118,54.4,119.7,49.3,54.5,51.1,64,161.6,121.8,179.2,56.4,147.2
