state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_bur,uss_16_dem_ros,uss_20_rep_til,uss_20_dem_cun,gov_16_rep_mcc,gov_16_dem_coo,gov_20_rep_for,gov_20_dem_coo,atg_16_rep_new,atg_16_dem_ste,atg_20_rep_one,atg_20_dem_ste,sos_16_rep_lap,sos_16_dem_mar,sos_20_rep_syk,sos_20_dem_mar,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
37,067,064,1938,1453,165,275,6,8,0,2,29,1535,1199,132,177,5,8,0,2,12,494.2,342.1,614.4,417.2,517,320.9,579.9,404,464,382.7,570.2,454.90000000000003,473.9,367.9,605.1,418.2,452.4,378.9,568.3,438.8,358.9,NA,426.7,480.2,NA,587.5
37,067,065,4897,3940,514,240,10,135,2,5,51,3847,3186,375,151,10,98,2,3,22,1778.8,923.9,1986.3,1318.7,1851.7,876.9,1946.2,1256.9,1717,1042.3,1848.1,1471.8,1749.8999999999999,1024.1,2036.1,1271,1695.9,1043.3,1937,1341.3,982.2,NA,1332.1,1758.8,NA,1950.3
37,067,066,4138,2919,289,804,5,59,0,4,58,3061,2322,199,466,5,49,0,1,19,1093.9,476.4,1319.1,633.1,1097,463.9,1254.5,596.2,1024.7,553.9,1235.6,703.2,1049.1,537.2,1313,632.3,1014.1,555.2,1284.2,641.7,517.2,NA,641.4,1055.7,NA,1281.3
37,067,067,3205,2233,529,312,6,43,0,7,75,2515,1852,382,202,5,34,0,4,36,757.7,535.8,805.7,670,746.9,525.8,748.1,661.9,699.2,602.8,752.2,699.2,712,612.8,782.9,684.9,714.1,591.8,771,684.9,573.8,NA,680.3,726.1,NA,771.8
37,067,068,3233,2835,221,98,14,17,0,1,47,2318,2065,164,50,9,12,0,1,17,1295.9,603.8,1488.2,783.3,1295.1,585.9,1425.2,757.8,1198.8999999999999,724.1,1348.9,906.1,1270.9,659.9,1482,798.2,1225.9,677.6,1453.1,810.1,650.4,NA,810.8,1257.3,NA,1439.5
37,067,071,4679,3990,276,180,5,136,0,10,82,3413,2989,194,102,4,87,0,5,32,1543.1,1035.1,1719.3,1387.1,1726,926.9,1688.1,1309.2,1518.9,1166.2,1598.8,1501.3,1586,1087,1764.9,1325.3,1539.1,1089.9,1673.1,1374.9,1061.4,NA,1379.3,1582.8,NA,1688.5
37,067,072,8360,6174,668,1086,12,295,0,13,112,5895,4609,457,582,12,203,0,4,28,2357.2,1555.5,2627,2159.1,2543.2,1418.4,2553.2,2054.1,2225.7,1768.5,2405.8,2361.6,2328.3,1666.6,2684.3,2091.6,2307,1631.6,2554.7,2154.6,1608.2,NA,2163.7,2352.9,NA,2565.5
37,067,073,3565,3295,114,85,12,28,2,1,28,2721,2540,90,53,5,19,2,0,12,1544.9,671.8,1766.1,923.7,1646.8,609.7,1757.1,849.3,1523.3,766.2,1660.1,1040.3,1555.7,717.1,1820.2,879.2,1531.7,723.6,1731.2,922.6999999999999,698.1,NA,923,1560.2,NA,1747.2
37,067,074,4141,3266,408,179,7,199,1,4,77,3161,2581,299,111,6,131,1,0,32,1140.5,1099.8999999999999,1324.2,1532.8,1243.9,1006.9,1323,1424.1000000000001,1088.5,1195.7,1234,1620.7,1124.6,1143.9,1400.9,1456.1,1123.8,1113.1,1316.2,1509.5,1112,NA,1508.9,1144.1,NA,1319.6
37,067,075,859,791,25,20,1,11,0,0,11,691,646,23,10,1,7,0,0,4,361.1,151,408.9,189.2,385.2,138.1,385.9,196,339.1,190.9,378,225.2,352.8,171,395,206.3,344.4,170.1,383,211,164.29999999999998,NA,205.7,356.7,NA,390.1
37,067,081,5284,2548,1735,787,31,80,2,16,85,3959,2110,1257,460,19,58,2,9,44,902.7,1461.5,963.5,1698.1,899.3,1428.9,881.8,1646.9,811.3,1547.8,876.7,1753.9,846.7,1519.8,970.9,1690.9,811.5,1543.8,921.3000000000001,1724.3,1500.4,NA,1702.6,853.8,NA,922.4
37,067,082,5448,3125,1926,280,17,39,1,5,55,4197,2524,1444,167,12,28,1,1,20,1411,1854.9,1653.9,2091.1,1431.1,1827.2,1582.3,2027.8,1352,1938.1,1544.6,2184.7,1387.3999999999999,1883.5,1649,2107,1291.8,1953.9,1589.9,2144,1890.5,NA,2110.2,1375.2,NA,1603.2
37,067,083,3611,1603,1514,375,13,19,2,13,72,2691,1270,1159,204,9,12,2,1,34,502,1016.3,621,1085.6,516.6,988.3,575,1052.3,487.3,1035.9,567,1123.3,485,1030.4,604.3,1102.6,466.6,1035.1,573.1,1112.4,1021.1999999999999,NA,1095,490.6,NA,588.3
37,067,091,3100,2671,294,79,15,11,0,5,25,2447,2144,219,49,14,7,0,0,14,1084.3,412.2,1261.1,457.7,1090.8,396.9,1168.5,462.3,1016.9,495,1164.3,538.2,1042.6,482.4,1244.1,471.2,996,507.8,1214.3,492.3,458.5,NA,484.3,1046.6,NA,1211.1
37,067,092,2366,2169,100,62,8,12,1,1,13,1890,1747,86,32,6,9,1,0,9,961.6,305.8,1077.9,369.8,969.9,300,1020.4,369.8,920.1,378,995.3,446.8,908,387.3,1047.3,399.4,857.3,415,1013.8000000000001,427.5,357.2,NA,401.5,923.1,NA,1031.2
37,067,101,3763,1894,774,992,4,22,1,12,64,2669,1554,544,513,4,18,1,4,31,738.9,800.8,738.9,957.8,788.3,762,699.6,926.6,696.8000000000001,870.1,666.1,1030.6,731.2,837.5,751,954,708.1,847.7,709.2,984.1,823.4,NA,970.4,732.7,NA,712.7
37,067,111,2582,2278,164,95,16,1,0,0,28,2046,1844,126,47,14,1,0,0,14,998.1,277.8,1092.2,352.7,976.1,291.4,1033.4,345.9,945.8000000000001,343.6,1038.3,407.1,953.8,347.7,1068.1,384.40000000000003,918.5,364.5,1051,392.9,325.1,NA,376.9,958.6,NA,1056.2
37,067,112,4517,3552,668,192,27,16,1,5,56,3353,2690,496,108,19,12,1,2,25,1435.9,635.1,1724.1,816,1412.5,622.9,1604.3,835.4,1300,755.9,1580,954.1,1355,714.9,1652.2,871.1999999999999,1307.3,741.6,1614.2,887.8,693.3,NA,872.9,1362,NA,1635.2
37,067,122,6860,4067,1839,538,13,265,1,22,115,5005,3165,1245,348,12,175,1,6,53,1662.5,2288.1,1879.3,3140.3,1774.9,2182,1802.7,3010.4,1622.8,2392,1729.4,3267.3,1679.7,2361.4,1906.2,3126.2,1600.2,2393.8,1816.9,3170.1,2323.6,NA,3143,1667.9,NA,1826.6
37,067,123,3643,2594,606,228,8,134,0,2,71,3019,2230,476,158,8,103,0,0,44,985.1,959.7,1117.9,1359.4,1062.2,905.8,1097.2,1277.1,955.6,1032.2,1035.2,1432.1000000000001,990.8,1005.3,1138.1,1326.1,980.6,992.1,1083.2,1348.9,979.1999999999999,NA,1348.8,995.1,NA,1094.3
37,067,131,3927,3244,406,124,6,77,0,4,66,2920,2472,292,70,4,46,0,2,34,1303,1008.3,1465.8,1348.9,1440,936.9,1442.4,1265.6,1295.1,1100.9,1359.2,1452.2,1346.8,1046.3,1504.8,1309.7,1301.5,1045.1,1453.1,1323.9,1027.3,NA,1339.8,1337.1,NA,1445.4
37,067,132,4345,3656,420,115,15,81,0,8,50,3261,2796,306,70,11,51,0,4,23,1631.4,1191.2,1839.1,1719.4,1739.8,1104.9,1812.7,1611.3,1537,1342,1723.2,1843.2,1594,1280.6,1878.2,1673.1,1567.7,1261.9,1791.6,1729,1236.7,NA,1715.6,1614.1,NA,1809.2
37,067,133,6344,5657,241,223,22,126,1,11,63,4673,4246,181,123,13,77,1,3,29,2531.5,1558.7,2846.2,2257.6,2778.4,1390.9,2867.9,2105.6,2458.4,1775.2,2624.1,2492.8,2573.1,1647,2978,2121.8,2525.6,1622,2820.6,2201.8,1598.9,NA,2236.2,2573.3,NA,2827.2
37,067,201,7208,2013,3745,1153,15,122,18,16,126,5679,1884,2839,739,13,105,10,11,78,353.4,2348.7,441.2,2558.5,436,2224.9,447.8,2397.2,370.3,2301.9,386.3,2557.3,383.2,2301.9,480.6,2496.2,345.4,2317.7,407.4,2518.9,2299.6,NA,2505.6,377.5,NA,432.2
37,067,203,2569,22,2241,244,10,1,8,0,43,1684,20,1506,128,6,1,5,0,18,18.8,1088.7,44,1082.5,34.7,1067.8,41.8,1022.6,39.3,1064,23.1,1083.9,32,1069.6,50.1,1064,25,1075.6,27.6,1077,1073.1,NA,1066.2,30.2,NA,37.3
37,067,204,2521,355,1638,424,9,35,8,6,46,1821,317,1211,216,8,35,3,4,27,82,971.2,78.2,985,93.9,954.1,74,944.8,84.8,955.2,82.6,968.8,88.1,972.9,97.2,965,83.8,968.8,86.1,963.1,964.5,NA,965.3,86.39999999999999,NA,83.2
