state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_boo,uss_16_dem_eld,uss_20_rep_cot,uss_20_dem_har,gov_18_rep_hut,gov_18_dem_hen,atg_18_rep_rut,atg_18_dem_lee,sos_18_rep_thu,sos_18_dem_inm,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
05,003,06,354,107,223,22,1,0,0,0,1,278,90,173,13,1,0,0,0,1,28.3,85.4,21,70.3,29.6,69.5,31.8,50.2,22.7,69.1,16.7,72.8,13.4,79.4,77.3,73.4,60.3,28.8,17.400000000000002,26.3,70.6,23.3
05,003,07,13,7,6,0,0,0,0,0,0,10,5,5,0,0,0,0,0,0,1.8,0.6,3,1.8,1.4,0.6,3,1.8,1.2,0.6,1.2,0.6,1.2,0.6,0.6,0.6,1.8,1.6,1.2,3,0.9,1.8
05,003,08,430,261,159,4,0,1,0,0,5,333,202,125,2,0,1,0,0,3,76,88.9,84,84,76,88.4,99.9,66.2,71.9,60.800000000000004,68.8,64.4,63.1,67.9,88.9,64.4,74.9,76,67.8,92.1,74.3,77.2
05,003,09,110,63,43,2,0,0,0,0,2,82,52,30,0,0,0,0,0,0,24.2,13,24.2,8.2,23.2,13.7,27.299999999999997,5.6000000000000005,21.1,9.8,19.2,11.8,17.8,13.7,13.4,11.8,7,23.9,19.4,25.2,10.5,22.7
05,005,01,868,840,2,7,5,0,2,0,12,720,701,2,5,5,0,2,0,5,331.1,72,368.8,94.1,312.8,73.8,377.8,79.5,240.79999999999998,68.10000000000001,242.9,72,240.79999999999998,72,73,70.7,86.5,322.1,241.4,373.5,75.7,302.2
05,005,010,985,939,1,35,1,5,0,0,4,796,769,1,19,1,3,0,0,3,219.8,75.9,392.9,126.8,204.1,76.9,393.1,115.80000000000001,283.2,86.1,276.5,96.3,271.8,99.2,76.4,94.2,121.3,212,276.7,392.9,96.9,291.7
05,005,011,3142,3001,14,52,19,20,4,0,32,2554,2468,8,33,10,15,4,0,16,1112.7,350.9,1075.2,425.7,1085,347.5,1119.5,377.3,814.9,280.7,800.4,305.4,797,298.6,349,295.4,401.5,1098.6,803.7,1097.6,341.1,971.8000000000001
05,005,012,2955,2804,3,76,15,23,2,3,29,2363,2258,3,47,13,21,2,2,17,1059.2,331.4,1098.5,398.8,1024.1,339.2,1125,371.5,695.9,195.9,672.5,222.1,660.3,236.4,335.3,218.5,384.9,1041.9,676.1,1111.2,299.1,904.7
05,005,015,3076,2930,1,66,10,21,0,0,48,2554,2449,1,46,9,17,0,0,32,862.9,293.9,1006,368.9,839.3,290.5,1022.7,339.8,734.5,231.5,689.4,263.2,668.9,280.9,291.5,258.2,354.2,851.5,697.3,1014.7,295.8,832.5
05,005,016,837,802,0,10,4,0,0,0,21,636,613,0,5,2,0,0,0,16,300.7,69.3,323.8,83.3,290.1,72.9,331.4,75.7,222.9,48.2,216.9,59.3,216.1,57.7,71,55.2,79.4,295.7,218.3,327.3,66.7,271.7
05,005,017,1446,1400,1,26,6,3,0,0,10,1183,1151,1,15,6,3,0,0,7,618.4,149.4,669.2,173.1,593.1,156.6,684.7,150.6,463.2,115.9,458,127.2,454.2,130.3,153,124.7,162,605.8,458,676.8,143.4,562.8
05,005,018,377,366,0,4,5,0,0,0,2,325,318,0,2,3,0,0,0,2,166,36.7,196.6,32.7,153.6,50,198.7,36,131.6,31.3,130,33.7,123.2,39.699999999999996,43,34.8,34.4,159.5,128.4,197.6,37,157.6
05,005,019,1527,1473,1,27,4,4,0,0,18,1291,1256,1,13,4,3,0,0,14,603.1,181.7,646.3000000000001,180.3,574,192.9,650.4,170.6,454.2,137.6,444.2,153.5,449,148,186.7,146.4,176.2,589.1,448.5,648.5,166.9,545.7
05,005,02,1373,1329,1,16,2,6,0,2,17,1269,1229,1,14,2,6,0,1,16,684,193.9,567.3,138.7,646.4,193.9,569.9,130.4,390.2,86.4,380.7,100.9,379.5,103.2,193.9,97.2,134.4,665.1,383.09999999999997,568.6,135.5,517
05,005,020,503,480,5,1,3,5,0,0,9,395,380,2,1,3,4,0,0,5,179.6,70.8,163.6,73.5,184.2,58.7,162,70.2,124.9,42.8,117.8,52,111.2,57.8,64.7,51.4,72.1,181,118.1,162.6,60.4,149.1
05,005,021,964,892,1,33,13,2,0,1,22,788,734,1,22,11,2,0,1,17,270.9,110.7,289.7,105.8,265.1,105.8,292.5,102.2,226.1,68,215.8,78.7,213.1,78.7,107.9,75.8,104,267.9,217.9,291.1,93.7,253.2
05,005,022,2078,1974,1,47,11,12,1,0,32,1559,1498,0,25,10,9,1,0,16,550.8,134.8,616.1,148,532.9,140.2,606.4,151.3,325.8,100.3,325.8,100.3,321.1,104.7,136.9,101.3,149.2,541.6,324.7,610.9,125.7,468
05,005,023,418,406,0,5,1,0,0,0,6,316,307,0,3,1,0,0,0,5,147.4,46.5,131,46.4,138.9,47.8,132.8,45.4,93.1,30,99,27.1,92.5,29.6,47.3,28.8,45.9,143,95,131.8,38.7,119.10000000000001
05,005,024,456,421,0,20,3,0,0,0,12,364,347,0,8,3,0,0,0,6,160.4,41.1,182.20000000000002,41.3,153.3,43.9,180.6,47,122.4,32.6,123.5,33.6,116.5,39.9,42.1,35.4,43.9,157.5,120.8,181.5,40.2,148
05,005,025,1066,1042,1,13,4,5,0,0,1,861,842,1,9,4,4,0,0,1,448.2,127.2,493.2,143.4,430.6,120.4,487.6,138.5,327.3,102.3,327.3,105.7,327.3,108.4,124.5,105.1,140.7,439.1,327.3,490.3,121,405.4
05,005,026,435,414,0,3,5,5,0,0,8,371,355,0,2,5,4,0,0,5,200.7,64.6,189.4,49.8,178.9,67.5,193.7,47.1,54.4,21.4,54.4,24.7,48.3,28.599999999999998,65.7,24.8,48.2,189.6,52.4,191.9,42.9,131.2
05,005,027,164,161,0,0,3,0,0,0,0,146,143,0,0,3,0,0,0,0,8.9,2.7,46,14.2,9.9,1.9000000000000001,43.8,20.1,4.8,6.8,11.5,4.8,6.8,6.8,2.2,6.1,16.8,9.1,7.4,45.2,8,18.8
05,005,028,89,85,0,1,0,0,0,0,3,74,70,0,1,0,0,0,0,3,39.2,7.4,26,4,38.2,5.8,25.2,4.9,15.4,5.8,17.099999999999998,5.8,13.8,6.6000000000000005,6.6000000000000005,6,4.4,38.7,15.4,25.5,5.8,24.9
05,005,03,741,718,0,11,2,4,0,0,6,685,664,0,9,2,4,0,0,6,243.7,81,402.5,133.2,232.5,78.1,408.9,124.1,321.5,91.9,314.3,103.3,304.3,109.1,80,101.4,128.7,237.8,313.3,405.2,102.7,318.3
05,005,031,419,412,0,2,1,2,0,0,2,319,314,0,1,1,2,0,0,1,123.5,28.6,136.6,25.9,119,29.8,135.7,29.7,90.8,22.2,91.7,23.2,90.7,24.3,29,23.2,27.7,121.6,90.9,136.1,26.2,112.7
05,005,032,784,769,0,6,2,2,1,0,4,633,623,0,3,2,1,1,0,3,219.4,65.4,292,81.7,208.8,73.5,298.1,75.5,206.1,58.2,201.6,61.9,197,64.4,69.6,61.7,78.3,213.8,201.4,295.2,68.3,232
05,005,034,220,220,0,0,0,0,0,0,0,157,157,0,0,0,0,0,0,0,81.10000000000001,11.2,75.6,16,73.5,14.2,76.3,13.3,53.9,11.5,54.4,14.8,53.8,13.8,13.3,13.8,14.2,76.9,53.8,75.7,13.9,67.3
05,005,035,3233,3113,12,50,13,7,0,0,38,2597,2512,10,34,9,4,0,0,28,1094.7,385.7,1029.1,376,1052.4,390.8,1070.9,321.4,703.1,230.1,679.8,250.9,671.9,253.3,388.2,244.5,348.7,1073.6,684.5,1049.8,315.1,900.3
05,005,037,1123,1082,1,13,10,5,3,0,9,900,874,1,9,8,3,2,0,3,400,77.9,410.6,92.1,389.6,74.2,404.7,97.9,282,63.9,280,67.60000000000001,275.59999999999997,70.7,76.2,67.5,94.9,394.6,279.3,407.3,77.7,348.9
05,005,038,835,789,0,12,10,5,0,4,15,672,643,0,10,5,5,0,1,8,315.6,69.7,344.1,82.8,305.8,69.10000000000001,348.1,79.2,225.4,46.3,221.3,54.2,218.5,55.1,69.4,51.8,80.89999999999999,310.6,221.9,346.3,65,282.8
05,005,039,109,107,0,1,0,0,0,0,1,85,83,0,1,0,0,0,0,1,11.8,1.7,36,3.9,11.700000000000001,1.3,39.8,2,38.4,7.3,40,7.3,35.1,7.5,1.4,7.3999999999999995,2.9000000000000004,11.700000000000001,37.8,37.9,4.4,30.4
