state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_cor,uss_16_rep_hec,uss_18_dem_ros,uss_18_rep_hel,gov_18_dem_sis,gov_18_rep_lax,atg_18_dem_for,atg_18_rep_dun,sos_18_dem_ara,sos_18_rep_ceg,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
32,001,16,1009,429,4,90,439,5,0,0,42,746,354,3,59,304,3,0,0,23,126.8,240.29999999999998,198.3,268.6,136.1,233.3,118.60000000000001,219.9,107,227.9,117.2,209,129.1,217,130.8,118.3,198.3,235.7,218.7,268.6
32,001,17,1926,1605,8,212,35,21,4,4,37,1507,1288,5,137,25,19,3,3,27,148.3,687.3,230.70000000000002,855.5,170.4,646.6,148.2,579.2,142.9,575.8,131.5,581.9,163.4,611.2,159.3,146.4,230.70000000000002,667.3,586.8,855.5
32,001,18,2117,1628,4,380,35,31,1,3,35,1551,1265,3,205,30,27,1,3,17,207.3,734.5,265.1,886.3,202.9,716.7,184.6,700.9,178.3,702.9,159,702.9,189.2,724.6,204.8,177.8,265.1,726,707.4,886.3
32,001,19,1033,900,4,77,20,8,0,0,24,831,741,2,51,16,6,0,0,15,92.5,390.5,117.1,503.5,98.3,381,84.5,361.3,82.2,360.5,78.7,351.8,86.5,374.9,95.1,83.1,117.1,386,362.1,503.5
32,003,1001,1191,1073,8,67,7,20,3,1,12,976,885,4,51,7,17,2,1,9,225.2,458.6,283.5,505.5,223.7,446.8,246.9,404.4,235.2,409.8,214.9,409.40000000000003,205.5,432.3,224.2,225.5,283.5,452.7,414,505.5
32,003,1002,1136,1032,8,61,4,21,0,0,10,1013,929,6,48,4,18,0,0,8,198.79999999999998,429.9,253.4,496,196.1,413.2,192.9,401.2,197.79999999999998,394.4,182.2,400.1,175.3,409,197.7,187.4,253.4,421.8,400.9,496
32,003,1003,1719,1571,36,55,13,14,1,2,27,1552,1449,22,41,9,14,1,2,14,297.1,850.9,389,939.2,314.6,794,309.9,746.2,311.9,738.6,288.2,752.2,282.6,759.9,305.5,298.2,389,822.5,748.7,939.2
32,003,1004,669,572,5,64,7,5,2,0,14,555,485,5,42,6,5,2,0,10,122.5,265,157.8,278.8,119.3,259.1,139.5,236.1,134,238.9,121.8,238.1,115.2,250.7,120.9,127.7,157.8,262.2,240.8,278.8
32,003,1005,1699,1464,8,149,16,16,0,0,46,1395,1247,5,90,14,14,0,0,25,303.8,429.9,384.9,471.1,310,392.9,339.9,321.2,329.1,316,302.1,337,311.9,343,307.3,320.8,384.9,411.59999999999997,329.3,471.1
32,003,1006,1325,1142,3,117,10,8,5,3,37,1005,890,1,71,8,8,2,2,23,266.9,341.9,274.1,458.09999999999997,271.9,329.9,248.9,271.9,232,281.9,226,284.1,214,309,269.6,230.4,274.1,336,286.7,458.09999999999997
32,003,1007,1479,1296,3,115,11,13,6,2,33,1171,1049,3,78,11,11,3,2,14,298.2,528.4,357.6,649.5,307.9,510.90000000000003,300.5,455.6,279.8,462.1,261.4,464.6,254.3,494.3,302.9,273.9,357.6,519.7,468.90000000000003,649.5
32,003,1008,1797,1487,26,179,22,19,6,7,51,1371,1187,18,102,15,15,5,5,24,260.09999999999997,584.3000000000001,335.1,665.6,268.1,565.4,259.2,494.3,257.2,481.4,235.3,495.4,240.1,509.5,264,247.9,335.1,574.9,495.2,665.6
32,003,1009,1636,1425,11,130,6,15,2,2,45,1265,1131,7,82,3,12,2,2,26,261.9,557.5,309.9,647.5,274.6,554.7,256.8,469.7,266.7,458.6,223.7,473.6,215.7,508.7,268.2,241,309.9,555.9,477.9,647.5
32,003,1010,963,903,1,38,1,11,4,0,5,757,716,1,25,1,10,2,0,2,179,433.9,211.9,472.90000000000003,169.1,446.1,176,403,177,400,163.79999999999998,407.09999999999997,154.1,422,173.9,167.9,211.9,439.8,408,472.90000000000003
32,003,1017,1343,926,11,369,1,4,11,0,21,823,583,5,221,1,3,5,0,5,71.2,387.6,69.5,465.5,67.2,386.4,55.6,336.7,52.5,275.7,57.300000000000004,328.6,55.6,344.5,68.9,55.5,69.5,387,321.3,465.5
32,003,1038,590,502,15,41,1,26,1,0,4,543,467,15,31,1,24,1,0,4,151.9,199.1,189,231,140.1,198,130,177,136.1,174,122.10000000000001,181,123,178,146,127.8,189,198.7,177.5,231
32,003,1039,1318,1164,18,43,2,63,1,0,27,1227,1095,16,33,2,60,1,0,20,294.1,558,382,547.9,273,564,283.9,489.2,327,448.1,256.9,501.90000000000003,239.9,515.9,283.8,276.9,382,560.8,488.9,547.9
32,003,1050,32,26,0,6,0,0,0,0,0,30,24,0,6,0,0,0,0,0,8.8,14,13.3,24.1,8.8,15.9,12.1,16.9,11.1,18,11.1,18,11.1,19.2,8.8,11.4,13.3,14.9,18,24.1
32,003,1060,749,564,13,119,0,34,2,3,14,623,485,12,82,0,32,2,1,9,154.6,221.6,175.6,249.8,154.6,207.7,135.4,192,137.20000000000002,186.9,132.2,190.5,125.6,204.2,154.6,132.6,175.6,214.7,193.3,249.8
32,003,1063,2422,1518,81,516,8,193,45,2,59,1893,1252,61,355,5,163,20,2,35,468.1,471,649.2,572.8,465.9,440.1,481.9,358,475.9,357,443.1,367,448.8,385.2,466.8,462.6,649.2,455.5,366.9,572.8
32,003,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,003,1072,974,868,6,62,10,1,2,0,25,870,793,6,39,6,1,2,0,23,79.1,232.2,99.2,286.9,91.2,202.5,76.6,179.4,71.7,188.6,70.1,182.2,68.5,193.6,84,71.7,99.2,217.9,186.3,286.9
32,003,1073,4018,3075,128,549,46,94,10,9,107,3443,2735,102,402,39,79,8,7,71,494.2,1122,824.9,1593.3,513.1,1011.5,537.3,1019.1,526.9,1025.6,485,1048.7,487,1067.2,503.2,509.3,824.9,1067.3,1040.5,1593.3
32,003,1074,3485,2744,91,461,18,63,19,3,86,2977,2471,68,297,16,59,16,2,48,467,847.8,726.8,1131.8,484.6,746.1,467.6,676.7,451.09999999999997,693.9,431.3,717.4,432.5,718.5,475.7,445.8,726.8,796.9,702,1131.8
32,003,1078,1955,1415,95,267,12,87,25,2,52,1439,1090,67,165,8,68,15,2,24,355.2,495.1,464.2,610.3,338.9,493.9,334,408.9,324.3,415.2,314.3,425.90000000000003,310.8,442.8,346.7,321,464.2,494.3,423,610.3
32,003,1082,3212,1756,338,858,21,93,12,11,123,2200,1344,181,518,18,72,9,5,53,501,474.5,634.8,649.6,481.2,430.9,439.4,375.2,423.7,377.6,421.5,390.5,419.7,405.2,490.90000000000003,426.2,634.8,452.3,387.2,649.6
32,003,1108,1457,1090,55,191,4,56,8,1,52,1157,892,46,129,3,49,8,1,29,320.8,289.90000000000003,406.6,335.1,313,277.2,294.3,234.1,282.6,233.7,274.9,240.4,277.2,250.2,316.8,282.2,406.6,283.6,239.6,335.1
32,003,1109,1499,831,170,359,11,54,11,4,59,1091,654,110,233,9,45,9,3,28,302.40000000000003,273.2,383.4,316,295.2,261.6,277.7,220.7,266.4,220.3,259.2,226.6,261.6,235.8,298.8,266.2,383.4,267.4,225.8,316
32,003,1112,1086,754,48,170,2,65,7,0,40,839,598,37,123,2,55,6,0,18,279.1,244,338,278,264.9,229.9,258.1,181,260,181,247.1,183,243,187,272,251.9,338,237,182.8,278
32,003,1113,1586,1216,47,174,6,99,4,7,33,1259,992,39,115,5,79,2,4,23,437.1,494.1,532,559,429.9,484.8,429.9,441.09999999999997,427.3,431.09999999999997,377.8,461,390.7,471.59999999999997,433.3,406.3,532,489.7,451.3,559
32,003,1116,1751,1252,72,179,4,165,8,9,62,1286,960,45,120,4,117,8,6,26,387.1,423.20000000000005,507.8,490.90000000000003,358.8,430.6,385,347.4,377.3,352.09999999999997,344.7,356.2,339.4,375.40000000000003,373,361.7,507.8,426.90000000000003,357.5,490.90000000000003
32,003,1123,1083,730,72,167,0,51,6,1,56,892,631,56,123,0,42,6,1,33,211,214,261.90000000000003,237,195,219.9,217,172.79999999999998,218,171,204.1,181,218.9,174,202.9,214.6,261.90000000000003,217,174.70000000000002,237
32,003,1124,1672,1123,49,233,11,183,7,5,61,1273,882,42,157,5,149,5,1,32,394,354.8,483.29999999999995,453.09999999999997,368.8,352,351.1,275.1,341.1,276.9,329.1,281.2,316,299.2,381.5,334.2,483.29999999999995,353.5,283,453.09999999999997
32,003,1127,1781,1230,107,282,6,80,14,1,61,1401,1001,74,200,5,75,13,1,32,421.8,389,524.1,465,404.1,357,383.09999999999997,314.1,390,310,359.1,322.1,358,332.90000000000003,413,372.5,524.1,373.1,319.9,465
