state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_van,uss_16_rep_sze,uss_18_dem_car,uss_18_rep_cam,gov_18_dem_jea,gov_18_rep_hog,atg_18_dem_fro,atg_18_rep_wol,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
24,003,01-012,5587,2353,2042,643,10,304,5,17,213,4021,1909,1359,407,10,237,4,7,88,1279.2,400.4,1358.1,389.90000000000003,1267.8,408,980.9,211,801.1,448.1,1019.3000000000001,240.2,1273.4,933.6,1358.1,404.1,299.7,389.90000000000003
24,003,01-013,2017,1380,397,129,12,25,0,2,72,1443,1092,225,76,8,22,0,0,20,388.09999999999997,340.8,313.2,307.3,428.1,284.4,321.2,152.9,196.5,315.3,319.1,202,408.6,278.6,313.2,312.3,223.7,307.3
24,003,01-014,2794,1974,349,302,19,101,0,5,44,2201,1607,264,216,14,72,0,2,26,448.09999999999997,762,571.8,710.8,512.3,694.4,400.3,452.5,214.20000000000002,685.3,398.3,512.4,480.3,337.8,571.8,728,550,710.8
24,003,01-015,2554,2054,254,130,2,67,0,1,46,2018,1685,169,85,2,54,0,1,22,550.4,779.1,667.2,649,615.6,711.8,551.5,463.1,248.9,832.8,524.2,555.8,583.3,441.6,667.2,746.8,617.2,649
24,003,01-016,3345,2259,498,316,22,115,4,6,125,2523,1828,322,204,19,91,4,2,53,669.8,650.3000000000001,541.3,569.8,688.4,618.9,538.3,382.4,344.6,633.4,555.2,422.5,679.9,479.6,541.3,635.3,478.9,569.8
24,003,01-017,2410,1774,306,148,11,86,0,5,80,1823,1402,225,81,11,66,0,3,35,389.7,457.3,463.8,423.3,461.6,398.5,370.1,239.70000000000002,213.1,444.1,371.2,278.9,425.59999999999997,318.3,463.8,427.9,321,423.3
24,003,01-018,4178,2505,1254,161,14,149,0,2,93,3468,2157,1010,116,10,121,0,1,53,1033.4,680.9,1218.3,699,1084.9,587.7,844.1,378.9,591.8,659.9,851.4,411.2,1058.7,762.6,1218.3,634.6,483.59999999999997,699
24,003,01-019,3301,1257,1297,287,6,292,2,10,150,2392,966,947,171,5,212,2,7,82,906,349,1312,420.9,884.1,400.7,975.2,300.1,663.9,655.2,969.2,364.1,894.8,869.4,1312,374.9,439.5,420.9
24,003,01-020,3111,1441,1024,257,6,230,0,3,150,2435,1182,805,172,6,189,0,3,78,876.8,413,1276,516.9,861.9,453,781.9,360,558.8,631,791.1,411.9,869.2,710.6,1276,433,467.9,516.9
24,003,01-021,3406,764,2099,229,12,147,1,8,146,2219,618,1274,145,9,112,1,4,56,1134.8999999999999,186.2,1553.8,257,1076.1000000000001,245,1021.1,163,868,362.9,1028.8999999999999,209,1105.2,972.5,1553.8,215.4,244.89999999999998,257
24,003,01-022,6325,3567,1207,370,18,947,8,15,193,5070,3022,882,267,15,769,7,10,98,2306,1173.1,4040.4,1462.9,2210.8,1292.3,2320.3,979.2,1576.2,1842.5,2295.6,1155.6,2258.2,2064.2,4040.4,1232.7,1326,1462.9
24,003,01-023,5518,1638,3599,167,11,41,0,13,49,5212,1471,3544,127,6,35,0,13,16,275.3,87.10000000000001,1198,312.3,256.6,96.69999999999999,617.3,152.4,500.90000000000003,302.7,622.8,178.6,266,580.3,1198,92,211.20000000000002,312.3
24,003,01-024,1825,884,550,152,1,162,4,3,69,1391,699,415,101,1,136,4,2,33,645.1,269.8,862.8,285,630,298.8,569.2,216,385,436.09999999999997,578.9,250,637.6,511,862.8,284.3,300.7,285
24,003,02-001,2106,1557,258,109,5,109,0,8,60,1706,1287,210,82,5,93,0,2,27,457,550.1,746,612,485.9,557.9,495,389,273.9,689.8,501.9,465.09999999999997,471.3,423.5,746,554.2,514.7,612
24,003,02-002,1768,1331,207,54,10,104,1,3,58,1399,1086,152,43,10,82,1,0,25,548.9,427.8,589.1,406.3,569.9,422.3,434.6,289.9,218.1,523.5,419.59999999999997,325,559.4,357.5,589.1,425.3,379.4,406.3
24,003,02-003,2971,1934,446,366,4,111,16,6,88,2304,1599,300,256,4,90,7,4,44,623.8,713,593.1,601.9,630.9,716,529,460.8,288,779.9,535.9,533.2,627.6,450.5,593.1,714.7,591.5,601.9
24,003,02-004,3201,2057,762,105,19,130,4,11,113,2500,1644,601,69,11,109,3,5,58,787.2,661.1999999999999,1151.9,813.1,763.7,686,768.1,473.90000000000003,466.3,833,754.8000000000001,539,775.9,663.6,1151.9,673.2,615.4,813.1
24,003,02-005,3801,2264,798,454,8,134,2,3,138,3009,1892,606,320,8,106,2,3,72,730.1,622.1,872.8,560,779.1,582.8,700,388.9,501.2,665.7,719.9,452.5,754.7,640.6,872.8,602.2,502.3,560
24,003,02-006,2653,2023,264,214,14,91,7,2,38,2023,1608,180,135,11,69,5,2,13,454.3,643.8,563.4,566.3,520.9,577.4,421,367.2,237.2,584.7,414,407.9,487.2,357.5,563.4,610.8,453.4,566.3
24,003,02-007,3649,2447,590,287,3,186,1,12,123,2844,2016,436,175,3,153,1,6,54,912.3,880.8,1125.2,864.8,994,821.9,882.3,534.9,508.1,969.7,889.1,608,953.2,759.9,1125.2,851.3,704.3000000000001,864.8
24,003,02-008,3469,2838,240,237,18,45,2,1,88,2689,2286,149,152,14,40,1,1,46,522.2,895.3,676.7,826.6,618.4,836.4,521.5,552.2,281.3,876.9,523.3,620,570.1,441.9,676.7,866,683.1,826.6
24,003,02-009,3793,1960,1210,193,4,266,8,4,148,2846,1587,832,122,3,218,8,3,73,987.9,525.9,994.5,495.9,1019.6,516.8,831.6,356.8,568,669.7,838.6,408.8,1003.5,746.1,994.5,521.4,478.3,495.9
24,003,02-010,3656,2857,434,172,11,89,0,10,83,2930,2396,312,100,9,70,0,2,41,565.9,1044.4,710.2,1041.7,674,955.8,561.7,613.3,280.9,1005.9,549.1,721.3000000000001,620.3,463.8,710.2,1000.4,780.1,1041.7
24,003,02-011,2335,1697,215,266,14,62,3,3,75,1793,1380,150,167,11,51,1,1,32,346,546.7,416.8,490.9,427.9,494.1,347.2,310.2,184.2,523.1,330.9,373,387.3,287.4,416.8,520.7,402,490.9
24,003,02-012,2590,2051,226,191,13,51,1,3,54,2031,1669,145,134,9,44,1,1,28,338.7,548,452.1,607,389.1,506.8,242.2,330.59999999999997,158.1,488,260,370,363.3,220,452.1,527.1,396,607
24,003,02-013,1756,1331,223,113,2,55,0,1,31,1348,1068,147,69,2,47,0,0,15,440,571,722,691.1,469,581,483,383,290,661,501.90000000000003,441,454.5,425,722,576.1,495,691.1
24,003,02-014,5642,2160,2596,441,13,206,8,25,193,4380,1844,1958,287,12,172,5,15,87,1506.2,360.7,1459.8,370.6,1491.9,373.4,1071.3,254,825.5,549.6,1097.3,288.7,1499,998,1459.8,367,364.1,370.6
24,003,02-015,3273,1824,1010,181,4,144,4,5,101,2386,1415,710,101,4,110,3,1,42,922.3,567.1,1152,479.2,926.5,569.1,890.5,353.3,619,694.8,880.6,432.40000000000003,924.4,796.6,1152,568.2,493.5,479.2
24,003,02-016,1959,1548,185,137,5,52,0,1,31,1582,1282,146,90,4,43,0,1,16,331.1,515.4,423.2,506.6,347.8,493.5,315.5,330.2,158.2,519.6,309.1,370.4,339.5,261.1,423.2,504.1,406.9,506.6
24,003,02-017,4914,2257,1569,537,13,320,3,15,200,3752,1881,1128,383,10,246,3,11,90,1068.9,396.1,1303.1,405.09999999999997,1046.9,397.9,850.9,217,612.9,482.8,862.2,248.1,1057.8999999999999,775.4,1303.1,396.9,316.09999999999997,405.09999999999997
24,003,02-018,2588,1571,619,190,9,93,4,5,97,1928,1261,429,116,7,71,4,2,38,740.6,445.1,793.9,341.90000000000003,757.6,463.8,670.5,332.4,436.90000000000003,629.2,675.8000000000001,386.4,749,594.3,793.9,454.3,449.3,341.90000000000003
24,003,02-019,4104,1906,1098,714,10,233,8,8,127,3219,1615,809,500,7,197,8,6,77,954.2,438.1,977.7,497,938.3000000000001,440.4,717.2,275.9,499.2,502.7,733.5,295.9,946.2,649.9,977.7,439.6,358.1,497
24,003,02-020,3092,2127,444,178,4,277,3,1,58,2474,1732,356,123,4,226,2,1,30,818,770.3,1087.8,799.9,820.3,802.8000000000001,793,603.1,469.4,1008.7,789.2,670.1,819.2,684,1087.8,786.4,760.4,799.9
24,003,02-021,3513,2745,324,137,11,206,8,5,77,2683,2136,216,93,9,178,6,3,42,768.2,1242.4,1248.3,1242.4,769,1300.3,878.2,969.2,430.2,1517.3,838.3,1103,768.5,715.7,1248.3,1271.2,1196.6,1242.4
24,003,02-022,3835,3237,284,171,22,30,5,2,84,3008,2642,193,93,16,24,4,2,34,643,1126.4,687.9,1044,776.9,986.4,553.1,659,265.2,1026.2,558.2,737,710.1,458.9,687.9,1056.4,807.2,1044
24,003,02-023,3096,2131,445,197,4,188,1,9,121,2335,1669,334,119,3,149,1,6,54,842.4,808.2,1133.9,822.6,863.3,827.6,876.5,609.3,503.8,1083.2,870.3,716.7,852.8,750.2,1133.9,817.6,803.4,822.6
24,003,02-024,2818,2002,424,131,8,149,4,6,94,2103,1550,304,83,8,110,4,2,42,670.9,655.8,875.9,696.1,655.8,685.1,599.9,446.7,363.90000000000003,760.1,589.1,524.9,663.1,517.8,875.9,670.1,577.1,696.1
24,003,03-001,2766,2417,146,86,10,48,4,9,46,2081,1849,110,51,8,39,2,4,18,467.09999999999997,1055.8999999999999,510.2,964,530,1039.9,550,698,249,1078,501.9,817.1,498.7,433.8,510.2,1048,864.3000000000001,964
24,003,03-002,2087,1968,15,33,8,20,0,0,43,1673,1598,12,22,7,16,0,0,18,298.2,667,352.9,669.4,374.8,623.9,311.2,494.1,125.2,740,314.1,549.3,336,250,352.9,646.1,594.3,669.4
24,003,03-003,4586,3883,186,275,17,113,2,1,109,3428,2995,133,166,12,75,2,0,45,715,1487.9,727.1,1365.5,783,1389.9,564.3,886.4,309.1,1259.8,543.4,1000.9,748.6,472.2,727.1,1439.3999999999999,1048.8,1365.5
24,003,03-004,4271,3432,375,247,15,108,0,6,88,3117,2564,250,168,11,82,0,1,41,698.1,1206,857.8,1144.5,759.1,1171.8,686.8,857.8,396.5,1271,707.9,960,728.4,597.1,857.8,1188.6,1029.5,1144.5
24,003,03-005,3017,2539,209,123,4,77,0,11,54,2203,1873,162,78,4,58,0,3,25,607.1,1033,1070.2,1271.2,649.1,1036.9,746,802.8,401.1,1244.9,747.8,892.9,627.9,631.8,1070.2,1035,980.5,1271.2
24,003,03-006,4580,3455,605,206,12,177,20,5,100,3560,2742,455,142,9,147,14,2,49,1722.1,1906.1,3601.3,2279.2,1700.7,1921.6,2165.2,1399.3,1413.5,2325.7,2193.2,1554.9,1711.4,1923.7,3601.3,1913.6000000000001,1759.5,2279.2
24,003,03-007,3200,2726,231,100,4,38,2,18,81,2353,2050,157,62,3,32,2,9,38,582.9,1012,683.1,825.4,644.4,993.1999999999999,591,668.8,270.6,1108.8,624,752.8,613.6,494.7,683.1,1002.3,843.6,825.4
24,003,03-008,3999,2767,757,245,14,136,0,6,74,3140,2252,577,158,14,108,0,3,28,1023.9,941.5,1388.2,1022.2,1073.6,915.1,1048.4,645.9,678.6,1108.7,1064.3,736.3,1048.7,930.3,1388.2,928.5,830.4,1022.2
24,003,03-009,1498,1332,89,34,2,22,0,1,18,1159,1038,71,22,2,18,0,0,8,266.4,543.1,294.7,506.3,266.4,567,243.7,444,110.7,627.9,251.6,473.9,266.4,201.9,294.7,555.2,515.2,506.3
24,003,03-010,2900,2746,52,57,7,16,2,1,19,2247,2134,42,40,7,15,2,1,6,416,1301,548.2,1230,483.90000000000003,1297.9,462.2,965.6,176.1,1372.1,453,1060,449.8,363.7,548.2,1299,1132.7,1230
24,003,03-011,3067,2943,13,26,8,31,4,4,38,2451,2354,11,19,8,25,4,4,26,546,1511.3999999999999,650.3,1386.7,567.9,1503.7,628.8,1136.8,235.10000000000002,1639.3,621.2,1236.7,556.9,495,650.3,1507.6,1337.6,1386.7
24,003,03-012,2800,2648,43,41,15,19,1,3,30,2235,2128,35,26,13,14,1,2,16,432.2,1309.8999999999999,445.7,1156.8,490.3,1266.8,390,968.3,133.9,1315.3,384.5,1030.8,460.9,302.8,445.7,1288.4,1104.8,1156.8
24,003,03-013,2849,2673,35,49,9,34,0,1,48,2234,2120,24,30,8,29,0,1,22,395.6,1310.1,550.8,1224.7,410.1,1314.8,486,948.9,226.5,1310.1,490.3,1029,402.7,400.8,550.8,1312.3,1095.8,1224.7
24,003,03-014,2413,2268,50,51,2,13,0,0,29,1896,1804,32,30,2,13,0,0,15,326.7,848,363.2,807.8,403.2,811.2,338.8,550.7,152.9,832.7,347.9,617.8,364.7,280.1,363.2,829.5,667.3,807.8
24,003,03-015,1931,1848,25,28,3,7,2,2,16,1573,1519,15,20,2,7,2,2,6,319.8,912.1,399.9,814.7,373,897.9,351.8,704.1,141.3,994.8000000000001,320.7,791.2,346.7,271.6,399.9,904.8,829.9,814.7
24,003,03-016,3027,2611,174,100,6,68,0,1,67,2290,2008,137,64,5,51,0,1,24,526,1015.7,589.2,980.2,574.1,989.8,481.09999999999997,663,213.1,1027.2,473.9,743.8,550.2,389.3,589.2,1002.3000000000001,811.3,980.2
24,003,03-017,2652,2469,51,44,5,30,0,6,47,2079,1958,40,32,3,19,0,2,25,341.8,1161.9,442.9,1099,415.5,1104.1,375,833.1,118,1219.9,364.5,927,378.3,286,442.9,1133.4,993.3,1099
24,003,03-018,3144,2797,151,60,11,64,5,8,48,2342,2095,112,40,10,48,3,6,28,434.59999999999997,1165,544.5,1178.7,453.4,1136.2,377,828.5,164.8,1125.5,368.9,898.1,443.8,303.3,544.5,1150.5,950.7,1178.7
24,003,03-019,2712,2536,36,65,12,26,0,0,37,2071,1963,25,38,11,18,0,0,16,371.9,1143.2,488.1,1205.2,383.1,1140.8,440,933.9,133.1,1354.8,425.6,1025.5,377.3,332.9,488.1,1141.6,1104.8,1205.2
24,003,03-020,2219,2076,42,39,2,26,0,0,34,1767,1677,30,24,2,17,0,0,17,334.1,990,361.1,980.1999999999999,433,924,359,735,107,1074.1,342.9,820.1,383.4,269.5,361.1,956.9,876.6,980.1999999999999
24,003,03-021,3658,3012,295,151,12,71,4,5,108,2683,2255,214,98,7,56,2,1,50,686.6,1077.7,818.3,996.6,734.6,1076,644,672.8,349.4,1071.1,674.8,739.4,710.6,556.1,818.3,1076.6000000000001,827.8,996.6
24,003,03-022,2325,1828,376,55,4,33,0,0,29,1854,1472,296,29,4,29,0,0,24,493.90000000000003,795,571.9,755.3,509.9,837.2,464.4,576,208.9,894.9,447.9,649.7,501.8,374.1,571.9,816,706.8,755.3
