GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ndv,nrv,adv_16,arv_16,adv_18,arv_18,adv_20,arv_20
32003001511,NV,Clark County,001511,1825,242,1200,36,5,226,11,6,99,1299,147,885,28,5,180,6,4,44,428.2,516.2,381,492,386.6,455.7,517,601
32003001513,NV,Clark County,001513,2921,290,1901,119,5,395,20,17,174,2277,214,1533,102,4,308,13,4,99,529.4,819.9,509.5,769.5,452.7,715.3,626,975
32003001514,NV,Clark County,001514,2714,334,1743,91,3,331,3,16,193,2087,234,1394,70,3,271,3,12,100,526.1,683.7,461,631,445.4,558,672,862
32003001517,NV,Clark County,001517,890,47,748,15,0,38,5,6,31,864,38,743,15,0,37,4,6,21,290.9,382.9,310.5,377,257.1,353.6,305,418
32003001518,NV,Clark County,001518,1920,150,1372,30,3,283,3,7,72,1681,100,1248,26,3,243,3,3,55,531.6,796.6,499.1,790.4,475.5,730.9,620.3,868.6
32003001519,NV,Clark County,001519,768,44,593,11,4,89,0,0,27,600,27,480,11,3,69,0,0,10,133.2,336.1,123.5,329,112,293.4,164,386
32003001520,NV,Clark County,001520,835,41,672,35,0,64,4,3,16,820,36,668,35,0,63,2,3,13,278.2,342.1,260.8,346.1,252.6,319.9,321.3,360.3
32003001521,NV,Clark County,001521,1154,31,947,25,2,111,4,4,30,1147,28,946,25,2,111,2,4,29,331,612.7,315.7,604.4,293.9,596.4,383.3,637.3
32003001525,NV,Clark County,001525,1782,83,1332,55,4,269,3,3,33,1739,68,1319,55,4,265,1,3,24,551.1,811.8,504.4,812.7,497.1,774.1,651.9,848.6
32003001528,NV,Clark County,001528,3187,434,1956,153,3,396,13,13,219,2362,282,1502,117,2,316,8,8,127,538.7,708,451.8,668.7,467.7,601.3,696.5,854.1
32003001533,NV,Clark County,001533,9,0,8,0,0,1,0,0,0,8,0,7,0,0,1,0,0,0,13.5,14.9,7.5,6.4,10.5,11.7,22.4,26.6
32003001543,NV,Clark County,001543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001550,NV,Clark County,001550,1380,185,904,44,3,126,7,18,93,1055,125,709,36,1,104,5,12,63,307.4,427.4,302.3,398.9,270.8,375,349.2,508.3
32003001552,NV,Clark County,001552,1478,229,871,83,6,157,8,8,116,1088,159,675,61,5,131,5,6,46,311.1,345.7,278,323,277.3,271,378,443
32003001553,NV,Clark County,001553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,9.7,13.4,8.3,11.9,7,18.6,13.9
32003001601,NV,Clark County,001601,2117,448,820,334,6,370,15,13,111,1677,311,709,234,4,320,14,13,72,458.5,304.5,431,298.5,370.3,232,574.3,382.9
