GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_cra,uss_16_dem_stu,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ris,uss_20_dem_jor,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
16077772801,ID,Power County,772801,1488,543,882,7,5,4,1,4,42,1046,338,667,5,5,4,1,2,24,289.6,152.1,346,153.6,259.5,148.3,266.8,151.7,264.9,150,365.2,191.9,357.7,185.7,317.8,152.8,263.7,150,361.5,188.8,307.1,161.9
16077772802,ID,Power County,772802,2158,915,1175,2,5,4,5,2,50,1490,520,925,2,5,4,5,0,29,442.6,217.1,526.4,195.5,396.2,201.8,408,186.8,398.4,197.6,562.7,254.1,539.9,259.8,484.5,206.3,400.9,195.4,551.3,256.9,467.7,216.1
16077772803,ID,Power County,772803,2712,1062,1560,7,16,6,1,0,60,1859,616,1184,2,7,6,1,0,43,503.2,210.5,587.3,204.4,400.7,191.7,414.9,185.9,409.8,196.6,629.7,265.9,611.4,264.6,545.2,207.5,408.5,191.4,620.5,265.3,508.1,217.1
16077772804,ID,Power County,772804,512,7,488,0,0,0,0,2,15,334,2,321,0,0,0,0,1,10,147,18.3,175.2,24.9,152.8,20.8,156.1,22.4,161.1,18.3,217.5,24.9,212.6,26.6,161.1,21.6,156.6,20.5,215,25.7,174.6,22.3
16077772805,ID,Power County,772805,147,2,140,0,1,0,0,1,3,106,1,102,0,1,0,0,1,1,94.8,14.3,100.4,14.8,88.1,12.4,91.6,10.9,91.9,11.4,111,11.4,108.7,12.2,97.6,14.6,90.5,11.6,109.8,11.8,98.1,12.5
16077772806,ID,Power County,772806,861,95,581,1,145,4,1,13,21,665,69,462,1,110,4,1,7,11,191.1,87.1,209.3,93.2,159.9,106.5,159.9,108.8,163.2,105.6,232.7,117.7,225.3,128,200.2,90.2,161,107,229,122.8,191.6,106.7
16079797001,ID,Shoshone County,797001,234,4,216,0,2,1,0,0,11,211,2,196,0,2,1,0,0,10,114.2,41.7,115.1,39.2,109,41.6,107.7,42.6,106.7,44.2,133.9,47.7,126.8,46.3,114.6,40.4,107.8,42.8,130.3,47,116.2,43.3
16079797002,ID,Shoshone County,797002,708,21,639,0,10,1,0,4,33,576,17,521,0,9,1,0,3,25,155.5,106.1,153.7,122.6,122.6,119.8,120.7,116.2,113.4,123.5,216.8,118,186.6,127.1,154.6,114.3,118.9,119.8,201.7,122.6,152.7,119
16079797003,ID,Shoshone County,797003,1391,60,1223,1,23,4,1,5,74,1140,34,1024,1,21,4,0,5,51,245.5,163,267.7,165.8,201,206.6,197.3,195.5,201,201,316.8,228.8,302,232.5,256.6,164.4,199.8,201,309.4,230.7,247.3,199
16079797004,ID,Shoshone County,797004,663,22,603,1,6,0,1,2,28,536,9,497,1,5,0,1,2,21,177,80,196,84,122,96,136,80,129,87,195,93,185,93,186.5,82,129,87.7,190,93,162.9,87.6
