GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_you,uss_16_dem_bay,gov_16_rep_hol,gov_16_dem_gre,atg_16_rep_hil,atg_16_dem_arr,uss_18_rep_bra,uss_18_dem_don,sos_18_rep_law,sos_18_dem_har,avg_16_rep,avg_16_dem,avg_18_rep,avg_18_dem,avg_20_rep,avg_20_dem
18043000010,IN,Floyd County,000010,1547,22,1467,4,2,4,5,1,42,1185,4,1144,4,0,3,3,0,27,452.9,194.9,407.3,246.3,426.7,220.2,450,196.9,344.3,189.1,348.2,180.4,434.2,214.6,346.2,184.8,NA,NA
18043000020,IN,Floyd County,000020,1423,18,1363,5,0,10,0,1,26,1122,9,1086,2,0,6,0,0,19,525,276,527,301,511,300,524,262,424,280,451,253,521.8,284.8,437.5,266.5,NA,NA
18043000030,IN,Floyd County,000030,1847,34,1682,28,1,27,1,4,70,1431,12,1330,23,1,27,1,3,34,640,278,603,331,611,315,639,284,490,304,511,280,623.2,302,500.5,292,NA,NA
18043000040,IN,Floyd County,000040,1319,26,1241,5,1,14,0,1,31,980,12,932,5,1,9,0,1,20,571.3,251.7,573.9,269.8,555.5,283.5,579.4,240.5,480.1,280.7,491.3,259.1,570,261.4,485.7,269.9,NA,NA
18043000050,IN,Floyd County,000050,1770,29,1649,5,0,3,0,5,79,1392,18,1313,3,0,2,0,4,52,805.5,283.9,770.9,343.1,784.5,332.6,833.6,273.7,656.3,310.3,662.2,287,798.6,308.3,659.2,298.6,NA,NA
18043000060,IN,Floyd County,000060,2213,54,2023,15,3,35,0,7,76,1619,33,1497,8,3,30,0,3,45,658.3,317.5,644.4,354.8,630.5,364.7,674.4,317.7,494.2,340.2,512.8,312.8,651.9,338.7,503.5,326.5,NA,NA
18043000070,IN,Floyd County,000070,1605,58,1450,12,8,10,0,5,62,1168,29,1074,10,4,10,0,5,36,430.2,193.5,406.7,233.8,399,235.8,427.8,208,307,218.3,319.6,202.9,415.9,217.8,313.3,210.6,NA,NA
18043000080,IN,Floyd County,000080,966,24,888,7,1,11,0,0,35,708,16,656,2,1,9,0,0,24,174.8,64.1,164.6,76.1,164.9,77.8,175.9,62.9,154.9,67.2,157.6,58.8,170.1,70.2,156.2,63,NA,NA
18043000090,IN,Floyd County,000090,1572,31,1464,7,3,10,0,2,55,1186,18,1124,5,1,8,0,2,28,614.1,233.1,578.1,293.1,573.1,282.1,607.1,229,483.1,247.1,501.1,225.1,593.1,259.3,492.1,236.1,NA,NA
18043000100,IN,Floyd County,000100,1297,36,1204,13,2,2,0,0,40,970,22,920,7,1,0,0,0,20,440.5,203.2,442.3,230.7,442.3,223.1,467.9,180.6,349.7,199.4,359.2,183.4,448.2,209.4,354.4,191.4,NA,NA
18043000110,IN,Floyd County,000110,1365,22,1225,24,2,23,0,7,62,964,14,867,20,1,13,0,7,42,415.9,165.1,402.2,192.9,398.4,183.5,415.8,148,354.4,190.9,366.1,176.3,408.1,172.4,360.2,183.6,NA,NA
18043000120,IN,Floyd County,000120,1424,42,1295,9,1,28,0,4,45,1086,25,1003,4,1,23,0,4,26,515,251,490,293,499,294,546,243,403,249,421,228,512.5,270.2,412,238.5,NA,NA
18043000130,IN,Floyd County,000130,1329,15,1272,2,1,7,0,5,27,988,2,963,2,1,0,0,5,15,494,207,486,244,473,235,503,206,381,232,400,211,489,223,390.5,221.5,NA,NA
18043000140,IN,Floyd County,000140,603,11,562,4,0,5,0,1,20,451,5,429,3,0,2,0,1,11,212.1,85.9,198.9,101.7,193.7,101.7,213.8,80.6,161.3,78.9,169.2,74.5,204.6,92.5,165.2,76.7,NA,NA
18043000150,IN,Floyd County,000150,1738,53,1567,11,2,38,0,12,55,1369,32,1258,7,2,28,0,9,33,620.6,285.3,637.2,297,617.6,301.9,647,263.7,492.1,308.8,507.8,278.4,630.6,287,500,293.6,NA,NA
18043000160,IN,Floyd County,000160,872,37,775,13,2,10,0,2,33,688,27,622,11,2,6,0,2,18,341,165,303,202,300,204,330,157,276,173,290,153,318.5,182,283,163,NA,NA
18043000170,IN,Floyd County,000170,797,39,703,11,0,22,0,1,21,597,16,538,10,0,13,0,1,19,332,149,324,179,330,163,344,141,257,166,268,148,332.5,158,262.5,157,NA,NA
18043000180,IN,Floyd County,000180,1258,37,1130,18,4,6,0,4,59,955,16,882,8,4,3,0,2,40,440,208,428,253,434,227,462,202,357,242,367,222,441,222.5,362,232,NA,NA
18043000190,IN,Floyd County,000190,1658,12,1547,13,0,33,0,3,50,1225,6,1151,11,0,27,0,3,27,558,329,561,345,572,342,599,290,489,359,516,324,572.5,326.5,502.5,341.5,NA,NA
18043000200,IN,Floyd County,000200,934,16,890,5,1,0,1,2,19,718,11,690,5,1,0,0,2,9,355,213,350,236,368,213,390,191,280,220,286,194,365.8,213.2,283,207,NA,NA
18043000210,IN,Floyd County,000210,942,19,857,6,0,12,0,6,42,703,9,644,4,0,11,0,6,29,375.4,162.7,349.8,207,332.4,203.1,370,156.3,283.9,168.2,295.2,153.6,356.9,182.3,289.5,160.9,NA,NA
