GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_ben,uss_16_rep_gle,gov_18_dem_pol,gov_18_rep_sta,atg_18_dem_wei,atg_18_rep_bra,sos_18_dem_gri,sos_18_rep_wil,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_hic,uss_20_rep_gar,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
08005005407,CO,Arapahoe County,005407,2801,679,1406,434,14,79,5,19,165,2081,426,1159,284,8,73,3,14,114,875,389.6,899,422.8,586.7,329.6,577.1,330.6,586.7,332.5,818.7,338.3,762.6,385.7,406.2,887,330.9,583.5,362,790.7,361.3,729.4
08005005408,CO,Arapahoe County,005408,1415,179,652,297,6,189,1,17,74,1066,139,551,177,5,134,1,9,50,777.7,199.1,763.5,209.4,327.9,102.9,325.5,103.7,328.7,108.5,445.2,131.8,434,136.6,204.3,770.6,105,327.4,134.2,439.6,141.7,486.1
08005005409,CO,Arapahoe County,005409,3230,519,1209,1156,13,165,5,20,143,2462,373,1047,773,11,143,4,9,102,758.4,202.3,742.1,203.4,768,175,749,178,762,181,1045,246,1021,262,202.8,750.2,178,759.7,254,1033,206.8,835.1
08005005410,CO,Arapahoe County,005410,1770,197,1120,183,8,134,0,9,119,1478,138,1002,150,8,96,0,7,77,838.8,278.5,815,305.5,783.5,296.7,745.9,318,760.8,317.2,1039.6,335.5,996.5,369.1,292,826.9,310.6,763.4,352.3,1018.1,317.2,854.3
08005005411,CO,Arapahoe County,005411,3600,962,1226,954,15,219,0,26,198,2779,677,1074,688,9,179,0,13,139,955,275.6,956.5,274.2,732.1,190.1,714.5,186.3,728.3,193.5,1094.8,274.2,1065,281.4,274.9,955.7,190,725,277.8,1079.9,239.3,892.3
08005005412,CO,Arapahoe County,005412,3251,613,1157,1018,20,232,4,19,188,2580,467,1035,715,18,187,3,14,141,238.3,77.2,231.5,78.4,432.8,88.9,417.3,101.2,427.2,99.4,619.8,146.9,605.6,150,77.8,234.9,96.5,425.8,148.5,612.7,106,424.7
08005005413,CO,Arapahoe County,005413,2573,602,1067,627,9,146,0,15,107,2065,425,941,472,9,127,0,12,79,740.2,208.8,714.4,229.5,776,176.3,745.5,203.2,774,186.1,1098.8,276.5,1071.9,277.2,219.2,727.3,188.5,765.2,276.9,1085.4,222.5,845.8
08005005414,CO,Arapahoe County,005414,1533,256,798,301,8,67,2,13,88,1274,187,731,217,8,58,2,8,63,484.5,222,491.1,216.1,456.2,193.8,435.2,221.6,448.8,201.5,555.4,250.6,541.4,258.8,219.1,487.8,205.6,446.7,254.7,548.4,223.5,487.5
08005005416,CO,Arapahoe County,005416,2797,584,1309,538,4,194,3,10,155,2237,430,1088,432,3,158,3,9,114,738,412,734,446,689,347,646,384,668,374,901,417,891,430,429,736,368.3,667.7,423.5,896,401.4,752.4
08005005417,CO,Arapahoe County,005417,1939,491,821,381,6,137,7,11,85,1498,327,706,272,6,106,7,9,65,536,249,547,251,498,210,484,211,482,226,668,247,656,264,250,541.5,215.7,488,255.5,662,236.9,553
08005005418,CO,Arapahoe County,005418,1368,203,752,207,3,131,8,2,62,1089,141,642,156,2,96,6,2,44,448,240,485,215,434,228,412,241,424,219,547,251,530,264,227.5,466.5,229.3,423.3,257.5,538.5,236.9,468.6
08005005419,CO,Arapahoe County,005419,1528,194,835,218,4,188,5,12,72,1243,132,721,165,3,170,5,5,42,494,306,489,307,475,272,454,283,464,278,629,310,608,333,306.5,491.5,277.7,464.3,321.5,618.5,298.4,516.1
08005005420,CO,Arapahoe County,005420,2889,620,1226,619,25,208,1,21,169,2186,402,1019,465,23,162,0,19,96,832,341,831,361,760,326,728,345,766,333,1031,359,998,386,351,831.5,334.7,751.3,372.5,1014.5,350.1,849.4
08005005421,CO,Arapahoe County,005421,771,81,505,85,1,42,0,12,45,612,62,425,61,1,33,0,7,23,272,163,273,175,266,149,247,168,253,157,314,169,306,177,169,272.5,158,255.3,173,310,165.4,275.9
08005005422,CO,Arapahoe County,005422,974,175,491,151,4,82,2,14,55,806,129,446,115,2,69,1,12,32,318,183,325,176,285,165,274,169,281,169,409,175,391,187,179.5,321.5,167.7,280,181,400,174.9,326.1
08005005423,CO,Arapahoe County,005423,2046,302,1173,331,17,123,0,5,95,1645,218,996,230,14,108,0,4,75,702,349,741,350,710,274,667,308,677,305,933,326,888,369,349.5,721.5,295.7,684.7,347.5,910.5,325.9,759.7
08005005424,CO,Arapahoe County,005424,26,4,18,2,0,0,0,2,0,25,3,18,2,0,0,0,2,0,0.2,0.1,0.2,0.1,0.2,0,0.2,0,0.2,0,0.3,0.1,0.3,0.1,0.1,0.2,0,0.2,0.1,0.3,0.1,0.2
08005005425,CO,Arapahoe County,005425,1888,210,1163,250,8,112,0,11,134,1542,158,989,188,8,98,0,7,94,618.4,314.6,632.2,335.3,666.6,271.4,633.2,285.1,642,289,871.1,319.5,843.6,337.2,324.9,625.3,281.8,647.3,328.4,857.3,307.5,701
08005005426,CO,Arapahoe County,005426,1062,112,592,188,3,79,0,12,76,831,70,519,127,2,63,0,5,45,366.9,229,362.1,227.4,362.7,176.3,336.1,204.6,349.3,196.6,449,216.1,440.5,223.4,228.2,364.5,192.5,349.4,219.8,444.7,210.5,380.9
08005005427,CO,Arapahoe County,005427,2373,286,1255,543,13,159,2,10,105,1940,203,1115,392,12,136,2,10,70,682,451,706,453,661,399,620,427,640,419,877,418,851,445,452,694,415,640.3,431.5,864,430.3,719.6
