GEOID20,state,county,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_rin,uss_18_rep_bra,gov_18_dem_mil,gov_18_rep_moo,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
230010103003005,ME,Androscoggin County,81,7,60,3,0,2,0,1,8,65,0,53,2,0,2,0,0,8,9,7,1,5,8,5,8,5,6,6,7,9,5,4.5,5.5,7,5.6,6.4
230010103003006,ME,Androscoggin County,72,6,52,9,1,4,0,0,0,38,3,29,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010103003007,ME,Androscoggin County,23,1,15,3,0,0,0,0,4,16,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010103003008,ME,Androscoggin County,44,2,37,2,0,0,0,0,3,32,2,29,0,0,0,0,0,1,3,4,0,3,3,3,2,2,1,2,4,3,3,1.5,2,1.5,2.8,1.8
230010103003009,ME,Androscoggin County,29,0,22,0,0,0,0,0,7,18,0,17,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0.5,1,0.5,1,0.6
230010104001000,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,3,3,3,3,2,2,1,0.5,3,3,2,1.8
230010104001001,ME,Androscoggin County,27,4,22,0,0,0,0,0,1,21,4,17,0,0,0,0,0,0,3,3,0,2,2,2,5,5,4,6,3,3,2,1,5.5,4.5,3.6,2.8
230010104001002,ME,Androscoggin County,6,0,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,9,1,7,7,7,16,15,13,18,9,8,7,4,16.5,14.5,11.2,9
230010104001003,ME,Androscoggin County,25,1,22,0,0,0,0,0,2,15,1,14,0,0,0,0,0,0,2,2,0,2,2,2,4,4,3,4,2,2,2,1,4,3.5,2.8,2.2
230010104001004,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0.5,0.4,0.2
