GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_pau,uss_16_dem_gra,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
2111100H151,KY,Jefferson County,00H151,24,8,7,4,0,0,0,0,5,14,6,2,1,0,0,0,0,5,0.2,1.3,0.2,1.4,0.2,1.3,NA,NA,NA,NA,0.2,1.3
2111100H152,KY,Jefferson County,00H152,244,8,214,0,2,7,0,0,13,220,6,200,0,1,7,0,0,6,39,77,39,82,39,79.5,NA,NA,NA,NA,39,79.5
2111100H153,KY,Jefferson County,00H153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
2111100H154,KY,Jefferson County,00H154,1033,563,341,105,0,6,4,0,14,760,378,293,70,0,6,4,0,9,82,77,73,90,77.5,83.5,NA,NA,NA,NA,77.5,83.5
2111100H155,KY,Jefferson County,00H155,922,307,355,223,0,10,0,5,22,712,253,287,144,0,10,0,5,13,2.2,1.6,1.9,2,2,1.8,NA,NA,NA,NA,2,1.8
2111100H156,KY,Jefferson County,00H156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,9.1,12.6,12.3,13.5,10.7,NA,NA,NA,NA,13.5,10.7
2111100H157,KY,Jefferson County,00H157,60,5,47,2,0,4,0,1,1,55,5,43,2,0,4,0,1,0,3,14,5,13,4,13.5,NA,NA,NA,NA,4,13.5
2111100H158,KY,Jefferson County,00H158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
2111100H159,KY,Jefferson County,00H159,450,39,300,82,0,17,0,0,12,347,23,245,57,0,12,0,0,10,113,70,106,94,109.5,82,NA,NA,NA,NA,109.5,82
2111100H160,KY,Jefferson County,00H160,2364,201,1255,682,1,110,3,8,104,1682,134,946,456,1,84,3,0,58,327.7,417.6,302,484.6,314.8,451.1,NA,NA,NA,NA,314.8,451.1
2111100H161,KY,Jefferson County,00H161,15,7,4,3,0,1,0,0,0,8,0,4,3,0,1,0,0,0,89.8,121.3,84.1,132.4,87,126.9,NA,NA,NA,NA,87,126.9
2111100H162,KY,Jefferson County,00H162,1381,96,920,270,2,11,0,6,76,1034,76,732,168,2,7,0,6,43,243,210,236,263,239.5,236.5,NA,NA,NA,NA,239.5,236.5
2111100I107,KY,Jefferson County,00I107,1933,202,1144,414,5,21,2,11,134,1445,124,937,293,4,17,2,4,64,210.2,397.4,200.2,443.4,205.2,420.4,NA,NA,NA,NA,205.2,420.4
2111100I109,KY,Jefferson County,00I109,1092,109,574,323,0,12,0,12,62,903,81,502,257,0,11,0,6,46,119,248,114,283,116.5,265.5,NA,NA,NA,NA,116.5,265.5
2111100I110,KY,Jefferson County,00I110,504,68,280,102,2,14,2,6,30,381,47,232,68,2,14,2,6,10,79.6,85.4,77.7,105.1,78.7,95.3,NA,NA,NA,NA,78.7,95.3
2111100I111,KY,Jefferson County,00I111,2032,292,1268,284,12,62,7,11,96,1673,220,1091,218,12,54,3,9,66,295.4,509.6,291.3,584.9,293.3,547.2,NA,NA,NA,NA,293.3,547.2
2111100I112,KY,Jefferson County,00I112,1976,241,1240,269,2,109,0,5,110,1501,158,1017,180,0,80,0,1,65,307,374,286,445,296.5,409.5,NA,NA,NA,NA,296.5,409.5
2111100I115,KY,Jefferson County,00I115,2733,320,596,1272,10,415,0,19,101,1877,219,470,808,1,301,0,15,63,70,330,80,328,75,329,NA,NA,NA,NA,75,329
2111100I120,KY,Jefferson County,00I120,1161,182,581,156,3,175,1,3,60,860,140,474,89,3,123,1,3,27,132,188,116,217,124,202.5,NA,NA,NA,NA,124,202.5
2111100I122,KY,Jefferson County,00I122,833,136,563,72,0,23,3,6,30,621,85,458,42,0,13,2,0,21,209,121,172,163,190.5,142,NA,NA,NA,NA,190.5,142
2111100I123,KY,Jefferson County,00I123,2518,446,1255,446,0,285,1,10,75,1935,303,1062,312,0,198,1,9,50,495.2,500.9,453.5,564.1,474.4,532.5,NA,NA,NA,NA,474.4,532.5
2111100I124,KY,Jefferson County,00I124,2072,775,837,308,2,93,0,9,48,1585,588,671,228,1,65,0,2,30,173,191.1,147,232.8,160,212,NA,NA,NA,NA,160,212
2111100I125,KY,Jefferson County,00I125,1180,122,642,309,0,26,0,0,81,793,77,479,188,0,16,0,0,33,131,193,123,211,127,202,NA,NA,NA,NA,127,202
2111100I126,KY,Jefferson County,00I126,1691,128,1425,68,2,23,1,4,40,1287,91,1113,38,2,16,1,0,26,439,177,368,277,403.5,227,NA,NA,NA,NA,403.5,227
2111100I130,KY,Jefferson County,00I130,2086,983,970,34,6,8,0,16,69,1486,604,795,29,4,1,0,5,48,217,100.3,176.3,148.3,196.6,124.3,NA,NA,NA,NA,196.6,124.3
2111100I133,KY,Jefferson County,00I133,2451,169,2094,52,7,27,0,9,93,1990,95,1778,31,7,22,0,5,52,758.3,310.7,611.2,499.8,684.8,405.2,NA,NA,NA,NA,684.8,405.2
2111100I135,KY,Jefferson County,00I135,921,65,810,8,3,2,0,6,27,761,51,670,6,3,2,0,5,24,236.2,92.9,197.4,140.1,216.8,116.5,NA,NA,NA,NA,216.8,116.5
2111100I138,KY,Jefferson County,00I138,9,6,0,0,0,0,0,2,1,3,3,0,0,0,0,0,0,0,12.5,5.3,8.7,8.5,10.6,6.9,NA,NA,NA,NA,10.6,6.9
2111100I140,KY,Jefferson County,00I140,256,18,174,48,0,2,0,0,14,209,16,152,36,0,2,0,0,3,20.1,29.8,15.9,36,18,32.9,NA,NA,NA,NA,18,32.9
2111100I141,KY,Jefferson County,00I141,2386,236,1499,363,3,119,1,12,153,1972,168,1306,281,3,100,0,5,109,347.9,323.9,337.9,382.9,342.9,353.4,NA,NA,NA,NA,342.9,353.4
2111100I142,KY,Jefferson County,00I142,12,1,7,0,0,0,0,0,4,9,1,6,0,0,0,0,0,2,0.8,0,0.8,0,0.8,0,NA,NA,NA,NA,0.8,0
2111100I143,KY,Jefferson County,00I143,201,21,156,12,0,2,0,2,8,158,10,132,9,0,2,0,0,5,36,25,29,33,32.5,29,NA,NA,NA,NA,32.5,29
2111100I144,KY,Jefferson County,00I144,117,1,110,0,0,0,0,0,6,99,0,99,0,0,0,0,0,0,55.1,22.1,51.1,30.1,53.1,26.1,NA,NA,NA,NA,53.1,26.1
2111100I145,KY,Jefferson County,00I145,723,109,454,109,0,1,0,2,48,540,80,347,82,0,1,0,2,28,82,73,76,88,79,80.5,NA,NA,NA,NA,79,80.5
2111100I146,KY,Jefferson County,00I146,1688,135,1268,169,9,22,0,2,83,1342,87,1054,123,4,19,0,0,55,365,244,326,321,345.5,282.5,NA,NA,NA,NA,345.5,282.5
2111100I147,KY,Jefferson County,00I147,111,17,60,8,3,5,1,0,17,80,17,49,1,3,4,1,0,5,21.2,14.1,21.2,14.1,21.2,14.1,NA,NA,NA,NA,21.2,14.1
2111100I148,KY,Jefferson County,00I148,1239,107,746,286,2,28,0,11,59,925,84,588,180,2,25,0,10,36,137.3,94.5,123,116.2,130.2,105.4,NA,NA,NA,NA,130.2,105.4
2111100I149,KY,Jefferson County,00I149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
2111100I150,KY,Jefferson County,00I150,1124,893,195,12,1,10,0,7,6,702,520,163,6,0,7,0,3,3,34.7,44.7,29.1,53.7,31.9,49.2,NA,NA,NA,NA,31.9,49.2
2111100I151,KY,Jefferson County,00I151,1802,147,1204,287,0,34,0,1,129,1315,105,915,191,0,27,0,1,76,387,309,366,376,376.5,342.5,NA,NA,NA,NA,376.5,342.5
2111100I152,KY,Jefferson County,00I152,1927,91,1559,163,2,22,0,7,83,1488,60,1230,108,2,19,0,1,68,516.8,319.3,480.9,422,498.9,370.7,NA,NA,NA,NA,498.9,370.7
2111100I153,KY,Jefferson County,00I153,3072,330,2094,361,7,57,5,10,208,2315,215,1668,267,4,40,3,4,114,614.8,510.8,538.9,647.9,576.9,579.4,NA,NA,NA,NA,576.9,579.4
