GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_rep_jam,uss_18_dem_sta,gov_18_rep_sch,gov_18_dem_whi,atg_18_rep_leo,atg_18_dem_nes,sos_18_rep_lan,sos_18_dem_ben,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_jam,uss_20_dem_pet,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
26007007009,MI,Alpena County,007009,1562,36,1434,8,5,5,0,6,68,1257,32,1160,7,2,5,0,6,45,211.1,355.2,338.3,259.4,323,275.7,332.1,230.1,337.1,259.3,482.3,308.1,444.4,323,355.2,211.1,332.6,256.1,463.3,315.6,373.2,266.7
26007007010,MI,Alpena County,007010,1781,13,1710,3,10,4,0,1,40,1467,7,1421,1,6,4,0,1,27,367.6,628.5,472.5,349.9,450.1,360.2,456.6,311.6,450.1,343.4,665.3,395.8,655.9,407.9,628.5,367.6,457.3,341.3,660.6,401.8,539.9,362.3
26007007011,MI,Alpena County,007011,1123,11,1049,2,5,1,0,1,54,908,4,859,2,1,1,0,1,40,158,454.1,340.9,176,330,179.9,343.9,142.6,339.9,159.3,521.2,183.9,480,205.6,454.1,158,338.7,164.4,500.6,194.7,401.4,172.2
26007007012,MI,Alpena County,007012,971,12,915,0,3,0,0,4,37,804,10,758,0,2,0,0,2,32,158,338,281,183,272,179,288,145,281,168,422,193,399,210,338,158,280.5,168.8,410.5,201.5,325.9,176.6
26007007013,MI,Alpena County,007013,1559,9,1469,3,15,3,0,5,55,1263,3,1192,3,14,3,0,5,43,217,569,429,272,421,266,417,225,415,259,690,282,648,321,569,217,420.5,255.5,669,301.5,512.7,263.1
26007007014,MI,Alpena County,007014,1640,17,1552,0,2,3,0,1,65,1352,12,1289,0,1,1,0,1,48,181,661,548.4,203.3,519.5,213.3,546.4,168.3,541.4,181.4,830,215.3,791.1,251.2,661,181,539,191.6,810.6,233.3,634,202
26007007015,MI,Alpena County,007015,2078,19,1980,4,3,5,1,4,62,1616,11,1559,2,2,3,0,4,35,264.7,574,505.8,313.1,485.9,328.7,499.4,284.3,496.4,304.8,740.8,331.1,705.2,352.9,574,264.7,496.9,307.7,723,342,572.5,311.4
26007007016,MI,Alpena County,007016,250,4,233,1,5,0,0,3,4,201,2,190,1,3,0,0,2,3,33,88.9,81.4,38.3,82.2,37.4,86.4,29.7,81.4,34,119.8,42.5,113,45.9,88.9,33,82.8,34.8,116.4,44.2,93.3,37.2
26007007017,MI,Alpena County,007017,1967,13,1866,2,11,2,1,5,67,1552,7,1484,2,11,2,1,4,41,213,780,636.3,242.7,619.3,251.7,630.4,182.6,628.3,229.6,935,233.7,878.9,284.8,780,213,628.6,226.6,907,259.3,729.7,234
26007ZZZZZZ,MI,Alpena County,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.1,446.4,365.1,337.4,340.1,355.5,353.9,307.5,353.6,329.2,510.7,378.6,498.9,382.3,446.4,301.1,353.1,332.4,504.8,380.4,409.8,341.6
