GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_fis,uss_18_dem_ray,gov_18_rep_ric,gov_18_dem_kri,atg_18_rep_pet,sos_18_rep_evn,sos_18_dem_dan,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_sas,uss_20_dem_jan,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
31153000018,NE,Sarpy County,000018,3123,1190,1612,124,9,40,0,2,146,2311,760,1330,93,8,32,0,0,88,537.7,499.1,384.5,422.1,402.3,437.9,578.2,362.8,459.6,564.4,566.4,591.1,401.3,537.7,499.1,431.9,439.9,577.7,483.8,488.7,464.4
31153000019,NE,Sarpy County,000019,4901,599,3690,190,16,141,2,18,245,3678,370,2891,149,14,111,1,10,132,1404,865,1297.7,802.5,1310.5,853.2,1632.7,1298.1,810.6,1494.8,1147.4,1649.8,679.2,1404,865,1384.8,822.1,1572.3,913.3,1441.1,859.6
31153000020,NE,Sarpy County,000020,3898,709,2446,257,13,171,9,24,269,2896,442,1926,200,11,134,9,14,160,860,712.5,717,654.1,739.4,681.7,1018.5,723.1,674.9,882.6,951.6,978.9,592.7,860,712.5,799.5,670.2,930.8,772.2,845.6,711.3
31153000021,NE,Sarpy County,000021,4200,321,3328,169,11,95,3,14,259,3173,184,2618,134,6,73,2,13,143,1211,683,1167,635,1163,697,1433,1177,643,1340,979,1514,497,1211,683,1235,658.3,1427,738,1286.4,689
31153000022,NE,Sarpy County,000022,4505,629,2993,403,20,98,9,17,336,3281,392,2304,293,16,82,4,16,174,716,536,539,479,572,512,802,555,501,782,784,894,510,716,536,617,497.3,838,647,694.3,553.7
31153000023,NE,Sarpy County,000023,4883,413,3937,144,16,107,0,32,234,3535,295,2920,93,14,69,0,14,130,1223,646,1110.7,568.2,1138.3,603.6,1358.9,1104.8,586.9,1465,1056,1683,527,1223,646,1178.2,586.2,1574,791.5,1297.7,664.6
31153000024,NE,Sarpy County,000024,2466,157,1919,128,11,42,2,7,200,1691,94,1359,97,7,33,2,6,93,602.1,316.1,558.1,284.1,548.1,331.1,663.1,552.1,302.1,779.1,527.1,859.1,299,602.1,316.1,580.4,305.7,819.1,413.1,651.7,343.2
31153000025,NE,Sarpy County,000025,4959,634,3278,443,15,91,26,26,446,3299,358,2270,334,7,74,19,10,227,560.5,386.3,490.5,365.3,485.5,420.3,670.6,493.5,397.3,687,655,752,433,560.5,386.3,535,394.3,719.5,544,591.4,442.9
31153000026,NE,Sarpy County,000026,2818,243,2046,176,0,91,4,20,238,2023,140,1521,135,0,72,3,20,132,730.3,418,566.5,396,565.5,450.1,753.5,580.6,412.2,739.5,650.2,826.6,401.7,730.3,418,616.5,419.4,783,525.9,680.4,454.7
31153000031,NE,Sarpy County,000031,5478,338,4508,125,9,221,3,22,252,3930,201,3317,73,8,173,1,14,143,1400.1,907.4,1272.1,850.6,1317.2,877.7,1649.9,1293.2,829.6,1588.7,1387.3,1875.2,703.8,1400.1,907.4,1383.1,852.6,1732,1045.6,1485.2,926.1
31153000032,NE,Sarpy County,000032,2478,277,1939,91,9,63,3,7,89,1895,175,1549,53,8,48,2,3,57,799.8,604,703.1,558.4,714.5,601,943.3,683.4,594.9,692,571,741,348,799.8,604,761.1,584.8,716.5,459.5,753.9,546.2
31153000033,NE,Sarpy County,000033,3384,429,2486,219,6,61,3,22,158,2704,268,2113,163,6,54,3,15,82,617,537.3,529.5,498.6,551.6,512.2,748.6,537,509.8,751,825,857,482,617,537.3,591.7,506.9,804,653.5,656,560.8
31153000034,NE,Sarpy County,000034,4034,539,2845,268,8,123,2,13,236,3004,331,2298,142,8,91,2,12,120,611.1,492.9,467.8,441.3,510.3,453.4,705.1,480.7,467.1,871.3,863.3,946.2,555.5,611.1,492.9,541,453.9,908.8,709.4,656.1,545.6
31153000035,NE,Sarpy County,000035,3041,402,2212,93,17,142,5,19,151,2295,238,1757,66,12,118,2,8,94,728.3,503.8,602.6,474.6,634,490.4,819.2,608.5,486.2,851.1,742,974.2,412.6,728.3,503.8,666.1,483.7,912.7,577.3,745.4,518.3
31153000036,NE,Sarpy County,000036,2324,126,2003,36,1,57,0,9,92,1838,74,1631,33,0,39,0,8,53,930.9,478.3,874.2,401.4,865.7,445.4,1031.4,842.9,412.6,912.7,585,1023.5,276.2,930.9,478.3,903.5,419.8,968.1,430.6,925.9,433.2
31153000037,NE,Sarpy County,000037,5208,422,4036,165,7,314,0,17,247,3727,250,2967,125,5,234,0,12,134,1327,791.2,1240.1,702.1,1254.9,764.9,1560.5,1231.3,730.5,1508.8,1164.3,1685.7,624.6,1327,791.2,1321.7,732.5,1597.2,894.5,1401.2,796.3
31153000038,NE,Sarpy County,000038,2600,183,2173,72,9,31,0,17,115,1942,105,1675,58,7,30,0,10,57,814,552.5,721.6,498,717,552.8,930.2,711.4,523.6,787,698,894,362,814,552.5,770.1,524.8,840.5,530,796.5,531.2
