GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_blu,uss_16_dem_kan,gov_16_rep_gre,gov_16_dem_kos,atg_16_rep_haw,atg_16_dem_hen,sos_16_rep_ash,sos_16_dem_smi,uss_18_rep_haw,uss_18_dem_mcc,pre_20_rep_tru,pre_20_dem_bid,gov_20_rep_par,gov_20_dem_gal,atg_20_rep_sch,atg_20_dem_fin,sos_20_rep_ash,sos_20_dem_fal,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
2904716-214,MO,Clay County,16-214,2685,166,2141,176,3,36,7,20,136,1802,106,1469,122,3,22,4,10,66,578,398.4,514.3,478.8,557,458.5,612.1,397,604.9,368.7,502.7,423.8,680.2,552.7,689.6,538.2,717.1,485.3,746.8,468.7,573.3,420.3,502.7,423.8,708.4,511.2,620.3,457
2904716-215,MO,Clay County,16-215,7553,421,6191,322,18,202,3,16,380,4796,227,4033,215,11,133,3,7,167,1565.4,1077.6,1399.2,1352.1,1531.4,1261.7,1693.6,1080.6,1725.4,944.4,1197,1159.4,1747,1362.2,1766,1336.1,1884.4,1105.4,1937.6,1063.9,1583,1143.3,1197,1159.4,1833.7,1216.9,1644.7,1174.3
2904716-216,MO,Clay County,16-216,2620,112,2163,126,10,115,4,6,84,1798,68,1509,90,10,79,4,2,36,742.8,516.8,667.8,645.8,739.8,591.8,805.7,510.8,834.7,453.9,657.8,546.8,789.7,570.8,826.7,527.8,839.7,493.8,848.7,472.8,758.1,543.8,657.8,546.8,826.2,516.3,775.3,533.1
29047162127,MO,Clay County,162127,7422,477,5752,504,19,222,13,18,417,5188,291,4136,355,15,163,8,8,212,1460.3,973.4,1303.6,1176.4,1385.3,1119.6,1538.3,963.7,1556.6,883.9,1063.1,1093.6,1192.8,1162.3,1210.6,1121.1,1245.1,1027,1321.9,956.1,1448.8,1023.4,1063.1,1093.6,1242.6,1066.6,1327.8,1047.7
29049000002,MO,Clinton County,000002,6445,170,5836,28,23,44,0,11,333,4765,100,4370,25,22,34,0,6,208,1893,660,1501,1076,1652,990,1832,864,1833,747,1425,733,2020,704,1964,723,2005,626,2078,570,1742.2,867.4,1425,733,2016.8,655.8,1820.3,769.3
29049000003,MO,Clinton County,000003,2540,33,2401,15,6,3,3,4,75,1941,25,1835,10,6,3,3,2,57,1012.2,286.1,818.4,471.8,804.2,516.4,918,408.1,938.8,325.5,732,337.8,1129,411.9,1111.4,388.2,1108.8,339.5,1139.7,313.9,898.3,401.6,732,337.8,1122.2,363.4,971.2,379.9
29049000005,MO,Clinton County,000005,3294,95,2868,131,12,14,1,8,165,2589,57,2302,111,12,10,0,3,94,1015.8,468.9,791.6,653.2,860.8,635.6,971,546.9,962.2,483.5,777,533.2,968,346.1,907.6,394.8,923.2,330.5,956.3,307.1,920.3,557.6,777,533.2,938.8,344.6,913.4,470
29049000006,MO,Clinton County,000006,2282,58,2081,11,3,7,1,15,106,1894,41,1761,7,3,6,1,11,64,831,301,674,459,716,448,827,355,785,335,639,375,971,439,925,468,949,398,967,387,766.6,379.6,639,375,953,423,828.4,396.5
29049000007,MO,Clinton County,000007,3299,57,3064,4,11,14,0,2,147,2629,37,2452,3,11,8,0,2,116,1248.6,467.6,996.2,697.9,1098.2,662.7,1222,559.6,1173.2,507.9,992.1,510.7,1516.3,555.2,1457.5,579.9,1504.3,485.3,1532.9,464,1147.7,579.1,992.1,510.7,1502.8,521.1,1274.1,549.1
29049000008,MO,Clinton County,000008,3324,89,3014,13,16,3,0,9,180,2412,39,2226,6,7,0,0,9,125,1066.4,388.4,832.8,632.1,898.8,608.3,995,520.4,1007.8,447.1,754.9,466.3,1194.7,439.8,1152.5,447.1,1194.7,385.7,1223.1,372,960.1,519.3,754.9,466.3,1191.2,411.1,1032.1,470.7
