GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_she,uss_16_dem_cru,gov_18_rep_ive,gov_18_dem_mad,atg_18_rep_mar,atg_18_dem_sie,sos_18_rep_mer,sos_18_dem_mil,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_tub,uss_20_dem_jon,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
01049000003,AL,DeKalb County,000003,18610,4076,12873,641,121,95,7,38,759,13922,2336,10330,544,84,80,4,20,524,4778.6,1020,4555.5,1268.1,3918.9,1069.8,3811.1,1109.7,3809,1023.4,5485.3,1271.6,5267.6,1504.4,4667,1144,3846.3,1067.7,5376.4,1388,4518,1181
01049000004,AL,DeKalb County,000004,17182,1150,14664,138,247,42,1,24,916,13236,719,11533,103,184,34,0,16,647,5902.2,807.4,5663.5,1084.6,4875.7,988.3,4825.5,979.4,4847.2,853.5,6869.6,923,6667.1,1169.3,5782.8,946,4849.4,940.4,6768.4,1046.2,5664.4,972.2
01051000011,AL,Elmore County,000011,4130,103,2991,836,11,34,2,20,133,3251,63,2452,614,10,25,1,5,81,1289,276.4,1293,303.3,951,245.9,922,269.9,963,214.9,1461.8,379.6,1442.8,422.6,1291,289.8,945.3,243.6,1452.3,401.1,1189,301.8
01051000021,AL,Elmore County,000021,549,12,106,405,1,4,0,2,19,390,9,70,286,1,4,0,2,18,33,179.6,41,166.7,33,117.1,30,119.1,29,121.1,23.2,213.4,21.2,215.4,37,173.2,30.7,119.1,22.2,214.4,30,161.8
01051000029,AL,Elmore County,000029,4846,162,3727,652,39,44,2,7,213,3873,102,3059,512,25,29,0,7,139,1892.8,495,1908.6,501,1497.8,434.7,1439.5,485.1,1527.4,397.3,1985.6,564.2,1935.2,636.3,1900.7,498,1488.2,439,1960.4,600.2,1741,501.9
01051000031,AL,Elmore County,000031,1198,19,837,292,0,3,1,12,34,939,7,661,236,0,3,1,4,27,450,149,448,157,309,140,290,156,312,135,473,204,469,222,449,153,303.7,143.7,471,213,393,166.1
01051000041,AL,Elmore County,000041,2004,47,1734,132,4,6,0,6,75,1531,34,1348,100,3,4,0,2,40,792.8,106.9,786.9,117.8,659.1,81.3,632.4,108,662.1,75.4,983.6,135.8,974.7,157.5,789.8,112.3,651.2,88.3,979.1,146.6,784.5,111.8
01051000051,AL,Elmore County,000051,1421,13,1317,66,2,4,0,3,16,1239,11,1147,60,2,4,0,3,12,643,99,638,117,567,105,545,123,567,96,807,147,804,161,640.5,108,559.7,108,805.5,154,653,121.1
01051000052,AL,Elmore County,000052,981,18,867,56,2,2,1,4,31,845,14,746,55,2,0,0,4,24,438.2,58.1,439.1,62.2,346.9,73.7,333.6,85,351.9,65.6,505.4,100.2,500.3,109.5,438.7,60.2,344.2,74.7,502.9,104.9,416.5,79.2
01051000061,AL,Elmore County,000061,1860,40,1428,293,2,5,0,6,86,1400,26,1088,234,2,4,0,0,46,652,236.7,655,226.7,509.9,194.7,477.6,219.9,495.9,195.7,741.3,272.9,717.9,303.4,653.5,231.7,494.5,203.5,729.6,288.1,607.1,235.7
01051000071,AL,Elmore County,000071,1840,28,1657,81,6,3,0,5,60,1478,13,1344,65,5,1,0,5,45,756,69,738,89,600,56,568,86,594,58,877,77,855,102,747,79,587.3,66.7,866,89.5,712.6,76.7
01051000081,AL,Elmore County,000081,2329,61,1756,389,4,4,2,4,109,1844,33,1419,299,3,3,0,4,83,932.7,259.3,934.6,272.6,710.5,224.2,674.4,257.4,705.7,220.4,1014.4,310.6,978.3,360,933.7,266,696.9,234,996.4,335.3,850.1,272.1
01051000101,AL,Elmore County,000101,2636,88,1771,607,7,13,4,16,130,2059,62,1435,457,5,5,1,12,82,867.5,347,854.2,366.6,671,281.8,645.4,299.2,663.4,271.9,926,361.7,896.9,398.5,860.8,356.8,659.9,284.3,911.5,380.1,789.2,332.4
01051000111,AL,Elmore County,000111,953,14,831,59,1,1,0,1,46,757,6,676,44,1,1,0,1,28,459,49,451,59,374,54,366,60,379,46,563,54,553,64,455,54,373,53.3,558,59,449.3,55.1
01051000121,AL,Elmore County,000121,1767,37,1560,91,0,10,0,10,59,1497,25,1337,76,0,6,0,10,43,839.5,104.1,818.4,128.3,699,105.6,670.2,129.5,696.5,101,945.8,111.5,927.2,135.1,828.9,116.2,688.5,112.1,936.5,123.3,799.5,116.5
01051000131,AL,Elmore County,000131,718,11,599,82,1,0,0,1,24,578,5,495,64,1,0,0,1,12,272.7,48.3,269.9,56.6,229,52.2,229.5,50.6,235,44.3,319.7,64.7,316.2,70,271.3,52.4,231.2,49,318,67.4,267.4,55.2
01051000141,AL,Elmore County,000141,1642,17,1525,13,5,11,0,3,68,1218,3,1151,5,5,9,0,1,44,698.6,37.2,678.5,54.7,543,51.5,533.2,62.2,546.5,41.9,804.7,48.4,796.5,59.6,688.6,45.9,540.9,51.8,800.6,54,657.3,50.8
01051000151,AL,Elmore County,000151,4670,83,4103,255,18,19,2,8,182,3443,47,3056,184,16,16,2,4,118,1701,177,1695,207,1325,185,1286,219,1333,167,2091,232,2042,308,1698,192,1314.7,190.3,2066.5,270,1639,213.6
01051000161,AL,Elmore County,000161,3052,84,2124,700,4,6,0,10,124,2286,50,1615,542,4,2,0,6,67,852,220.3,849,248.6,653.1,219.3,631.7,236.9,655.1,207.6,1030.4,329.5,1003.1,360.7,850.5,234.4,646.6,221.3,1016.7,345.1,810.6,260.4
01051000171,AL,Elmore County,000171,1298,36,539,668,2,5,0,0,48,999,20,426,513,0,4,0,0,36,196,355,193,332,168,275,141,299,154,278,227,390,218,400,194.5,343.5,154.3,284,222.5,395,185.3,332.7
01051000181,AL,Elmore County,000181,7062,225,4092,2562,6,13,0,10,154,6275,167,3584,2417,6,13,0,5,83,872,267.1,842.3,272.9,585.2,197.4,553.5,227.2,593.1,185.5,862.3,258.4,823.6,301.1,857.2,270,577.3,203.4,842.9,279.8,733.1,244.2
01051000201,AL,Elmore County,000201,1480,60,850,526,5,4,0,3,32,1141,27,680,403,4,4,0,0,23,463.1,349.1,468.4,323.4,361.6,285.1,347.9,296.8,354.4,278.4,488.6,406,473.1,421.4,465.8,336.2,354.6,286.8,480.9,413.7,422.4,337.2
01051000220,AL,Elmore County,000220,3318,95,2361,707,12,13,0,9,121,2524,65,1882,484,8,11,0,3,71,403.3,122.9,401.2,131.3,755.1,347.9,736.9,364.2,762.5,334.7,822.5,412.8,808.5,443.2,402.3,127.1,751.5,348.9,815.5,428,670,308.1
01051000221,AL,Elmore County,000221,7707,441,5200,1561,25,96,2,22,360,5877,267,4183,1094,23,78,0,14,218,3112.4,957.9,3096.5,1019.7,1967.9,755,1871.5,841.2,1939.2,750.2,2868.6,1100.5,2769.3,1247.4,3104.5,988.8,1926.2,782.1,2818.9,1173.9,2517.9,953.1
01051000222,AL,Elmore County,000222,4762,159,3203,1125,18,35,1,27,194,3546,110,2472,779,18,33,1,11,122,1422,507,1409.6,538.9,1072,492.6,1036.8,527.8,1084.4,472.4,1526.1,634.4,1496.9,684,1415.8,523,1064.4,497.6,1511.5,659.2,1292.5,551
01051000231,AL,Elmore County,000231,6494,340,3457,2298,28,98,1,33,239,5067,225,2855,1704,18,87,0,22,156,1368.3,1030.5,1401,1023.5,1066,879.3,990,941.5,1036.4,893.1,1478,1316,1442.4,1367.4,1384.7,1027,1030.8,904.7,1460.2,1341.7,1254.6,1064.5
01051000261,AL,Elmore County,000261,6082,235,3553,1988,30,68,6,17,185,4862,146,2997,1517,23,60,4,11,104,1114.8,807,1141.2,810.5,852.4,666.8,792.1,723,822.8,683.9,1170.5,886.2,1135.4,924.2,1128,808.7,822.4,691.2,1153,905.2,1004.2,785.9
01051000311,AL,Elmore County,000311,1688,43,1499,54,3,8,0,4,77,1285,21,1169,33,3,6,0,4,49,703,57.4,703,59.3,607.1,61.3,581.4,82.1,601.1,65.3,812.7,77.1,783.1,119.6,703,58.3,596.5,69.5,797.9,98.4,684.5,74.6
01051000321,AL,Elmore County,000321,1677,28,1413,110,4,31,2,3,86,1360,16,1186,78,2,21,2,2,53,854.2,146.3,874.4,158.4,742.7,158.4,730.9,169.1,756,131.9,856.5,189.3,836.8,228.3,864.3,152.4,743.2,153.2,846.6,208.8,807.3,168.8
01051000331,AL,Elmore County,000331,8813,225,6699,1366,28,127,2,27,339,6641,156,5147,998,20,93,1,19,207,3005.7,773.1,3011.3,858.5,2433.4,829.8,2360.9,880.7,2453.9,776.2,2901.9,892.3,2861.1,965.7,3008.5,815.8,2416.1,828.9,2881.5,929,2718.3,853.8
01051000341,AL,Elmore County,000341,1000,69,741,152,2,2,0,2,32,800,56,593,119,2,2,0,1,27,441.2,133.1,442.5,142.4,374.5,123.5,361.7,134.7,371.4,118,493.3,168.5,475.9,179.5,441.9,137.7,369.2,125.4,484.6,174,422.9,142.8
01053000010,AL,Escambia County,000010,1045,39,554,386,10,3,0,1,52,801,33,455,276,8,3,0,0,26,266.1,210.7,254.3,205.7,261.5,150.5,237.7,169,244.7,159.9,232.1,193.6,220.3,208.5,260.2,208.2,248,159.8,226.2,201.1,245.2,185.4
01053000030,AL,Escambia County,000030,6231,115,3686,2153,36,29,8,6,198,4954,65,2981,1739,25,26,8,6,104,1720.2,1085.8,1713,1055.8,1471.2,982.3,1396.6,1022.3,1465.9,932.5,1739.2,1056.9,1661.4,1132.7,1716.6,1070.8,1444.6,979,1700.3,1094.8,1595.4,1038.3
01053000040,AL,Escambia County,000040,1173,31,1030,35,14,7,2,1,53,918,20,821,22,12,7,2,1,33,490,41,468,53,403,33,378,46,394,29,532,29,519,44,479,47,391.7,36,525.5,36.5,454.9,39.3
01053000050,AL,Escambia County,000050,2883,86,1758,870,12,10,1,2,144,2171,38,1403,636,9,10,0,0,75,691.7,329.2,660.5,329.3,581.3,237,505,301.3,546.9,252,693.4,327.4,659.4,366.7,676.1,329.3,544.4,263.4,676.4,347,619.8,306.1
01053000070,AL,Escambia County,000070,978,6,908,11,20,0,0,0,33,742,3,695,8,17,0,0,0,19,439.8,35.9,399.9,49.7,337.6,45.7,318.4,60.8,331.1,39.1,500.5,38,477.3,59.7,419.8,42.8,329.1,48.5,488.9,48.9,400.7,47
01053000080,AL,Escambia County,000080,577,10,466,76,4,2,0,0,19,450,7,357,68,4,2,0,0,12,206.2,65.2,204.3,64.2,151.7,56.1,142.6,67.9,148.9,56.1,240.7,54.3,228,66.1,205.2,64.7,147.7,60.1,234.3,60.2,188.9,61.4
01053000090,AL,Escambia County,000090,218,1,204,5,0,0,0,0,8,168,1,161,2,0,0,0,0,4,95.1,14.9,89.3,14.8,73.5,12.1,67.2,17.1,66.4,15.6,109.9,14.3,107.3,16,92.2,14.8,69,15,108.6,15.1,87,15
01053000100,AL,Escambia County,000100,174,1,158,2,0,0,0,0,13,139,0,126,2,0,0,0,0,11,67,3,57,4,53,6,50,7,51,3,68,2,67,3,62,3.5,51.3,5.3,67.5,2.5,59,4
01053000110,AL,Escambia County,000110,83,2,78,1,0,0,0,0,2,73,1,69,1,0,0,0,0,2,43,9.2,37.6,11.2,29.4,6.4,26.9,8.9,27.9,7.7,46.2,6.5,45,9.7,40.3,10.2,28.1,7.7,45.6,8.1,36.6,8.5
01053000120,AL,Escambia County,000120,616,8,393,172,5,3,0,1,34,472,5,294,146,5,3,0,0,19,156.8,121.8,142,120.9,134.5,93.2,112.3,109.8,114.1,103.4,167.1,131.9,159.7,140.2,149.4,121.3,120.3,102.1,163.4,136.1,140.9,117.3
01053000140,AL,Escambia County,000140,1036,27,695,251,17,1,0,1,44,764,17,522,179,15,0,0,1,30,302.7,99.9,292.9,97,242.9,94,225.3,103.8,239,86.2,338.9,107.8,321.3,129.3,297.8,98.4,235.7,94.7,330.1,118.5,280.4,102.6
01053000150,AL,Escambia County,000150,1190,29,925,149,23,0,0,2,62,894,23,709,111,18,0,0,2,31,405.6,55.4,382.1,59.2,316.1,54.3,299.3,60.3,308.3,47.3,454.8,80.7,436,100.6,393.8,57.3,307.9,54,445.4,90.7,371.7,65.4
01053000160,AL,Escambia County,000160,812,7,765,16,7,1,0,0,16,630,4,596,12,7,1,0,0,10,366.8,23.7,349,18.8,288,23.7,266.4,34.9,273.7,22.5,394.3,21.5,376.7,39.1,357.9,21.3,276,27,385.5,30.3,330.7,26.3
01053000170,AL,Escambia County,000170,519,2,474,8,15,1,0,0,19,418,0,390,6,7,0,0,0,15,205.2,8.9,188.4,13.8,172.2,23.4,164,27.5,170.1,17.5,252.9,23.7,244,35.5,196.8,11.4,168.8,22.8,248.4,29.6,199.5,21.5
01053000180,AL,Escambia County,000180,238,9,213,2,7,0,0,1,6,194,5,177,1,7,0,0,1,3,133,5,129,3,113,4,110,7,112,4,149,6,146,7,131,4,111.7,5,147.5,6.5,127.4,5.1
01053000190,AL,Escambia County,000190,961,20,633,201,60,1,0,0,46,795,5,528,200,36,0,0,0,26,227.7,8,227.7,6,193.8,9,182.8,17,190.8,7,285.7,9,274.7,20,227.7,7,189.1,11,280.2,14.5,226.2,10.8
01053000210,AL,Escambia County,000210,195,6,172,4,2,0,0,0,11,148,2,131,4,2,0,0,0,9,66,5,61,7,61,6,54,9,53,7,93,6,89,13,63.5,6,56,7.3,91,9.5,68.1,7.6
01053000220,AL,Escambia County,000220,1465,14,1329,45,32,0,3,1,41,1092,10,996,28,31,0,1,0,26,621.2,31.6,570.9,45.7,510.2,68.8,499.1,73.1,517.8,45.8,715,34.2,693.6,57.6,596,38.6,509,62.6,704.3,46,589.7,51
01053000230,AL,Escambia County,000230,617,24,527,29,8,1,0,2,26,468,13,413,26,4,0,0,0,12,240.9,48.8,223,58.7,216,40.8,191.1,50.8,195.1,42.8,279.7,27.9,257.8,50.8,231.9,53.8,200.7,44.8,268.7,39.3,229.1,45.8
01053000240,AL,Escambia County,000240,800,21,310,412,17,2,0,0,38,603,17,251,298,13,0,0,0,24,128.2,140.2,127.6,129.6,90,113.4,85.2,114.2,85.6,113.7,121,171.6,118.6,171.1,127.9,134.9,86.9,113.8,119.8,171.3,108,136.2
01053000250,AL,Escambia County,000250,1353,41,856,333,59,6,2,0,56,1036,28,711,211,46,5,1,0,34,502.8,141.8,491.3,150.2,416.5,157.9,419.8,148.7,434.2,135.2,545.5,198.3,521,224.9,497.1,146,423.5,147.2,533.3,211.6,475.9,165.3
01053000260,AL,Escambia County,000260,2972,77,1669,948,128,27,3,4,116,2295,43,1392,666,97,26,1,4,66,830.1,367.5,813.3,374.3,646.1,350.6,649,337.8,664,308.9,819.6,457.4,790.7,500.1,821.7,370.9,653,332.4,805.2,478.7,744.7,385.2
01053000270,AL,Escambia County,000270,836,16,620,90,70,1,0,2,37,671,8,520,59,56,1,0,0,27,311.3,35,295.2,43,261.8,40.9,253.8,51.9,259.8,36.8,370.2,34.2,356.2,49.3,303.3,39,258.5,43.2,363.2,41.8,301.2,41.6
01053000280,AL,Escambia County,000280,280,4,205,26,27,0,0,3,15,218,4,172,14,16,0,0,2,10,124.8,6,116.6,7.2,99.8,7.6,89,12.5,96.9,3.5,137.1,12.3,132,18.5,120.7,6.6,95.2,7.9,134.6,15.4,113.7,9.7
01053000290,AL,Escambia County,000290,1117,38,404,195,416,0,0,7,57,808,15,305,159,288,0,0,2,39,247.3,117.2,245.3,114.2,173.8,105.3,170.8,107.2,176.8,97.3,355.5,120.2,333.6,145,246.3,115.7,173.8,103.3,344.6,132.6,243.3,115.2
01053000300,AL,Escambia County,000300,2260,30,995,933,244,0,0,2,56,2003,17,908,879,162,0,0,2,35,260,70,258,67,175,69,186,57,185,56,299,71,291,79,259,68.5,182,60.7,295,75,236.3,67
01053000310,AL,Escambia County,000310,2170,16,140,1910,10,0,0,6,88,1622,13,116,1429,7,0,0,4,53,23.6,826.6,27.5,812.9,26.5,598.6,22.6,602.5,22.6,602.5,50.1,842.4,45.2,840.4,25.6,819.8,23.9,601.2,47.7,841.4,31.2,732.3
01053000320,AL,Escambia County,000320,2832,47,1028,1528,134,11,1,4,79,2186,35,843,1170,83,3,1,4,47,411,639.8,394,640.8,332.4,554.8,315.4,562.8,318.5,550.7,477.8,744.9,455.7,762,402.5,640.3,322.1,556.1,466.8,753.5,386.4,636.5
01053000330,AL,Escambia County,000330,1126,24,809,131,111,2,2,3,44,842,12,623,98,77,0,2,2,28,351,57.9,336.1,68.2,266.1,90.6,273.5,85,283.8,71.9,400.5,95.2,389.3,110.2,343.5,63,274.5,82.5,394.9,102.7,328.6,82.7
01055000008,AL,Etowah County,000008,1076,57,726,212,2,1,0,0,78,831,33,601,152,1,0,0,0,44,253.6,88.2,245.9,96.1,178.8,96,169.5,103.4,176.9,94.7,272.5,139.7,255.2,163.4,249.7,92.1,175.1,98,263.9,151.6,221.8,111.6
01055000016,AL,Etowah County,000016,1393,7,1295,9,11,7,0,5,59,1076,5,1010,8,9,6,0,3,35,484.4,65.9,466,78.3,405.4,97.6,402.8,94.1,417.2,71.9,639.3,75.3,616.4,105.4,475.2,72.1,408.5,87.8,627.8,90.4,490.2,84.1
01055000101,AL,Etowah County,000101,3599,101,3125,214,4,29,0,10,116,2920,74,2570,162,4,27,0,1,82,1398.2,342.3,1333.1,459,1127.5,450.3,1084.5,480,1173.4,375.8,1469,478.1,1416.4,566.1,1365.7,400.6,1128.5,435.4,1442.7,522.1,1286,450.2
01055000102,AL,Etowah County,000102,4039,432,2427,858,20,11,2,22,267,2999,269,1941,580,18,8,2,9,172,775,351.7,782.8,380.5,543.5,316.2,523.7,342,537.5,315.2,777.5,476.2,731,534.6,778.9,366.1,534.9,324.5,754.3,505.4,667.3,388.1
01055000103,AL,Etowah County,000103,2533,108,262,2037,1,2,0,11,112,1808,53,183,1502,1,1,0,11,57,29.8,844.2,45,826.5,37.6,644.8,24.1,657.5,18.8,648.4,52.1,862.7,45.6,848.7,37.4,835.4,26.8,650.2,48.9,855.7,36.1,761.9
01055000104,AL,Etowah County,000104,2912,176,1557,1060,4,6,0,1,108,2315,101,1325,823,4,5,0,0,57,437.2,466.3,441.5,486.4,343.2,423.9,336.7,422.3,340.8,409,493.6,508.6,472,527.8,439.3,476.4,340.2,418.4,482.8,518.2,409.3,463.5
01055000105,AL,Etowah County,000105,998,196,359,388,10,18,0,5,22,865,138,354,329,10,17,0,3,14,39.4,262.1,41.2,259.9,25,217.4,24.4,217.1,26.4,211.5,45.7,291.4,45,285.2,40.3,261,25.3,215.3,45.3,288.3,35.3,249.2
01055000106,AL,Etowah County,000106,2230,164,1481,406,6,4,2,6,161,1730,105,1211,307,6,4,0,3,94,414.9,181.8,400.3,204.4,248.1,129.4,233.8,141,241.8,131.7,389.4,198.2,364,233.2,407.6,193.1,241.2,134,376.6,215.7,327.5,174.2
01055000107,AL,Etowah County,000107,4070,520,1769,1561,10,29,3,9,169,3201,292,1560,1207,9,20,3,4,106,461.8,783.1,471.8,805,377.8,693.4,337.7,727,371.8,674.5,509.7,790.7,475,818.6,466.8,794.1,362.4,698.3,492.3,804.6,429.4,756.1
01055000109,AL,Etowah County,000109,4891,345,1656,2609,13,70,2,21,175,3913,225,1430,2073,7,62,2,10,104,871,1323,874.2,1370.1,644.5,1159.7,623.4,1168.4,647.5,1124,882.7,1175.4,847.8,1198.8,872.6,1346.5,638.5,1150.7,865.3,1187.1,770.2,1217
01055000110,AL,Etowah County,000110,2834,45,2511,114,1,79,0,10,74,2297,32,2054,86,0,64,0,6,55,1189.5,315.5,1181.9,359.6,1002.6,453.3,1009.2,440.9,1100.7,324.5,1177,394.5,1140.6,448.5,1185.7,337.6,1037.5,406.2,1158.8,421.5,1114.5,391
01055000111,AL,Etowah County,000111,4477,571,1128,2511,19,24,0,32,192,3357,299,973,1905,17,18,0,21,124,364.6,1095.8,398.5,1079.7,295.3,828.8,258.9,867.2,273.1,834.6,374.5,998,349.2,992.9,381.6,1087.7,275.8,843.5,361.8,995.5,330.6,956.7
01055000201,AL,Etowah County,000201,9263,202,8381,206,28,75,0,2,369,7313,114,6701,166,19,56,0,1,256,4000.2,543,3920.8,709.8,3105.9,759.4,3109.5,727.6,3184.9,611,4539.1,661.7,4424.5,835.6,3960.5,626.4,3133.4,699.3,4481.8,748.7,3755,692.6
01055000301,AL,Etowah County,000301,1070,10,1012,18,1,2,0,3,24,865,4,822,18,1,0,0,1,19,423.9,75.8,412.7,102.7,337.4,108.7,339,108,364.3,77.4,504.9,97.2,477.8,132.9,418.3,89.3,346.9,98,491.4,115,408.6,100.4
01055000401,AL,Etowah County,000401,5259,105,4701,184,20,56,1,14,178,4220,51,3832,143,19,42,0,10,123,1976.9,360.7,1915.3,476.6,1452.6,473.6,1448.9,468.4,1518.1,375.4,2100.9,410.6,2031.6,506.3,1946.1,418.7,1473.2,439.1,2066.2,458.5,1777.7,438.8
01055000501,AL,Etowah County,000501,7356,81,6881,89,25,25,3,14,238,5859,55,5511,62,23,19,2,5,182,3026.5,391.8,2886.9,545.9,2042.3,497.1,2028.7,480.4,2101.3,368.8,3219.9,388,3104.7,539.3,2956.7,468.9,2057.5,448.8,3162.3,463.6,2630.1,458.8
01055000801,AL,Etowah County,000801,3582,89,2994,292,31,6,0,6,164,2872,43,2440,243,30,3,0,0,113,1339,364.4,1280.9,436.1,961,393.7,947.9,403.5,974.3,364.1,1525.2,420.2,1471.7,491,1310,400.3,961,387.1,1498.5,455.6,1214.3,410.4
01055001001,AL,Etowah County,001001,2963,69,2685,23,16,4,0,5,161,2367,38,2192,12,8,4,0,0,113,1329.9,136.8,1276.9,208.2,969.3,149.8,926.3,191.2,949.4,154.4,1465.2,168.1,1419.8,249.2,1303.4,172.5,948.4,165.1,1442.5,208.7,1191,179.7
01055001101,AL,Etowah County,001101,729,33,651,15,1,7,0,2,20,589,22,528,14,1,7,0,2,15,269.4,31.8,263.2,46.6,222.2,37.8,213.4,44.1,216.6,35.4,316.2,50.3,305.6,65.2,266.4,39.2,217.4,39.1,310.9,57.8,258.1,44.4
01055001301,AL,Etowah County,001301,2338,118,2027,85,9,2,2,3,92,1844,72,1611,75,9,2,2,3,70,873.7,155.1,855,194.1,661.5,154.3,630.1,180.5,646.9,152.8,1040.3,195.5,1005.9,243.8,864.4,174.6,646.2,162.5,1023.1,219.7,816.2,182.3
01055001401,AL,Etowah County,001401,2925,146,1976,585,7,13,0,7,191,2286,82,1599,469,7,10,0,5,114,700.6,491.2,674.5,539.4,423.1,411.7,415,419.8,421,404.7,693.3,559.2,653,604.5,687.6,515.3,419.7,412.1,673.2,581.9,568.6,490.1
01055001402,AL,Etowah County,001402,4080,239,3406,225,7,23,0,1,179,3188,138,2763,161,5,19,0,1,101,1315,221,1264,292,896,207,861,230,886,188,1467,282,1434,323,1289.5,256.5,881,208.3,1450.5,302.5,1160.4,249
01055001501,AL,Etowah County,001501,2710,146,2399,21,12,3,2,3,124,2100,81,1895,18,12,2,2,2,88,927,93.7,892.1,132.8,689.4,113.4,692.5,114.2,701.8,95.7,974.4,110.4,953.3,159.3,909.5,113.3,694.6,107.8,963.9,134.9,832.9,117.1
01055001601,AL,Etowah County,001601,3999,99,3696,20,14,12,2,2,154,3134,65,2907,11,10,10,2,2,127,1383.2,146.9,1343.5,201.9,1025.2,157.6,1031.9,150.6,1015.2,150.8,1676.7,200.2,1646.3,255.8,1363.3,174.4,1024.1,153,1661.5,228,1303.1,180.5
01055001603,AL,Etowah County,001603,3248,310,2770,10,8,15,0,9,126,2435,172,2137,8,8,12,0,8,90,1333.1,124.6,1269,191.8,941.4,143.2,957.8,128.4,926.8,137.9,1465.6,157.5,1434.6,215.2,1301.1,158.2,942,136.5,1450.1,186.3,1189.8,156.9
01055001701,AL,Etowah County,001701,891,42,791,4,1,5,10,2,36,700,25,626,3,1,5,6,2,32,325,47,309,66,234,47,225,54,235,39,365,63,351,80,317,56.5,231.3,46.7,358,71.5,292,56.6
01055001901,AL,Etowah County,001901,2152,64,1974,4,10,3,0,8,89,1636,39,1511,4,10,3,0,5,64,729.1,70.1,698.8,105.6,459.8,81.4,459.8,78.8,465.9,67.5,791.4,72.7,763.7,104.8,713.9,87.9,461.8,75.9,777.6,88.8,624.1,83
01055002001,AL,Etowah County,002001,1522,51,1399,16,9,0,0,4,43,1181,33,1084,15,9,0,0,1,39,481,55,458,79,354,57,341,70,356,50,610,90,594,114,469.5,67,350.3,59,602,102,456.3,73.6
01055002201,AL,Etowah County,002201,989,23,925,2,0,3,0,4,32,767,8,735,1,0,1,0,4,18,446,43,413,67,344,63,337,64,344,38,507,55,491,65,429.5,55,341.7,55,499,60,411.7,56.4
01055002301,AL,Etowah County,002301,8940,263,6886,1072,20,291,9,30,369,6919,185,5514,741,20,213,1,23,222,2965.4,709.6,2902.2,840.8,2219.8,765.4,2152.6,805.5,2219.3,708.3,3106.8,836.6,3008.3,994.7,2933.8,775.2,2197.2,759.7,3057.6,915.7,2653.5,808.7
01055002401,AL,Etowah County,002401,2067,27,1811,100,2,73,0,4,50,1647,21,1451,72,2,61,0,3,37,731.6,107.3,707.4,137.7,616.8,183.8,619.9,174.9,642.5,137.8,848.3,171.2,824.5,207.4,719.5,122.5,626.4,165.5,836.4,189.3,713,160
01055002501,AL,Etowah County,002501,1292,29,1154,30,8,22,1,2,46,1068,22,977,15,6,14,1,0,33,618,94.3,597.4,119.9,514.9,115,499.1,126.8,513.9,102.2,699.6,112,683.9,133.6,607.7,107.1,509.3,114.6,691.7,122.8,589.5,114.8
01055002601,AL,Etowah County,002601,1009,27,916,19,2,1,0,3,41,819,20,755,14,1,1,0,3,25,414.6,55.5,394.6,76.5,323.3,78,311.4,85,317.6,74.5,501.7,72.9,488.1,96.2,404.6,66,317.4,79.2,494.9,84.6,393,77
01057000101,AL,Fayette County,000101,5385,157,3751,1216,18,28,0,5,210,4277,114,3089,916,17,15,0,3,123,1861.8,729.3,1851.1,754.8,1509.7,978.9,1475.7,962.5,1594,799.1,1908.7,747.6,1850.2,820.1,1856.4,742,1526.5,913.5,1879.5,783.9,1721.6,827.5
01057000201,AL,Fayette County,000201,310,3,274,25,2,0,0,0,6,259,3,229,22,2,0,0,0,3,148,20,148,17,109,30,110,29,116,22,172,30,164,39,148,18.5,111.7,27,168,34.5,138.1,26.7
01057000301,AL,Fayette County,000301,345,2,324,12,0,0,0,1,6,283,1,271,8,0,0,0,0,3,141.2,18.9,136.5,18.5,105.9,26.9,104.8,23.6,113.9,13.2,151.4,10.1,143.9,15.2,138.8,18.7,108.2,21.2,147.7,12.6,128.2,18
01057000401,AL,Fayette County,000401,624,15,571,19,2,0,0,3,14,496,11,454,17,2,0,0,3,9,268.5,37.8,263.6,37.8,215.4,54.8,216.1,46.7,224.7,36.4,303.8,23.8,288.9,40.4,266.1,37.8,218.7,46,296.4,32.1,254.4,39.7
01057000501,AL,Fayette County,000501,1346,33,1231,36,0,4,0,1,41,1029,25,942,29,0,4,0,0,29,532.1,49.6,517.2,68.3,409.6,93.5,405.9,86,430.2,56.1,584.5,49.6,569.5,68.3,524.7,58.9,415.2,78.6,577,58.9,492.7,67.3
01057000601,AL,Fayette County,000601,566,29,507,17,1,1,0,0,11,430,14,392,13,1,1,0,0,9,277.6,27.6,250.3,48.1,215.5,65.8,203.6,63.1,214.6,39.3,318.5,31.7,311.7,35.6,263.9,37.9,211.2,56,315.1,33.6,256,44.4
01057000701,AL,Fayette County,000701,347,1,257,69,1,1,1,4,13,272,0,201,64,1,0,0,0,6,133.5,65.1,133.9,63.6,101.3,85.5,100.9,85.5,108.3,73.2,145.9,60.1,143.8,60.2,133.7,64.4,103.5,81.4,144.8,60.2,123.9,70.5
