GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_blu,uss_16_rep_car,uss_18_dem_mur,uss_18_rep_cor,gov_18_dem_lam,gov_18_rep_ste,atg_18_dem_ton,atg_18_rep_hat,sos_18_dem_mer,sos_18_rep_cha,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
0900101-019,CT,Fairfield County,01-019,9908,2321,4755,1701,19,326,2,230,554,8549,1776,4471,1395,8,272,2,177,448,2105,937,2266,623,1765,603,1641,762,1625,678,1642,666,2260,985,780,2185.5,677.2,1668.2,985,2260,750.6,1900.6
0900101-020,CT,Fairfield County,01-020,15649,8253,1135,4882,18,368,6,382,605,11169,5696,909,3553,18,270,6,272,445,2177.8,229.5,2051.7,177.1,1389.2,119,1372.5,162.4,1329.9,135.7,1333.6,137.7,2151.1,353.4,203.3,2114.8,138.7,1356.3,353.4,2151.1,187.8,1686.5
0900101-021,CT,Fairfield County,01-021,9646,5959,380,2926,5,88,0,90,198,7012,4207,331,2195,4,83,0,64,128,1792.2,197.5,1682.3,135.9,1062.8,107,1044.5,143.6,1000.1,125.3,1020.4,123.3,1560,380.6,166.7,1737.2,124.8,1031.9,380.6,1560,173.3,1308.9
0900101-022,CT,Fairfield County,01-022,6329,1594,3657,656,1,136,0,57,228,5407,1138,3369,543,1,127,0,48,181,1665,798,1781,630,1743,524,1555,719,1621,613,1623,584,2152,778,714,1723,610,1635.5,778,2152,663.7,1734.3
0900101-023,CT,Fairfield County,01-023,8126,2817,1734,2436,16,445,8,272,398,6398,2058,1561,1912,14,349,5,207,292,1779,537,1809,400,1426,359,1355,445,1339,411,1357,395,2026,609,468.5,1794,402.5,1369.2,609,2026,450.9,1584.4
0900101-024,CT,Fairfield County,01-024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.4,66.7,364,40.2,269.9,30.6,261.2,41.8,249.5,43.3,254.1,41.2,403.2,80.4,53.5,372.7,39.2,258.6,80.4,403.2,49.2,311.9
0900101-025,CT,Fairfield County,01-025,5406,2076,747,1965,6,89,1,246,276,4214,1543,662,1547,6,80,1,171,204,367.6,64.3,351,38.8,260.1,29.4,251.8,40.2,240.5,41.7,244.9,39.8,388.8,77.6,51.5,359.3,37.8,249.4,77.6,388.8,47.4,300.7
0900101-026,CT,Fairfield County,01-026,4880,2535,627,1474,5,42,1,61,135,3519,1717,558,1071,5,33,0,40,95,1067.5,155.6,1017.2,129.2,787.2,109.4,756.4,154,740.2,133.6,759.2,127.1,1038.9,220,142.4,1042.3,131,760.8,220,1038.9,147,880.9
0900101-028,CT,Fairfield County,01-028,5081,2380,390,1938,4,170,0,48,151,3807,1678,355,1483,4,141,0,30,116,1066,104,973,85,850,71,747,100,724,79,723,85,1051,163,94.5,1019.5,83.8,761,163,1051,98.1,876.3
0900101-029,CT,Fairfield County,01-029,4171,2192,192,1482,4,197,0,14,90,2897,1434,151,1082,4,158,0,8,60,324.7,35.6,295.6,29.1,222.8,22.6,227.3,28.6,212.8,28.6,213.8,26.6,324.7,60.7,32.4,310.1,26.6,219.2,60.7,324.7,33.1,260.2
0900101-030,CT,Fairfield County,01-030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.8,39.2,320.4,32.1,242.1,25.1,245.8,32.2,230.9,31.7,232.4,29.5,349.8,65.8,35.7,335.6,29.6,237.8,65.8,349.8,36.5,281.7
0900101-031,CT,Fairfield County,01-031,2011,788,385,705,3,36,2,15,77,1800,695,374,616,3,32,1,15,64,539.8,80.1,487.3,67.6,406,39.4,397.4,50.8,383.4,44.3,379.7,47.9,569.7,108.9,73.8,513.5,45.6,391.6,108.9,569.7,62.7,451.9
0900101-032,CT,Fairfield County,01-032,8284,3547,1007,2794,32,541,1,98,264,6428,2502,937,2253,13,456,1,83,183,1439.2,231.9,1356.7,189.4,1027,138.6,1002.6,166.2,981.6,160.7,985.3,152.2,1487.3,335.1,210.7,1398,154.4,999.1,335.1,1487.3,196.3,1182.8
0900101-033,CT,Fairfield County,01-033,4380,2487,156,1577,17,27,0,30,86,3206,1801,131,1149,17,23,0,20,65,995.3,79.3,918.2,55,703.1,38.9,704.2,59.3,679,40,679.2,41.1,1046,174.1,67.2,956.8,44.8,691.3,174.1,1046,69.7,817.9
0900101-034,CT,Fairfield County,01-034,7362,662,5587,144,5,524,3,72,365,5928,439,4679,114,0,386,3,55,252,1576,1985,1816,1703,1574,1512,1301,1770,1347,1727,1406,1648,2081,2112,1844,1696,1664.2,1407,2112,2081,1779.6,1585.9
