GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_wic,uss_18_dem_bar,uss_r18_rep_hyd,uss_r18_dem_esp,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_hyd,uss_20_dem_esp,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
28005000301,MS,Amite County,000301,266,4,126,131,0,0,0,1,4,219,4,107,104,0,0,0,0,4,92.7,98.2,60.6,64,64.6,70.1,92.8,95.1,92.8,96.1,92.7,98.2,60.6,64,92.8,95.6,80.7,84.7
28005000302,MS,Amite County,000302,1023,10,256,728,2,0,0,1,26,803,7,208,564,2,0,0,0,22,123.3,483.4,86.7,340.1,87.2,345.4,130.2,452.6,122.2,447.1,123.3,483.4,86.7,340.1,126.2,449.9,109.9,413.7
28005000303,MS,Amite County,000303,190,1,143,43,0,0,0,0,3,141,1,115,22,0,0,0,0,3,77.4,36,61.5,24.4,55.9,28.1,72.1,35,68.2,36.8,77.4,36,61.5,24.4,70.2,35.9,67,32.1
28005000304,MS,Amite County,000304,410,6,371,27,0,0,0,0,6,331,5,304,18,0,0,0,0,4,218,7,182,6,159,4,242,9,234,15,218,7,182,6,238,12,207,8.2
28005000401,MS,Amite County,000401,749,8,536,176,1,11,0,0,17,600,6,434,138,1,9,0,0,12,332,83,256,59,245,65,367,77,359,83,332,83,256,59,363,80,311.8,73.4
28005000402,MS,Amite County,000402,508,6,340,152,1,2,0,1,6,430,6,296,122,1,0,0,1,4,185,62,138,53,129,56,182,62,173,66,185,62,138,53,177.5,64,161.4,59.8
28005000403,MS,Amite County,000403,728,3,465,234,4,0,0,0,22,580,2,373,187,4,0,0,0,14,236,135,175,105,157,121,238,131,230,137,236,135,175,105,234,134,207.2,125.8
28005000404,MS,Amite County,000404,821,3,660,136,1,2,0,0,19,677,1,555,102,1,2,0,0,16,392,54,301,36,274,44,393,54,382,61,392,54,301,36,387.5,57.5,348.4,49.8
28005000501,MS,Amite County,000501,593,9,301,268,0,0,0,2,13,502,7,260,220,0,0,0,2,13,171,149,138,93,122,109,194,152,188,157,171,149,138,93,191,154.5,162.6,132
28005000502,MS,Amite County,000502,600,8,190,385,2,0,0,3,12,445,7,133,292,2,0,0,3,8,111,192.9,71,150.9,73,160.9,102,192.9,99,200.9,111,192.9,71,150.9,100.5,196.9,91.2,179.7
28005000503,MS,Amite County,000503,405,3,179,214,0,0,0,0,9,319,3,153,155,0,0,0,0,8,122,114,87,90,79,92,125,115,121,120,122,114,87,90,123,117.5,106.8,106.2
28005000504,MS,Amite County,000504,928,6,569,336,7,0,0,0,10,763,4,464,279,6,0,0,0,10,359,176,280,136,236,143,403,169,388,184,359,176,280,136,395.5,176.5,333.2,161.6
28007000101,MS,Attala County,000101,1717,34,817,807,5,4,1,8,41,1253,23,660,528,5,3,0,6,28,394,289,291,199,250,248,390,326,356,364,394,289,291,199,373,345,336.2,285.2
28007000102,MS,Attala County,000102,1902,21,1247,595,0,8,2,9,20,1487,13,981,465,0,3,2,9,14,751,314,548,234,526,274,768,332,740,365,751,314,548,234,754,348.5,666.6,303.8
28007000201,MS,Attala County,000201,420,5,281,128,0,1,0,0,5,346,3,230,109,0,0,0,0,4,157.6,97.9,111,74.6,102.6,73.7,149.2,100.7,141.8,107.2,157.6,97.9,111,74.6,145.5,104,132.4,90.8
28007000202,MS,Attala County,000202,475,4,347,112,1,1,0,0,10,373,2,270,93,1,1,0,0,6,197.6,55,149.9,53.4,134.5,53.3,204.9,60.4,193.6,69.8,197.6,55,149.9,53.4,199.2,65.1,176.1,58.4
28007000203,MS,Attala County,000203,207,5,167,33,1,0,0,0,1,157,4,119,32,1,0,0,0,1,111.8,8.1,81.1,8,76.9,7,122.8,14.9,118.7,18,111.8,8.1,81.1,8,120.8,16.4,102.3,11.2
