GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_rin,uss_18_rep_bra,gov_18_dem_mil,gov_18_rep_moo,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
23005015430,ME,Cumberland County,015430,8473,150,7907,49,2,95,3,14,253,6440,100,6083,40,0,72,2,14,129,3211.7,1758.4,413.1,1428.3,2985.6,1911.4,4118.9,1804.5,3260.7,2545.6,1758.4,3211.7,1669.9,1699.4,2175,3689.8,1889.7,2798
23005024495,ME,Cumberland County,024495,12444,277,11199,92,24,375,2,47,428,9752,168,8933,62,12,275,2,41,259,4919,2638,700,2036,4440,2794,6213,2678,5100,3667,2638,4919,2415,2570,3172.5,5656.5,2762.6,4274.4
23005026525,ME,Cumberland County,026525,8737,167,7891,56,24,196,2,39,362,6976,110,6443,36,20,143,2,24,198,3466.7,1645,550.3,1179.5,3304.9,1525.1,4367.6,1676.9,3757.3,2144.3,1645,3466.7,1352.3,1927.6,1910.6,4062.5,1634.2,3089.4
23005027025,ME,Cumberland County,027025,32,0,30,0,0,0,0,0,2,29,0,28,0,0,0,0,0,1,43,26,2,24,29,30,38,19,27,29,26,43,27,15.5,24,32.5,25.6,27.8
23005028240,ME,Cumberland County,028240,18336,339,16589,293,52,298,8,58,699,14395,229,13162,220,47,229,8,41,459,5037.6,3952.7,991.9,2972.7,4062.6,4427.6,6527.4,4285.6,5198.5,5375.5,3952.7,5037.6,3700.2,2527.3,4830.6,5862.9,4202.8,4363.6
23005028870,ME,Cumberland County,028870,8269,128,7647,33,3,75,1,34,348,6714,87,6270,25,3,62,1,34,232,2038,2402,362,1745,1805,2137,2681,2563,2100,2975,2402,2038,1941,1083.5,2769,2390.5,2364.4,1797.2
23005031390,ME,Cumberland County,031390,5031,86,4724,12,11,37,0,15,146,4395,68,4158,12,7,25,0,10,115,1897,1319,190,977,1799,1212,2404,1426,1972,1746,1319,1897,1094.5,994.5,1586,2188,1336,1652.4
23005031600,ME,Cumberland County,031600,2447,27,2256,14,10,12,1,8,119,2059,11,1937,11,6,10,1,4,79,573,762,106,527,526,608,749,798,550,925,762,573,567.5,316,861.5,649.5,724,500.8
23005041067,ME,Cumberland County,041067,234,1,227,1,1,0,0,0,4,199,0,197,0,1,0,0,0,1,110,52,12,28,105,50,134,53,104,78,52,110,39,58.5,65.5,119,52.2,93
23005048085,ME,Cumberland County,048085,3925,61,3627,13,4,20,0,10,190,3153,42,2953,8,2,20,0,4,124,866.9,1321.9,183.9,918.1,769.1,1144.3,1095.2,1435.7,890.5,1569.2,1321.9,866.9,1031.2,476.5,1502.4,992.9,1277.8,761.1
