GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_new,uss_18_dem_klo,gov_18_rep_joh,gov_18_dem_wal,atg_18_rep_war,atg_18_dem_ell,sos_18_rep_how,sos_18_dem_sim,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_smi,uss_20_rep_lew,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
27003001015,MN,Anoka County,001015,2928,139,2302,137,22,149,0,19,160,2209,89,1813,93,17,102,0,14,81,851,620,589,752,687,650,705,589,685,605,937,930,783,895,851,620,666.5,649,912.5,860,763.1,705.1
27003001020,MN,Anoka County,001020,2505,146,1734,312,19,156,0,7,131,1841,87,1362,197,17,113,0,5,60,521.1,484.3,339.7,509.2,398.2,446.9,409.7,397,389.2,436.8,649.3,571.6,565.1,508.3,521.1,484.3,384.2,447.5,540,607.2,448.3,498.4
27003001105,MN,Anoka County,001105,2943,86,2117,362,4,243,0,16,115,2186,61,1675,226,4,163,0,11,46,811.2,765.6,571.1,874.4,674.1,755.3,705.4,691.4,686.2,720.8,988.4,805,892.4,774.3,811.2,765.6,659.2,760.5,789.7,940.4,718.2,812.6
27003001110,MN,Anoka County,001110,2023,74,1543,140,5,147,0,2,112,1531,56,1236,89,5,91,0,2,52,566,465,400,550,462,478,494,424,482,448,629,596,558,559,566,465,459.5,475,577.5,593.5,508.4,507.4
27003001115,MN,Anoka County,001115,3106,126,2290,289,3,230,4,7,157,2351,81,1835,179,3,162,4,2,85,826,746,564,874,673,762,703,684,686,737,1037,816,904,773,826,746,656.5,764.2,794.5,970.5,720.1,820.6
27003001120,MN,Anoka County,001120,2154,95,1705,134,8,68,0,14,130,1671,62,1393,87,7,47,0,13,62,535.4,431.8,323.4,520,388.3,453.1,406.7,390.2,384.4,434.8,580,563.5,499.6,503.5,535.4,431.8,375.7,449.5,533.5,539.8,443.6,472.8
27003001125,MN,Anoka County,001125,3048,123,2157,454,27,126,0,8,153,2446,75,1871,293,15,93,0,5,94,639.8,714.1,399.4,692.7,458.2,624.6,468.2,566.4,445.5,615.8,869.9,705.5,740.1,635.5,639.8,714.1,442.8,624.9,670.5,805,536,689.1
27003001205,MN,Anoka County,001205,3000,172,2146,290,20,136,0,18,218,2296,100,1787,175,11,97,0,12,114,804.3,704.2,513.8,786.3,581.4,709.7,597.6,648.9,607,673.7,890.2,797.5,774.1,721.7,804.3,704.2,574.9,704.6,759.6,832.2,660.5,741
27003001210,MN,Anoka County,001210,3015,180,2051,362,9,239,0,14,160,2340,105,1715,245,7,160,0,4,104,673,612.7,446.7,690.8,513.9,610.7,545.5,542.5,517.8,585,830.1,713.5,704.6,647.3,673,612.7,506,607.3,680.4,767.4,579.7,653.8
27003001215,MN,Anoka County,001215,3165,140,2234,387,18,149,3,12,222,2434,86,1873,237,17,103,2,2,114,648.3,703.1,431,713.4,485.4,640.5,522.8,578.3,494.1,627.8,905.3,662.2,778.9,597,648.3,703.1,483.3,640,629.6,842.1,548.7,706.7
