GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_kai,uss_18_rep_ste,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
51025000302,VA,Brunswick County,000302,1305,20,733,504,13,3,0,0,32,1035,11,575,414,9,3,0,0,23,359.9,349,294.6,283.8,349,359.9,283.8,294.6,NA,NA,316.4,327.2
51025000303,VA,Brunswick County,000303,621,7,323,275,2,1,0,2,11,507,5,259,229,1,1,0,2,10,183,164,149,132,164,183,132,149,NA,NA,148,166
51025000304,VA,Brunswick County,000304,615,19,340,240,0,2,0,0,14,498,9,280,202,0,2,0,0,5,194,148,143,117,148,194,117,143,NA,NA,132.5,168.5
51025000401,VA,Brunswick County,000401,3731,125,1153,2393,0,5,0,0,55,3309,104,1016,2155,0,4,0,0,30,719,422,582,324,422,719,324,582,NA,NA,373,650.5
51025000402,VA,Brunswick County,000402,570,9,161,390,0,2,0,1,7,471,6,137,321,0,2,0,1,4,296.7,105.2,246.1,92.3,105.2,296.7,92.3,246.1,NA,NA,98.7,271.4
51025000501,VA,Brunswick County,000501,3098,77,856,2061,2,10,5,15,72,2574,49,771,1691,2,8,5,9,39,807.6,251.4,699.1,204.7,251.4,807.6,204.7,699.1,NA,NA,228.1,753.4
51027000102,VA,Buchanan County,000102,830,0,820,0,0,1,0,0,9,653,0,644,0,0,1,0,0,8,60.3,367.9,55.3,214.1,367.9,60.3,214.1,55.3,NA,NA,291,57.8
51027000103,VA,Buchanan County,000103,2129,5,2104,3,0,0,0,0,17,1708,3,1692,0,0,0,0,0,13,123.9,835,85.8,449,835,123.9,449,85.8,NA,NA,642,104.9
51027000201,VA,Buchanan County,000201,257,2,251,1,0,0,0,1,2,201,2,195,1,0,0,0,1,2,31.6,81.7,33.7,49.8,81.7,31.6,49.8,33.7,NA,NA,65.7,32.7
51027000202,VA,Buchanan County,000202,1202,5,1190,0,0,0,0,1,6,984,5,975,0,0,0,0,1,3,107.2,514.9,114.6,271.2,514.9,107.2,271.2,114.6,NA,NA,393,110.9
51027000203,VA,Buchanan County,000203,1455,11,1433,1,0,0,0,0,10,1199,4,1186,1,0,0,0,0,8,104,547,111,258,547,104,258,111,NA,NA,402.5,107.5
51027000301,VA,Buchanan County,000301,1501,10,1445,4,1,1,0,0,40,1220,2,1177,3,1,1,0,0,36,154.7,589.1,134.9,302.9,589.1,154.7,302.9,134.9,NA,NA,446,144.8
51027000302,VA,Buchanan County,000302,1502,15,1439,5,2,10,1,0,30,1296,10,1243,5,2,10,1,0,25,118,482.3,106.8,277.9,482.3,118,277.9,106.8,NA,NA,380.1,112.4
51027000403,VA,Buchanan County,000403,2091,15,1868,149,0,15,0,2,42,1633,11,1552,29,0,11,0,0,30,158.7,710.7,178.2,444,710.7,158.7,444,178.2,NA,NA,577.4,168.4
51027000404,VA,Buchanan County,000404,1141,48,657,429,0,1,0,0,6,1105,48,622,428,0,1,0,0,6,14.9,62.8,18.9,40.9,62.8,14.9,40.9,18.9,NA,NA,51.8,16.9
51027000501,VA,Buchanan County,000501,1360,8,1341,0,0,3,0,0,8,1121,7,1105,0,0,3,0,0,6,134.8,450,149.7,221.1,450,134.8,221.1,149.7,NA,NA,335.5,142.3
51027000502,VA,Buchanan County,000502,401,8,388,0,0,0,0,1,4,351,4,342,0,0,0,0,1,4,65.6,117.4,72.8,62.5,117.4,65.6,62.5,72.8,NA,NA,90,69.2
51027000503,VA,Buchanan County,000503,1067,7,1038,2,4,2,0,1,13,879,3,863,2,4,0,0,0,7,110.2,449.4,110.3,286,449.4,110.2,286,110.3,NA,NA,367.7,110.3
51027000601,VA,Buchanan County,000601,831,4,816,0,1,0,0,0,10,672,2,664,0,1,0,0,0,5,87,305,88,166,305,87,166,88,NA,NA,235.5,87.5
51027000602,VA,Buchanan County,000602,1173,9,1134,4,2,1,0,3,20,951,6,922,4,2,1,0,0,16,99.9,435.7,123.4,261.4,435.7,99.9,261.4,123.4,NA,NA,348.6,111.6
51027000603,VA,Buchanan County,000603,715,1,701,2,0,1,0,0,10,596,1,584,2,0,1,0,0,8,105.4,287.3,133,145.5,287.3,105.4,145.5,133,NA,NA,216.4,119.2
51027000701,VA,Buchanan County,000701,1600,17,1532,3,4,3,0,0,41,1329,10,1274,3,4,3,0,0,35,165.2,590.5,170.8,350.5,590.5,165.2,350.5,170.8,NA,NA,470.5,168
