GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_bar,uss_18_dem_tra,gov_18_rep_gor,gov_18_dem_thr,sos_18_rep_buc,sos_18_dem_byr,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_lum,uss_20_dem_dav,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
56013000101,WY,Fremont County,000101,1532,92,1254,5,87,14,0,2,78,1119,60,955,4,47,10,0,1,42,404,172.3,359.7,197.1,372.1,164.3,363.2,164.3,473.2,217.7,491,217.7,404,172.3,365,175.2,482.1,217.7,410.5,188.9
56013000102,WY,Fremont County,000102,1012,72,764,3,101,17,0,0,55,779,42,615,3,68,14,0,0,37,167.1,101.9,129.5,130.3,137,114.4,134.5,108.6,171.3,139.5,171.3,150.4,167.1,101.9,133.7,117.8,171.3,144.9,151.8,124.2
56013000103,WY,Fremont County,000103,1409,99,1080,12,86,30,0,14,88,1149,60,914,11,68,28,0,12,56,298,250.2,230.1,297.1,272.2,253,251.1,250.2,319.4,341.3,335.6,340.3,298,250.2,251.1,266.8,327.5,340.8,284.4,288.7
56013000104,WY,Fremont County,000104,916,46,751,13,56,1,0,7,42,705,30,585,7,49,1,0,5,28,233,177,213,198,225,185,203,185,254,234,277,228,233,177,213.7,189.3,265.5,231,234.2,201.2
56013000105,WY,Fremont County,000105,1421,94,1191,7,43,11,0,6,69,1018,46,890,6,25,11,0,6,34,401,241,353,293,389,241,370,244,424,339,451,340,401,241,370.7,259.3,437.5,339.5,398,283
56013000106,WY,Fremont County,000106,978,33,849,6,34,5,0,1,50,792,24,697,6,24,4,0,0,37,269.7,249.5,282.4,255.7,298.4,236.6,287.4,221.5,278.8,294.7,299.9,293.8,269.7,249.5,289.4,237.9,289.4,294.2,286.1,258.6
56013000201,WY,Fremont County,000201,611,37,492,2,36,1,0,1,42,466,14,399,0,27,1,0,1,24,207.2,43.9,160.8,64.2,155.9,57.5,155.9,54.5,213,55.6,216,57.5,207.2,43.9,157.5,58.8,214.5,56.5,184.8,55.5
56013000301,WY,Fremont County,000301,1873,210,1343,4,206,11,3,1,95,1380,135,1068,1,118,5,3,1,49,356.3,74.1,272.5,89,267.2,80.8,268,77.8,379.3,100.8,381.8,104.3,356.3,74.1,269.2,82.6,380.6,102.6,320.9,87.8
56013000302,WY,Fremont County,000302,1018,100,659,0,197,7,0,4,51,743,64,539,0,106,6,0,0,28,148.1,33.5,101.7,43.1,102.6,36.5,102.2,36.2,149.3,45.1,151.5,46.3,148.1,33.5,102.2,38.6,150.4,45.7,125.9,40.1
56013000303,WY,Fremont County,000303,2029,199,1468,27,220,13,0,1,101,1557,122,1183,26,134,13,0,1,78,620,133.2,485.9,167.7,486.7,154.2,484.2,139.2,663,182.3,657.4,191.2,620,133.2,485.6,153.7,660.2,186.8,566.2,161.3
56013000304,WY,Fremont County,000304,1204,102,829,4,223,2,0,5,39,916,74,671,4,140,2,0,3,22,291.4,87.5,220.4,96.5,212.3,90.7,213,84,297.8,106,303.6,105.2,291.4,87.5,215.2,90.4,300.7,105.6,256.4,95
56013000305,WY,Fremont County,000305,2592,218,1811,20,393,24,2,10,114,2013,141,1533,15,238,11,0,8,67,565.5,176.9,466.9,178.1,459.8,161.4,454.2,150.2,580.7,232.5,603,218.2,565.5,176.9,460.3,163.3,591.8,225.3,521.7,186.2
56013000306,WY,Fremont County,000306,1600,177,1242,6,96,2,1,6,70,1230,114,1002,5,64,1,0,6,38,601.3,161.6,487.3,167.2,488.1,152.6,487.1,143.5,627.9,183,655.5,179.3,601.3,161.6,487.5,154.4,641.7,181.2,557.9,164.5
56013000401,WY,Fremont County,000401,1957,73,108,2,1711,0,0,1,62,1281,52,88,2,1107,0,0,0,32,110.8,302.2,122.2,313.1,97.7,315.8,86,306.9,127.6,398.9,154.5,360.5,110.8,302.2,102,311.9,141,379.7,116.5,332.9
56013000501,WY,Fremont County,000501,2258,88,2016,3,46,11,0,3,91,1820,53,1660,2,30,10,0,3,62,485.9,214.3,435.6,254.3,459.3,210.8,435.8,213,557.4,297.8,566.1,304.2,485.9,214.3,443.6,226,561.8,301,490,249.1
56013000601,WY,Fremont County,000601,1008,22,924,0,10,6,0,3,43,805,16,736,0,3,6,0,3,41,755.4,289.8,671.8,348.6,696.9,290.6,669.3,289.6,859.9,408.3,876.7,420.6,755.4,289.8,679.4,309.6,868.3,414.4,755,341.2
56013000701,WY,Fremont County,000701,1856,35,1698,3,25,15,0,10,70,1604,23,1487,3,23,14,0,10,44,810.2,188.6,700.4,222.5,697.4,196.6,700.4,195.6,885,273.4,911,271.4,810.2,188.6,699.4,204.9,898,272.4,784.1,224.6
56013000801,WY,Fremont County,000801,1558,69,282,3,1137,2,0,1,64,1070,40,235,1,755,0,0,0,39,181.8,230.7,159.8,226.1,147.2,227.5,143,218.7,200.2,305.2,221.6,255.8,181.8,230.7,150,224.1,210.9,280.5,175.6,244
56013000901,WY,Fremont County,000901,739,44,589,0,50,2,0,16,38,532,21,449,0,28,1,0,11,22,326.5,17.8,260.2,15.8,254.3,16.8,260.2,16.8,357.1,21.8,361.1,18.8,326.5,17.8,258.2,16.5,359.1,20.3,303.2,18
56013001001,WY,Fremont County,001001,1540,86,1253,2,112,7,0,2,78,1161,64,985,1,61,7,0,2,41,602.2,74.5,428.9,74.6,422.5,63.6,435.6,53.5,624.2,82,622.3,78.1,602.2,74.5,429,63.9,623.2,80.1,522.6,71.1
56013001201,WY,Fremont County,001201,133,4,105,0,3,2,0,0,19,102,4,81,0,0,2,0,0,15,78.6,9.3,56.2,9.3,54.1,9.3,54.1,12.3,58.6,11.3,60.6,9.4,78.6,9.3,54.8,10.3,59.6,10.3,60.4,10.1
56013001301,WY,Fremont County,001301,2158,78,212,1,1756,3,0,1,107,1438,43,187,1,1137,1,0,1,68,131.6,406,136.1,433.3,110,447.1,102,428.2,138,506.7,183,425.4,131.6,406,116,436.2,160.5,466,133.5,441.1
56013001401,WY,Fremont County,001401,1006,47,839,0,25,4,0,10,81,784,32,671,0,13,4,0,10,54,403.5,43.8,315.3,59.1,300.5,50.5,319.8,46.1,426.3,56.8,422.7,64.8,403.5,43.8,311.9,51.9,424.5,60.8,364.7,53.5
56013001501,WY,Fremont County,001501,458,8,417,0,6,1,0,3,23,374,5,341,0,4,1,0,3,20,214.6,23,167.5,31.3,159.6,26.6,170.1,24.4,226.7,29.9,224.8,34.2,214.6,23,165.7,27.4,225.7,32.1,193.9,28.2
56013001601,WY,Fremont County,001601,421,12,242,0,129,1,0,0,37,300,4,203,0,75,1,0,0,17,189.1,61.3,155.2,65.6,148.3,62.6,146.8,58.7,199.6,77.3,202.2,74.3,189.1,61.3,150.1,62.3,200.9,75.8,173.5,66.6
56013001701,WY,Fremont County,001701,1119,34,558,1,483,0,0,0,43,758,19,441,1,261,0,0,0,36,465,107.6,386,112.9,372.2,104.2,381.3,98.6,521.1,157.3,521.1,154.3,465,107.6,379.8,105.2,521.1,155.8,441.1,122.5
56013001801,WY,Fremont County,001801,2595,163,1960,33,275,5,1,20,138,1966,114,1550,31,162,5,0,13,91,948.6,178.6,775.5,206.7,763,185.6,782.5,160.6,1021.9,245.8,1029.8,244.9,948.6,178.6,773.7,184.3,1025.9,245.4,886.9,203.7
56013001901,WY,Fremont County,001901,215,7,134,0,67,0,0,0,7,176,2,119,0,52,0,0,0,3,106.7,21.6,86.1,23.7,81.1,23.7,82,20.7,106,19.5,101.4,22.2,106.7,21.6,83.1,22.7,103.7,20.8,93.9,21.9
56013002001,WY,Fremont County,002001,622,42,536,3,12,0,0,5,24,490,24,432,3,8,0,0,3,20,253.8,26.1,237.1,38.5,222.7,29.9,225.6,36.6,295.4,25.1,295.4,31.8,253.8,26.1,228.4,35,295.4,28.5,255,31.4
56013002101,WY,Fremont County,002101,1212,107,845,6,166,4,0,2,82,919,79,696,5,85,3,0,1,50,452.2,77.9,336.5,92.7,326.8,87.2,328.5,86.8,474.2,102.1,472.3,109.7,452.2,77.9,330.6,88.9,473.3,105.9,398.4,92.7
