GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_war,uss_18_rep_die,gov_18_rep_bak,gov_18_dem_gon,atg_18_dem_hea,atg_18_rep_mcm,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_mar,uss_20_rep_oco,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
25009001476,MA,Essex County,001476,3526,98,3278,33,0,52,0,12,53,3345,70,3155,27,0,43,0,12,38,1344.9,754.1,1153.1,739.2,1516.9,400.4,1340.5,582.8,1546.4,710.4,1501.7,727.8,754.1,1344.9,946.3,964.7,719.1,1524,838.5,1214.5
25009001477,MA,Essex County,001477,2908,120,2465,85,4,81,0,38,115,2409,82,2113,56,1,63,0,25,69,856.4,864,659.9,740.7,1159.2,263,853,597,1018.8,884.5,1061.8,812.1,864,856.4,832.3,592,848.3,1040.3,842.9,785.5
25009001478,MA,Essex County,001478,2982,203,2477,66,1,132,0,13,90,2504,120,2149,41,1,112,0,13,68,673,692,476,560,827,230,643,429,733,748,817,669,692,673,605.3,449.7,708.5,775,654.2,595.3
25009001479,MA,Essex County,001479,2924,163,2425,126,1,88,0,36,85,2546,120,2162,101,1,72,0,31,59,795.6,723.9,677,618.1,975.8,319.6,836.6,482.2,961.9,776.1,1011.5,714.1,723.9,795.6,692,611,745.1,986.7,715,767
25009001480,MA,Essex County,001480,2775,97,2503,38,1,52,0,7,77,2378,73,2176,24,1,50,0,6,48,756,928,619,828,1163,274,817,668,893,1002,933,937,928,756,886.3,570,969.5,913,921,715.3
25009001481,MA,Essex County,001481,2800,102,2520,32,6,70,1,6,63,2306,71,2094,28,6,58,1,6,42,694.8,859.5,541.5,721.3,1039.3,231.9,749.7,553.8,859.5,917.2,901.1,857.6,859.5,694.8,771.5,507.7,887.4,880.3,824.8,663.1
25009001482,MA,Essex County,001482,2673,67,2468,14,1,37,0,11,75,2241,45,2089,9,1,31,0,11,55,761.2,976.5,608.5,853.7,1213.7,251.1,835.3,655.2,939.5,1000.8,975.9,942.4,976.5,761.2,907.5,565,971.6,957.7,940.4,728.6
25009001614,MA,Essex County,001614,1637,24,1537,14,0,21,0,6,35,1419,18,1342,10,0,16,0,6,27,759,331.9,656,340.7,682.7,334.7,738.6,294.5,929,319.1,904.4,345.7,331.9,759,439.3,576.5,332.4,916.7,385.8,720.3
25009001615,MA,Essex County,001615,2873,82,2634,29,0,37,0,21,70,2446,46,2280,22,0,27,0,16,55,1109.9,467.5,993.5,443.8,1018.6,452,1120.5,359.2,1351.2,458,1322.6,504.6,467.5,1109.9,607.2,855.3,481.3,1336.9,542,1058.3
25009001616,MA,Essex County,001616,2482,66,2341,7,0,9,0,9,50,2188,45,2085,6,0,8,0,2,42,1225.7,559.7,1116.5,561.7,1215.8,508.6,1276.8,467.2,1547.3,517.4,1489.3,592.2,559.7,1225.7,748.3,967.3,554.8,1518.3,652.4,1194
25009001618,MA,Essex County,001618,6161,135,5715,25,0,85,0,40,161,4958,81,4658,17,0,78,0,26,98,1713.4,1828.6,1464.6,1679.5,2449.6,723.7,1884.3,1379.2,2223,1962.1,2211.2,1967.7,1828.6,1713.4,1836.1,1357.5,1964.9,2217.1,1877.8,1703.4
25009001625,MA,Essex County,001625,3028,271,2539,50,1,47,0,23,97,2710,199,2331,49,1,46,0,16,68,1560.3,568.8,1379.2,528.6,1168.5,777,1543.7,422.4,1838.5,524.6,1830,555.4,568.8,1560.3,706.5,1233.3,540,1834.3,628.1,1488.1
25009001626,MA,Essex County,001626,2911,1969,677,133,9,41,0,23,59,2122,1387,565,69,9,35,0,20,37,671.5,66.7,502,37.8,171.9,377.5,506.8,41,603.2,100.4,606.5,90.8,66.7,671.5,83.5,462.1,95.6,604.8,84.7,544.6
25009001627,MA,Essex County,001627,3276,336,2664,52,2,65,0,20,137,2836,250,2387,49,2,59,0,16,73,1297,343.3,1151.2,296.8,799.6,689.4,1253.2,241,1574.4,318.9,1583.4,315.7,343.3,1297,445.8,1031.2,317.3,1578.9,385.9,1258.1
25009001628,MA,Essex County,001628,3498,445,2742,85,1,63,0,18,144,3094,318,2515,70,1,61,0,16,113,1406.2,293.5,1339.3,274.8,847.9,812.4,1442.7,217.6,1756.8,282.6,1741.1,326.9,293.5,1406.2,446.8,1198.1,304.8,1748.9,373.9,1416.4
25009001629,MA,Essex County,001629,3196,885,1911,171,3,81,0,37,108,2522,609,1638,126,2,56,0,19,72,939,329,806,304,656,479,910,229,1152,362,1188,331,329,939,396.3,731.7,346.5,1170,368.5,912.3
25009001630,MA,Essex County,001630,2898,746,1755,221,6,90,0,9,71,2393,496,1602,161,6,80,0,6,42,902,476,758,400,798,377,864,331,1084,488,1091,475,476,902,509.7,666.3,481.5,1087.5,494.7,846
25009001631,MA,Essex County,001631,3257,616,2146,120,2,173,2,46,152,2611,426,1817,95,2,141,2,29,99,941.2,503.1,782.1,442.1,818.1,449.1,938.1,345.1,1232.2,506.1,1269.2,481.1,503.1,941.2,535.1,723.1,493.6,1250.7,515.9,935.3
25009001632,MA,Essex County,001632,3193,418,2169,213,6,269,0,29,89,2612,302,1860,152,4,209,0,26,59,890,590,754,557,998,347,931,419,1174,651,1190,635,590,890,658,677.3,643,1182,641.7,881
25009001633,MA,Essex County,001633,3210,391,2429,114,2,92,0,16,166,2698,275,2131,86,2,81,0,10,113,1201.8,412.9,1064.9,334.5,804.8,631.5,1167.4,277.2,1495.4,401.1,1495.2,396,412.9,1201.8,472.2,954.6,398.5,1495.3,437.7,1176
25009001634,MA,Essex County,001634,3129,744,2058,120,18,52,1,15,121,2740,605,1866,101,12,49,0,13,94,1121.3,282.1,957.1,188.8,585.4,602.2,1028.3,165.1,1308,301.9,1341.2,273.2,282.1,1121.3,313.1,862.5,287.6,1324.6,299.4,1059.7
25009001635,MA,Essex County,001635,3125,399,2417,74,1,63,3,30,138,2608,298,2097,57,0,44,3,17,92,1274.9,562.4,1132.6,501.8,1073.5,622.7,1316.9,378.6,1626.1,524.4,1618.1,540.9,562.4,1274.9,651.3,1024.1,532.7,1622.1,596.9,1265.2
25009001636,MA,Essex County,001636,3125,397,2356,91,2,55,0,40,184,2643,285,2069,71,0,51,0,35,132,1027,415.3,982.2,349.8,797.5,577.3,1115.4,276.5,1417.5,395.5,1421.5,414.1,415.3,1027,474.6,891.6,404.8,1419.5,441.4,1090.2
25009001637,MA,Essex County,001637,3519,643,2341,266,4,78,2,17,168,3086,462,2180,237,1,68,2,15,121,977.6,335.3,954.7,312.4,667.9,633.1,1054.5,249.2,940,283.1,928.1,287.7,335.3,977.6,409.8,880.8,285.4,934.1,355.9,914.7
25009001638,MA,Essex County,001638,3115,525,2273,118,0,86,3,7,103,2646,343,2054,104,0,69,2,5,69,1124,491.6,911.5,446.8,961.5,413.1,1033.8,358.3,1305.1,501.4,1313.5,481.4,491.6,1124,588.9,786.1,491.4,1309.3,540.2,1016.8
25009001639,MA,Essex County,001639,3188,118,2868,25,7,43,1,15,111,2771,79,2549,19,6,38,1,2,77,1024.2,810.6,932.5,709.5,1281.4,397.2,1107.6,596.9,1364.7,912,1370.6,891.1,810.6,1024.2,862.6,812.4,901.6,1367.6,866.9,1032.8
25009001640,MA,Essex County,001640,3285,82,2984,13,3,42,1,16,144,2873,58,2647,13,2,30,1,10,112,716.4,716.4,603.9,646.3,1012.4,268.4,789.4,505.2,948.2,880.2,981.8,833.8,716.4,716.4,721.3,553.9,857,965,765.7,718
25009001641,MA,Essex County,001641,2763,74,2507,22,9,48,0,4,99,2288,42,2109,17,7,37,0,3,73,547,783,457,652,940,209,619,545,759,864,787,842,783,547,712.3,428.3,853,773,771,563
25009001649,MA,Essex County,001649,2685,200,2067,82,5,143,0,50,138,2208,139,1778,56,5,107,0,40,83,621.2,632,486.4,514.9,771.9,242.2,630.1,389.9,791.5,662.6,840.8,578.9,632,621.2,558.9,452.9,620.7,816.2,591.7,602
