GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_gra,uss_16_dem_jud,gov_18_rep_rey,gov_18_dem_hub,atg_18_dem_mil,sos_18_rep_pat,sos_18_dem_dej,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ern,uss_20_dem_gre,avg_16_rep,avg_16_dem,avg_18_rep,avg_18_dem,avg_20_rep,avg_20_dem
18003000530,IN,Allen County,000530,2479,149,1780,338,6,63,0,18,125,2089,115,1553,273,6,57,0,14,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000540,IN,Allen County,000540,802,26,669,64,2,12,0,7,22,676,23,570,56,2,10,0,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000550,IN,Allen County,000550,518,37,366,69,3,23,0,3,17,427,30,312,53,3,18,0,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000560,IN,Allen County,000560,787,51,596,73,0,20,0,4,43,599,25,484,48,0,9,0,2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000570,IN,Allen County,000570,1996,61,1806,22,4,38,0,15,50,1479,41,1374,8,0,25,0,4,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000580,IN,Allen County,000580,1321,40,1203,11,0,14,0,0,53,974,28,903,6,0,11,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000590,IN,Allen County,000590,1256,48,1094,25,0,11,0,12,66,905,33,804,18,0,10,0,5,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000600,IN,Allen County,000600,1654,95,1359,49,2,66,2,8,73,1346,63,1159,34,2,44,0,2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000610,IN,Allen County,000610,987,74,728,96,3,44,0,9,33,810,50,630,76,3,31,0,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000620,IN,Allen County,000620,827,45,689,33,1,8,0,4,47,591,29,506,17,0,7,0,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000630,IN,Allen County,000630,1107,102,745,141,5,37,1,8,68,866,62,617,110,5,34,1,5,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000640,IN,Allen County,000640,1503,108,1061,174,2,84,0,11,63,1147,66,870,105,2,64,0,7,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000650,IN,Allen County,000650,562,13,500,16,1,14,0,1,17,487,3,454,12,1,11,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000660,IN,Allen County,000660,1228,102,835,195,8,9,0,6,73,1000,67,719,146,7,9,0,6,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000670,IN,Allen County,000670,1370,113,1047,101,6,25,0,3,75,1062,75,857,59,2,22,0,3,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000680,IN,Allen County,000680,868,93,636,59,0,23,1,9,47,643,42,505,45,0,13,0,6,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000690,IN,Allen County,000690,2732,219,2077,217,16,34,2,13,154,1999,119,1613,138,10,31,2,7,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
