GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_men,uss_18_rep_hug,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_boo,uss_20_rep_meh,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
34001055010,NJ,Atlantic County,055010,2497,585,585,986,0,200,0,20,121,1762,364,492,673,0,156,0,9,68,550.5,152.8,365.6,157.8,104.9,99.9,102.3,96.2,152.8,550.5,157.8,365.6,98.1,103.6,126.7,280.8
34001055011,NJ,Atlantic County,055011,2334,423,1127,529,5,167,0,12,71,1875,304,990,384,4,145,0,8,40,299.2,121.8,193.5,88.7,30.4,29,29.6,27.9,121.8,299.2,88.7,193.5,28.4,30,66.8,138.2
34001055012,NJ,Atlantic County,055012,2803,324,1286,237,0,859,0,9,88,2208,214,1070,177,0,701,0,5,41,602.4,475.5,405.2,376.5,346.6,330.3,338,318.1,475.5,602.4,376.5,405.2,324.2,342.3,375.1,423.1
34001055013,NJ,Atlantic County,055013,1273,84,1006,84,2,46,0,4,47,1145,61,943,75,2,37,0,2,25,350.6,363.4,292.7,343,639.8,608.9,624,586.4,363.4,350.6,343,292.7,597.7,631.9,475.4,476.7
34001055014,NJ,Atlantic County,055014,1645,103,1356,72,0,65,0,1,48,1449,74,1220,62,0,59,0,1,33,460.2,605.9,385.4,506.6,206.2,196.4,201.1,189.2,605.9,460.2,506.6,385.4,192.8,203.6,374.5,313.2
34001055015,NJ,Atlantic County,055015,2030,240,1410,115,2,176,1,4,82,1620,159,1181,95,2,138,1,1,43,440.8,448,365.9,397.1,392.5,374,382.8,360.2,448,440.8,397.1,365.9,367.1,387.7,394.8,395.5
34001055016,NJ,Atlantic County,055016,2587,454,1115,288,2,608,0,25,95,1991,297,892,219,2,511,0,12,58,600,403,473,301,376.8,359,367.4,345.7,403,600,301,473,352.4,372.1,352.2,454.3
34001055017,NJ,Atlantic County,055017,2985,495,1450,599,1,309,3,20,108,2447,330,1344,425,1,257,3,14,73,522.8,381.5,387.6,314.6,283.3,270,276.3,260,381.5,522.8,314.6,387.6,265,279.8,306.5,367.5
34001060001,NJ,Atlantic County,060001,1812,208,1182,221,3,89,0,7,102,1402,137,966,170,3,79,0,2,45,430.2,416.6,301.5,339.2,378.1,318.6,371.1,304.9,416.6,430.2,339.2,301.5,311.7,374.6,344.8,370.2
34001060002,NJ,Atlantic County,060002,1701,114,1413,80,7,28,4,10,45,1381,71,1157,73,6,28,4,3,39,321.9,557.7,267.2,518,575,482.9,564.2,462.4,557.7,321.9,518,267.2,472.7,569.6,505.3,432.1
