GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREISMI,G16PREIKEN,G16PREIFUE,G16PREOWRI
47157008231,47,157,008231,598.06,2085.43,37.99,9.74,3.9,5.84,0.97,3.9
47157008232,47,157,008232,204,869,24,7,2,1,2,3
47157008233,47,157,008233,367,1514,35,27,5,0,8,5
47157008234,47,157,008234,147,921,2,13,0,1,3,0
47157008236,47,157,008236,549.77,726.54,20.84,5.93,0.02,4.9,4.94,5.89
47157008237,47,157,008237,603.26,1031.32,35.42,18.09,3.02,1.02,1.08,17.05
47157008239,47,157,008239,227,1874.98,15,13,3,4,6,2
47157008240,47,157,008240,168,1585,8,11,4,2,3,4
47157008241,47,157,008241,1376.06,1451.09,71,17,5,5,2,28
47157008242,47,157,008242,1128.81,1337.52,73.98,17.03,6,7,6,12.02
47157008243,47,157,008243,38,763,6,1,0,1,1,0
47157008244,47,157,008244,91,1250,4,3,3,0,2,1
47157008245,47,157,008245,118,1597,6,6,1,1,3,2
47157008246,47,157,008246,269,1061,9,6,2,2,6,3
47157008248,47,157,008248,162,2284,19,12,3,2,7,9
47157008250,47,157,008250,167,2477,23,15,5,3,4,1
47157008251,47,157,008251,201,1797.31,17.21,5.17,2.93,2.04,3.97,2.01
47157008252,47,157,008252,1048.94,1293.69,60.45,20.13,8,5.11,6.11,7.13
47157008255,47,157,008255,1008,914,50,13,9,4,2,12
47157008256,47,157,008256,883.32,1019.83,44.7,17.18,6.28,3.12,3.07,10.84
47157008257,47,157,008257,672,929,41,14,4,0,4,7
47157008258,47,157,008258,1134.61,1617.53,47.61,10.92,4.96,1.99,1.98,9.92
47157008259,47,157,008259,739,1211,49,13,6,1,6,7
47157008260,47,157,008260,1911.83,964.54,77.66,12.46,8.63,3.84,3.84,11.51
47157008261,47,157,008261,1714.99,1226.42,84.75,23.93,8.97,6.98,5.98,9.97
47157008262,47,157,008262,981.53,2305.59,57.4,14.09,9.04,1.02,6.02,16.08
47157008263,47,157,008263,990,783,35,10,7,1,4,20
47157008265,47,157,008265,208.6,2240.97,20.87,8.88,1.09,2.98,3.03,2.01
47157008266,47,157,008266,217,2877,24,14,0,3,4,0
47157008267,47,157,008267,116,1990,12,6,2,1,2,2
47157008268,47,157,008268,107.4,1652.72,13.92,8.95,3.98,4.97,0.99,2.98
47157008269,47,157,008269,196,2966,14,7,8,3,3,4
47157008270,47,157,008270,2200.23,697.24,47.01,21,7,1,2,6
47157008271,47,157,008271,1981.31,604.1,96.01,10,3,2,3,21
47159008301,47,159,008301,733.73,176.41,29.47,4,1.12,1.04,0,0.41
47159008302,47,159,008302,811.4,202.37,19,1.9,1.9,1.9,0,1.9
47159008303,47,159,008303,749,170,24,6,3,1,0,3
47159008304,47,159,008304,836.82,247.47,21.12,5.97,2,2,1.02,0.01
47159008305,47,159,008305,425,235,9,5,4,2,2,0
47159008306,47,159,008306,635.4,214.8,23.34,2.04,3.03,1.04,0.99,2.04
47159008307,47,159,008307,566.77,182.69,15.02,2.01,1.03,1,1.97,0.02
47159008308,47,159,008308,732.9,259.3,29.97,3.04,2.92,1,0,8.63
47161008401,47,161,008401,562,141,18,5,1,0,1,3
47161008402,47,161,008402,578.97,150.5,22.24,1.01,2.01,1,0.05,0.03
47161008403,47,161,008403,497,139,23,3,2,2,1,3
47161008404,47,161,008404,486,162,20,6,1,0,1,4
47161008405,47,161,008405,610.96,252.82,25.76,3.04,4.04,1,3.16,2.08
47161008406,47,161,008406,589.07,184.68,17.99,0.95,0.95,0,3.79,1.89
47161008407,47,161,008407,540,192,20,2,1,0,3,2
47163008501,47,163,008501,2095.36,781.21,121.24,29.82,9.93,5.95,3.01,6.98
47163008502,47,163,008502,3527.5,789.62,79.84,22.39,10.71,4.87,8.76,23.37
47163008503,47,163,008503,1650.02,505.45,75.05,20.02,4.03,1.02,9,9.07
47163008504,47,163,008504,1662.4,325.35,49.5,17.9,15.86,1.99,4.97,3.18
47163008505,47,163,008505,1466,335,33,7,3,0,3,5
47163008506,47,163,008506,2943.11,1309.6,167.44,21.93,18.94,6.98,8.97,15.95
47163008507,47,163,008507,674,100.57,22.2,4.05,2.08,1,0.04,0.09
47163008508,47,163,008508,1230.85,235.44,19.87,6.95,6.95,4.97,4.97,3.97
47163008509,47,163,008509,942.73,214.12,29.88,6.52,1.86,0.93,0.93,5.6
47163008510,47,163,008510,2734.71,641.62,103.16,15.08,10.02,3.03,5,7.12
47163008511,47,163,008511,2500.38,586.52,84.72,26.11,5.99,6.99,1.04,9.19
47163008512,47,163,008512,1307.15,304.4,49.23,3.99,3.8,1.89,0.95,10.2
47163008513,47,163,008513,2429.6,587.69,62.5,14.48,3.25,1.13,4.08,8.72
47163008514,47,163,008514,1401.31,254.26,41.87,11.39,3.3,1.15,2.17,4.8
47163008515,47,163,008515,1778.97,334.16,53.68,6,3.98,1.99,1,4.98
47163008516,47,163,008516,1525.1,399.83,32.39,7.35,4.13,3.07,2.06,10.15
47163008517,47,163,008517,1743.79,571.55,86.18,9.99,5.04,1,2.99,16.8
47163008518,47,163,008518,1695.92,415.44,94.32,13.91,2.98,2.98,1,15.89
47163008519,47,163,008519,2099.15,610.68,85.4,19.86,13.9,4.96,6.95,11.92
47163008520,47,163,008520,3318.98,699.92,132.67,19.84,14.83,1,3.96,26.72
47163008521,47,163,008521,2298.06,498.2,68.71,20.01,7.05,3.07,5.03,4.05
47163008522,47,163,008522,2399.38,778.44,135.68,13.36,7.25,7.99,4.08,7.38
47163008523,47,163,008523,1123.81,605.52,62.08,19.03,4.01,2.01,5,1.01
47163008524,47,163,008524,1055.7,403.45,63.77,11.93,0.06,0.02,2.99,14.84
47163008525,47,163,008525,1372.12,289.31,38.53,6.08,7.05,3.02,4.03,7.04
47165008601,47,165,008601,2978,808,103,9,7,0,3,8
47165008602,47,165,008602,2497.79,855.18,135.38,13.77,3.24,1,3.35,53.71
47165008603,47,165,008603,2102,991,112,16,6,5,5,2
47165008607,47,165,008607,2071.96,632.74,54.6,8.28,7,4.01,4,3.34
47165008608,47,165,008608,1186.41,772.26,67.19,17.03,11.03,3.01,5.01,9.01
47165008609,47,165,008609,1113.73,602.85,41.99,6,5,0,3,5
47165008610,47,165,008610,674.33,658.72,21.47,4.88,3.9,2.93,0.98,11.71
47165008611,47,165,008611,2409.58,1040.88,103.09,9.84,4.99,1.05,1.97,25.05
47165008612,47,165,008612,2375.6,518.1,67.58,14.14,13.99,3,4.06,1.18
47165008613,47,165,008613,1448.82,458.62,46.86,12.96,7.97,6.98,3.99,1
47165008614,47,165,008614,1661.34,462.8,64.28,14.83,1.98,0.99,5.93,15.82
47165008618,47,165,008618,1242,523,46,17,6,2,6,18
47165008619,47,165,008619,1699,854,79,27,8,3,5,2
47165008620,47,165,008620,2720,882,146,20,6,5,2,86
47165008621,47,165,008621,1282,722,79,20,6,3,2,8
47165008622,47,165,008622,2608.93,1005.24,141.2,24.16,8.11,5.04,5.03,17.2
47165008623,47,165,008623,2082.01,858.54,68.06,14.94,8.96,3.01,2.05,9.07
47165008624,47,165,008624,1116.58,304.34,35.92,8.98,2,0,0,8.98
47165008625,47,165,008625,1128.86,416.18,56.32,6.12,2.23,4.02,5.18,2.23
47165008626,47,165,008626,2386,508,93,19,8,0,6,8
47165008627,47,165,008627,1078.64,253.82,31.42,4.1,8.06,3.04,4.03,2.06
47165008628,47,165,008628,3254.92,905.54,145.78,19.02,12.9,4.91,4,24.76
47165008631,47,165,008631,1749,787,80,10,7,3,4,11
47165008632,47,165,008632,1587.54,371.89,54.98,8,5,1,3,5
47165008633,47,165,008633,2197,968,118,23,8,3,5,23
47165008635,47,165,008635,2130.2,687.67,69.73,12.97,4.06,3.04,3.98,28.89
47165008636,47,165,008636,1658.65,389.68,51.96,10.99,4,4,5,2
47167008701,47,167,008701,1728.83,658.41,48.88,8.98,5.99,2.99,2.99,6.98
47167008702,47,167,008702,1932,501,46,5,9,4,2,2
47167008703,47,167,008703,1755.64,848.81,41.09,10.01,4.01,2.04,3.02,2.02
47167008704,47,167,008704,2136.4,256.26,51.12,6.03,2.01,2.01,1,7.07
47167008705,47,167,008705,1642,829,39,8,5,6,10,12
47167008706,47,167,008706,1847.58,444.58,42.53,11.82,3.99,3.94,1.03,22.71
47167008707,47,167,008707,2230.67,432.33,83.68,23.18,8.07,4.06,6.02,5.32
47167008708,47,167,008708,863.02,1105.75,15.07,7.03,5,4.03,6,2
47167008709,47,167,008709,2789,734,118,10,10,4,8,25
47169008801,47,169,008801,159,114,7,0,1,0,0,0
47169008802,47,169,008802,261,92,13,2,0,0,3,4
47169008803,47,169,008803,255,59,9,0,0,0,0,0
47169008804,47,169,008804,210,93,6,2,0,1,1,0
47169008805,47,169,008805,267,85,10,1,1,1,1,4
47169008806,47,169,008806,258.79,80.64,9.21,0.59,0.26,0.98,1.02,0.26
47169008807,47,169,008807,112,120,3,0,1,1,2,0
47169008808,47,169,008808,201,114,6,0,0,1,0,2
47169008809,47,169,008809,154,92,4,1,0,2,2,0
47169008810,47,169,008810,237,97,6,0,1,1,0,0
47171008901,47,171,008901,817.67,236.63,33.18,9.49,2.85,1.91,1.9,4.74
47171008902,47,171,008902,868.34,165.55,20.77,6.95,4.95,1.99,0.99,3.96
47171008903,47,171,008903,448.27,87.57,3.24,5.06,1.05,2.01,0.01,1.04
47171008904,47,171,008904,1311.92,277.32,39.97,10,7.07,3.02,1,6
47171008905,47,171,008905,279.31,58.8,4.2,0.7,2.1,0.7,0,0.7
47171008906,47,171,008906,1041.95,232.77,19.2,6.58,3.34,3.16,2.1,2.33
47171008907,47,171,008907,542.11,133.48,12.44,9.23,5.64,1.22,1,2.24
47171008908,47,171,008908,361.38,69.88,5.99,4.99,0,0,1,0
47173009001,47,173,009001,302,65,3,4,1,0,1,0
47173009002,47,173,009002,607,99,14,3,3,1,1,5
47173009003,47,173,009003,849.61,138.91,25.69,5.71,2.85,1.9,0.95,0.95
47173009004,47,173,009004,433.45,92.61,4.22,2.27,0.14,0.09,0.05,4.05
47173009005,47,173,009005,670.64,163.74,14.05,2.07,2.94,0.01,1.03,0
47173009006,47,173,009006,701.13,154.37,18.97,0.86,5.17,1.72,2.59,0
47173009007,47,173,009007,630.02,129.01,10,4,1,1,1,1
47173009008,47,173,009008,74.75,10.96,1,0,0,0,0,0
47173009009,47,173,009009,680.07,135.12,14.15,2.02,2.04,1.98,2.99,0.99
47175009101,47,175,009101,189.29,59.22,5.24,1.6,0.02,0.03,0.03,0.02
