GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSRMCC,G16USSDKIR,G16USSGSWI,G16USSOWRI
04019000141,04,019,000141,1651,1552,101,19,44,1645,1491,131,13
04019000142,04,019,000142,1181.51,1003.3,122.11,33.3,54.64,1259.59,943.56,116.03,20.19
04019000143,04,019,000143,44,579,12,30,14,63,545,50,5
04019000144,04,019,000144,466.57,1201.01,62.05,34.01,24.03,558.67,1098.91,82.05,8.01
04019000145,04,019,000145,2071,1903,104,23,60,2280,1698,90,20
04019000146,04,019,000146,787.06,931.44,79.91,25.21,40.21,902.92,819.2,89.98,11.1
04019000147,04,019,000147,857,705,82,25,47,929,639,80,18
04019000148,04,019,000148,765,850,64,24,24,878,746,64,11
04019000149,04,019,000149,666,896,57,15,33,735,825,73,9
04019000150,04,019,000150,384.07,335.77,34.72,13.59,20.31,388.98,324.29,46.22,2.74
04019000151,04,019,000151,257.77,442.71,21.81,4.41,13.26,298.43,400.56,22.45,3.14
04019000152,04,019,000152,110,474,15,10,4,163,407,27,4
04019000153,04,019,000153,717,1586,84,46,45,917,1407,95,17
04019000154,04,019,000154,229,690,46,36,23,331,593,68,6
04019000155,04,019,000155,204,623,20,12,10,291,508,42,4
04019000156,04,019,000156,614.05,654.95,60.09,28.02,25.04,646.11,620.85,72.11,14.02
04019000157,04,019,000157,347,1292,44,24,25,510,1081,63,7
04019000158,04,019,000158,560,925,45,11,32,655,828,44,3
04019000159,04,019,000159,364,1805,51,44,37,612,1511,102,6
04019000160,04,019,000160,98,831,28,8,10,206,706,34,2
04019000161,04,019,000161,399,265,25,3,16,417,233,24,9
04019000162,04,019,000162,486,760,50,14,30,580,693,37,7
04019000163,04,019,000163,698,946,60,14,28,899,768,46,7
04019000164,04,019,000164,349.6,1260.34,63.65,38.19,30.36,471.03,1146.74,82.26,3.92
04019000165,04,019,000165,174,67,11,5,1,164,55,27,2
04019000166,04,019,000166,349,1482,106,74,42,495,1353,130,13
04019000167,04,019,000167,229,928,46,32,18,283,877,54,9
04019000168,04,019,000168,346.68,249.1,9.04,7.98,4.97,336.79,231.11,25.01,2.01
04019000169,04,019,000169,1541.43,1273.76,88.34,29.55,68.62,1703.41,1140.98,83.16,18.55
04019000170,04,019,000170,606.4,1129.66,52.35,20.81,35.64,801.97,948.26,47.74,8.08
04019000171,04,019,000171,991,1148,68,18,31,1168,995,58,4
04019000172,04,019,000172,1370.69,997.29,87.72,20.86,59.93,1513.95,868.4,79.12,19.19
04019000173,04,019,000173,1133,978,96,19,42,1268,876,79,16
04019000174,04,019,000174,935,1349,122,32,39,1086,1198,125,12
04019000175,04,019,000175,1097.82,635.03,98.91,22.55,43.87,1093.59,615.22,105.06,20.38
04019000176,04,019,000176,761,521,93,13,41,840,461,79,8
04019000177,04,019,000177,1158,1235,131,51,43,1207,1156,167,23
04019000178,04,019,000178,1025,911,84,31,35,1124,820,96,15
04019000179,04,019,000179,1549,1242,91,22,71,1670,1110,112,20
04019000180,04,019,000180,1137,1125,123,32,51,1260,1004,125,22
