GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDKEL,G20USSRMCS
04017000054,04,017,000054,235.8,1681.2,27.5,269,1649.7
04017000055,04,017,000055,108.2,771.6,12.6,123.4,757.2
04017000056,04,017,000056,1592.9,1675.3,45.6,1656.2,1632
04017000057,04,017,000057,336.9,70.6,4,352.5,61
04017000058,04,017,000058,97.6,35.4,2.6,99.3,35.5
04017000059,04,017,000059,403.5,64.8,7.2,409.9,67.3
04017000060,04,017,000060,307.5,1132.7,18.3,347,1082.5
04017000061,04,017,000061,128.6,254,7.1,142,243
04019000001,04,019,000001,645,584,14,656,562
04019000002,04,019,000002,81,87.8,1,82.8,85.9
04019000003,04,019,000003,191.7,10.6,0.2,181,18.3
04019000004,04,019,000004,814,70,8,798,86
04019000005,04,019,000005,1028.3,2360.7,57,1123.4,2274.7
04019000006,04,019,000006,1312.5,1934.5,66.9,1383.4,1900.5
04019000007,04,019,000007,53,54,2,49.1,57
04019000008,04,019,000008,268,211,8,263,217
04019000009,04,019,000009,1479,931,34,1482,939
04019000010,04,019,000010,984.4,902.2,17.6,1005,895.4
04019000011,04,019,000011,808.1,1943.1,50,845.1,1936.1
04019000012,04,019,000012,2379,2180,51,2398,2180
04019000013,04,019,000013,1353.8,1144.5,47,1402.8,1129.1
04019000014,04,019,000014,1687,1634,52,1721,1618
04019000015,04,019,000015,390.4,468,17.5,400.9,463.8
04019000016,04,019,000016,2086,909,36,2077,929
04019000017,04,019,000017,1348,298,19,1356,293
04019000018,04,019,000018,1607,309,28,1650,283
04019000019,04,019,000019,206,265,10,220,248
04019000020,04,019,000020,1916,486.4,31,1953.5,468.3
04019000021,04,019,000021,1620,1216,35,1657,1194
04019000022,04,019,000022,1958.1,809.4,32.2,2041.8,739.4
04019000023,04,019,000023,1936,787,26,1979,743
04019000024,04,019,000024,790,1065,31,868,1012
04019000025,04,019,000025,1508.9,304.2,24.9,1556.7,281.3
04019000026,04,019,000026,1602.3,388.1,30.9,1686.1,334.2
04019000027,04,019,000027,4.4,6.6,0.1,4.6,6.5
04019000028,04,019,000028,933,226,14,948,218
04019000029,04,019,000029,1565.2,1510.5,62,1558.2,1548.9
04019000030,04,019,000030,1827,1064,48,1846,1072
04019000031,04,019,000031,784.6,694.8,19.1,818,659.4
04019000032,04,019,000032,2134,1714,72,2255,1608
04019000033,04,019,000033,1467,649,25,1480,654
04019000034,04,019,000034,725.4,498.2,20.9,773,441.6
04019000035,04,019,000035,306,246,7,300,252
04019000036,04,019,000036,2008,1101,57,2063,1046
04019000037,04,019,000037,766.5,187.5,17.1,787.5,178.5
04019000038,04,019,000038,1296,620,37,1329,597
04019000039,04,019,000039,1464,1741,57,1480,1771
04019000040,04,019,000040,1289,1355,67,1316,1357
04019000041,04,019,000041,3272,1698,78,3355,1651
04019000042,04,019,000042,2683,543,48,2665,555
04019000043,04,019,000043,805.5,217.5,19.9,808.5,217.5
04019000044,04,019,000044,1594,272,26,1600,271
04019000045,04,019,000045,1389,177,21,1405,175
04019000046,04,019,000046,374,525,15,366,537
04019000047,04,019,000047,1629,380.8,35.6,1674.5,340.2
04019000048,04,019,000048,1258,528,45,1318,491
