GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRMCS,G18USSDSIN,G18USSGGRE,G18USSOWRI,G18GOVRDUC,G18GOVDGAR,G18GOVGTOR,G18GOVOWRI,G18SOSRGAY,G18SOSDHOB,G18SOSOWRI,G18ATGRBRN,G18ATGDCON,G18ATGOWRI,G18TRERYEE,G18TREDMAN,G18TREOWRI,G18SPIRRIG,G18SPIDHOF,G18SPIOWRI,G18MNIRHAR,G18MNIDPIE,G18MNIOWRI
04013000151,04,013,000151,1553.94,1147.73,55.43,6.05,1746.52,947.17,59.3,4,1553.33,1116.34,2.01,1610.62,1054.07,7,1653.88,964.54,3.01,1487.9,1130.52,3,1542.33,1003.78,4.08
04013000152,04,013,000152,378,1340,47,4,518,1208,38,4,396,1336,4,436,1276,6,460,1236,2,382,1320,2,408,1265,6
04013000153,04,013,000153,615,355,12,1,717,231,28,1,632,338,2,648,308,1,648,298,1,606,355,1,651,296,1
04013000154,04,013,000154,1400.73,1806.72,71.09,7.64,1684.28,1501.69,83.22,5.26,1452.76,1719.82,4.39,1559.62,1619.71,4.13,1609.84,1520.97,2.13,1386.38,1743.31,5.26,1458.21,1612.03,3.13
04013000155,04,013,000155,681,497,47,2,814,365,47,1,711,494,1,739,456,0,790,398,1,693,483,7,730,435,1
04013000156,04,013,000156,487,440,24,2,655,271,25,0,532,409,0,571,361,0,580,348,0,517,411,0,538,372,1
04013000157,04,013,000157,1920,1587,79,5,2184,1319,77,5,1924,1573,5,2020,1448,9,2107,1341,2,1850,1588,1,1957,1400,8
04013000158,04,013,000158,945.01,1742.78,88.84,2.99,1187.1,1493.82,87.78,2.98,991.26,1714.41,8.85,1043.98,1654.73,9.86,1089.38,1589.64,3.94,943.08,1730.85,11.81,986.53,1623.24,5.94
04013000159,04,013,000159,710,802,38,1,867,631,40,3,736,766,2,788,709,2,825,649,2,724,747,1,772,660,1
04013000160,04,013,000160,142,671,21,4,200,610,22,4,166,655,3,168,652,2,175,639,1,154,656,4,161,634,4
04013000161,04,013,000161,646,505,39,5,779,372,35,1,697,474,0,724,427,3,761,401,0,654,501,0,689,439,2
04013000162,04,013,000162,541.49,548.79,44.44,1.02,669.98,415.4,48.44,2.95,571.27,536.85,1.97,613.73,489.44,2.01,646.17,449.13,0.04,551.43,538.8,1,578.06,484.66,1.04
04013000163,04,013,000163,1193.02,908.4,83.82,8.77,1442.53,683.25,64.33,5.85,1267.09,890.85,1.95,1288.54,855.76,4.87,1319.73,793.38,1.95,1204.71,918.14,3.9,1231.03,854.78,2.92
04013000164,04,013,000164,1009,770,53,1,1174,611,39,1,1032,747,3,1082,687,3,1111,648,1,1011,738,4,1029,681,5
04013000165,04,013,000165,415,1082,62,1,555,950,51,1,451,1068,1,476,1034,1,514,982,0,440,1049,1,460,1000,2
04013000166,04,013,000166,294.38,942.86,31.13,4.01,384.98,834.2,39.15,2.02,322.5,917.79,3.01,338.67,900.55,1.02,375.74,849.49,3,298.44,919.71,1.01,315.51,883.55,2.01
04013000167,04,013,000167,2697.81,2110.97,53.2,4,3143.62,1655.95,49.22,4.02,2707.87,1994.19,5.02,2783.78,1911.02,5.06,2930.75,1697.96,1.02,2559.61,2026.35,6,2692.23,1751.51,5.04
04013000168,04,013,000168,2104.45,723.29,35.01,1.84,2263.85,563.89,29.48,1.84,2102.61,697.49,0.92,2129.33,647.74,2.76,2155.13,586.93,0,2023.37,715,0,2057.46,621.94,2.76
04013000169,04,013,000169,972.03,719.09,51.37,5.86,1125.59,569.06,44.54,2,990.77,697.88,2,1033.38,643.57,4.92,1051.29,616.02,0.05,953.52,707.64,2.03,1011.46,629.28,0.12
04013000170,04,013,000170,327.3,389.09,14.33,2.05,394.27,322.99,14.27,0.06,327.07,384.65,0.12,340.9,361.4,0.17,363,339.94,0.12,320.29,375.41,1.11,324.72,345.44,0.12
04013000171,04,013,000171,1342.88,1206.11,25.07,1.01,1603.7,930.25,21.08,2,1358.9,1144.96,2,1452.18,1044.68,3.01,1535.33,934.41,2,1332.76,1133.93,2,1407,974.46,3.02
04013000172,04,013,000172,848.94,1343.09,39.05,2.01,1065.52,1114.42,44.06,2.02,881.98,1257.92,4.01,945.32,1206.57,3,1032.48,1079.29,1.01,833.88,1275.89,3,903.17,1151.36,3.01
04013000173,04,013,000173,751.48,1104.67,58.13,3.01,916.1,960.03,41.12,1.01,802.56,1082.61,2.01,833.77,1044.34,1.02,894.94,964.15,2.02,739.48,1086.55,6,782.62,1010.3,3.02
04013000174,04,013,000174,735.77,536.12,19.16,0.01,830.46,428.39,23.15,0,748.73,499.05,0,787.94,470.82,0,784.1,436.55,2,712.47,514.13,2.02,748.75,439.59,1
04013000175,04,013,000175,554.98,952.54,35.87,2.99,704.44,794.11,37.86,2.99,583.88,934.6,1,632.7,883.79,4.98,674.55,835.96,1,554.98,957.52,1,607.79,868.84,1.99
04013000176,04,013,000176,1163,1319,81,3,1404,1087,60,5,1195,1297,1,1240,1255,1,1288,1162,1,1134,1319,1,1161,1218,4
04013000177,04,013,000177,1678.9,1336.39,51.48,1.98,1963.01,1037.43,64.34,1.98,1703.65,1299.76,1.98,1808.58,1184.93,7.92,1855.11,1104.75,3.96,1624.46,1346.29,3.96,1737.31,1141.38,3.96
04013000178,04,013,000178,1915.76,1347.47,62.74,7.02,2173.46,1066.45,65.65,3.98,1943.78,1297.78,4.04,1994.93,1236.77,3.98,2053.23,1149.59,1.99,1836.39,1333.63,3.98,1939.41,1173.37,1.99
04013000179,04,013,000179,1392.63,667.04,10.53,0,1536.88,512.33,11.47,0.94,1395.42,627.06,0.94,1441.38,568.92,2.83,1490.59,513.72,0.97,1331.8,635.69,0.05,1364.24,541.54,1.89
04013000180,04,013,000180,1854.74,744.75,26.95,3.99,2036.44,530.11,55.89,0,1874.71,709.8,2,1897.67,674.86,2,1927.62,614.96,1,1809.84,726.75,2,1840.79,651.87,0
04013000181,04,013,000181,652,837,52,3,804,692,34,2,663,834,1,706,788,4,713,766,0,647,843,1,658,796,1
04013000182,04,013,000182,2251.35,1134.95,89.19,4.54,2526.75,876.07,69.07,2.12,2279.97,1129.04,3.33,2321.72,1064.37,14.03,2380.98,980.3,3.09,2219.41,1144.36,2.13,2263.87,1043.87,3.1
04013000183,04,013,000183,2473.52,1743.2,61.77,6.13,2794.42,1379.04,71.62,6.16,2452.08,1707.81,2.09,2562.44,1578.7,0.25,2687.54,1417.52,1.1,2329.11,1738.66,2.07,2432.62,1527.69,8.15
04013000184,04,013,000184,207.68,912.33,53.95,2,311.41,815.2,43.26,2,241.34,911.86,3,255.25,886.88,5.07,264.86,870.05,4,213.73,922.26,4.09,240.89,884.34,4.07
04013000185,04,013,000185,1249,1542,69,3,1468,1315,71,2,1280,1510,1,1317,1473,4,1389,1347,3,1243,1502,2,1266,1405,2
04013000186,04,013,000186,647.92,706.64,25.88,1.99,760.38,582.23,21.9,2.99,665.83,672.8,0,695.69,640.95,1,710.62,610.1,1,630,676.78,1,652.89,620.05,1.99
04013000187,04,013,000187,504.87,648.55,26.94,1,610.64,552.77,19.96,0,519.84,639.57,0,550.77,607.64,1,563.74,576.71,1,506.87,643.56,1,515.85,596.67,0
04013000188,04,013,000188,201.19,808.6,43.66,2.98,317.08,690.74,41.63,1.01,233.84,794.82,1.98,257.54,757.33,1.98,255.81,757.98,1,213.04,803.76,3.96,225.07,777.81,2.97
04013000189,04,013,000189,1307.41,1860.89,70.81,2.99,1626.54,1548.75,61.83,1,1359.27,1815.02,2.99,1433.07,1742.22,6.98,1485.92,1655.46,4.99,1300.43,1840.95,3.99,1371.24,1700.33,1
04013000190,04,013,000190,370.33,757.54,34.13,2.92,528.55,580.97,39.88,4.84,403.37,737.2,3.88,446.02,675.2,4.85,465.5,656.62,0.97,386.76,716.95,2.91,405.34,674.99,3.88
04013000191,04,013,000191,2741.91,1839.43,75.1,6.01,3140.71,1438.63,56.11,1,2785.97,1767.26,3,2870.11,1647.04,8.02,2981.34,1519.76,3,2653.66,1816.39,4,2773.91,1591.92,3.02
04013000192,04,013,000192,1044.67,2448.04,117.16,8.74,1346.33,2141.05,101.32,7.76,1074.42,2448.07,6.79,1126,2399.52,5.82,1241.77,2239.71,6.79,1041.72,2435.63,9.84,1099.5,2304.99,9.98
04013000193,04,013,000193,756.71,744.16,22.76,1.59,875.92,617.97,18.81,2.43,770.67,711.48,1.33,819.28,655.23,3.24,851.7,606.51,2.35,726.49,728.94,2.26,769.7,638.07,1.56
04013000194,04,013,000194,1360,1985,67,9,1682,1660,63,2,1428,1908,1,1540,1780,5,1628,1643,1,1366,1913,4,1471,1722,6
04013000195,04,013,000195,1270.63,921.04,10.83,0.01,1445.97,727.13,10.83,0,1278.45,875.07,3.91,1340.1,794.79,2.93,1369.55,740.9,0.98,1201.18,884.8,0.98,1258.88,769.28,2.93
04013000196,04,013,000196,992.18,594.01,16.29,1.83,1105.56,478,17.84,0.95,989.62,578.03,0.04,1025.76,538.4,0.12,1050.53,486.86,0,950.7,602.32,0.01,977.39,534.74,0.12
04013000197,04,013,000197,362.68,683.34,20.15,0.05,511.63,515.12,21.95,3.94,394.27,633.74,3.88,441.19,580.79,1.98,476.5,535.41,1.02,384.06,623.26,4.88,414.59,558.14,6.79
04013000198,04,013,000198,1875.45,1553.95,119.27,8.21,2407.62,1037.96,111.86,6.03,2010.84,1496.98,2.17,2119.57,1360.89,9.94,2112.7,1335.66,4.96,1921.84,1499.56,16.05,1984.42,1369.49,8.91
04013000199,04,013,000199,442.25,909.45,45.56,5,609.26,724.52,49.56,3.04,471.64,897.41,4,523.27,843.08,4,556.44,799.53,3.04,448.26,890.75,3.04,494.11,823.35,6.04
04013000200,04,013,000200,939.27,983.8,27.12,1.01,1131.2,789.79,27.11,0.03,968.32,923.61,0.01,998.52,885.36,0,1047.88,810.84,0,919.94,936.72,3.01,977.32,819.99,3
04013000201,04,013,000201,1793.5,1307,56.1,6.54,2046.32,1041.37,52.86,2.13,1829.71,1260.77,1.05,1925.22,1162.14,1.12,1968.25,1075.26,0.98,1739.57,1302.32,2.81,1856.62,1099.9,2.87
04013000202,04,013,000202,735,1040,46,5,890,876,46,2,773,1020,2,804,962,6,824,931,2,728,1024,11,753,948,3
04013000203,04,013,000203,593.67,917.67,42.68,3.88,781.86,726.57,37.83,0.97,653.81,868.2,2.91,694.56,813.87,1.94,712.99,775.07,1.94,624.71,864.32,2.91,647.02,804.17,1.94
04013000204,04,013,000204,106,719,32,0,159,644,39,2,130,698,0,136,689,1,144,669,2,121,693,5,119,673,6
04013000205,04,013,000205,684.02,659.95,47.28,3.93,807.06,555.52,34.54,4.92,730.23,641.26,5.89,729.34,625.46,1,746.1,604.73,3.93,687.9,661.85,8.86,697.78,629.34,0.98
04013000206,04,013,000206,3474.07,1817.26,79.83,4,3909.36,1370.07,77.82,2.01,3533.97,1729.63,3.98,3636.61,1597.02,2.03,3688.82,1486.96,3,3407.37,1768.31,2.01,3501.2,1559.65,3.99
04013000207,04,013,000207,396.89,1120.13,60.95,3.01,517.53,1007.29,50.06,1.03,431.97,1114.99,2.02,450.22,1095.59,2.03,480.21,1049.68,1,394.04,1130.74,2.01,438.94,1047.85,2.02
04013000208,04,013,000208,1412.57,1163.15,28.37,3.02,1666.92,892.92,34.21,2,1427.74,1108.81,6.02,1500.42,1044.91,0,1549.87,946.43,2,1349.03,1142.83,2,1425.54,1017.76,4.02
04013000209,04,013,000209,366.58,360.25,22.25,2.92,446.19,278.1,21.66,1.05,375.85,352.17,0.12,380.08,339.44,0.31,405.48,305.88,0.08,368.09,344.77,0.15,390.76,302.13,1.14
04013000210,04,013,000210,470.62,389.1,15.75,0.93,530.84,322.4,14.82,0,473.4,375.2,0.93,479.89,369.64,0,489.15,345.56,0,458.58,376.13,0,467.84,344.63,0
04013000211,04,013,000211,921.76,686.82,47.99,5,1044.72,568.85,41.99,4,919.76,696.82,2,959.75,652.83,2,993.74,610.84,0,899.76,697.82,2,941.75,621.84,2
04013000212,04,013,000212,330,596,41,3,463,472,41,3,369,584,3,384,554,4,421,520,3,355,582,3,364,558,1
04013000213,04,013,000213,131.87,880.15,46.95,2,205.79,819.2,31.97,0,147.86,881.14,2,156.85,860.16,0,175.83,834.18,1,144.86,869.15,3,143.86,843.17,4
04013000214,04,013,000214,716,1507,70,2,947,1262,79,2,765,1490,4,833,1412,2,878,1342,4,738,1481,3,774,1400,8
04013000215,04,013,000215,509.61,1070.97,37.38,2.02,669.03,895.47,49.34,1.01,546.79,1040.76,2,587.45,984.02,8.02,627.91,936.44,4.01,523.7,1044.52,2.02,566.21,967.43,4.04
04013000216,04,013,000216,749.69,1306.24,78.65,4.98,935.87,1113.09,77.66,4.98,804.45,1288.32,4.98,813.41,1264.42,3.98,862.2,1204.68,6.97,755.67,1290.31,1,799.47,1225.59,1.99
04013000217,04,013,000217,538,507,31,6,593,450,36,2,552,487,3,556,481,4,597,434,1,521,494,15,540,468,3
04013000218,04,013,000218,363.28,1420.78,80.11,0,489.67,1309.36,65.11,0.01,386.33,1447.74,1,434.42,1401.64,2,444.57,1360.44,6,380.27,1424.71,2.01,396.37,1380.48,5
04013000219,04,013,000219,1068.29,848.62,41.1,3,1374.84,553.03,36.13,1,1139.34,802.55,2,1198.54,715.32,3.02,1226.63,671.16,2.01,1104.18,792.64,1.01,1135.4,718.24,1.01
04013000220,04,013,000220,972.78,1322.87,67.86,2.95,1169.49,1126.16,51.14,3.93,1018.02,1276.64,4.92,1073.1,1215.66,5.9,1105.56,1157.63,3.93,960.98,1299.27,8.85,1037.69,1145.83,4.92
04013000221,04,013,000221,434,1716,40,1,595,1561,32,2,471,1692,0,539,1616,0,605,1525,2,461,1662,1,500,1558,3
04013000222,04,013,000222,1286.85,899.16,58.54,5.76,1538.27,649.66,47.98,4.8,1324.27,876.13,2.88,1401.04,786.89,5.76,1385.69,772.49,0.96,1268.61,875.17,1.92,1312.76,782.09,2.88
04013000223,04,013,000223,1316,673,30,2,1426,547,28,3,1300,658,0,1352,607,5,1373,558,1,1230,682,9,1300,587,3
04013000224,04,013,000224,353.14,1428.27,54.2,3.1,460.29,1325.14,44.05,3.1,387.93,1400.83,1.15,407.72,1368.32,4.08,451.77,1321.11,2,350.57,1411.06,1.05,382.83,1353.55,0.03
04013000225,04,013,000225,382,484,32,0,469,411,26,0,411,483,0,423,460,0,447,436,0,390,492,0,413,449,1
04013000226,04,013,000226,1743,1525,81,6,2091,1183,87,3,1816,1457,6,1885,1379,6,1893,1345,4,1782,1449,3,1817,1352,7
04013000227,04,013,000227,602.21,1463.71,83.41,13.07,778.5,1271.34,83.94,9.07,658.34,1439.44,3.07,704.76,1372.56,5.13,777.11,1287.41,4,620.27,1436.31,2.27,705.55,1325.95,6.27
04013000228,04,013,000228,1864.89,1623.74,64.53,2.02,2191.13,1283.62,62.37,1.06,1902.11,1589.83,4.02,1968.09,1516.81,2.03,2048.28,1396.53,1.01,1839.3,1607.56,3.01,1885.15,1452.81,3.01
04013000229,04,013,000229,532.54,1572.95,50.31,1.9,728.09,1356.51,57.91,1.9,560.07,1547.32,4.75,616.08,1486.56,1.9,664.49,1403.03,3.8,549.63,1517.89,4.75,570.51,1435.3,1.9
04013000230,04,013,000230,588,578,17,5,704,455,18,3,588,571,3,631,525,0,635,494,1,544,581,3,579,516,2
04013000231,04,013,000231,629.4,757.45,47.17,2.91,778.91,609.92,34.71,0.99,684.66,710.88,1.02,719.41,658.04,7.7,747.23,620.44,1.93,654.39,701.92,1.95,684.69,643.74,2.9
04013000232,04,013,000232,2271.92,1491.25,96.66,3.15,2619.28,1160.1,76.68,4.05,2342,1442.14,4.92,2414.66,1358.41,6.94,2490.44,1237.99,2.97,2232.29,1495.41,6.92,2337.18,1299.02,7.87
04013000233,04,013,000233,2261.08,1212.91,77.46,5.88,2525.82,955.03,63.73,1.96,2310.11,1176.63,3.92,2378.75,1089.36,3.92,2399.34,1029.55,0,2226.76,1208,0.98,2268.93,1103.09,0
04013000234,04,013,000234,1886.35,1177.92,37.01,5.53,2221.27,839.54,45.05,0.96,1943.24,1123.1,3.69,2003.37,1041.93,1.87,2040.06,988.65,0.97,1867.05,1146.18,1,1945.64,1008.14,0.96
04013000235,04,013,000235,1210.4,1328.93,53.13,4.07,1407.1,1135.93,41.3,3,1250.06,1286.99,5.03,1316.3,1220.49,7,1365.7,1115.03,5,1169.43,1332.79,5.27,1242.96,1197.93,9.13
04013000236,04,013,000236,1450.44,2251.26,75.7,4.31,1748.9,1941.46,75.98,5.3,1514.38,2176.07,6.07,1606.64,2059.48,7.23,1660.01,1971.08,5.07,1450.69,2168.89,6.3,1474.09,2045.4,7.09
04013000237,04,013,000237,1608.83,1703.99,38.03,5,1890.14,1414.64,41.06,5,1625.86,1625.89,6,1728.96,1524.78,4,1768.06,1417.63,7,1549.77,1636.91,6,1610.86,1480.72,7
04013000238,04,013,000238,40.87,153.06,5.02,0,60.79,128.24,8.93,0,49.79,147.18,0,58.71,136.26,0.01,56.78,138.17,0,51.75,145.19,0,49.79,140.21,0.99
04013000239,04,013,000239,1275,835,27,2,1471,630,30,2,1303,779,3,1338,736,1,1356,688,0,1237,780,3,1283,697,1
04013000240,04,013,000240,1648,1241,47,5,1944,948,51,3,1645,1242,2,1725,1128,9,1773,1067,4,1604,1200,4,1639,1101,6
04013000241,04,013,000241,1036.53,1386.63,44.25,3.93,1267.64,1149.63,30.49,1.97,1073.9,1336.48,0.98,1129.96,1265.67,0.98,1143.73,1229.29,0,1000.15,1366.97,0.98,1053.25,1227.32,1.97
04013000242,04,013,000242,641,646,33,2,795,505,17,3,671,631,1,720,573,5,728,552,2,639,638,2,679,572,1
04013000243,04,013,000243,906.19,581.79,46.93,3.71,1051.77,441.8,43.22,1.84,922.4,592.26,0.04,977.89,526.6,0.09,990.75,491.99,0.04,889.39,593.29,0.94,933.11,532.95,1.83
04013000244,04,013,000244,2144.48,1492.94,64.49,6.33,2408.7,1213.83,67.69,4.04,2159.7,1444.71,2.18,2210.46,1382.03,7.05,2284.03,1265.53,0.16,2037.32,1490.71,3.28,2140.65,1305.26,1.16
04013000245,04,013,000245,2651.62,2436.74,59.24,4.93,3116.43,1950.25,60.2,3.95,2703.94,2333.17,0.99,2825.35,2173.27,2.96,2961.44,1967.14,3.94,2587.53,2358.79,8.88,2701.95,2047.09,2.96
04013000246,04,013,000246,1386.08,2206.66,74.68,7.68,1696.59,1885.36,60.41,7.69,1442.56,2121.03,2.89,1512.46,2037.77,6.68,1616.23,1904.92,2.91,1394.46,2113.33,7.65,1447.96,1971.17,3.84
04013000247,04,013,000247,527.61,1146.8,45.55,1.99,689.39,974.02,43.64,3,549.55,1132.84,1.02,587.32,1089.96,2.01,649.45,1009.16,0.01,523.83,1118.88,2.98,567.27,1026.05,0.04
04013000248,04,013,000248,115,474,17,3,145,445,12,0,124,469,2,128,459,1,140,445,0,116,467,0,133,449,0
04013000249,04,013,000249,158.54,1247.55,45.7,6.05,265.93,1150.37,35.31,3.05,178.21,1231.58,5.1,202.15,1208.56,4.03,226.15,1168.15,6.05,161.87,1236.16,4.13,200.45,1171.01,3.13
04013000250,04,013,000250,1356.98,817.13,39.47,7.34,1521.51,650.62,33.91,0.08,1360.67,805.15,0.05,1399.96,763.2,1.04,1421.95,714.56,0.92,1332.32,813.1,0.93,1343.49,735.9,1.95
04013000251,04,013,000251,862.21,919.62,59.39,5.94,1045.34,734.51,69.29,1.98,920.61,891.9,1.98,977.03,828.55,6.93,1000.79,798.85,4.95,884.97,891.9,2.97,914.67,843.4,7.92
04013000252,04,013,000252,1129,652,23,1,1263,526,23,0,1155,626,1,1200,575,1,1216,530,0,1083,651,4,1163,560,1
04013000253,04,013,000253,1031.23,1198.25,36.99,3.04,1229.71,991.81,44.67,6.04,1046.93,1168.6,3.07,1114.57,1090.9,5.08,1153.96,1013.24,2.06,1006.13,1178.94,7.12,1062.19,1041.93,1.08
04013000254,04,013,000254,420,595,29,2,522,489,29,4,446,570,2,470,536,3,509,492,1,403,586,2,434,531,2
04013000255,04,013,000255,849.01,1418.4,70.73,0.01,1056.65,1215.72,56.78,1.01,901.77,1384.46,0.02,975.56,1282.86,2.98,970.97,1265.45,3,868.74,1374.62,2,901.9,1291.42,3
04013000256,04,013,000256,215.42,203.58,13.99,0.04,268.27,156.07,16.35,0.07,227.23,192.7,0.04,232,179.38,0.02,225.12,170.88,2.98,213.35,189.01,0.03,213.07,186.76,0.03
04013000257,04,013,000257,1009.15,962.67,41.03,3.01,1168.27,795.55,43.02,0,1014.16,941.64,2,1089.2,868.6,1,1081.24,825.54,1,972.1,949.68,2,1026.15,823.57,3
04013000258,04,013,000258,1274.1,1252.59,69.62,5.1,1455.98,1071.13,55.03,5.19,1321.91,1213.65,2.1,1369.01,1156.2,9.1,1447.91,1047.91,1.1,1253.49,1239.3,1.06,1308.65,1118.84,3.13
04013000259,04,013,000259,581.38,718.22,43.6,3.93,747.84,548.98,51.2,2.98,622.56,713.16,0.06,656.84,667.16,1.99,691.48,620.57,4.88,590.92,713.45,0.03,625.38,641.59,1.96
04013000260,04,013,000260,632,990,23,0,812,799,25,2,640,962,2,763,840,1,797,772,3,611,942,6,697,807,4
04013000261,04,013,000261,465,940,20,3,584,818,22,1,475,921,0,525,867,3,548,825,1,454,904,6,486,843,2
04013000262,04,013,000262,1695.1,767.19,31.56,1.97,1864.71,603.49,24.65,0.99,1701.02,756.34,0.99,1773.99,669.56,4.93,1822.31,595.6,0.99,1616.22,788.88,1.97,1713.84,636.03,1.97
04013000263,04,013,000263,523,581.1,22.99,0,625.01,478.09,19,1,525,576.09,3,560.02,543.08,0,600.01,493.07,0,524.98,560.1,1,541.01,518.07,1
04013000264,04,013,000264,1900,1221,28,5,2165,938,31,2,1949,1134,4,2000,1088,0,2041,1008,1,1859,1165,2,1907,1044,2
04013000265,04,013,000265,1003.3,1015.28,92.84,12.98,1249.88,811.62,65.89,6.99,1075.18,1015.28,4.99,1122.1,947.39,8.98,1144.06,904.47,6.99,1037.24,1022.27,6.99,1090.15,938.41,4.99
04013000266,04,013,000266,116.37,55.74,2.17,0.04,130.66,40.9,1.22,0.78,127.1,46.95,0.02,125.76,44.56,0.06,126.35,44.05,0.01,121.08,49.67,0.04,122.63,42.21,0.02
04013000267,04,013,000267,259.27,491.94,31.05,1,334.4,412.79,39.05,1,271.3,487.92,1,289.31,458.9,2,317.32,423.88,0,277.28,465.94,2,286.28,445.9,1
04013000268,04,013,000268,316,1089,51,3,445,966,41,2,336,1077,2,376,1022,6,391,991,4,311,1086,3,357,1018,1
04013000269,04,013,000269,2416.68,1714.92,48.5,1.98,2890.02,1247.46,40.64,1.98,2512.5,1629.04,2.97,2604.35,1504.6,3.98,2649.96,1436.23,4.93,2419.62,1650.74,1.97,2493.84,1463.05,4.93
04013000270,04,013,000270,1782.93,1324.85,56.27,3.95,2136.35,967.48,45.41,3.95,1844.13,1254.76,2.96,1884.61,1185.66,3.95,1917.19,1130.37,0.99,1744.42,1278.45,5.92,1819.45,1124.45,2.96
04013000271,04,013,000271,2231.38,902.56,18.18,4.93,2464.88,670.77,13.18,2.02,2251.95,861.58,3.94,2328.84,788.35,2.01,2365.64,721.44,3.96,2195.22,863.57,3.96,2244.24,761.59,3.96
04013000272,04,013,000272,1040.56,695.02,9.84,0,1198.07,531.6,6.89,0,1031.7,660.56,0,1086.83,607.4,0.98,1118.33,552.27,1.97,977.55,674.35,2.95,1015.95,591.65,0
04013000273,04,013,000273,1126,725,52,1,1315,547,42,1,1162,694,5,1223,632,4,1241,584,2,1106,721,2,1145,638,4
04013000274,04,013,000274,153,1013,56,1,268,914,38,0,191,1008,2,205,983,1,221,956,0,173,1014,3,181,979,2
04013000275,04,013,000275,2005.02,1529.93,85.67,9.11,2293.94,1227.01,90.11,3.11,2056.91,1508.15,4.11,2149.36,1385.7,6,2214.7,1293.13,1.11,1941.45,1559.05,13.11,2087.24,1362.25,3
04013000276,04,013,000276,1114,1184,66,7,1314,977,58,12,1155,1168,4,1201,1101,6,1286,1006,4,1141,1143,4,1176,1056,6
04013000277,04,013,000277,701.57,439.42,14.84,1.98,839.15,302.82,6.95,0,724.34,422.58,0,746.11,382.03,0.99,755.01,370.15,0.99,703.55,413.7,2.97,735.23,371.12,0
04013000278,04,013,000278,774,890,60,6,932,744,47,1,810,878,3,840,842,4,889,779,4,789,861,5,808,821,7
04013000279,04,013,000279,1734.01,1050.78,52.48,2.98,1879.9,903.02,39.62,2.96,1743.97,1015.23,1.98,1800.95,959.01,4.98,1860.53,863.73,1.98,1638.69,1074.58,3.95,1744.09,905.57,3.95
04013000280,04,013,000280,77.8,914.09,27.93,0.05,157.39,811.69,36.03,2.47,88.77,893.63,1.67,109.55,863.77,2.47,109.31,849.55,0.82,96.41,867.8,2.44,93.68,843.59,1.67
04013000281,04,013,000281,416,943,47,3,535,815,49,2,453,913,2,477,881,3,506,840,3,419,914,12,443,871,8
04013000282,04,013,000282,227.06,725.08,29.9,2.8,322.36,629.78,25.23,1.87,234.53,729.76,0.93,274.71,684.91,2.8,289.66,666.22,0.93,228.92,716.67,1.87,244.81,679.3,2.8
04013000283,04,013,000283,819.55,1660,47.11,5.01,1064.29,1388.19,52.13,7.02,859.66,1603.84,4,948.97,1491.51,7.01,1042.11,1365.28,2.01,809.52,1587.74,5.01,893.79,1423.3,5.03
04013000284,04,013,000284,425.74,222.86,16.48,1.02,531.39,125.26,8.4,0.02,452.68,200.01,2.03,458.59,187.79,0.04,458.03,177.12,2.05,445.77,191.23,1.02,439.5,180.38,0.05
04013000285,04,013,000285,1401.1,818.49,26.26,0.15,1595.36,612.99,32.09,3.15,1441,763.13,1.12,1484.8,706.63,2.1,1530.83,637.71,2.12,1379.49,780.55,1.07,1417.47,690.13,3.22
04013000286,04,013,000286,804,1381,74,6,1026,1147,79,8,845,1354,6,928,1265,9,954,1233,6,818,1366,4,858,1270,8
04013000287,04,013,000287,1600.4,1217.53,84.77,3.58,1834.66,975.17,80.54,6.08,1644.08,1197.36,2.06,1715.11,1108.36,4.02,1751.58,1047.02,0.1,1526.44,1214.15,24.77,1646.65,1084.68,4.2
04013000288,04,013,000288,53.22,41.08,5.01,0,62.25,38.05,1.01,0,60.22,40.08,0,58.22,41.07,0,59.23,39.06,0,58.21,37.09,0,58.21,38.08,0
04013000289,04,013,000289,232.1,305.09,13.22,0.33,267.87,261.99,17.9,0.17,237.68,293.72,1.7,256.94,280.75,1.02,261.62,260.96,1.78,216.14,300.34,4.75,238.28,266.31,1.87
04013000290,04,013,000290,55.37,487.42,16.81,2.97,90.96,452.81,20.76,1.98,67.23,482.48,1.98,73.17,476.54,1.98,74.16,460.72,2.97,63.28,478.52,1.98,71.19,459.74,2.97
04013000291,04,013,000291,83.57,72.75,4.37,0.1,99.34,58.15,2.9,1.16,91.27,68.49,0.09,89.65,69.06,0.14,95.11,61.41,0.08,87.41,66.95,2.08,84.8,64.96,0.07
04013000292,04,013,000292,1288.21,804.14,36.55,1.98,1425.52,664.85,30.62,0,1287.22,784.38,4.94,1324.76,748.82,2.96,1362.3,676.7,2.96,1232.88,816.98,2.96,1271.41,723.13,1.98
04013000293,04,013,000293,582,923,56,3,768,734,50,4,630,913,5,674,852,7,701,814,6,591,917,4,623,869,3
04013000294,04,013,000294,1014.95,808.14,72.38,8.56,1255.01,582.03,66.27,2.41,1085.79,782.77,3.22,1123.34,723.9,7.23,1133.16,709.12,3.23,1050.45,786.92,2.33,1077.92,735.71,1.65
04013000295,04,013,000295,104,745,29,2,156,700,24,0,118,731,3,112,731,4,129,711,4,113,727,2,106,721,3
04013000296,04,013,000296,595,1088,83,6,733,971,63,4,651,1063,6,671,1026,5,692,982,5,598,1075,15,652,990,5
