GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRENDEL,G20PRETBLA,G20USSRJAM,G20USSDPET,G20USSGSQU,G20USSNDER,G20USSTWIL
26075075037,26,075,075037,781,392,11,4,0,2,753,392,9,1,16
26075075038,26,075,075038,558,271,9,2,0,0,534,275,1,1,15
26075075039,26,075,075039,843,418,17,5,1,4,794,442,9,3,17
26075075040,26,075,075040,784,467,14,4,1,3,739,477,13,5,17
26075075041,26,075,075041,928,482,24,4,1,2,903,489,5,7,21
26075075042,26,075,075042,517,314,9,2,1,2,475,338,5,6,13
26075075043,26,075,075043,685,336,21,3,0,1,637,373,3,3,17
26075075044,26,075,075044,963.78,488.34,22.76,3.26,2,1,908.53,506.38,12.38,3.13,18.5
26075075045,26,075,075045,770,237,8,0,2,2,721,267,9,3,7
26075075046,26,075,075046,947,458,18,5,1,1,897,478,13,6,13
26075075047,26,075,075047,777,372,18,2,2,4,757,380,8,2,9
26075075048,26,075,075048,697,294,12,1,1,3,666,312,4,3,12
26075075049,26,075,075049,435.05,188.55,5.19,1.73,0,0,413.43,195.47,2.59,0.86,3.46
26075075050,26,075,075050,411,207,11,1,0,1,393,212,3,3,9
26075075051,26,075,075051,1510,714,43,8,1,4,1505,706,15,8,22
26075075052,26,075,075052,1299,711,15,2,1,1,1261,712,9,5,18
26075075053,26,075,075053,826.17,271.11,24.05,4.01,0,0,766.05,305.15,9.03,5.01,15.04
26075075054,26,075,075054,633.17,674.53,30.53,4.92,0,1.97,612.49,684.38,8.86,5.91,14.77
26075075055,26,075,075055,1115,826,27,5,1,2,1104,820,8,1,20
26075075056,26,075,075056,830,801,22,4,1,0,843,778,5,5,13
26075075057,26,075,075057,1008,697,19,1,1,1,996,688,9,5,15
26075075058,26,075,075058,1010,640,23,4,0,2,1050,598,4,2,7
26075075059,26,075,075059,664,466,11,1,2,0,643,463,5,3,12
26075075060,26,075,075060,1088.5,706.19,22.78,4.95,0.99,0.99,1002.33,729.96,18.82,8.91,32.68
26075075061,26,075,075061,840.39,706.36,25.07,5.01,1,1,759.1,756.43,17.06,4.03,18.11
26075075062,26,075,075062,1057,403,18,2,0,1,984,437,10,2,33
26075075063,26,075,075063,1078.07,694.74,25.3,5.05,0.99,3.02,1034.62,698.13,22.02,6.02,30.2
26077000006,26,077,000006,258,987,22,1,0,0,280,930,13,1,18
26077000020,26,077,000020,439.47,771.08,16.98,6.99,1,5.99,455.46,729.13,18.98,4,16.98
26077077001,26,077,077001,576,342,15,3,0,3,588,333,6,5,7
26077077002,26,077,077002,915,588,23,5,0,5,931,563,9,2,22
26077077003,26,077,077003,933.96,559.78,22.95,3.99,0,2.99,939.94,523.85,13.97,2,15.97
26077077004,26,077,077004,843,416,19,6,0,3,862,388,9,0,10
26077077005,26,077,077005,747.03,416.88,20.02,8.01,2,5,745.96,405.88,15.02,4,6.05
26077077006,26,077,077006,905.98,460.62,15.05,1,1.01,3.02,900.82,441.65,5.02,4,20.11
26077077007,26,077,077007,862.22,613.93,27.36,1.97,1.95,4.88,849.88,604.65,10.83,5.84,21.57
26077077008,26,077,077008,689.04,693.08,28.65,7.86,1,2,669.32,679.28,22.64,6.91,20.76
26077077009,26,077,077009,726.17,577.24,20.34,5.09,2.01,2.02,715.94,558.08,16.27,7.08,23.25
26077077010,26,077,077010,615.25,615.67,20.6,6.01,2.03,1.05,688.96,542.82,7.4,3.14,8.51
26077077011,26,077,077011,518.18,658.8,16.37,0.96,0.96,0.96,542.26,608.72,9.63,3.85,11.56
26077077012,26,077,077012,476.06,477.04,10.77,0.98,0.98,1.96,502.5,434.92,8.82,0.98,13.71
26077077013,26,077,077013,331.48,681.45,29.12,4.04,1.01,1.01,344.91,655.04,20.04,0.02,10.05
26077077014,26,077,077014,417.9,338.16,12.01,1.14,0.02,3.53,423.16,326.93,4.63,2.68,9.86
26077077015,26,077,077015,525.29,468.8,17.45,5.56,0,2.14,550.34,445.95,5.87,2.06,8.16
26077077016,26,077,077016,930.35,989.24,35.89,4.07,2,4.27,964.7,930.41,28.34,9.21,17.75
26077077017,26,077,077017,1147.93,834.23,27.24,5.09,0.01,7.04,1206.52,767.55,17.16,7.04,19.21
26077077018,26,077,077018,165,310,9,3,0,0,174,295,8,0,8
26077077019,26,077,077019,470.83,399.14,9.62,6.03,1.04,1.11,442.62,398.93,8.23,0.14,22.43
26077077020,26,077,077020,178,942,21,5,3,0,208,900,15,5,9
26077077021,26,077,077021,167.95,821.76,9,9,0,0,198.94,756.78,29.99,1,6
26077077022,26,077,077022,149,1038,14,13,1,0,165,983,44,3,8
26077077023,26,077,077023,220,521,11,3,0,0,226,478,21,2,6
26077077024,26,077,077024,440,1543,38,5,1,2,491,1480,29,4,10
26077077025,26,077,077025,343.25,1052.25,22.49,2.93,0.98,1.96,399.97,992.59,7.82,2.93,6.85
26077077026,26,077,077026,128,960,17,8,1,1,148,930,15,4,12
26077077027,26,077,077027,60,828,10,6,2,2,63,800,16,4,14
26077077028,26,077,077028,46,948,5,3,2,1,57,916,13,6,11
26077077029,26,077,077029,502.17,1128,27.39,8.27,0.06,6.08,501.53,1095.34,27.38,2.13,28.28
26077077030,26,077,077030,116.11,754.17,7.06,5.92,0.02,0.06,105.53,736.24,14.81,2.02,18.71
26077077031,26,077,077031,416,1071,9,6,1,1,446,1029,17,1,9
26077077032,26,077,077032,132.92,529.5,9.1,2.16,0,3.95,132.58,492.41,11.33,3.02,21.33
26077077033,26,077,077033,136,625,5,3,2,3,142,584,23,2,16
26077077034,26,077,077034,258.86,982.88,21.03,11.02,2,3.01,266.75,945.86,32.04,7.01,27.05
26077077035,26,077,077035,380,1076,19,5,0,0,438,1010,16,2,6
26077077036,26,077,077036,377.81,897.95,18.33,7.04,1.98,1.02,404.5,856.28,14.08,1.08,17.17
26077077037,26,077,077037,349.53,862.92,20.02,3.01,1,1.01,385.54,811.87,16.02,6,12.02
26077077038,26,077,077038,390,1106,29,9,1,0,414,1057,29,9,15
26077077039,26,077,077039,321,1395,17,8,2,2,376,1342,15,2,6
26077077040,26,077,077040,210,981,10,4,0,1,264,929,8,0,1
26077077041,26,077,077041,282.49,1329.13,26.03,10,0,0,343.55,1243.08,18.01,4,20.01
26077077042,26,077,077042,203,581,13,5,0,3,227,548,12,2,11
26077077043,26,077,077043,146,696,13,4,1,1,158,678,16,1,5
26077077044,26,077,077044,334.04,861,9.86,3.94,1.97,2.95,388.21,797.96,16.75,3.94,5.91
26077077045,26,077,077045,399.74,1028.72,17.23,11.08,0,1.06,446.28,984.78,12.31,1.04,4.31
26077077046,26,077,077046,92,598,20,10,1,2,119,568,15,2,8
26077077047,26,077,077047,145.16,150.29,4.73,3.77,0,0.95,127.31,146.39,7.56,0.95,8.53
26077077048,26,077,077048,374.1,533.85,17.47,4.14,2.03,3.08,355.53,537.65,12.74,4.15,16.03
26077077049,26,077,077049,635,1410,30,9,0,0,679,1351,20,1,25
26077077050,26,077,077050,278.05,977.24,20,6,0,1,299.06,948.22,17.01,0,7
26077077051,26,077,077051,307,760,10,4,1,2,323,728,12,2,9
26077077054,26,077,077054,739.68,1219.16,25.23,9.25,1.1,4.19,801.58,1144.98,17.19,4.19,22.26
26077077055,26,077,077055,344.68,776.93,19.23,9.18,1.98,2.04,346.46,758.79,20.38,5.04,15.49
26077077056,26,077,077056,249,572,16,5,0,3,249,550,18,2,17
26077077057,26,077,077057,359.92,930.02,12.48,7.68,0.96,2.88,371.43,906.03,13.44,2.88,10.56
26077077058,26,077,077058,602,518,18,3,1,3,633,493,5,1,13
26077077059,26,077,077059,734.74,822.23,25.11,2.43,1.62,2.43,785.78,755,13.77,4.05,13.77
26077077060,26,077,077060,451,886,8,4,0,1,507,831,6,0,1
26077077061,26,077,077061,411.51,942.87,20.97,3,0,2,460.45,896.92,11.99,1,4.99
26077077062,26,077,077062,224,843,15,3,3,1,226,802,21,7,13
26077077063,26,077,077063,359.14,759.37,12.04,2.73,0.91,1.82,387.93,711.88,10.82,1.84,11.69
26077077064,26,077,077064,413.26,743.28,10.77,3.92,0,2.94,438.72,699.22,14.69,1.96,14.69
26077077065,26,077,077065,292,508,13,4,0,1,304,484,5,4,12
26077077066,26,077,077066,673,1134,22,3,0,1,721,1059,21,4,10
26077077067,26,077,077067,502.26,571.77,13.89,1.57,1.38,1.57,533.22,529,10.23,2.95,7.23
26077077068,26,077,077068,393.73,573.75,20.52,1.87,0.94,0.94,408.56,549.57,9.34,2.8,14
26077077069,26,077,077069,914.89,708.78,17.99,1.01,2.99,3.99,955.76,641.93,9,5.98,19.97
26077077070,26,077,077070,590,302,12,2,0,2,603,283,2,1,10
26077077071,26,077,077071,503,478,21,6,0,3,506,447,17,4,16
26077077072,26,077,077072,396,720,25,1,0,0,399,706,12,2,15
26077077073,26,077,077073,377.4,569.56,31.7,6.97,0.02,1.98,374.77,565.13,13.94,4.93,20.87
26077077074,26,077,077074,708.79,895.49,19.97,4.99,0,1,743.74,836.59,10.98,6.99,21.96
26077077075,26,077,077075,724.16,646.44,13.06,2,0.01,1.01,748.3,599.21,12.03,3.02,8.07
26077077076,26,077,077076,552,657,21,2,1,2,589,608,11,2,16
26077077077,26,077,077077,751,853,25,5,1,4,816,784,7,3,9
26077077078,26,077,077078,251,523,16,5,0,2,267,494,11,2,11
26077077079,26,077,077079,583,953,16,4,1,0,649,880,7,1,10
26077077080,26,077,077080,501,778,23,5,2,0,548,726,11,4,11
26077077081,26,077,077081,852.96,844.1,26.02,4.01,1,1,904.03,768.01,17.01,4,17.01
26077077082,26,077,077082,659,1107,21,9,1,0,725,1036,15,1,11
26077077083,26,077,077083,752,1021,26,3,0,3,825,938,5,5,22
26077077084,26,077,077084,917,1306,43,6,1,4,1016,1221,16,2,14
26077077085,26,077,077085,536,829,18,4,1,2,583,757,18,6,16
26077077086,26,077,077086,527.96,891,24.14,3.06,2.03,2.05,569.79,835.04,13.25,2.06,15.09
26077077087,26,077,077087,761,1132,25,6,1,4,822,1059,22,1,12
26077077088,26,077,077088,713.04,820.9,16.98,3.99,3,1,768.97,748.99,8.99,2,10.99
26077077089,26,077,077089,626,889,20,6,1,0,690,821,8,3,5
26077077090,26,077,077090,484,871,16,4,0,2,543,801,12,3,13
26077077091,26,077,077091,963.28,574.19,22.89,6.97,0,2.99,1005.08,546.32,6.97,1.99,5.97
26077077092,26,077,077092,1091.36,957.21,35.37,5.07,1,1.04,1125.33,909.22,20.18,4.04,18.2
26077077093,26,077,077093,714.64,599.79,19.63,3.93,0,1.96,766.67,546.78,9.82,1.96,10.8
26077077094,26,077,077094,999.55,990.18,36.79,3.26,0,2.09,1076.73,909.12,10.26,4.09,12.35
26077077095,26,077,077095,982,684,26,4,1,6,993,647,16,4,36
26077077096,26,077,077096,942,755,15,2,1,0,990,693,7,0,11
26077077097,26,077,077097,739.52,556.42,11.58,1.05,0.01,2.01,753.3,534.67,5.18,2.04,10.15
26077077098,26,077,077098,489.17,376.25,7.14,2.02,1,1.02,508.32,356.1,4.03,0.02,5.02
26077077099,26,077,077099,1103.4,1022.56,45.64,1.99,0.99,1.02,1168.85,949.09,17.87,3.98,22.89
26077077100,26,077,077100,607.91,382.76,16.64,2.94,0,1.96,625.53,365.14,3.92,1.96,2.94
26077077101,26,077,077101,986,801,32,4,0,6,1083,719,10,2,9
26077077102,26,077,077102,889,745,12,2,0,2,943,684,4,4,2
26077077103,26,077,077103,566.43,790.81,15.96,3.99,1.99,4.99,608.32,735.96,16.95,2.99,7.98
26077077104,26,077,077104,875,1247,28,4,1,1,1007,1130,10,4,3
26077077105,26,077,077105,893.57,1205.19,28.04,3.01,2.01,3.01,1011.68,1091.04,14.05,3.01,8.02
26077077106,26,077,077106,1025.72,1008.81,36.11,1.03,1,2.01,1172.92,868.68,8.03,2.01,15.03
26077077107,26,077,077107,510.02,207.38,5.95,0,0.99,1.98,490.18,211.35,2.98,0,13.89
26079079001,26,079,079001,320.36,178.09,4.97,0,0.99,0.99,319.36,177.09,0.99,0.99,1.99
26079079002,26,079,079002,185,134,2,2,0,0,185,136,3,0,0
26079079003,26,079,079003,625.97,219.43,5.11,1,0,1.02,616.99,220.34,6.05,1.02,3.06
26079079004,26,079,079004,1081.03,522.56,20.22,6.01,1.01,1.05,1058.12,529.38,9.11,3.03,18.1
26079079005,26,079,079005,657,282,14,0,0,2,646,283,2,7,10
26079079006,26,079,079006,401,141,3,0,2,2,388,149,0,2,1
26079079007,26,079,079007,417,155,8,1,0,1,411,153,6,3,3
26079079008,26,079,079008,1070.19,400.46,21.7,0.99,0.99,4.93,1074.13,386.65,10.85,2.96,10.85
26079079009,26,079,079009,869,361,22,3,0,2,851,360,14,4,9
26079079010,26,079,079010,133,49,3,0,0,1,131,53,2,0,0
26079079011,26,079,079011,566,145,11,1,0,1,547,151,7,1,5
26079079012,26,079,079012,533,189,10,1,0,0,517,193,3,2,7
26079079013,26,079,079013,578,227,17,8,0,0,583,223,6,0,7
26081000002,26,081,000002,786.35,262.2,7.14,3.03,0,3,759.25,271.15,5.05,3.04,15.08
26081081001,26,081,081001,476.94,597.95,13.09,0.03,0.01,1,546.43,542.43,3.07,0.01,3.02
26081081002,26,081,081002,886,1043,28,5,1,1,1007,918,10,0,10
26081081003,26,081,081003,503.39,435.37,23.81,2.55,0,1.7,575.67,380.09,7.65,0,6.8
26081081004,26,081,081004,586.46,423.45,11.07,2.03,0.03,0,656.6,363.49,3.35,0.06,3.22
26081081005,26,081,081005,999.54,660.55,32.93,0.97,0.97,0,1096.4,569.51,10.65,1.94,6.78
26081081006,26,081,081006,385.33,424.29,14.12,3,1.98,0,446.11,371.55,3.04,0,2.05
26081081007,26,081,081007,446,539,21,2,1,1,538,464,5,0,3
26081081008,26,081,081008,608.9,535.48,19.49,1.49,1.01,1.3,677.18,484.33,5.43,2,5.28
26081081009,26,081,081009,750.63,358.04,20.97,6.17,0.04,2.08,757.72,348.57,6.44,4.06,13.42
26081081010,26,081,081010,904.16,463.51,24.06,1.01,0,0,922.29,437.36,9.02,2.01,10.02
26081081011,26,081,081011,1000,447,15,1,0,1,999,437,4,2,9
26081081012,26,081,081012,857,542,15,2,0,3,867,516,7,2,9
26081081013,26,081,081013,1206.56,846.78,31.8,3.98,0.99,0.99,1284.08,763.29,9.94,2.98,9.94
26081081014,26,081,081014,399.28,263.33,13.28,0.78,0,0.78,397.71,260.19,4.69,0.78,9.37
26081081015,26,081,081015,467.52,508.11,12.84,1.06,1.93,0.07,477.05,478.2,7.3,2.04,12.02
26081081016,26,081,081016,896.83,908.82,29.96,3.99,1,1,940.77,833.91,20.97,6.99,15.98
26081081017,26,081,081017,950.64,662.54,12.85,0.17,2.96,3.02,937.11,635.31,15.56,3.13,17.69
26081081018,26,081,081018,650.73,337.13,11.18,1.19,0,2.19,647.36,330.38,5.12,4.19,10.25
26081081019,26,081,081019,290.67,679.78,13.13,3.75,0,0.94,300.04,639.47,15.94,3.75,15
26081081020,26,081,081020,1553.79,540.88,31.93,6.99,0,1,1587.72,506.95,9.98,1,9.98
26081081021,26,081,081021,1503,624,51,6,1,5,1583,572,18,1,9
26081081022,26,081,081022,1621,806,30,3,0,6,1739,697,10,4,12
26081081023,26,081,081023,876.6,802.62,29.55,9.22,1.36,4.2,900.21,769.77,15.64,5.19,22.05
26081081024,26,081,081024,1461.19,433.46,27.97,2,2,1,1527.11,386.52,4.99,1,4.99
26081081025,26,081,081025,1615,579,40,2,0,1,1705,511,8,1,9
26081081026,26,081,081026,781.47,444.28,18.86,2.83,3.77,1.88,841.8,393.37,1.9,0.94,8.48
26081081027,26,081,081027,1274.47,725.71,31.03,1,2.87,1.91,1339.76,664.26,11.7,2.89,11.62
26081081028,26,081,081028,1124,831,23,2,1,2,1183,755,14,1,18
26081081029,26,081,081029,549.12,426.83,19.1,2.02,0.01,0.01,590.48,384.48,8.05,1.01,4.04
26081081030,26,081,081030,1102.01,607.47,26.28,1.95,0.97,2.92,1175.02,531.54,9.74,1.95,7.79
26081081031,26,081,081031,1236.03,592.55,27.72,4.05,1.03,5.08,1287.02,539.48,13.27,1.05,15.21
26081081032,26,081,081032,1414.97,693.95,26.06,2.13,1.27,1.85,1505.06,606.12,10.52,0.85,10.25
26081081033,26,081,081033,790.12,436.34,14.91,2.87,1.72,1.15,845.74,382.45,7.45,1.15,5.73
26081081034,26,081,081034,996,669,18,3,1,2,1043,610,13,2,14
26081081035,26,081,081035,1106.8,742.55,32.02,5,2,2,1212.84,652.51,15.01,4,6.01
26081081036,26,081,081036,1052,610,26,2,0,1,1118,544,9,2,8
26081081037,26,081,081037,798.19,585.47,26.2,1.02,1,0.04,861.65,526.9,12.1,2.03,7.14
26081081038,26,081,081038,1153,903,27,4,0,3,1263,798,10,4,15
26081081039,26,081,081039,826,502,18,2,1,3,879,444,7,2,11
26081081040,26,081,081040,985.04,659.93,22.53,4.05,1,7.11,1051.24,590.44,13.27,0.08,8.37
26081081041,26,081,081041,670,591,13,2,0,0,769,502,2,0,1
26081081042,26,081,081042,765,718,15,3,0,0,884,611,4,0,1
26081081043,26,081,081043,527.07,460.09,10.68,2.91,2.91,0.97,590.16,408.65,3.88,0.97,2.91
26081081044,26,081,081044,730.93,798.91,26.32,2.09,1.09,0.03,869.84,671.35,4.12,3.03,5.09
26081081045,26,081,081045,1095.74,890.84,30.35,3.92,0.01,0,1261.1,739.2,8.8,0,8.8
26081081046,26,081,081046,579,727,16,3,1,2,648,665,5,1,5
26081081047,26,081,081047,532.02,514.09,6.97,1,0,0,577.85,467.26,3.99,1,2.99
26081081048,26,081,081048,529,656,11,0,0,0,586,602,5,0,2
26081081049,26,081,081049,574,652,19,4,1,0,658,574,10,0,6
26081081050,26,081,081050,684.26,500.83,21.01,6.95,0,2.96,765.74,434.27,9.96,0,3.04
26081081051,26,081,081051,949.53,553.37,29.66,1.97,0.99,5.93,959.22,528.69,14.84,4.93,19.85
26081081052,26,081,081052,1071.45,736.97,23.97,4.99,1,1,1114.39,685.04,6.99,3.99,4.99
26081081053,26,081,081053,1362,656,31,5,1,5,1382,619,10,7,12
26081081054,26,081,081054,1301.82,703.74,23.14,3,1.99,2.01,1339.54,649.63,6.08,3.08,11.29
26081081055,26,081,081055,431.97,887.26,12.98,1,0,1,521.82,794.47,3.99,2.99,0
26081081056,26,081,081056,458.99,811.98,12,2,2,2,589.98,693.98,5,2,2
26081081057,26,081,081057,489.25,953.6,15.73,0.34,0.06,2.11,588.13,870.61,5.45,0.28,2.34
26081081058,26,081,081058,366.38,790.5,18.92,1.99,0,0,435.07,733.75,7.96,1,0
26081081059,26,081,081059,357,916,24,3,0,1,460,833,7,0,2
26081081060,26,081,081060,353.42,954.43,15.97,3,0,1,467.23,870.56,3.99,3,2
26081081061,26,081,081061,1367,564,34,0,0,4,1447,486,9,1,10
26081081062,26,081,081062,719,664,15,2,2,2,785,599,6,1,9
26081081063,26,081,081063,945,605,39,4,0,1,1002,555,8,4,17
26081081064,26,081,081064,752,835,21,8,2,6,753,790,25,2,37
26081081065,26,081,081065,489,787,24,7,2,1,515,747,14,5,17
26081081066,26,081,081066,1004,635,32,1,0,1,1122,535,9,1,9
26081081067,26,081,081067,1417.7,843.52,28.61,2.96,0,0,1501.56,759.66,15.79,0.99,9.87
26081081068,26,081,081068,899.03,635.64,33.24,3.32,1.66,2.49,928.94,600.74,16.62,4.15,12.46
26081081069,26,081,081069,624,808,15,0,0,0,666,752,6,1,8
26081081070,26,081,081070,407.25,1083.11,33.95,15.96,2,2,447.23,1036.14,28.94,2.01,20.95
26081081071,26,081,081071,183,541,14,5,1,2,201,500,12,1,24
26081081072,26,081,081072,374,1171,23,2,1,2,448,1106,12,1,9
26081081073,26,081,081073,255,1105,18,5,0,3,339,1028,18,1,6
26081081074,26,081,081074,224,626,15,10,1,1,254,587,21,0,10
26081081075,26,081,081075,775,1003,24,5,0,2,846,927,15,3,6
26081081077,26,081,081077,384,668,17,6,1,1,426,629,12,1,7
26081081078,26,081,081078,322,916,21,2,0,0,355,855,19,4,18
26081081079,26,081,081079,452,832,14,1,1,3,470,786,12,5,14
26081081080,26,081,081080,668,751,22,5,0,4,710,707,13,4,11
26081081081,26,081,081081,297,819,30,4,1,1,314,783,17,3,20
26081081082,26,081,081082,376,939,26,7,1,3,420,856,36,2,22
26081081083,26,081,081083,551,1009,40,7,2,5,588,960,29,4,22
26081081084,26,081,081084,157.57,805.99,7.57,4.15,0.23,3.06,165.64,760.58,17.4,4.29,15.89
26081081085,26,081,081085,176.64,876.35,9.76,4.88,4.88,0.98,173.71,851.96,10.73,5.86,15.61
26081081086,26,081,081086,519,984,33,7,0,5,551,917,17,11,22
26081081087,26,081,081087,62.69,508.82,8.81,1.03,2.89,1,66.66,486.24,4.03,3.96,13.61
26081081088,26,081,081088,426.18,892.19,26.01,8,1,3,442.19,841.17,36,3,21
26081081089,26,081,081089,900,996,32,3,1,5,966,929,13,3,12
26081081090,26,081,081090,756.61,696.59,25.46,10,1.82,3.64,825.72,640.21,16.37,0,11.82
26081081091,26,081,081091,56.24,300.3,7.1,0.05,0.01,0.01,60.36,282.16,6.09,1.01,10.06
26081081092,26,081,081092,790.56,822.52,17.07,1.3,0.99,4.07,831.87,775.12,8.82,2.04,17.6
26081081093,26,081,081093,64.95,611.09,8.86,3.94,0,1.97,71.84,584.52,10.82,6.89,7.87
26081081094,26,081,081094,154,790,14,3,0,1,182,743,16,5,13
26081081095,26,081,081095,371,811,23,6,1,2,396,786,12,5,8
26081081096,26,081,081096,268,673,16,1,1,0,287,643,12,3,13
26081081097,26,081,081097,406,1020,20,6,0,1,432,979,19,3,17
26081081098,26,081,081098,255,808,38,2,1,2,278,782,28,4,11
26081081099,26,081,081099,331,1056,20,9,3,0,420,977,18,3,1
26081081100,26,081,081100,419,1058,29,13,3,2,424,1017,34,6,29
26081081101,26,081,081101,259,740,29,1,2,0,298,706,8,2,3
26081081102,26,081,081102,130.45,614.39,7.97,1.99,1,0,160.32,580.53,8.96,1,4.98
26081081103,26,081,081103,452,1068,26,1,4,1,507,997,21,5,13
26081081104,26,081,081104,574.89,869.82,20.6,7.49,0,3.75,603.91,841.73,10.3,2.81,10.3
26081081105,26,081,081105,250,516,6,2,2,3,252,490,8,6,12
26081081106,26,081,081106,705,1274,28,6,2,4,767,1199,20,9,15
26081081107,26,081,081107,470,1453,35,6,2,1,565,1344,26,6,9
26081081108,26,081,081108,88,584,20,3,1,1,117,549,17,3,5
26081081109,26,081,081109,209,1216,17,8,1,2,273,1138,24,3,6
26081081110,26,081,081110,788.09,1073.59,26.96,6.99,1,2,822.03,1016.68,21.97,4.99,19.97
26081081111,26,081,081111,501,1056,32,4,0,3,556,999,15,3,13
26081081112,26,081,081112,514.68,876.05,27.21,4.86,0.98,2.91,577.84,818.73,7.78,0.97,14.58
26081081113,26,081,081113,632,870,29,4,2,7,683,831,12,3,11
26081081114,26,081,081114,749,953,31,3,1,3,818,900,12,4,7
26081081115,26,081,081115,587.5,1013.14,22.98,3,3,1,658.44,931.21,11.99,5.99,14.99
26081081116,26,081,081116,504.56,966.25,13.88,4.95,0,0.99,584.87,888.92,6.94,0.99,7.93
26081081117,26,081,081117,226,905,20,7,0,1,264,867,15,0,9
26081081118,26,081,081118,234,1157,31,7,5,1,286,1109,20,4,4
26081081119,26,081,081119,194,1458,44,14,0,1,267,1399,29,1,10
26081081120,26,081,081120,344.13,815.36,14.46,0,0,0.96,348.95,777.77,10.6,2.89,19.28
26081081121,26,081,081121,57,543,6,3,0,0,78,526,10,2,2
26081081122,26,081,081122,712.76,1140.43,29.27,5.66,0.94,1.89,828.88,1039.42,7.55,4.72,5.66
26081081123,26,081,081123,455,713,17,3,0,1,540,642,6,1,3
26081081124,26,081,081124,599,1144,17,6,0,4,700,1045,22,1,9
26081081125,26,081,081125,548,994,27,3,0,2,625,919,8,3,16
26081081126,26,081,081126,302.57,694.37,8.62,3.19,0,4.04,338.99,641.65,7.27,1.06,13.56
26081081127,26,081,081127,522,953,19,2,1,2,567,913,8,2,10
26081081128,26,081,081128,491.95,1378.86,32,2,1,1,596.94,1295.87,4,2,8
26081081129,26,081,081129,208,1419,17,8,2,2,246,1373,16,4,11
26081081130,26,081,081130,133,540,8,1,1,2,155,515,5,2,2
26081081131,26,081,081131,142,937,18,5,1,0,163,907,7,3,12
26081081132,26,081,081132,154,976,17,3,1,2,165,954,15,1,10
26081081133,26,081,081133,258,986,21,7,1,0,284,947,16,5,15
26081081134,26,081,081134,299,919,13,6,0,2,323,881,12,6,13
26081081135,26,081,081135,83,978,6,8,0,0,84,965,11,3,9
26081081136,26,081,081136,118,1255,12,9,4,0,122,1232,22,3,16
26081081137,26,081,081137,209,1040,16,2,1,1,290,974,5,1,5
26081081138,26,081,081138,493,631,14,1,0,4,586,555,2,1,5
26081081139,26,081,081139,74,810,9,2,1,1,84,779,9,3,12
26081081140,26,081,081140,190,972,18,1,1,2,227,930,8,3,5
26081081141,26,081,081141,183,509,23,3,0,0,213,480,11,0,3
26081081142,26,081,081142,267,623,12,2,1,4,309,576,5,4,7
26081081143,26,081,081143,242,724,21,3,0,3,297,680,2,4,13
26081081144,26,081,081144,105,698,15,0,0,0,131,662,8,2,10
26081081145,26,081,081145,71,767,9,2,0,0,81,730,7,3,13
26081081146,26,081,081146,303.67,782.64,15.09,4.01,1,0,376.99,726.38,9.04,0,3
26081081147,26,081,081147,674.5,674.86,13.02,2,0,2,760.56,586.79,14.01,2.01,3.01
26081081148,26,081,081148,430,466,9,0,0,2,449,446,3,0,3
26081081149,26,081,081149,642.62,915.7,16.21,1.06,1,2.01,767.78,807.53,7.12,0.03,5.09
26081081150,26,081,081150,721,933,25,5,1,1,834,827,9,3,3
26081081151,26,081,081151,710.06,891.05,16.91,3.97,0.99,0,799.57,799.57,11.93,0.99,2.98
26081081152,26,081,081152,733,741,27,6,1,1,783,684,17,3,12
26081081153,26,081,081153,421.23,406.36,6.82,2.15,2.02,0.09,428.12,401.6,4.25,1.03,1.46
26081081154,26,081,081154,722,884,28,1,0,1,852,775,6,0,4
26081081155,26,081,081155,553,500,12,3,1,0,616,446,3,1,6
26081081156,26,081,081156,766.57,767.64,38.88,3.97,0.99,0.03,829.33,721.73,14.92,1.01,7.02
26081081157,26,081,081157,987.85,801.22,42.27,9.29,0,2.53,1045.13,731.96,21.66,3.34,23.83
26081081158,26,081,081158,1043.68,679.74,31.44,6.05,1.01,2,1084.4,623.22,12.17,7.01,13.08
26081081159,26,081,081159,1029,710,24,3,1,4,1069,666,7,2,18
26081081160,26,081,081160,1027,733,33,4,2,4,1091,681,14,1,7
26081081161,26,081,081161,805.62,608.72,19.99,3,3,0,824.61,580.73,6,3,5
26081081162,26,081,081162,894.83,393.18,16.94,5.04,1,1.04,911.34,374.51,11.52,1.29,7.49
26081081163,26,081,081163,818.2,560.45,17.98,2,2,3,854.16,522.49,8.99,2,7.99
26081081164,26,081,081164,574,793,16,4,2,3,579,763,13,5,22
26081081165,26,081,081165,926.29,1201.27,42.26,6.02,4,4.02,961.2,1159,20.15,3.03,23.21
26081081166,26,081,081166,518,676,20,2,2,4,547,645,12,3,12
26081081167,26,081,081167,378,516,10,2,1,0,356,500,12,5,15
26081081168,26,081,081168,379,439,16,4,0,4,410,403,8,3,6
26081081169,26,081,081169,708,825,20,5,0,1,692,800,15,7,25
26081081170,26,081,081170,507,929,19,2,1,0,519,895,11,2,20
26081081171,26,081,081171,795,1125,25,8,0,2,868,1061,10,2,15
26081081172,26,081,081172,551.43,922.63,29.38,8.81,0,1.96,571.01,888.35,12.73,2.94,26.44
26081081173,26,081,081173,753,1051,21,2,3,2,792,1008,8,2,12
