GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PREOth
26025025034,26,025,025034,235,644,10,27,2
26025025035,26,025,025035,278,718,4,41,3
26025025036,26,025,025036,116,387,5,20,2
26025025037,26,025,025037,212,505,9,19,2
26025025038,26,025,025038,150,557,2,26,4
26025025039,26,025,025039,289.56,509.57,18.08,40.29,7.08
26025025040,26,025,025040,536,916,15,67,7
26025025041,26,025,025041,458.38,641.94,17.12,68.81,11.43
26025025042,26,025,025042,637.5,1227.35,16.55,72.08,16.83
26025025043,26,025,025043,250.65,535.98,5.94,27.74,2.97
26025025044,26,025,025044,256,720,8,48,2
26025025045,26,025,025045,125.69,385.99,3.96,19.79,1.98
26025025046,26,025,025046,304,795,8,31,7
26025025047,26,025,025047,324,676,9,35,3
26025025048,26,025,025048,309.47,654.65,7.95,55.43,9.87
26025025049,26,025,025049,778.36,865.12,24.32,93.69,5.33
26025025050,26,025,025050,706.26,812.71,19.19,80.58,15.5
26025025051,26,025,025051,648.25,1115.56,11.6,80.55,11.33
26025025053,26,025,025053,420,1032,5,45,11
26025025054,26,025,025054,587.06,1144.61,19.75,64.4,15.58
26025025055,26,025,025055,495.19,617.29,14.54,62.99,7.75
26025025056,26,025,025056,531,976,19,56,12
26025025057,26,025,025057,254.41,467.1,8.12,29.34,1.03
26025025058,26,025,025058,347.2,452.06,10.88,48.47,1.98
26025025059,26,025,025059,326.96,315.8,12.98,34.01,2.05
26025025060,26,025,025060,221,483,11,23,3
26027001001,26,027,001001,17.01,21.94,0.48,1.65,0.23
26027027001,26,027,027001,350.79,450.03,10.32,26.41,7.17
26027027002,26,027,027002,383.9,195.01,5,20,4
26027027003,26,027,027003,332,349,4,39,4
26027027004,26,027,027004,214.96,222.79,0.87,23.5,3.48
26027027005,26,027,027005,321.83,752.38,4.15,41.57,9.04
26027027006,26,027,027006,590.46,1128.28,10.84,46.16,8.9
26027027008,26,027,027008,343.21,771.97,18.68,24.59,9.83
26027027009,26,027,027009,636.83,717.84,18.13,44.24,13.07
26027027010,26,027,027010,355.31,668.69,12.97,40.92,5.99
26027027011,26,027,027011,232,775,5,31,6
26027027012,26,027,027012,440,1128,9,47,4
26027027013,26,027,027013,175.28,470.79,8.51,25.53,0.96
26027027014,26,027,027014,539,1272,20,79,15
26027027015,26,027,027015,254,704,10,37,4
26027027016,26,027,027016,316.02,558.51,6.4,12.36,2.99
26027027017,26,027,027017,354.11,634.03,9,35,7
26027027018,26,027,027018,257,707,11,32,2
26027027019,26,027,027019,213.25,621.31,6.01,22.25,5.01
26027027020,26,027,027020,444.98,997.96,10,52,6
26027027021,26,027,027021,135,368,4,16,4
26027027022,26,027,027022,371.06,730.73,14.74,56.11,7.34
26029029001,26,029,029001,307.96,482.26,7.57,21.14,4.5
26029029002,26,029,029002,739.21,1043.4,35.18,73.23,6.91
26029029003,26,029,029003,213.1,416.65,10.44,36.02,4.1
